"symbol","date","open","high","low","close","volume"
"DYNT","1994-04-25","2.31","2.38","2.13","11.56","4800"
"DYNT","1994-04-26","2.13","2.38","2.13","10.94","3100"
"DYNT","1994-04-28","2.38","2.38","2.38","11.88","700"
"DYNT","1994-04-29","2.38","2.38","2.31","11.56","300"
"DYNT","1994-05-02","2.19","2.38","2.19","11.25","1000"
"DYNT","1994-05-03","2.25","2.44","2.13","12.19","1600"
"DYNT","1994-05-04","2.13","2.44","2.13","12.19","1000"
"DYNT","1994-05-05","2.44","2.44","2.44","12.19","0"
"DYNT","1994-05-06","2.13","2.38","2.13","10.63","800"
"DYNT","1994-05-09","2.13","2.13","2.13","10.63","1200"
"DYNT","1994-05-10","2.06","2.13","2.06","10.63","300"
"DYNT","1994-05-11","2.06","2.06","2.06","10.31","100"
"DYNT","1994-05-12","2.25","2.44","2.13","12.19","2300"
"DYNT","1994-05-13","2.44","2.44","2.31","12.19","4500"
"DYNT","1994-05-16","2.44","2.63","2.44","12.19","5700"
"DYNT","1994-05-17","2.44","2.5","2.38","11.88","2300"
"DYNT","1994-05-18","2.38","2.38","2.38","11.88","1000"
"DYNT","1994-05-19","2.5","2.5","2.5","12.5","0"
"DYNT","1994-05-20","2.5","2.5","2.25","11.56","5400"
"DYNT","1994-05-23","2.44","2.44","2.25","11.25","1200"
"DYNT","1994-05-24","2.19","2.19","2.19","10.94","100"
"DYNT","1994-05-25","2.19","2.38","2.19","11.56","500"
"DYNT","1994-05-26","2.19","2.44","2.19","12.19","1100"
"DYNT","1994-05-27","2.19","2.44","2.19","11.88","1000"
"DYNT","1994-05-31","2.19","2.19","2.19","10.94","300"
"DYNT","1994-06-01","2.19","2.19","2.19","10.94","100"
"DYNT","1994-06-02","2.19","2.25","2.19","11.25","900"
"DYNT","1994-06-03","2.38","2.44","2.38","11.88","1400"
"DYNT","1994-06-06","2.25","2.5","2.25","11.25","6500"
"DYNT","1994-06-07","2.19","2.25","2.19","11.25","600"
"DYNT","1994-06-08","2.5","2.5","2.5","12.5","400"
"DYNT","1994-06-09","2.25","2.5","2.25","12.5","800"
"DYNT","1994-06-10","2.25","2.31","2.25","11.25","900"
"DYNT","1994-06-13","2.5","2.5","2.19","11.88","2200"
"DYNT","1994-06-14","2.25","2.38","2.19","10.94","2200"
"DYNT","1994-06-15","2.31","2.31","2.19","10.94","1300"
"DYNT","1994-06-16","2.19","2.19","2.06","10.31","2200"
"DYNT","1994-06-17","2.25","2.25","2.13","10.63","2600"
"DYNT","1994-06-20","2.19","2.19","2.13","10.63","800"
"DYNT","1994-06-21","2.06","2.06","2.0","10.0","3200"
"DYNT","1994-06-22","2.19","2.19","2.0","10.63","600"
"DYNT","1994-06-23","2.13","2.25","1.94","11.25","4000"
