"symbol","date","open","high","low","close","volume"
"EBIO","2014-02-06","10.35","11.8","10.11","10.85","1765600"
"EBIO","2014-02-07","10.7","11.31","10.51","11.15","172700"
"EBIO","2014-02-10","11.06","11.44","11.05","11.17","48700"
"EBIO","2014-02-11","11.17","11.43","11.0","11.43","22300"
"EBIO","2014-02-12","11.29","11.5","11.21","11.41","6100"
"EBIO","2014-02-13","11.31","11.5","11.1","11.5","95600"
"EBIO","2014-02-14","11.5","12.0","11.17","11.31","35900"
"EBIO","2014-02-18","11.55","11.55","11.31","11.5","2900"
"EBIO","2014-02-19","11.45","12.44","11.45","12.42","22900"
"EBIO","2014-02-20","12.57","12.81","12.15","12.75","25700"
"EBIO","2014-02-21","12.84","15.0","12.8","14.34","78300"
"EBIO","2014-02-24","14.96","15.47","14.72","15.45","217300"
"EBIO","2014-02-25","15.9","17.56","15.0","16.68","84900"
"EBIO","2014-02-26","16.96","19.33","16.66","17.26","181100"
"EBIO","2014-02-27","17.44","18.75","17.06","17.37","134600"
"EBIO","2014-02-28","17.99","18.45","16.01","16.2","45600"
"EBIO","2014-03-03","16.78","16.78","14.79","15.45","113800"
"EBIO","2014-03-04","15.72","16.72","15.3","15.76","52400"
"EBIO","2014-03-05","16.01","17.7","16.0","16.93","70700"
"EBIO","2014-03-06","17.82","17.82","15.17","15.77","66800"
"EBIO","2014-03-07","16.04","16.85","14.07","15.26","161100"
"EBIO","2014-03-10","15.08","16.19","15.08","15.89","50700"
"EBIO","2014-03-11","16.49","16.67","14.97","15.96","190100"
"EBIO","2014-03-12","15.95","16.6","15.94","16.14","99700"
"EBIO","2014-03-13","16.5","16.99","16.06","16.89","142800"
"EBIO","2014-03-14","16.87","17.56","16.57","17.05","43900"
"EBIO","2014-03-17","17.26","17.3","15.49","15.66","43400"
"EBIO","2014-03-18","16.78","17.15","15.21","16.69","41800"
"EBIO","2014-03-19","16.99","17.5","15.89","16.35","51600"
"EBIO","2014-03-20","16.26","17.0","15.6","16.72","58300"
"EBIO","2014-03-21","16.87","16.93","16.25","16.83","153300"
"EBIO","2014-03-24","16.92","16.95","15.56","16.61","55500"
"EBIO","2014-03-25","16.94","17.52","15.87","16.18","73300"
"EBIO","2014-03-26","16.16","16.97","16.15","16.6","44100"
"EBIO","2014-03-27","17.49","17.49","16.21","16.43","69900"
"EBIO","2014-03-28","16.47","17.33","15.51","15.9","130700"
