"symbol","date","open","high","low","close","volume"
"EBTC","2005-02-14","37.0","50.4","37.0","15.84","21600"
"EBTC","2005-02-15","42.5","44.0","40.0","15.45","2000"
"EBTC","2005-02-16","42.0","42.0","42.0","16.22","1000"
"EBTC","2005-02-17","41.0","43.0","39.51","15.45","4200"
"EBTC","2005-02-18","40.0","40.12","39.0","15.06","1400"
"EBTC","2005-02-22","38.75","39.0","38.5","14.87","600"
"EBTC","2005-02-23","38.0","38.0","36.0","14.1","5000"
"EBTC","2005-02-24","36.5","36.5","34.5","13.35","10400"
"EBTC","2005-02-25","34.5","34.5","33.2","12.82","13000"
"EBTC","2005-02-28","33.0","33.0","32.25","12.74","12800"
"EBTC","2005-03-01","32.9","33.0","31.6","12.71","13400"
"EBTC","2005-03-02","32.9","32.9","30.8","11.97","9600"
"EBTC","2005-03-03","31.4","31.6","30.95","11.95","7600"
"EBTC","2005-03-04","31.63","31.75","30.7","11.86","9600"
"EBTC","2005-03-07","31.05","31.05","31.05","11.99","200"
"EBTC","2005-03-08","31.0","31.45","31.0","11.97","14600"
"EBTC","2005-03-09","30.7","30.7","30.7","11.86","800"
"EBTC","2005-03-10","31.25","31.25","30.4","11.74","10200"
"EBTC","2005-03-11","30.4","30.4","30.4","11.74","0"
"EBTC","2005-03-14","30.88","30.88","30.88","11.93","800"
"EBTC","2005-03-15","30.88","31.62","30.88","11.97","2600"
"EBTC","2005-03-16","31.0","31.0","31.0","11.97","1000"
"EBTC","2005-03-17","31.0","31.0","29.5","11.59","1000"
"EBTC","2005-03-18","30.5","30.5","30.0","11.59","1600"
"EBTC","2005-03-21","29.25","29.4","27.0","10.7","14000"
"EBTC","2005-03-22","28.0","28.0","27.6","10.66","400"
"EBTC","2005-03-23","27.25","28.0","27.0","10.55","13000"
"EBTC","2005-03-24","27.3","28.0","27.3","10.82","5000"
"EBTC","2005-03-28","29.0","29.5","28.5","11.33","5600"
"EBTC","2005-03-29","29.4","29.4","29.0","11.2","1000"
"EBTC","2005-03-30","29.0","29.25","29.0","11.2","8000"
"EBTC","2005-03-31","28.7","29.0","28.3","11.2","4800"
"EBTC","2005-04-01","29.0","29.0","29.0","11.2","2000"
"EBTC","2005-04-04","28.42","29.19","28.25","11.04","12400"
"EBTC","2005-04-05","28.86","28.86","28.69","11.08","800"
"EBTC","2005-04-06","29.48","29.48","28.83","11.3","5200"
"EBTC","2005-04-07","29.25","29.25","29.25","11.3","0"
"EBTC","2005-04-08","29.0","29.0","29.0","11.2","400"
"EBTC","2005-04-11","29.5","29.5","28.74","11.11","2800"
"EBTC","2005-04-12","28.75","28.75","28.75","11.11","0"
"EBTC","2005-04-13","29.75","30.15","29.5","11.39","1600"
"EBTC","2005-04-14","29.0","29.93","28.96","11.39","3200"
"EBTC","2005-04-15","28.75","28.75","28.75","11.11","800"
"EBTC","2005-04-18","28.75","29.0","28.75","11.2","2200"
"EBTC","2005-04-19","28.5","28.5","28.5","11.01","200"
"EBTC","2005-04-20","29.4","29.5","29.4","11.36","1000"
"EBTC","2005-04-21","29.9","29.9","29.9","11.55","200"
"EBTC","2005-04-22","30.0","30.0","30.0","11.59","7400"
"EBTC","2005-04-25","30.0","30.0","30.0","11.59","13000"
"EBTC","2005-04-26","30.0","30.0","30.0","11.59","800"
"EBTC","2005-04-27","30.0","30.0","30.0","11.59","2200"
"EBTC","2005-04-28","29.8","29.8","29.75","11.49","1600"
"EBTC","2005-04-29","31.0","31.0","30.0","11.59","2800"
"EBTC","2005-05-02","30.0","30.0","30.0","11.59","0"
"EBTC","2005-05-03","30.0","30.0","30.0","11.59","0"
"EBTC","2005-05-04","30.0","30.0","30.0","11.59","0"
"EBTC","2005-05-05","30.0","30.0","30.0","11.59","0"
"EBTC","2005-05-06","29.0","29.9","29.0","11.55","400"
"EBTC","2005-05-09","29.01","29.31","29.01","11.31","1400"
"EBTC","2005-05-10","29.28","29.28","29.28","11.31","0"
"EBTC","2005-05-11","29.28","29.28","29.28","11.31","0"
"EBTC","2005-05-12","29.28","29.28","29.28","11.31","0"
"EBTC","2005-05-13","31.05","31.05","30.0","11.59","29200"
"EBTC","2005-05-16","30.3","31.03","30.19","11.66","3000"
"EBTC","2005-05-17","30.5","30.5","30.0","11.6","4000"
"EBTC","2005-05-18","30.03","30.03","30.03","11.6","0"
"EBTC","2005-05-19","30.03","30.03","30.03","11.6","0"
"EBTC","2005-05-20","30.03","30.03","30.03","11.6","0"
"EBTC","2005-05-23","30.5","30.5","30.5","11.78","600"
"EBTC","2005-05-24","30.1","30.25","29.55","11.41","2200"
"EBTC","2005-05-25","30.1","30.1","30.1","11.63","400"
"EBTC","2005-05-26","30.1","30.1","30.1","11.63","0"
"EBTC","2005-05-27","30.7","31.5","30.05","11.84","1200"
