"symbol","date","open","high","low","close","volume"
"ECACU","2015-08-13","10.05","10.08","10.01","10.04","488300"
"ECACU","2015-08-14","10.09","10.09","10.03","10.03","10705"
"ECACU","2015-08-17","10.03","10.04","10.02","10.02","1000"
"ECACU","2015-08-19","10.05","10.05","10.05","10.05","9300"
"ECACU","2015-08-20","10.1","10.1","10.05","10.09","13500"
"ECACU","2015-08-21","10.05","10.06","10.05","10.06","14119"
"ECACU","2015-08-24","10.04","10.05","10.02","10.04","52101"
"ECACU","2015-08-26","10.06","10.06","10.06","10.06","10000"
"ECACU","2015-08-27","10.06","10.06","10.06","10.06","100"
"ECACU","2015-08-28","10.1","10.1","10.1","10.1","3201"
"ECACU","2015-08-31","10.1","10.1","10.08","10.1","864"
"ECACU","2015-09-01","10.06","10.06","10.06","10.06","7800"
"ECACU","2015-09-02","10.1","10.1","10.1","10.1","11800"
"ECACU","2015-09-04","10.06","10.06","10.06","10.06","30000"
"ECACU","2015-09-08","10.1","10.1","10.04","10.1","95089"
"ECACU","2015-09-09","10.1","10.15","10.1","10.15","40601"
"ECACU","2015-09-10","10.1","10.1","10.08","10.1","21060"
"ECACU","2015-09-16","10.08","10.1","10.08","10.1","127300"
"ECACU","2015-09-17","10.08","10.1","10.08","10.1","102803"
"ECACU","2015-09-21","10.12","10.12","10.12","10.1","1"
"ECACU","2015-09-22","10.08","10.1","10.08","10.1","24158"
"ECACU","2015-09-23","10.1","10.1","10.1","10.1","5901"
"ECACU","2015-09-24","10.07","10.1","10.07","10.1","120526"
"ECACU","2015-09-29","10.1","10.1","10.09","10.1","152206"
"ECACU","2015-09-30","10.08","10.08","10.08","10.08","27451"
"ECACU","2015-10-05","10.19","10.19","10.19","10.19","200"
"ECACU","2015-10-07","10.22","10.22","10.09","10.11","13320"
"ECACU","2015-10-08","10.75","10.75","10.25","10.25","47601"
"ECACU","2015-10-09","10.08","10.08","10.08","10.25","1"
"ECACU","2015-10-12","10.08","10.08","10.08","10.25","1"
"ECACU","2015-10-13","10.1","10.1","10.08","10.08","30396"
"ECACU","2015-10-15","10.09","10.09","10.08","10.08","67601"
"ECACU","2015-10-16","10.1","10.1","10.08","10.08","40802"
"ECACU","2015-10-23","10.15","10.15","10.06","10.06","7800"
"ECACU","2015-10-26","10.08","10.08","10.08","10.08","1000"
"ECACU","2015-10-28","10.05","10.05","10.05","10.05","100"
"ECACU","2015-11-02","10.06","10.06","10.06","10.06","100"
"ECACU","2015-11-03","10.06","10.06","10.06","10.06","100"
"ECACU","2015-11-11","10.06","10.06","10.06","10.06","100"
"ECACU","2015-11-12","10.06","10.06","10.06","10.06","300"
"ECACU","2015-11-18","10.15","10.15","10.15","10.15","2500"
"ECACU","2015-11-19","10.06","10.06","10.06","10.06","200"
"ECACU","2015-11-20","10.06","10.06","10.06","10.06","300"
"ECACU","2015-11-23","10.06","10.07","10.06","10.07","5400"
"ECACU","2015-11-24","10.06","10.06","10.02","10.06","24700"
"ECACU","2015-11-25","10.05","10.05","10.04","10.04","200"
"ECACU","2015-12-01","10.09","10.09","10.09","10.04","5"
"ECACU","2015-12-11","10.05","10.07","10.05","10.05","5500"
"ECACU","2015-12-14","10.0","10.0","10.0","10.0","100"
"ECACU","2015-12-24","9.92","9.92","9.92","10.0","7"
"ECACU","2015-12-31","9.96","9.96","9.96","10.0","41"
"ECACU","2016-01-04","10.0","10.0","10.0","10.0","38"
"ECACU","2016-01-05","10.0","10.0","10.0","10.0","1000"
"ECACU","2016-01-06","9.98","9.98","9.98","10.0","39"
"ECACU","2016-01-07","9.98","9.98","9.98","10.0","38"
"ECACU","2016-01-08","9.98","9.98","9.98","10.0","68"
"ECACU","2016-01-12","9.98","9.98","9.98","10.0","4"
"ECACU","2016-01-14","10.0","10.0","10.0","10.0","6493"
"ECACU","2016-01-19","10.02","10.02","10.02","10.02","2307"
"ECACU","2016-01-20","10.02","10.02","10.02","10.02","400"
"ECACU","2016-01-22","10.05","10.05","10.04","10.05","4546"
"ECACU","2016-01-26","10.08","10.08","10.08","10.08","100"
"ECACU","2016-01-28","10.08","10.08","10.01","10.02","6801"
"ECACU","2016-01-29","10.08","10.13","10.08","10.13","7400"
"ECACU","2016-02-04","10.2","10.2","10.2","10.2","331"
"ECACU","2016-02-05","10.2","10.2","10.09","10.2","831"
"ECACU","2016-03-23","10.14","10.14","10.14","10.2","8"
"ECACU","2016-03-29","10.2","10.2","10.2","10.2","4000"
"ECACU","2016-03-30","10.2","10.2","10.2","10.2","1002"
"ECACU","2016-04-04","10.23","10.25","10.23","10.25","11200"
"ECACU","2016-04-07","10.25","10.25","10.25","10.25","1000"
"ECACU","2016-04-08","10.25","10.3","10.25","10.3","1700"
"ECACU","2016-04-11","10.3","10.3","10.3","10.3","1200"
"ECACU","2016-04-15","10.25","10.25","10.25","10.25","470"
"ECACU","2016-05-11","10.29","10.3","10.29","10.3","3000"
"ECACU","2016-05-18","10.3","10.3","10.3","10.3","200"
"ECACU","2016-05-19","10.3","10.3","10.3","10.3","593"
"ECACU","2016-05-20","10.3","10.3","10.3","10.3","100"
"ECACU","2016-05-26","10.3","10.3","10.28","10.3","10407"
