"symbol","date","open","high","low","close","volume"
"EEI","1992-03-17","17.0","17.0","16.87","4.1","3300"
"EEI","1992-03-18","17.0","17.25","16.87","4.16","4600"
"EEI","1992-03-19","17.5","17.62","17.25","4.19","5200"
"EEI","1992-03-20","17.5","18.0","17.5","4.28","7100"
"EEI","1992-03-23","17.75","17.75","17.5","4.22","4900"
"EEI","1992-03-24","17.62","17.62","17.5","4.25","3400"
"EEI","1992-03-25","17.62","17.62","17.5","4.25","2600"
"EEI","1992-03-26","17.75","17.75","17.62","4.25","1900"
"EEI","1992-03-27","17.62","17.62","17.5","4.22","1100"
"EEI","1992-03-30","17.5","17.5","17.5","4.22","700"
"EEI","1992-03-31","17.5","17.5","17.12","4.19","5700"
"EEI","1992-04-01","17.12","17.25","17.12","4.16","1800"
"EEI","1992-04-02","17.25","17.25","17.0","4.1","900"
"EEI","1992-04-03","17.12","17.12","17.12","4.13","500"
"EEI","1992-04-06","17.25","17.25","17.0","4.1","1100"
"EEI","1992-04-07","17.12","17.38","16.5","3.98","9300"
"EEI","1992-04-08","16.5","16.5","16.0","3.89","3500"
"EEI","1992-04-09","16.25","16.25","16.12","3.92","900"
"EEI","1992-04-10","16.38","16.38","16.12","3.89","3600"
"EEI","1992-04-13","16.0","16.12","15.87","3.89","1900"
"EEI","1992-04-14","16.38","16.38","16.0","3.89","3500"
"EEI","1992-04-15","16.12","16.12","15.87","3.83","1800"
"EEI","1992-04-16","15.75","15.75","15.5","3.77","4500"
"EEI","1992-04-20","15.5","15.5","15.5","3.74","800"
"EEI","1992-04-21","15.63","15.63","15.0","3.65","5100"
"EEI","1992-04-22","14.87","15.25","14.87","3.62","10700"
"EEI","1992-04-23","15.0","15.25","15.0","3.65","1800"
"EEI","1992-04-24","15.25","15.25","15.0","3.62","9600"
"EEI","1992-04-27","15.0","15.0","15.0","3.62","2800"
"EEI","1992-04-28","15.0","15.12","14.87","3.59","3200"
"EEI","1992-04-29","15.0","15.0","14.63","3.56","3900"
"EEI","1992-04-30","14.75","14.75","14.5","3.5","2700"
"EEI","1992-05-01","14.75","14.75","14.5","3.53","1800"
"EEI","1992-05-04","14.63","14.75","14.63","3.56","1900"
"EEI","1992-05-05","14.75","14.75","14.5","3.56","5200"
"EEI","1992-05-06","14.75","14.75","14.5","3.5","6700"
"EEI","1992-05-07","14.63","14.87","14.63","3.59","4700"
"EEI","1992-05-08","14.87","14.87","14.63","3.53","6100"
"EEI","1992-05-11","14.63","14.63","14.25","3.46","3200"
"EEI","1992-05-12","14.5","14.63","14.5","3.55","5600"
"EEI","1992-05-13","14.63","14.63","14.5","3.55","2700"
"EEI","1992-05-14","14.38","14.5","14.25","3.46","4900"
"EEI","1992-05-15","14.5","14.63","14.5","3.52","3900"
"EEI","1992-05-18","14.75","14.75","14.5","3.52","2200"
"EEI","1992-05-19","14.38","14.38","14.25","3.46","1400"
"EEI","1992-05-20","14.12","14.25","14.12","3.43","2400"
"EEI","1992-05-21","14.12","14.12","14.12","3.43","400"
"EEI","1992-05-22","14.12","14.25","14.12","3.46","800"
"EEI","1992-05-26","14.38","14.38","13.87","3.37","8000"
"EEI","1992-05-27","13.87","13.87","13.87","3.37","100"
"EEI","1992-05-28","14.0","14.12","13.87","3.37","4600"
