"symbol","date","open","high","low","close","volume"
"EEMA","2012-02-09","55.0","55.0","55.0","52.45","100"
"EEMA","2012-02-10","53.79","53.79","53.79","51.3","500"
"EEMA","2012-02-13","53.79","53.79","53.79","51.3","0"
"EEMA","2012-02-14","53.79","53.79","53.79","51.3","0"
"EEMA","2012-02-15","53.79","53.79","53.79","51.3","0"
"EEMA","2012-02-16","53.79","53.79","53.79","51.3","0"
"EEMA","2012-02-17","56.58","56.58","56.58","53.96","200"
"EEMA","2012-02-21","56.58","56.58","56.58","53.96","0"
"EEMA","2012-02-22","55.19","55.19","55.19","52.63","300"
"EEMA","2012-02-23","55.11","57.98","54.9","52.75","2600"
"EEMA","2012-02-24","55.12","55.12","55.12","52.57","100"
"EEMA","2012-02-27","53.44","57.0","53.44","51.97","2000"
"EEMA","2012-02-28","54.82","54.94","54.82","52.4","1600"
"EEMA","2012-02-29","54.94","54.94","54.94","52.4","0"
"EEMA","2012-03-01","54.94","54.94","54.94","52.4","0"
"EEMA","2012-03-02","55.69","55.72","55.69","53.14","1300"
"EEMA","2012-03-05","55.01","55.01","55.01","52.46","400"
"EEMA","2012-03-06","55.01","55.01","55.01","52.46","0"
"EEMA","2012-03-07","53.35","53.35","53.01","50.87","1300"
"EEMA","2012-03-08","53.34","53.34","53.34","50.87","0"
"EEMA","2012-03-09","55.0","55.15","55.0","52.55","24500"
"EEMA","2012-03-12","54.32","54.32","54.32","51.81","200"
"EEMA","2012-03-13","54.32","54.32","54.32","51.81","0"
"EEMA","2012-03-14","54.32","54.32","54.32","51.81","0"
"EEMA","2012-03-15","54.32","54.32","54.32","51.81","0"
"EEMA","2012-03-16","55.17","55.17","55.17","52.62","200"
"EEMA","2012-03-19","54.86","54.9","54.73","52.2","1100"
"EEMA","2012-03-20","54.53","54.53","53.96","51.46","400"
"EEMA","2012-03-21","54.18","54.45","54.15","51.93","14400"
"EEMA","2012-03-22","53.74","53.8","53.74","51.31","800"
"EEMA","2012-03-23","53.8","53.82","53.8","51.33","300"
"EEMA","2012-03-26","54.25","54.44","54.25","51.92","300"
"EEMA","2012-03-27","54.44","54.44","54.44","51.92","0"
"EEMA","2012-03-28","53.79","53.79","53.79","51.3","200"
"EEMA","2012-03-29","53.79","53.79","53.79","51.3","0"
"EEMA","2012-03-30","53.79","53.79","53.79","51.3","0"
"EEMA","2012-04-02","53.79","53.79","53.79","51.3","0"
"EEMA","2012-04-03","53.79","53.79","53.79","51.3","0"
"EEMA","2012-04-04","53.79","53.79","53.79","51.3","0"
"EEMA","2012-04-05","53.79","53.79","53.79","51.3","0"
"EEMA","2012-04-09","53.79","53.79","53.79","51.3","0"
"EEMA","2012-04-10","52.64","52.64","52.64","50.2","100"
"EEMA","2012-04-11","52.64","52.64","52.64","50.2","0"
"EEMA","2012-04-12","54.48","54.48","54.43","51.91","300"
"EEMA","2012-04-13","53.84","53.84","53.84","51.35","100"
"EEMA","2012-04-16","53.51","53.51","53.5","51.02","400"
"EEMA","2012-04-17","53.5","53.5","53.5","51.02","0"
"EEMA","2012-04-18","53.85","54.08","53.82","51.34","263900"
"EEMA","2012-04-19","53.57","53.77","53.57","51.28","500"
"EEMA","2012-04-20","54.21","56.0","53.86","51.37","1300"
"EEMA","2012-04-23","52.71","53.04","52.61","50.49","3900"
"EEMA","2012-04-24","53.19","53.19","53.13","50.67","800"
"EEMA","2012-04-25","53.38","53.57","53.38","51.09","800"
"EEMA","2012-04-26","53.95","53.95","53.94","51.44","400"
"EEMA","2012-04-27","53.9","53.97","53.8","51.47","1500"
"EEMA","2012-04-30","54.19","54.19","53.84","51.35","500"
"EEMA","2012-05-01","54.61","54.63","54.57","52.04","800"
"EEMA","2012-05-02","54.28","54.28","54.28","51.77","200"
"EEMA","2012-05-03","54.4","54.48","54.04","51.73","4300"
"EEMA","2012-05-04","53.81","54.23","53.3","50.99","3700"
"EEMA","2012-05-07","53.38","53.72","53.3","51.23","3200"
"EEMA","2012-05-08","52.55","52.74","52.55","50.3","1300"
"EEMA","2012-05-09","51.97","51.97","51.5","49.12","3400"
"EEMA","2012-05-10","51.99","52.0","51.85","49.45","1200"
"EEMA","2012-05-11","51.51","51.66","51.27","48.9","1200"
"EEMA","2012-05-14","50.4","50.52","50.4","48.18","900"
"EEMA","2012-05-15","50.4","50.42","50.18","47.86","700"
"EEMA","2012-05-16","49.24","49.29","48.86","46.6","1400"
"EEMA","2012-05-17","48.83","48.99","48.66","46.6","2100"
"EEMA","2012-05-18","48.59","48.72","47.85","45.63","2700"
"EEMA","2012-05-21","48.42","48.95","48.42","46.68","700"
"EEMA","2012-05-22","49.16","49.24","49.16","46.88","1400"
"EEMA","2012-05-23","48.19","48.19","47.92","45.85","900"
"EEMA","2012-05-24","48.05","48.08","48.04","45.82","400"
"EEMA","2012-05-25","48.03","48.05","47.66","45.45","1200"
"EEMA","2012-05-29","49.19","49.19","48.99","46.72","1400"
"EEMA","2012-05-30","48.48","48.69","48.48","46.44","700"
"EEMA","2012-05-31","48.7","48.97","48.52","46.7","2800"
"EEMA","2012-06-01","47.77","47.9","47.59","45.39","3000"
"EEMA","2012-06-04","47.41","48.36","47.41","45.27","3300"
"EEMA","2012-06-05","47.75","47.81","47.5","45.6","1000"
"EEMA","2012-06-06","49.28","49.28","49.25","46.97","1100"
"EEMA","2012-06-07","49.86","50.2","49.69","47.39","900"
"EEMA","2012-06-08","48.96","49.31","48.96","46.99","1900"
"EEMA","2012-06-11","49.38","49.38","49.12","46.89","1000"
"EEMA","2012-06-12","49.67","49.72","49.67","47.42","400"
"EEMA","2012-06-13","49.97","49.97","49.61","47.31","600"
"EEMA","2012-06-14","49.74","49.74","49.53","47.24","300"
"EEMA","2012-06-15","50.17","50.25","50.08","47.76","500"
"EEMA","2012-06-18","50.48","50.73","50.48","48.38","1100"
"EEMA","2012-06-19","51.5","51.58","51.17","48.92","1700"
"EEMA","2012-06-20","50.98","51.29","50.97","48.9","1600"
"EEMA","2012-06-21","49.47","49.61","49.0","47.15","1600"
"EEMA","2012-06-22","48.57","48.75","48.57","46.87","500"
"EEMA","2012-06-25","47.77","47.85","47.55","45.88","2100"
"EEMA","2012-06-26","48.15","48.26","47.8","46.37","1100"
"EEMA","2012-06-27","48.61","48.61","48.6","46.72","300"
"EEMA","2012-06-28","48.06","48.45","48.02","46.58","700"
"EEMA","2012-06-29","49.93","50.2","49.93","48.26","500"
"EEMA","2012-07-02","50.21","50.29","50.03","48.16","900"
"EEMA","2012-07-03","50.63","51.19","50.63","49.21","300"
"EEMA","2012-07-05","50.76","50.92","50.72","48.76","700"
"EEMA","2012-07-06","50.12","50.12","49.81","48.06","900"
"EEMA","2012-07-09","49.59","49.66","49.59","47.68","800"
"EEMA","2012-07-10","49.6","49.61","49.6","47.69","500"
"EEMA","2012-07-11","49.44","49.44","49.44","47.53","200"
"EEMA","2012-07-12","48.48","48.72","48.48","46.84","1200"
"EEMA","2012-07-13","49.16","49.45","49.16","47.54","500"
"EEMA","2012-07-16","49.05","49.28","49.04","47.31","1200"
"EEMA","2012-07-17","48.94","49.16","48.51","47.2","195000"
"EEMA","2012-07-18","48.78","48.98","48.53","47.09","1000"
"EEMA","2012-07-19","49.6","49.81","48.51","47.88","700"
"EEMA","2012-07-20","49.34","49.34","48.91","47.02","400"
"EEMA","2012-07-23","48.48","48.55","47.35","46.22","3400"
"EEMA","2012-07-24","47.71","47.71","47.52","45.68","500"
"EEMA","2012-07-25","47.52","47.52","47.52","45.68","0"
"EEMA","2012-07-26","47.52","47.52","47.52","45.68","0"
"EEMA","2012-07-27","49.25","50.39","49.25","47.46","2400"
"EEMA","2012-07-30","49.97","49.97","49.88","47.95","300"
"EEMA","2012-07-31","50.43","50.43","50.36","48.41","400"
"EEMA","2012-08-01","50.74","50.9","50.36","48.41","900"
"EEMA","2012-08-02","49.78","49.92","49.3","47.48","57600"
"EEMA","2012-08-03","50.83","51.07","50.74","48.78","2200"
"EEMA","2012-08-06","50.93","51.01","50.93","49.04","500"
"EEMA","2012-08-07","50.38","51.28","50.38","49.3","300"
"EEMA","2012-08-08","52.0","52.0","51.25","49.27","1400"
"EEMA","2012-08-09","52.78","52.78","51.69","49.73","2900"
"EEMA","2012-08-10","51.55","51.64","51.55","49.64","300"
"EEMA","2012-08-13","51.22","51.22","51.22","49.24","300"
"EEMA","2012-08-14","51.76","51.76","51.6","49.6","700"
"EEMA","2012-08-15","51.25","52.06","51.2","49.22","126000"
