"symbol","date","open","high","low","close","volume"
"EGL","2012-07-18","17.35","17.96","17.1","17.68","3047900"
"EGL","2012-07-19","17.5","18.2","17.36","17.8","1504800"
"EGL","2012-07-20","17.63","17.8","16.56","17.0","543700"
"EGL","2012-07-23","17.0","17.24","15.37","15.74","557700"
"EGL","2012-07-24","15.29","15.62","13.92","14.05","1250800"
"EGL","2012-07-25","14.01","16.34","13.91","15.33","1589400"
"EGL","2012-07-26","15.39","16.3","14.75","15.17","417700"
"EGL","2012-07-27","15.05","15.41","14.88","15.01","311900"
"EGL","2012-07-30","15.04","15.89","14.75","14.95","797800"
"EGL","2012-07-31","14.53","14.8","14.05","14.6","823200"
"EGL","2012-08-01","14.99","15.1","14.5","15.02","302100"
"EGL","2012-08-02","14.6","15.29","14.6","15.2","357100"
"EGL","2012-08-03","15.2","15.99","15.2","15.87","336400"
"EGL","2012-08-06","15.71","17.49","15.71","17.32","754400"
"EGL","2012-08-07","17.12","17.78","17.02","17.38","282400"
"EGL","2012-08-08","17.5","18.46","17.36","18.05","360700"
"EGL","2012-08-09","17.9","18.0","16.91","17.29","393600"
"EGL","2012-08-10","17.28","17.65","16.99","17.28","446900"
"EGL","2012-08-13","17.46","17.65","16.56","17.07","214900"
"EGL","2012-08-14","17.04","17.08","16.73","16.88","254800"
"EGL","2012-08-15","16.35","16.87","16.35","16.82","179800"
"EGL","2012-08-16","16.88","16.91","16.39","16.42","177600"
"EGL","2012-08-17","16.41","16.44","16.22","16.35","197500"
"EGL","2012-08-20","16.19","16.37","15.99","16.13","202000"
"EGL","2012-08-21","16.16","16.46","16.04","16.29","347600"
"EGL","2012-08-22","16.36","16.74","16.17","16.73","126100"
"EGL","2012-08-23","16.86","17.27","16.68","17.15","210400"
"EGL","2012-08-24","17.17","17.82","17.17","17.47","235500"
"EGL","2012-08-27","17.51","17.75","17.37","17.65","105000"
"EGL","2012-08-28","17.61","18.14","17.57","18.03","140800"
"EGL","2012-08-29","18.01","18.39","17.9","18.25","240700"
"EGL","2012-08-30","18.11","18.4","17.98","18.01","118600"
"EGL","2012-08-31","17.96","18.53","17.93","18.51","252900"
"EGL","2012-09-04","18.63","18.63","17.55","18.09","290100"
"EGL","2012-09-05","18.39","18.7","18.03","18.5","295400"
"EGL","2012-09-06","18.32","19.16","18.2","18.26","249100"
"EGL","2012-09-07","18.08","18.52","17.86","18.23","248200"
"EGL","2012-09-10","17.94","18.54","17.79","17.99","297300"
"EGL","2012-09-11","17.97","18.11","17.02","17.02","384400"
"EGL","2012-09-12","16.93","17.07","16.7","16.77","208300"
"EGL","2012-09-13","16.27","17.17","16.27","16.95","173500"
"EGL","2012-09-14","16.93","17.62","16.81","17.6","88500"
"EGL","2012-09-17","17.45","17.66","17.15","17.57","100400"
"EGL","2012-09-18","18.0","18.48","17.67","18.22","183800"
"EGL","2012-09-19","18.24","18.65","18.0","18.6","153000"
"EGL","2012-09-20","18.56","18.7","18.19","18.2","186100"
