"symbol","date","open","high","low","close","volume"
"ELSE","1990-04-02","2.5","2.5","2.5","0.62","400"
"ELSE","1990-04-03","2.62","2.75","2.62","0.68","6700"
"ELSE","1990-04-04","2.75","2.75","2.75","0.68","0"
"ELSE","1990-04-05","2.62","2.75","2.62","0.68","11700"
"ELSE","1990-04-06","2.62","2.75","2.62","0.68","4500"
"ELSE","1990-04-09","2.75","2.75","2.75","0.68","0"
"ELSE","1990-04-10","2.75","2.75","2.75","0.68","0"
"ELSE","1990-04-11","2.75","2.75","2.75","0.68","0"
"ELSE","1990-04-12","2.62","2.62","2.62","0.65","1000"
"ELSE","1990-04-16","2.88","2.88","2.88","0.71","1300"
"ELSE","1990-04-17","2.88","2.88","2.88","0.71","0"
"ELSE","1990-04-18","2.62","2.62","2.62","0.65","6900"
"ELSE","1990-04-19","2.62","2.62","2.62","0.65","0"
"ELSE","1990-04-20","2.62","2.62","2.62","0.65","0"
"ELSE","1990-04-23","2.62","2.62","2.62","0.65","0"
"ELSE","1990-04-24","2.62","2.62","2.62","0.65","0"
"ELSE","1990-04-25","2.62","2.62","2.62","0.65","0"
"ELSE","1990-04-26","2.62","2.62","2.62","0.68","0"
"ELSE","1990-04-27","2.62","2.62","2.62","0.68","0"
"ELSE","1990-04-30","2.62","2.62","2.62","0.68","0"
"ELSE","1990-05-01","2.62","2.62","2.62","0.68","0"
"ELSE","1990-05-02","2.62","2.62","2.62","0.68","0"
"ELSE","1990-05-03","2.62","2.62","2.62","0.68","0"
"ELSE","1990-05-04","2.62","2.62","2.62","0.68","0"
"ELSE","1990-05-07","2.62","2.62","2.62","0.68","0"
"ELSE","1990-05-08","2.62","2.62","2.62","0.68","0"
"ELSE","1990-05-09","2.88","2.88","2.88","0.74","1500"
"ELSE","1990-05-10","2.88","2.88","2.88","0.74","400"
"ELSE","1990-05-11","2.62","2.62","2.62","0.68","400"
"ELSE","1990-05-14","2.62","2.62","2.62","0.68","0"
"ELSE","1990-05-15","2.62","2.62","2.62","0.68","0"
"ELSE","1990-05-16","2.62","2.62","2.62","0.68","0"
"ELSE","1990-05-17","2.62","2.62","2.62","0.68","0"
"ELSE","1990-05-18","2.75","2.75","2.75","0.71","1300"
"ELSE","1990-05-21","2.62","2.62","2.62","0.68","900"
"ELSE","1990-05-22","2.62","2.62","2.62","0.68","0"
"ELSE","1990-05-23","2.62","2.62","2.62","0.68","0"
"ELSE","1990-05-24","2.62","2.62","2.62","0.68","0"
"ELSE","1990-05-25","2.62","2.62","2.62","0.68","0"
"ELSE","1990-05-29","2.62","2.62","2.62","0.68","0"
"ELSE","1990-05-30","2.62","2.62","2.62","0.68","0"
"ELSE","1990-05-31","2.62","2.62","2.62","0.68","0"
"ELSE","1990-06-01","2.62","2.62","2.62","0.68","0"
"ELSE","1990-06-04","2.62","2.62","2.62","0.68","0"
"ELSE","1990-06-05","2.62","2.62","2.62","0.68","0"
"ELSE","1990-06-06","2.62","2.62","2.62","0.68","0"
"ELSE","1990-06-07","2.62","2.62","2.62","0.68","0"
"ELSE","1990-06-08","2.62","2.62","2.62","0.68","0"
"ELSE","1990-06-11","2.62","2.62","2.62","0.68","400"
"ELSE","1990-06-12","2.62","2.62","2.62","0.68","0"
"ELSE","1990-06-13","2.62","2.62","2.62","0.68","0"
"ELSE","1990-06-14","2.62","2.62","2.62","0.68","0"
"ELSE","1990-06-15","2.62","2.62","2.62","0.68","0"
"ELSE","1990-06-18","2.62","2.62","2.62","0.68","0"
"ELSE","1990-06-19","2.62","2.62","2.62","0.68","0"
"ELSE","1990-06-20","2.62","2.62","2.62","0.68","0"
"ELSE","1990-06-21","2.62","2.62","2.62","0.68","0"
"ELSE","1990-06-22","3.0","3.0","3.0","0.77","700"
"ELSE","1990-06-25","3.0","3.0","3.0","0.77","0"
"ELSE","1990-06-26","2.62","2.62","2.62","0.68","35200"
"ELSE","1990-06-27","2.62","2.62","2.62","0.68","0"
"ELSE","1990-06-28","2.62","2.62","2.62","0.68","0"
"ELSE","1990-06-29","2.62","2.62","2.62","0.68","0"
"ELSE","1990-07-02","2.62","2.62","2.62","0.68","0"
"ELSE","1990-07-03","2.62","2.62","2.62","0.68","0"
"ELSE","1990-07-05","2.62","2.62","2.62","0.68","0"
"ELSE","1990-07-06","2.62","2.62","2.62","0.68","0"
"ELSE","1990-07-09","2.62","2.62","2.62","0.68","0"
"ELSE","1990-07-10","2.62","2.62","2.62","0.68","0"
"ELSE","1990-07-11","2.62","2.62","2.62","0.68","1500"
"ELSE","1990-07-12","2.62","2.62","2.62","0.68","0"
"ELSE","1990-07-13","2.62","2.62","2.62","0.68","0"
"ELSE","1990-07-16","2.62","2.62","2.62","0.68","300"
"ELSE","1990-07-17","2.62","2.62","2.62","0.68","0"
"ELSE","1990-07-18","2.62","2.62","2.62","0.68","0"
"ELSE","1990-07-19","2.75","2.75","2.75","0.71","600"
"ELSE","1990-07-20","2.75","2.75","2.75","0.71","0"
"ELSE","1990-07-23","2.75","2.75","2.75","0.71","0"
"ELSE","1990-07-24","2.62","2.62","2.62","0.68","2200"
"ELSE","1990-07-25","2.62","2.62","2.62","0.68","0"
"ELSE","1990-07-26","2.62","2.62","2.62","0.68","0"
"ELSE","1990-07-27","2.62","2.62","2.62","0.68","3300"
"ELSE","1990-07-30","2.62","2.62","2.62","0.68","0"
"ELSE","1990-07-31","2.62","2.62","2.62","0.68","0"
"ELSE","1990-08-01","2.62","2.62","2.62","0.68","0"
"ELSE","1990-08-02","2.62","2.62","2.62","0.68","0"
"ELSE","1990-08-03","2.5","2.5","2.5","0.65","300"
"ELSE","1990-08-06","2.5","2.5","2.5","0.65","0"
"ELSE","1990-08-07","2.5","2.5","2.5","0.65","0"
"ELSE","1990-08-08","2.5","2.5","2.5","0.65","0"
"ELSE","1990-08-09","2.62","2.62","2.56","0.66","2100"
"ELSE","1990-08-10","2.56","2.56","2.56","0.66","0"
"ELSE","1990-08-13","2.56","2.56","2.56","0.66","0"
"ELSE","1990-08-14","2.56","2.56","2.56","0.66","0"
"ELSE","1990-08-15","2.56","2.56","2.56","0.66","300"
"ELSE","1990-08-16","2.56","2.56","2.56","0.66","0"
"ELSE","1990-08-17","2.56","2.56","2.56","0.66","0"
"ELSE","1990-08-20","2.56","2.56","2.56","0.66","0"
"ELSE","1990-08-21","2.25","2.25","2.25","0.58","300"
"ELSE","1990-08-22","2.25","2.25","2.25","0.58","0"
"ELSE","1990-08-23","2.25","2.25","2.25","0.58","0"
"ELSE","1990-08-24","2.25","2.25","2.25","0.58","0"
"ELSE","1990-08-27","2.25","2.25","2.25","0.58","0"
"ELSE","1990-08-28","2.5","2.62","2.5","0.68","3100"
"ELSE","1990-08-29","2.62","2.62","2.62","0.68","0"
"ELSE","1990-08-30","2.37","2.37","2.37","0.61","100"
"ELSE","1990-08-31","2.37","2.37","2.37","0.61","0"
"ELSE","1990-09-04","2.37","2.37","2.37","0.61","0"
"ELSE","1990-09-05","2.37","2.37","2.37","0.61","0"
"ELSE","1990-09-06","2.37","2.37","2.37","0.61","1600"
"ELSE","1990-09-07","2.37","2.37","2.37","0.61","3000"
"ELSE","1990-09-10","2.75","2.75","2.37","0.61","1900"
"ELSE","1990-09-11","2.37","2.37","2.37","0.61","0"
"ELSE","1990-09-12","2.37","2.37","2.37","0.61","0"
"ELSE","1990-09-13","2.37","2.37","2.37","0.61","0"
"ELSE","1990-09-14","2.37","2.37","2.37","0.61","0"
"ELSE","1990-09-17","2.62","2.62","2.62","0.68","3000"
"ELSE","1990-09-18","2.62","2.62","2.62","0.68","0"
"ELSE","1990-09-19","2.5","2.5","2.5","0.65","400"
"ELSE","1990-09-20","2.5","2.5","2.5","0.65","700"
"ELSE","1990-09-21","2.5","2.5","2.5","0.65","0"
"ELSE","1990-09-24","2.5","2.5","2.5","0.65","0"
"ELSE","1990-09-25","2.5","2.5","2.5","0.65","1500"
"ELSE","1990-09-26","2.5","2.5","2.5","0.65","1200"
"ELSE","1990-09-27","2.62","2.62","2.62","0.68","2200"
"ELSE","1990-09-28","2.62","2.62","2.62","0.68","0"
"ELSE","1990-10-01","2.62","2.62","2.62","0.68","0"
"ELSE","1990-10-02","2.62","2.62","2.62","0.68","0"
"ELSE","1990-10-03","2.62","2.62","2.62","0.68","0"
"ELSE","1990-10-04","2.5","2.56","2.5","0.65","1500"
"ELSE","1990-10-05","2.5","2.5","2.5","0.65","0"
"ELSE","1990-10-08","2.5","2.5","2.5","0.65","400"
"ELSE","1990-10-09","2.5","2.5","2.5","0.65","400"
"ELSE","1990-10-10","2.5","2.5","2.5","0.65","0"
"ELSE","1990-10-11","2.5","2.5","2.5","0.65","0"
"ELSE","1990-10-12","2.5","2.5","2.5","0.65","600"
"ELSE","1990-10-15","2.5","2.5","2.5","0.65","0"
"ELSE","1990-10-16","2.5","2.5","2.5","0.65","0"
"ELSE","1990-10-17","2.0","2.13","2.0","0.55","135300"
"ELSE","1990-10-18","2.13","2.13","2.13","0.55","0"
"ELSE","1990-10-19","2.13","2.13","2.13","0.55","0"
"ELSE","1990-10-22","2.37","2.37","2.37","0.61","100"
"ELSE","1990-10-23","2.37","2.37","2.37","0.61","0"
"ELSE","1990-10-24","2.37","2.37","2.37","0.61","0"
"ELSE","1990-10-25","2.37","2.37","2.37","0.61","0"
"ELSE","1990-10-26","2.37","2.37","2.37","0.61","100"
"ELSE","1990-10-29","2.37","2.37","2.37","0.61","3700"
"ELSE","1990-10-30","2.37","2.37","2.37","0.61","0"
"ELSE","1990-10-31","2.37","2.37","2.37","0.61","0"
"ELSE","1990-11-01","2.37","2.37","2.37","0.61","0"
"ELSE","1990-11-02","2.37","2.37","2.37","0.61","0"
"ELSE","1990-11-05","2.37","2.37","2.37","0.61","0"
"ELSE","1990-11-06","2.37","2.37","2.37","0.61","0"
"ELSE","1990-11-07","2.37","2.37","2.37","0.61","0"
"ELSE","1990-11-08","2.37","2.37","2.37","0.61","0"
"ELSE","1990-11-09","2.37","2.37","2.37","0.61","0"
"ELSE","1990-11-12","2.25","2.25","2.25","0.58","400"
"ELSE","1990-11-13","2.25","2.25","2.25","0.58","0"
"ELSE","1990-11-14","2.25","2.25","2.25","0.58","400"
"ELSE","1990-11-15","2.25","2.25","2.25","0.58","300"
"ELSE","1990-11-16","2.25","2.25","2.25","0.58","0"
"ELSE","1990-11-19","2.25","2.25","2.25","0.58","100"
"ELSE","1990-11-20","2.25","2.25","2.25","0.58","0"
"ELSE","1990-11-21","2.25","2.25","2.25","0.58","0"
"ELSE","1990-11-23","2.25","2.25","2.25","0.58","0"
"ELSE","1990-11-26","2.25","2.25","2.25","0.58","0"
"ELSE","1990-11-27","2.25","2.25","2.25","0.58","0"
"ELSE","1990-11-28","2.37","2.37","2.37","0.61","1500"
"ELSE","1990-11-29","2.25","2.25","2.25","0.58","1000"
"ELSE","1990-11-30","2.25","2.25","2.25","0.58","0"
"ELSE","1990-12-03","2.25","2.25","2.25","0.58","0"
"ELSE","1990-12-04","2.25","2.25","2.25","0.58","0"
"ELSE","1990-12-05","2.25","2.25","2.25","0.58","0"
"ELSE","1990-12-06","2.37","2.5","2.37","0.65","22500"
"ELSE","1990-12-07","2.5","2.5","2.5","0.65","0"
"ELSE","1990-12-10","2.5","2.5","2.5","0.65","400"
"ELSE","1990-12-11","2.5","2.5","2.5","0.65","0"
"ELSE","1990-12-12","2.5","2.5","2.5","0.65","1000"
"ELSE","1990-12-13","2.5","2.5","2.5","0.65","0"
"ELSE","1990-12-14","2.5","2.5","2.5","0.65","0"
"ELSE","1990-12-17","2.5","2.5","2.5","0.65","0"
"ELSE","1990-12-18","2.5","2.5","2.5","0.65","0"
"ELSE","1990-12-19","2.5","2.5","2.5","0.65","0"
"ELSE","1990-12-20","2.5","2.5","2.5","0.65","0"
"ELSE","1990-12-21","2.5","2.5","2.5","0.65","0"
"ELSE","1990-12-24","2.5","2.5","2.5","0.65","0"
"ELSE","1990-12-26","2.5","2.5","2.5","0.65","0"
"ELSE","1990-12-27","2.5","2.5","2.5","0.65","0"
"ELSE","1990-12-28","2.37","2.37","2.37","0.61","100"
"ELSE","1990-12-31","2.37","2.37","2.37","0.61","0"
"ELSE","1991-01-02","2.5","2.75","2.37","0.68","11200"
"ELSE","1991-01-03","2.62","2.62","2.62","0.68","0"
"ELSE","1991-01-04","2.62","2.62","2.62","0.68","0"
"ELSE","1991-01-07","2.62","2.62","2.62","0.68","0"
"ELSE","1991-01-08","2.62","2.62","2.62","0.68","0"
"ELSE","1991-01-09","2.62","2.62","2.62","0.68","0"
"ELSE","1991-01-10","2.62","2.62","2.62","0.68","0"
"ELSE","1991-01-11","2.5","2.5","2.5","0.65","1200"
"ELSE","1991-01-14","2.5","2.5","2.5","0.65","400"
"ELSE","1991-01-15","2.5","2.5","2.5","0.65","0"
"ELSE","1991-01-16","2.5","2.5","2.5","0.65","0"
"ELSE","1991-01-17","2.5","2.5","2.5","0.65","0"
"ELSE","1991-01-18","2.13","2.25","2.13","0.58","1600"
"ELSE","1991-01-21","2.13","2.13","2.13","0.55","400"
"ELSE","1991-01-22","2.13","2.13","2.13","0.55","0"
"ELSE","1991-01-23","2.13","2.13","2.13","0.55","0"
"ELSE","1991-01-24","2.5","2.5","2.5","0.65","7000"
"ELSE","1991-01-25","2.5","2.5","2.5","0.65","0"
"ELSE","1991-01-28","2.5","2.5","2.5","0.65","0"
"ELSE","1991-01-29","2.5","2.5","2.5","0.65","0"
"ELSE","1991-01-30","2.5","2.5","2.5","0.65","300"
"ELSE","1991-01-31","2.5","2.5","2.5","0.65","0"
"ELSE","1991-02-01","2.5","2.5","2.5","0.65","1500"
"ELSE","1991-02-04","2.25","2.25","2.25","0.58","600"
"ELSE","1991-02-05","2.25","2.25","2.25","0.58","0"
"ELSE","1991-02-06","2.62","2.75","2.62","0.71","3000"
"ELSE","1991-02-07","2.37","2.37","2.37","0.61","1000"
"ELSE","1991-02-08","2.88","2.88","2.88","0.74","1500"
"ELSE","1991-02-11","2.5","2.75","2.5","0.71","1000"
"ELSE","1991-02-12","2.75","2.88","2.75","0.74","2200"
"ELSE","1991-02-13","2.88","2.88","2.88","0.74","0"
"ELSE","1991-02-14","3.0","3.0","3.0","0.77","8200"
"ELSE","1991-02-15","2.88","3.25","2.88","0.84","4600"
"ELSE","1991-02-19","3.25","3.25","3.25","0.84","3100"
"ELSE","1991-02-20","3.25","3.25","3.25","0.84","4500"
"ELSE","1991-02-21","3.0","3.0","3.0","0.77","1500"
"ELSE","1991-02-22","3.38","3.38","3.38","0.87","700"
"ELSE","1991-02-25","2.88","3.0","2.88","0.77","4500"
"ELSE","1991-02-26","3.0","3.0","3.0","0.77","0"
"ELSE","1991-02-27","3.0","3.0","3.0","0.77","0"
"ELSE","1991-02-28","3.0","3.0","3.0","0.77","0"
"ELSE","1991-03-01","3.0","3.0","3.0","0.77","0"
"ELSE","1991-03-04","3.0","3.0","3.0","0.77","0"
"ELSE","1991-03-05","3.0","3.0","3.0","0.77","900"
"ELSE","1991-03-06","2.75","2.75","2.75","0.71","600"
"ELSE","1991-03-07","3.0","3.0","3.0","0.77","3100"
"ELSE","1991-03-08","3.0","3.0","3.0","0.77","0"
"ELSE","1991-03-11","3.0","3.0","3.0","0.77","900"
"ELSE","1991-03-12","3.0","3.0","2.75","0.77","8700"
"ELSE","1991-03-13","3.0","3.25","3.0","0.77","3400"
"ELSE","1991-03-14","3.0","3.0","3.0","0.77","0"
"ELSE","1991-03-15","3.0","3.0","3.0","0.77","0"
"ELSE","1991-03-18","3.0","3.0","3.0","0.77","0"
"ELSE","1991-03-19","3.0","3.0","3.0","0.77","0"
"ELSE","1991-03-20","3.25","3.25","3.25","0.84","1500"
"ELSE","1991-03-21","3.25","3.25","3.25","0.84","0"
"ELSE","1991-03-22","3.12","3.12","3.12","0.81","400"
"ELSE","1991-03-25","3.12","3.12","3.12","0.81","0"
"ELSE","1991-03-26","3.12","3.12","3.12","0.81","0"
"ELSE","1991-03-27","3.25","3.25","3.25","0.84","1000"
"ELSE","1991-03-28","3.25","3.25","3.25","0.84","0"
"ELSE","1991-04-01","3.5","3.5","3.5","0.9","2100"
"ELSE","1991-04-02","3.5","3.5","3.38","0.87","700"
"ELSE","1991-04-03","3.25","3.25","3.25","0.84","7300"
"ELSE","1991-04-04","3.63","3.63","3.63","0.94","1200"
"ELSE","1991-04-05","3.63","3.63","3.63","0.94","0"
"ELSE","1991-04-08","3.5","3.5","3.5","0.9","3000"
"ELSE","1991-04-09","3.25","3.5","3.25","0.9","1600"
"ELSE","1991-04-10","3.5","3.5","3.5","0.9","400"
"ELSE","1991-04-11","3.38","3.5","3.38","0.9","3100"
"ELSE","1991-04-12","3.31","3.5","3.25","0.84","4200"
"ELSE","1991-04-15","3.5","3.5","3.5","0.9","100"
"ELSE","1991-04-16","3.25","3.38","3.25","0.87","900"
"ELSE","1991-04-17","3.38","3.38","3.38","0.87","0"
"ELSE","1991-04-18","3.38","3.38","3.38","0.87","0"
"ELSE","1991-04-19","3.38","3.38","3.38","0.87","0"
"ELSE","1991-04-22","3.38","3.38","3.38","0.87","0"
"ELSE","1991-04-23","3.44","3.5","3.44","0.9","2700"
"ELSE","1991-04-24","3.5","3.5","3.5","0.9","0"
