"symbol","date","open","high","low","close","volume"
"EMD","2001-01-02","11.75","12.06","11.75","12.06","35500"
"EMD","2001-01-03","12.0","12.12","11.88","12.12","16300"
"EMD","2001-01-04","12.25","12.38","12.12","12.31","7300"
"EMD","2001-01-05","12.25","12.25","12.0","12.25","10100"
"EMD","2001-01-08","12.25","12.25","12.19","12.19","4900"
"EMD","2001-01-09","12.31","12.38","12.19","12.38","24100"
"EMD","2001-01-10","12.12","12.56","12.12","12.56","23000"
"EMD","2001-01-11","12.69","13.12","12.62","12.62","17200"
"EMD","2001-01-12","12.5","12.94","12.5","12.88","10500"
"EMD","2001-01-16","12.75","12.88","12.75","12.75","4800"
"EMD","2001-01-17","12.88","12.88","12.5","12.62","12300"
"EMD","2001-01-18","0.0","0.0","0.0","12.62","0"
"EMD","2001-01-19","12.75","12.81","12.69","12.69","18700"
"EMD","2001-01-22","12.75","12.88","12.75","12.81","10000"
"EMD","2001-01-23","12.81","12.81","12.69","12.75","9100"
"EMD","2001-01-24","12.81","12.81","12.75","12.81","8600"
"EMD","2001-01-25","12.81","12.88","12.81","12.81","9700"
"EMD","2001-01-26","12.88","12.94","12.81","12.94","11800"
"EMD","2001-01-29","13.0","13.19","13.0","13.19","10600"
"EMD","2001-01-30","13.2","13.3","13.2","13.25","8200"
"EMD","2001-01-31","13.2","13.4","13.2","13.3","4600"
"EMD","2001-02-01","13.5","13.5","13.39","13.39","5700"
"EMD","2001-02-02","13.55","13.55","13.45","13.45","1000"
"EMD","2001-02-05","13.45","13.45","13.05","13.35","9100"
"EMD","2001-02-06","13.45","13.84","13.45","13.65","8600"
"EMD","2001-02-07","13.6","13.6","13.5","13.59","1300"
"EMD","2001-02-08","13.35","13.4","13.21","13.4","5000"
"EMD","2001-02-09","13.45","13.46","13.27","13.27","2800"
"EMD","2001-02-12","13.3","13.35","13.2","13.25","4000"
"EMD","2001-02-13","13.02","13.35","13.02","13.35","6700"
"EMD","2001-02-14","13.35","13.5","13.35","13.4","7500"
"EMD","2001-02-15","13.5","13.79","13.5","13.79","7500"
"EMD","2001-02-16","13.8","13.8","13.45","13.75","6600"
"EMD","2001-02-20","13.45","13.77","13.42","13.76","16000"
"EMD","2001-02-21","13.8","13.8","13.6","13.74","5300"
"EMD","2001-02-22","13.43","13.54","13.42","13.54","12300"
"EMD","2001-02-23","13.47","13.47","13.1","13.1","7700"
