"symbol","date","open","high","low","close","volume"
"EOCC","2016-04-27","27.42","27.82","27.3","27.32","120210"
"EOCC","2016-04-28","27.73","28.24","27.51","27.99","473457"
"EOCC","2016-04-29","27.84","27.9","27.53","27.85","250706"
"EOCC","2016-05-02","27.65","27.96","27.54","27.54","110826"
"EOCC","2016-05-03","27.4","27.43","26.54","27.16","144129"
"EOCC","2016-05-04","27.08","27.64","27.08","27.55","301425"
"EOCC","2016-05-05","27.88","28.19","27.71","27.72","116903"
"EOCC","2016-05-06","27.64","28.06","27.64","27.8","129158"
"EOCC","2016-05-09","27.78","28.01","27.57","27.87","213201"
"EOCC","2016-05-10","27.99","28.11","27.58","28.0","131599"
"EOCC","2016-05-11","27.94","28.27","27.83","28.08","129572"
"EOCC","2016-05-12","28.08","28.34","27.82","27.98","104178"
"EOCC","2016-05-13","27.48","27.74","27.14","27.45","163325"
"EOCC","2016-05-16","27.51","27.83","27.27","27.49","167222"
"EOCC","2016-05-17","27.49","27.63","27.2","27.39","93019"
"EOCC","2016-05-18","27.44","27.44","26.58","26.68","149614"
"EOCC","2016-05-19","26.49","26.63","25.92","26.14","241750"
"EOCC","2016-05-20","26.26","26.33","25.92","26.05","115579"
"EOCC","2016-05-23","25.76","26.03","25.76","25.81","126586"
"EOCC","2016-05-24","25.83","26.05","25.77","25.98","223809"
"EOCC","2016-05-25","25.97","26.26","25.73","26.14","210457"
"EOCC","2016-05-26","26.25","26.26","26.02","26.09","66322"
"EOCC","2016-05-27","26.2","26.3","25.91","26.24","130655"
"EOCC","2016-05-31","26.31","26.31","25.9","25.96","188031"
"EOCC","2016-06-01","25.82","26.11","25.22","26.07","125186"
"EOCC","2016-06-02","26.11","26.11","25.81","25.9","97608"
"EOCC","2016-06-03","26.0","26.19","25.81","25.89","103713"
"EOCC","2016-06-06","25.84","26.12","25.77","26.01","100189"
"EOCC","2016-06-07","26.01","26.23","25.92","26.14","200550"
"EOCC","2016-06-08","26.13","26.57","26.08","26.41","71139"
