"symbol","date","open","high","low","close","volume"
"EPC","2009-03-30","10.0","10.0","10.0","10.0","0"
"EPC","2009-03-31","10.0","10.24","9.88","9.88","3200"
"EPC","2009-04-01","10.66","10.66","10.0","10.0","800"
"EPC","2009-04-02","10.0","10.0","10.0","10.0","0"
"EPC","2009-04-03","9.85","9.86","9.85","9.86","400"
"EPC","2009-04-06","9.8","9.8","9.8","9.8","280"
"EPC","2009-04-07","10.01","10.01","10.01","10.01","500"
"EPC","2009-04-08","10.01","10.01","9.99","9.99","1340"
"EPC","2009-04-09","9.99","9.99","9.99","9.99","0"
"EPC","2009-04-10","9.99","9.99","9.99","9.99","0"
"EPC","2009-04-13","10.05","10.05","10.05","10.05","1000"
"EPC","2009-04-14","10.05","10.05","10.05","10.05","0"
"EPC","2009-04-15","10.05","10.05","10.05","10.05","0"
"EPC","2009-04-16","10.0","10.1","10.0","10.1","4100"
"EPC","2009-04-17","10.1","10.1","10.1","10.1","7420"
"EPC","2009-04-20","9.87","10.1","9.87","10.1","1500"
"EPC","2009-04-21","10.08","10.08","9.7","9.7","8500"
"EPC","2009-04-22","9.62","10.22","9.62","10.13","2600"
"EPC","2009-04-23","10.13","10.13","10.13","10.13","0"
"EPC","2009-04-24","10.13","10.13","10.13","10.13","0"
"EPC","2009-04-27","10.13","10.13","10.13","10.13","0"
"EPC","2009-04-28","10.01","10.1","10.01","10.1","16600"
"EPC","2009-04-29","10.06","10.12","10.06","10.12","600"
"EPC","2009-04-30","9.95","9.95","9.95","9.95","1629"
"EPC","2009-05-01","9.86","9.86","9.86","9.86","200"
"EPC","2009-05-04","10.05","10.05","10.05","10.05","300"
"EPC","2009-05-05","10.05","10.05","10.05","10.05","0"
"EPC","2009-05-06","10.05","10.05","10.05","10.05","0"
"EPC","2009-05-07","10.1","10.1","10.06","10.1","8100"
"EPC","2009-05-08","10.25","11.28","10.0","10.04","12700"
"EPC","2009-05-11","10.04","10.04","10.04","10.04","0"
"EPC","2009-05-12","10.04","10.04","10.04","10.04","0"
"EPC","2009-05-13","10.04","10.04","10.04","10.04","0"
"EPC","2009-05-14","10.61","10.8","10.61","10.8","400"
"EPC","2009-05-15","10.3","10.3","10.3","10.3","1100"
"EPC","2009-05-18","10.7","10.7","10.1","10.1","2600"
"EPC","2009-05-19","10.1","10.1","10.1","10.1","0"
"EPC","2009-05-20","10.16","10.16","10.16","10.16","100"
"EPC","2009-05-21","10.16","10.16","10.16","10.16","0"
"EPC","2009-05-22","10.16","10.16","10.16","10.16","0"
"EPC","2009-05-25","10.16","10.16","10.16","10.16","0"
"EPC","2009-05-26","10.16","10.16","10.16","10.16","0"
"EPC","2009-05-27","10.16","10.16","10.16","10.16","0"
"EPC","2009-05-28","10.16","10.16","10.16","10.16","0"
"EPC","2009-05-29","10.1","10.1","10.0","10.0","8600"
"EPC","2009-06-01","9.81","10.1","9.81","10.1","5800"
"EPC","2009-06-02","10.1","10.1","10.1","10.1","0"
"EPC","2009-06-03","10.1","10.1","10.1","10.1","0"
"EPC","2009-06-04","10.1","10.1","10.1","10.1","0"
"EPC","2009-06-05","10.1","10.1","10.1","10.1","0"
"EPC","2009-06-08","10.1","10.1","10.1","10.1","0"
"EPC","2009-06-09","10.68","10.68","10.68","10.68","500"
"EPC","2009-06-10","10.68","10.68","10.68","10.68","0"
"EPC","2009-06-11","10.1","10.1","10.1","10.1","3000"
"EPC","2009-06-12","10.1","10.1","10.07","10.07","5000"
"EPC","2009-06-15","10.15","10.15","10.15","10.15","500"
"EPC","2009-06-16","10.15","10.15","10.15","10.15","0"
"EPC","2009-06-17","10.15","10.15","10.15","10.15","0"
"EPC","2009-06-18","10.15","10.15","10.15","10.15","0"
"EPC","2009-06-19","10.15","10.15","10.15","10.15","0"
"EPC","2009-06-22","10.55","10.65","10.55","10.65","1000"
"EPC","2009-06-23","10.65","10.65","10.65","10.65","0"
"EPC","2009-06-24","10.47","10.47","10.47","10.47","200"
"EPC","2009-06-25","10.1","10.1","10.1","10.1","500"
"EPC","2009-06-26","10.1","10.1","10.1","10.1","0"
"EPC","2009-06-29","10.53","10.64","10.53","10.64","500"
"EPC","2009-06-30","10.66","10.66","10.5","10.5","300"
"EPC","2009-07-01","10.25","10.57","10.1","10.57","5800"
"EPC","2009-07-02","10.56","10.7","10.56","10.7","500"
"EPC","2009-07-03","10.7","10.7","10.7","10.7","0"
"EPC","2009-07-06","10.65","10.7","10.65","10.7","200"
"EPC","2009-07-07","10.57","10.57","10.32","10.34","1400"
"EPC","2009-07-08","10.7","10.7","10.5","10.5","800"
"EPC","2009-07-09","10.4","10.4","10.4","10.4","950"
"EPC","2009-07-10","10.4","10.4","10.4","10.4","0"
"EPC","2009-07-13","10.4","10.4","10.4","10.4","0"
"EPC","2009-07-14","10.35","10.4","10.29","10.3","62600"
"EPC","2009-07-15","10.22","10.23","10.18","10.18","2200"
