"symbol","date","open","high","low","close","volume"
"ERA","2013-01-22","12.0","18.69","12.0","18.05","65300"
"ERA","2013-01-23","18.25","19.0","18.25","18.86","84000"
"ERA","2013-01-24","18.85","19.5","18.5","19.11","39700"
"ERA","2013-01-25","18.7","19.75","18.7","19.5","10100"
"ERA","2013-01-28","19.65","20.0","19.0","19.65","63400"
"ERA","2013-01-29","19.5","20.0","19.24","20.0","54700"
"ERA","2013-01-30","19.75","20.0","19.01","19.9","116100"
"ERA","2013-01-31","19.41","20.6","19.41","20.39","206500"
"ERA","2013-02-01","20.19","22.1","20.06","21.6","832400"
"ERA","2013-02-04","21.6","22.0","20.8","21.44","396200"
"ERA","2013-02-05","21.48","23.8","21.25","23.8","333300"
"ERA","2013-02-06","23.45","23.48","21.53","22.49","327600"
"ERA","2013-02-07","22.05","22.22","20.86","21.7","307000"
"ERA","2013-02-08","21.7","21.7","20.67","21.25","310200"
"ERA","2013-02-11","20.65","21.31","20.55","21.09","436200"
"ERA","2013-02-12","20.81","21.44","20.47","21.21","142400"
"ERA","2013-02-13","21.35","21.61","20.72","21.0","220100"
"ERA","2013-02-14","20.89","21.06","20.5","20.82","248400"
"ERA","2013-02-15","20.85","21.15","20.57","20.87","368700"
"ERA","2013-02-19","21.0","21.0","20.7","20.99","301600"
"ERA","2013-02-20","21.0","21.0","20.42","20.75","57800"
"ERA","2013-02-21","20.9","21.0","20.56","20.94","46400"
"ERA","2013-02-22","20.95","21.36","20.79","21.0","102000"
"ERA","2013-02-25","21.25","21.36","20.34","20.54","76200"
"ERA","2013-02-26","20.61","21.0","20.61","20.77","108500"
"ERA","2013-02-27","20.76","20.77","20.13","20.32","97400"
"ERA","2013-02-28","20.26","20.56","20.1","20.19","180900"
"ERA","2013-03-01","19.85","20.06","19.38","19.79","182100"
"ERA","2013-03-04","19.89","19.97","19.35","19.75","74400"
"ERA","2013-03-05","19.95","20.26","19.4","20.0","198700"
"ERA","2013-03-06","19.92","20.18","19.84","19.88","140500"
"ERA","2013-03-07","19.89","19.89","18.55","19.54","375100"
"ERA","2013-03-08","19.5","20.37","19.26","20.36","125900"
"ERA","2013-03-11","20.38","20.38","19.24","20.06","89900"
"ERA","2013-03-12","19.99","20.18","19.73","19.98","154700"
"ERA","2013-03-13","20.06","20.48","19.91","20.46","76100"
"ERA","2013-03-14","20.4","20.62","20.24","20.61","34700"
"ERA","2013-03-15","20.59","20.59","20.0","20.39","373400"
"ERA","2013-03-18","20.22","20.6","20.05","20.6","79100"
"ERA","2013-03-19","20.55","20.59","20.1","20.48","42000"
"ERA","2013-03-20","20.54","20.54","20.05","20.39","79300"
"ERA","2013-03-21","20.31","20.75","20.22","20.69","83200"
"ERA","2013-03-22","20.7","21.0","20.63","20.96","225400"
"ERA","2013-03-25","20.9","21.07","20.75","21.07","338100"
"ERA","2013-03-26","21.0","21.04","20.77","20.82","55400"
"ERA","2013-03-27","20.7","21.0","20.51","20.96","94900"
"ERA","2013-03-28","20.97","21.11","20.77","21.0","1206900"
"ERA","2013-04-01","20.99","21.01","20.9","21.0","168000"
"ERA","2013-04-02","21.0","21.37","20.92","21.29","491500"
"ERA","2013-04-03","21.3","21.57","21.11","21.3","703900"
"ERA","2013-04-04","21.23","21.3","20.85","21.05","105300"
"ERA","2013-04-05","20.91","21.71","20.86","21.59","273800"
"ERA","2013-04-08","21.79","22.32","21.66","22.32","102400"
"ERA","2013-04-09","22.28","22.94","22.25","22.75","116200"
"ERA","2013-04-10","22.74","24.05","22.73","24.05","139700"
"ERA","2013-04-11","24.0","25.1","23.91","25.1","250800"
"ERA","2013-04-12","25.17","25.22","24.56","24.91","181100"
"ERA","2013-04-15","24.67","25.09","23.44","23.55","47200"
"ERA","2013-04-16","23.68","24.12","23.14","23.29","155800"
"ERA","2013-04-17","23.19","23.53","23.09","23.26","54200"
"ERA","2013-04-18","23.33","23.33","23.02","23.09","58800"
"ERA","2013-04-19","23.19","23.19","22.69","23.08","52900"
"ERA","2013-04-22","23.19","23.19","22.66","22.71","178400"
"ERA","2013-04-23","22.79","23.1","22.79","23.06","81800"
"ERA","2013-04-24","23.1","23.4","22.88","23.13","46700"
"ERA","2013-04-25","23.18","23.18","22.45","22.6","81600"
"ERA","2013-04-26","22.7","22.97","22.47","22.79","208100"
"ERA","2013-04-29","22.82","22.9","22.66","22.8","68900"
"ERA","2013-04-30","22.88","22.94","22.76","22.85","79000"
"ERA","2013-05-01","22.8","23.49","22.72","23.22","121000"
"ERA","2013-05-02","23.34","23.74","23.34","23.48","44800"
"ERA","2013-05-03","23.56","24.82","23.56","24.24","93800"
"ERA","2013-05-06","24.24","24.5","23.97","24.44","24400"
"ERA","2013-05-07","24.34","24.95","24.34","24.91","41000"
"ERA","2013-05-08","24.99","25.0","24.37","24.8","65600"
"ERA","2013-05-09","24.76","25.07","24.5","24.89","51700"
"ERA","2013-05-10","24.8","25.02","24.8","25.02","23200"
"ERA","2013-05-13","24.71","25.16","24.54","24.97","40600"
"ERA","2013-05-14","24.89","24.93","24.38","24.79","26100"
"ERA","2013-05-15","24.89","26.74","24.82","26.48","96000"
"ERA","2013-05-16","26.55","27.72","25.3","25.39","64100"
"ERA","2013-05-17","25.31","25.45","24.66","24.92","107800"
"ERA","2013-05-20","24.67","25.18","24.4","24.61","55600"
"ERA","2013-05-21","24.82","26.4","24.82","26.36","174300"
