"symbol","date","open","high","low","close","volume"
"ESIO","1990-03-26","6.75","6.75","6.5","2.49","13200"
"ESIO","1990-03-27","6.5","6.75","5.5","2.35","76000"
"ESIO","1990-03-28","6.5","6.5","6.12","2.4","114800"
"ESIO","1990-03-29","6.5","7.0","6.25","2.44","39400"
"ESIO","1990-03-30","6.5","7.25","6.5","2.73","34800"
"ESIO","1990-04-02","7.0","7.25","6.75","2.54","36600"
"ESIO","1990-04-03","6.88","7.25","6.88","2.68","9200"
"ESIO","1990-04-04","7.12","7.12","6.88","2.58","12800"
"ESIO","1990-04-05","6.88","7.12","6.88","2.68","4800"
"ESIO","1990-04-06","7.12","7.12","6.88","2.58","11200"
"ESIO","1990-04-09","7.12","7.12","6.75","2.58","70600"
"ESIO","1990-04-10","7.0","7.0","6.75","2.58","22000"
"ESIO","1990-04-11","6.75","6.88","6.75","2.54","16800"
"ESIO","1990-04-12","6.88","6.88","6.5","2.54","63200"
"ESIO","1990-04-16","6.88","6.88","6.62","2.49","12200"
"ESIO","1990-04-17","6.75","6.88","6.62","2.58","6200"
"ESIO","1990-04-18","6.62","6.88","6.5","2.44","111200"
"ESIO","1990-04-19","6.62","6.62","6.5","2.44","75400"
"ESIO","1990-04-20","6.62","6.88","6.5","2.54","76600"
"ESIO","1990-04-23","6.62","6.88","6.62","2.49","52400"
"ESIO","1990-04-24","6.88","6.88","6.5","2.49","45600"
"ESIO","1990-04-25","6.5","6.75","6.5","2.44","14800"
"ESIO","1990-04-26","6.5","6.62","6.5","2.49","11200"
"ESIO","1990-04-27","6.5","6.62","6.5","2.49","24000"
"ESIO","1990-04-30","6.5","6.5","6.5","2.44","3400"
"ESIO","1990-05-01","6.62","6.75","6.5","2.49","36600"
"ESIO","1990-05-02","6.75","6.75","6.62","2.49","18800"
"ESIO","1990-05-03","6.75","6.75","6.62","2.49","13600"
"ESIO","1990-05-04","6.62","6.75","6.62","2.49","22200"
"ESIO","1990-05-07","6.88","7.0","6.62","2.54","83400"
"ESIO","1990-05-08","6.75","6.88","6.75","2.54","58400"
"ESIO","1990-05-09","6.88","6.88","6.75","2.58","20400"
"ESIO","1990-05-10","6.88","7.0","6.75","2.63","23400"
"ESIO","1990-05-11","7.0","7.0","6.75","2.54","11000"
"ESIO","1990-05-14","6.75","7.0","6.75","2.58","16400"
"ESIO","1990-05-15","6.88","7.0","6.88","2.63","53800"
"ESIO","1990-05-16","7.0","8.25","6.75","3.01","250800"
"ESIO","1990-05-17","8.12","8.12","7.88","3.05","11200"
"ESIO","1990-05-18","7.88","9.0","7.75","3.29","219200"
"ESIO","1990-05-21","8.75","9.0","8.5","3.2","100600"
"ESIO","1990-05-22","8.5","8.75","8.0","3.2","78600"
"ESIO","1990-05-23","8.0","8.0","8.0","3.01","16400"
"ESIO","1990-05-24","8.0","8.25","8.0","3.1","103800"
