"symbol","date","open","high","low","close","volume"
"ESMC","1993-03-18","5.75","5.75","5.75","57.5","0"
"ESMC","1993-03-19","4.75","4.75","4.75","47.5","0"
"ESMC","1993-03-22","4.75","4.75","4.75","47.5","0"
"ESMC","1993-03-23","5.75","5.75","5.0","57.5","600"
"ESMC","1993-03-24","5.75","5.75","4.75","57.5","300"
"ESMC","1993-03-25","5.75","5.75","4.75","57.5","900"
"ESMC","1993-03-26","5.5","5.75","5.5","57.5","0"
"ESMC","1993-03-29","4.75","5.75","4.75","57.5","300"
"ESMC","1993-03-30","5.75","5.75","4.75","55.0","500"
"ESMC","1993-03-31","5.25","5.25","4.75","52.5","600"
"ESMC","1993-04-01","4.75","5.25","4.75","50.0","500"
"ESMC","1993-04-02","5.0","5.25","5.0","52.5","100"
"ESMC","1993-04-05","5.25","5.25","5.25","52.5","0"
"ESMC","1993-04-06","5.25","5.75","5.25","57.5","1000"
"ESMC","1993-04-07","5.38","5.75","5.38","57.5","0"
"ESMC","1993-04-08","4.75","4.75","4.75","47.5","100"
"ESMC","1993-04-12","5.25","5.25","5.25","52.5","100"
"ESMC","1993-04-13","5.25","5.25","5.25","52.5","0"
"ESMC","1993-04-14","5.25","5.25","5.25","52.5","0"
"ESMC","1993-04-15","5.0","5.25","5.0","52.5","100"
"ESMC","1993-04-16","5.25","5.25","5.25","52.5","0"
"ESMC","1993-04-19","5.25","5.75","5.25","57.5","3500"
"ESMC","1993-04-20","5.75","5.75","5.75","57.5","0"
"ESMC","1993-04-21","6.0","6.0","5.25","52.5","900"
"ESMC","1993-04-22","5.25","5.25","5.25","52.5","0"
"ESMC","1993-04-23","5.25","5.25","5.25","52.5","0"
"ESMC","1993-04-26","5.25","5.25","5.25","52.5","0"
"ESMC","1993-04-27","5.5","5.5","5.5","55.0","0"
"ESMC","1993-04-28","5.5","5.5","5.5","55.0","0"
"ESMC","1993-04-29","6.0","6.0","6.0","60.0","200"
"ESMC","1993-04-30","6.0","6.0","6.0","60.0","0"
"ESMC","1993-05-03","5.25","6.0","5.25","60.0","700"
"ESMC","1993-05-04","6.0","6.0","6.0","60.0","0"
"ESMC","1993-05-05","6.0","6.0","6.0","60.0","100"
"ESMC","1993-05-06","5.0","5.0","5.0","50.0","0"
"ESMC","1993-05-07","5.25","6.0","5.25","60.0","1500"
"ESMC","1993-05-10","5.75","5.75","5.75","57.5","0"
"ESMC","1993-05-11","5.75","5.75","5.75","57.5","0"
"ESMC","1993-05-12","5.75","5.75","5.75","57.5","0"
"ESMC","1993-05-13","5.75","5.75","5.75","57.5","0"
"ESMC","1993-05-14","6.25","6.25","6.25","62.5","0"
"ESMC","1993-05-17","5.5","5.5","5.5","55.0","100"
"ESMC","1993-05-18","5.5","5.5","5.5","55.0","0"
"ESMC","1993-05-19","5.5","5.5","5.5","55.0","200"
"ESMC","1993-05-20","6.25","6.25","6.25","62.5","800"
"ESMC","1993-05-21","6.25","6.25","5.75","60.0","600"
"ESMC","1993-05-24","5.0","5.0","5.0","50.0","0"
"ESMC","1993-05-25","5.0","5.0","5.0","50.0","0"
"ESMC","1993-05-26","5.0","5.25","5.0","52.5","300"
"ESMC","1993-05-27","5.25","5.25","5.25","52.5","0"
"ESMC","1993-05-28","6.0","6.0","6.0","60.0","0"
"ESMC","1993-06-01","5.0","5.5","5.0","50.0","300"
"ESMC","1993-06-02","5.0","5.0","5.0","50.0","0"
"ESMC","1993-06-03","5.0","5.0","5.0","50.0","0"
"ESMC","1993-06-04","5.0","5.0","5.0","50.0","0"
"ESMC","1993-06-07","5.0","5.0","5.0","50.0","0"
"ESMC","1993-06-08","5.0","5.0","5.0","50.0","0"
"ESMC","1993-06-09","5.0","5.0","5.0","50.0","0"
"ESMC","1993-06-10","5.25","5.25","5.25","52.5","0"
"ESMC","1993-06-11","5.25","5.25","5.25","52.5","0"
"ESMC","1993-06-14","4.75","4.75","4.75","47.5","0"
"ESMC","1993-06-15","4.75","4.75","4.75","47.5","0"
"ESMC","1993-06-16","4.75","4.75","4.75","47.5","0"
"ESMC","1993-06-17","4.75","5.75","4.75","57.5","200"
"ESMC","1993-06-18","5.75","5.75","5.75","57.5","0"
"ESMC","1993-06-21","4.75","4.75","4.75","47.5","100"
"ESMC","1993-06-22","5.0","5.0","4.75","47.5","400"
"ESMC","1993-06-23","4.0","4.0","4.0","40.0","200"
"ESMC","1993-06-24","3.5","3.5","3.5","35.0","100"
"ESMC","1993-06-25","3.5","3.5","3.5","35.0","100"
"ESMC","1993-06-28","3.5","3.5","3.5","35.0","0"
"ESMC","1993-06-29","3.5","3.5","3.5","35.0","0"
"ESMC","1993-06-30","4.25","4.25","4.25","42.5","200"
"ESMC","1993-07-01","3.5","4.25","3.5","42.5","400"
"ESMC","1993-07-02","4.25","4.25","4.25","42.5","0"
"ESMC","1993-07-06","4.25","4.25","4.25","42.5","0"
"ESMC","1993-07-07","4.0","4.0","4.0","40.0","100"
"ESMC","1993-07-08","4.0","4.0","4.0","40.0","0"
"ESMC","1993-07-09","4.0","4.0","4.0","40.0","0"
"ESMC","1993-07-12","3.5","4.25","3.5","35.0","400"
"ESMC","1993-07-13","3.5","3.5","3.5","35.0","0"
"ESMC","1993-07-14","3.5","3.5","3.5","35.0","0"
"ESMC","1993-07-15","4.5","4.5","4.5","45.0","100"
"ESMC","1993-07-16","4.5","4.5","3.5","35.0","200"
"ESMC","1993-07-19","3.5","3.5","3.5","35.0","0"
"ESMC","1993-07-20","3.5","3.5","3.5","35.0","0"
"ESMC","1993-07-21","4.5","4.5","4.5","45.0","0"
"ESMC","1993-07-22","4.5","4.5","3.5","35.0","300"
"ESMC","1993-07-23","3.0","3.5","2.0","27.5","4000"
"ESMC","1993-07-26","2.5","2.5","2.0","20.0","900"
"ESMC","1993-07-27","2.5","2.5","2.5","25.0","0"
"ESMC","1993-07-28","2.25","2.25","1.88","22.5","700"
"ESMC","1993-07-29","2.25","2.25","2.25","22.5","0"
"ESMC","1993-07-30","2.75","2.75","2.75","27.5","100"
"ESMC","1993-08-02","2.75","2.75","2.75","27.5","0"
"ESMC","1993-08-03","1.5","1.88","1.5","18.75","300"
"ESMC","1993-08-04","1.5","1.75","1.5","17.5","300"
"ESMC","1993-08-05","1.75","2.0","1.75","20.0","100"
"ESMC","1993-08-06","2.0","2.0","2.0","20.0","0"
"ESMC","1993-08-09","1.88","1.88","1.88","18.75","0"
"ESMC","1993-08-10","1.5","1.5","1.5","15.0","200"
"ESMC","1993-08-11","2.5","2.5","1.25","12.5","500"
"ESMC","1993-08-12","2.38","2.38","1.5","15.0","900"
"ESMC","1993-08-13","1.5","1.5","1.5","15.0","0"
"ESMC","1993-08-16","2.38","2.38","2.38","23.75","0"
"ESMC","1993-08-17","2.38","2.38","2.38","23.75","0"
"ESMC","1993-08-18","2.38","2.38","2.38","23.75","0"
"ESMC","1993-08-19","2.38","2.38","2.38","23.75","200"
"ESMC","1993-08-20","1.19","2.5","1.13","25.0","4200"
"ESMC","1993-08-23","2.25","2.25","2.25","22.5","100"
"ESMC","1993-08-24","2.88","2.88","2.5","25.0","0"
"ESMC","1993-08-25","2.88","2.88","2.88","28.75","100"
