"symbol","date","open","high","low","close","volume"
"ETB","2005-04-27","20.0","20.01","20.0","7.76","268600"
"ETB","2005-04-28","20.01","20.01","20.0","7.76","139700"
"ETB","2005-04-29","20.0","20.04","20.0","7.76","86800"
"ETB","2005-05-02","20.01","20.03","20.0","7.76","39700"
"ETB","2005-05-03","20.0","20.02","20.0","7.76","40100"
"ETB","2005-05-04","20.0","20.01","20.0","7.76","33700"
"ETB","2005-05-05","20.01","20.01","20.0","7.76","31200"
"ETB","2005-05-06","20.0","20.01","20.0","7.76","32800"
"ETB","2005-05-09","20.0","20.01","20.0","7.76","33500"
"ETB","2005-05-10","20.0","20.01","20.0","7.76","34100"
"ETB","2005-05-11","20.0","20.01","20.0","7.76","14800"
"ETB","2005-05-12","20.01","20.01","20.0","7.76","22900"
"ETB","2005-05-13","20.0","20.01","20.0","7.76","32800"
"ETB","2005-05-16","20.0","20.01","20.0","7.76","20000"
"ETB","2005-05-17","20.0","20.01","20.0","7.76","35500"
"ETB","2005-05-18","20.0","20.01","20.0","7.76","23800"
"ETB","2005-05-19","20.01","20.01","20.0","7.76","27400"
"ETB","2005-05-20","20.0","20.01","20.0","7.76","13400"
"ETB","2005-05-23","20.0","20.05","20.0","7.76","128000"
"ETB","2005-05-24","20.0","20.01","20.0","7.76","71600"
"ETB","2005-05-25","20.0","20.01","20.0","7.76","295600"
"ETB","2005-05-26","20.0","20.01","20.0","7.76","149300"
"ETB","2005-05-27","20.01","20.01","20.0","7.76","40500"
"ETB","2005-05-31","20.0","20.01","20.0","7.76","104300"
"ETB","2005-06-01","20.0","20.01","20.0","7.76","161800"
"ETB","2005-06-02","20.01","20.01","20.0","7.76","30100"
"ETB","2005-06-03","20.0","20.01","20.0","7.76","27900"
"ETB","2005-06-06","20.0","20.01","20.0","7.76","32700"
"ETB","2005-06-07","20.0","20.01","20.0","7.76","107700"
"ETB","2005-06-08","20.0","20.01","20.0","7.76","61500"
"ETB","2005-06-09","20.0","20.01","20.0","7.76","24600"
"ETB","2005-06-10","20.0","20.01","20.0","7.76","11400"
"ETB","2005-06-13","19.99","20.0","19.9","7.72","185000"
"ETB","2005-06-14","19.9","19.91","19.9","7.72","29600"
"ETB","2005-06-15","19.91","19.95","19.9","7.74","60900"
"ETB","2005-06-16","19.9","19.94","19.9","7.73","44500"
"ETB","2005-06-17","19.95","19.95","19.9","7.73","18600"
"ETB","2005-06-20","19.91","20.0","19.91","7.75","37900"
"ETB","2005-06-21","19.99","20.0","19.96","7.75","30100"
"ETB","2005-06-22","19.96","19.99","19.91","7.73","38700"
"ETB","2005-06-23","19.93","20.05","19.91","7.74","68200"
"ETB","2005-06-24","19.95","20.0","19.95","7.74","50500"
"ETB","2005-06-27","19.95","20.0","19.95","7.75","49100"
"ETB","2005-06-28","19.96","20.0","19.95","7.74","26600"
"ETB","2005-06-29","19.95","20.05","19.95","7.74","34800"
"ETB","2005-06-30","19.95","20.0","19.9","7.74","61000"
"ETB","2005-07-01","19.95","19.99","19.9","7.75","18600"
"ETB","2005-07-05","20.0","20.1","20.0","7.78","45700"
"ETB","2005-07-06","20.02","20.17","20.0","7.78","34600"
"ETB","2005-07-07","20.05","20.15","20.01","7.76","30600"
"ETB","2005-07-08","20.05","20.18","20.0","7.81","24600"
"ETB","2005-07-11","20.1","20.15","19.98","7.8","38500"
"ETB","2005-07-12","20.06","20.15","20.0","7.81","42300"
"ETB","2005-07-13","20.13","20.35","20.1","7.84","42700"
"ETB","2005-07-14","20.21","20.3","20.2","7.85","77700"
"ETB","2005-07-15","20.18","20.3","20.1","7.82","51900"
"ETB","2005-07-18","20.18","20.35","20.15","7.87","41000"
"ETB","2005-07-19","20.35","20.5","20.2","7.93","81400"
"ETB","2005-07-20","20.5","20.54","20.32","7.9","109400"
"ETB","2005-07-21","20.02","20.3","20.0","7.97","58500"
"ETB","2005-07-22","20.1","20.25","20.0","8.03","76700"
"ETB","2005-07-25","20.15","20.3","20.1","7.99","63300"
"ETB","2005-07-26","20.22","20.22","20.1","8.01","70300"
"ETB","2005-07-27","20.12","20.25","20.1","7.97","47600"
"ETB","2005-07-28","20.15","20.2","20.06","7.96","31700"
"ETB","2005-07-29","20.32","20.32","20.13","8.01","60500"
"ETB","2005-08-01","20.2","20.41","20.05","7.96","114400"
"ETB","2005-08-02","20.05","20.4","20.03","8.09","45100"
"ETB","2005-08-03","20.42","20.45","20.15","8.09","67600"
"ETB","2005-08-04","20.27","20.39","20.13","8.01","48000"
"ETB","2005-08-05","20.27","20.27","20.0","7.98","42800"
"ETB","2005-08-08","20.07","20.15","20.02","7.94","43900"
"ETB","2005-08-09","20.12","20.4","19.96","8.09","72800"
"ETB","2005-08-10","20.3","20.39","20.25","8.03","38200"
"ETB","2005-08-11","20.25","20.4","20.2","8.09","63200"
"ETB","2005-08-12","20.4","20.4","20.2","8.07","78200"
"ETB","2005-08-15","20.35","20.35","20.2","8.05","35000"
"ETB","2005-08-16","20.3","20.3","20.1","8.0","47200"
"ETB","2005-08-17","20.19","20.28","20.1","7.99","37900"
"ETB","2005-08-18","20.12","20.23","20.02","7.98","45200"
"ETB","2005-08-19","20.05","20.18","20.02","7.95","36700"
"ETB","2005-08-22","20.07","20.15","20.05","7.97","26500"
"ETB","2005-08-23","20.05","20.14","19.97","7.95","57700"
"ETB","2005-08-24","20.05","20.05","19.92","7.91","43700"
"ETB","2005-08-25","19.95","20.05","19.92","7.91","40100"
"ETB","2005-08-26","20.0","20.18","19.96","7.95","42700"
"ETB","2005-08-29","20.04","20.21","19.95","8.01","56900"
"ETB","2005-08-30","20.23","20.36","20.06","8.05","67900"
"ETB","2005-08-31","20.35","20.35","20.07","8.04","69600"
"ETB","2005-09-01","20.17","20.37","20.11","7.99","80600"
"ETB","2005-09-02","20.1","20.19","20.03","7.99","41600"
"ETB","2005-09-06","20.2","20.24","20.0","7.95","69600"
"ETB","2005-09-07","20.14","20.23","20.08","7.99","54000"
"ETB","2005-09-08","20.2","20.2","20.01","7.94","41600"
"ETB","2005-09-09","20.05","20.15","20.01","7.99","64200"
"ETB","2005-09-12","20.15","20.18","20.04","8.0","45100"
"ETB","2005-09-13","20.15","20.31","20.1","7.97","86000"
"ETB","2005-09-14","20.25","20.3","20.06","7.96","59800"
"ETB","2005-09-15","20.16","20.27","20.04","7.97","45500"
"ETB","2005-09-16","20.11","20.18","20.01","7.97","60900"
"ETB","2005-09-19","20.05","20.11","20.0","7.93","63000"
"ETB","2005-09-20","20.0","20.09","19.96","7.94","43900"
"ETB","2005-09-21","20.03","20.05","19.9","7.91","57700"
"ETB","2005-09-22","19.97","20.0","19.96","7.92","49700"
"ETB","2005-09-23","19.97","20.24","19.95","7.99","95400"
"ETB","2005-09-26","20.28","20.28","19.95","7.93","67000"
"ETB","2005-09-27","19.97","20.0","19.9","7.91","48200"
"ETB","2005-09-28","20.0","20.0","19.82","7.93","48300"
"ETB","2005-09-29","19.99","20.0","19.82","7.91","60900"
"ETB","2005-09-30","19.9","19.99","19.8","7.88","56900"
"ETB","2005-10-03","19.85","19.98","19.81","7.91","49300"
"ETB","2005-10-04","19.99","20.0","19.89","7.93","38400"
"ETB","2005-10-05","20.0","20.06","19.85","7.94","50200"
"ETB","2005-10-06","20.1","20.11","19.91","7.93","48800"
"ETB","2005-10-07","20.05","20.11","19.96","7.95","30100"
"ETB","2005-10-10","20.08","20.17","19.93","7.94","30100"
"ETB","2005-10-11","20.1","20.15","19.98","7.97","34100"
"ETB","2005-10-12","20.1","20.14","19.96","7.98","58200"
"ETB","2005-10-13","20.11","20.11","19.86","7.94","53400"
"ETB","2005-10-14","20.02","20.18","19.97","7.99","65800"
"ETB","2005-10-17","20.24","20.24","20.01","7.96","71600"
"ETB","2005-10-18","20.18","20.2","20.0","7.95","68600"
"ETB","2005-10-19","20.05","20.05","19.34","7.9","113100"
"ETB","2005-10-20","19.4","19.79","18.91","7.8","62500"
"ETB","2005-10-21","19.3","19.58","19.15","7.87","47800"
"ETB","2005-10-24","19.5","19.51","19.08","7.85","59100"
"ETB","2005-10-25","19.3","19.45","19.1","7.77","35500"
"ETB","2005-10-26","19.1","19.55","19.08","7.89","55700"
"ETB","2005-10-27","19.5","19.59","19.23","7.87","23500"
"ETB","2005-10-28","19.3","19.36","19.08","7.83","61700"
"ETB","2005-10-31","19.48","19.71","19.35","7.95","83100"
"ETB","2005-11-01","19.7","19.71","19.56","7.97","47500"
"ETB","2005-11-02","19.5","19.65","19.5","7.94","51400"
"ETB","2005-11-03","19.57","19.84","19.37","7.89","60200"
"ETB","2005-11-04","19.42","19.64","19.42","7.89","28700"
"ETB","2005-11-07","19.44","19.55","19.25","7.86","31900"
"ETB","2005-11-08","19.38","19.44","19.25","7.87","57000"
"ETB","2005-11-09","19.43","19.5","19.35","7.91","35200"
"ETB","2005-11-10","19.56","19.63","19.28","7.88","41700"
"ETB","2005-11-11","19.51","19.64","19.34","7.89","34200"
"ETB","2005-11-14","19.46","19.6","19.37","7.92","35700"
"ETB","2005-11-15","19.52","19.57","19.01","7.77","72400"
"ETB","2005-11-16","19.2","19.2","18.61","7.71","83400"
"ETB","2005-11-17","19.01","19.01","18.3","7.62","98300"
"ETB","2005-11-18","18.6","18.86","18.47","7.65","87200"
"ETB","2005-11-21","18.78","18.92","18.1","7.45","109200"
"ETB","2005-11-22","18.33","18.49","18.26","7.49","86600"
"ETB","2005-11-23","18.4","18.45","18.2","7.46","101800"
"ETB","2005-11-25","18.46","18.7","18.46","7.54","38500"
"ETB","2005-11-28","18.67","18.78","18.55","7.6","85600"
"ETB","2005-11-29","18.77","19.05","18.7","7.7","93000"
"ETB","2005-11-30","18.89","18.9","18.75","7.62","55900"
"ETB","2005-12-01","18.76","19.0","18.63","7.66","82100"
"ETB","2005-12-02","18.83","18.84","18.58","7.56","65500"
"ETB","2005-12-05","18.68","18.7","18.38","7.53","81100"
"ETB","2005-12-06","18.65","18.74","18.57","7.54","80200"
"ETB","2005-12-07","18.58","18.73","18.46","7.49","69600"
"ETB","2005-12-08","18.56","18.76","18.47","7.61","128700"
"ETB","2005-12-09","18.62","18.75","18.54","7.59","78300"
"ETB","2005-12-12","18.79","18.84","18.21","7.48","130100"
"ETB","2005-12-13","18.35","18.4","18.1","7.36","99900"
"ETB","2005-12-14","18.14","18.25","17.84","7.36","202500"
"ETB","2005-12-15","18.0","18.19","17.85","7.38","153400"
"ETB","2005-12-16","18.24","18.4","18.01","7.47","133100"
"ETB","2005-12-19","18.4","18.45","18.0","7.31","117800"
"ETB","2005-12-20","18.15","18.2","17.34","7.1","178900"
"ETB","2005-12-21","17.41","17.86","17.35","7.18","167400"
"ETB","2005-12-22","17.66","17.92","17.49","7.14","207400"
"ETB","2005-12-23","17.65","17.74","17.52","7.18","158800"
"ETB","2005-12-27","17.69","17.79","17.41","7.11","173900"
"ETB","2005-12-28","17.52","17.7","17.36","7.13","188300"
"ETB","2005-12-29","17.67","17.92","17.56","7.24","148700"
"ETB","2005-12-30","17.9","18.17","17.73","7.37","197100"
"ETB","2006-01-03","18.15","18.5","18.1","7.45","70500"
"ETB","2006-01-04","18.4","18.68","18.4","7.58","64800"
"ETB","2006-01-05","18.68","18.82","18.55","7.59","75600"
"ETB","2006-01-06","18.65","18.87","18.64","7.62","47300"
"ETB","2006-01-09","18.88","18.88","18.66","7.6","66800"
"ETB","2006-01-10","18.68","18.86","18.68","7.64","69700"
"ETB","2006-01-11","18.87","19.15","18.83","7.75","94900"
"ETB","2006-01-12","19.15","19.29","18.82","7.71","61400"
"ETB","2006-01-13","18.95","19.19","18.95","7.73","61700"
"ETB","2006-01-17","19.1","19.2","19.0","7.79","66200"
"ETB","2006-01-18","19.18","19.25","18.96","7.81","83600"
"ETB","2006-01-19","18.9","19.02","18.7","7.88","59900"
"ETB","2006-01-20","18.87","19.05","18.78","7.87","50100"
"ETB","2006-01-23","19.03","19.08","18.75","7.85","63400"
"ETB","2006-01-24","18.91","18.91","18.75","7.81","46800"
"ETB","2006-01-25","18.89","18.9","18.77","7.84","45500"
"ETB","2006-01-26","18.75","18.82","18.5","7.71","72000"
"ETB","2006-01-27","18.57","18.85","18.54","7.82","66600"
"ETB","2006-01-30","19.0","19.09","18.85","7.87","120400"
"ETB","2006-01-31","19.05","19.24","19.05","7.94","69800"
"ETB","2006-02-01","19.15","19.21","18.97","7.89","38100"
"ETB","2006-02-02","19.05","19.07","18.81","7.82","38800"
"ETB","2006-02-03","18.76","18.84","18.67","7.79","48800"
"ETB","2006-02-06","18.75","18.81","18.62","7.77","50600"
"ETB","2006-02-07","18.7","18.82","18.56","7.79","70700"
"ETB","2006-02-08","18.79","18.84","18.69","7.8","70200"
"ETB","2006-02-09","18.76","18.88","18.7","7.8","73100"
