"symbol","date","open","high","low","close","volume"
"ETM","1999-01-29","30.0","31.88","29.25","25.35","11336200"
"ETM","1999-02-01","32.0","32.0","30.5","25.2","1052600"
"ETM","1999-02-02","30.75","30.75","28.31","23.81","1084900"
"ETM","1999-02-03","29.0","29.12","28.81","23.86","485500"
"ETM","1999-02-04","28.94","29.06","28.88","23.81","204400"
"ETM","1999-02-05","28.88","29.12","28.88","23.91","329700"
"ETM","1999-02-08","29.0","29.19","29.0","23.91","222200"
"ETM","1999-02-09","29.0","29.38","29.0","23.91","130400"
"ETM","1999-02-10","28.88","29.12","28.88","23.86","61600"
"ETM","1999-02-11","29.0","29.25","28.88","24.01","66000"
"ETM","1999-02-12","29.62","29.69","29.31","24.48","99400"
"ETM","1999-02-16","29.62","29.69","29.38","24.42","88000"
"ETM","1999-02-17","29.5","30.25","29.44","24.73","94000"
"ETM","1999-02-18","30.06","30.12","30.0","24.84","209900"
"ETM","1999-02-19","30.25","30.31","30.0","24.84","86000"
"ETM","1999-02-22","30.0","30.12","30.0","24.78","55500"
"ETM","1999-02-23","30.12","30.12","29.94","24.73","52500"
"ETM","1999-02-24","30.0","31.19","29.94","25.51","126000"
"ETM","1999-02-25","30.94","30.94","30.12","24.94","123700"
"ETM","1999-02-26","30.25","31.38","30.25","25.87","64300"
"ETM","1999-03-01","30.88","31.0","30.31","25.56","165100"
"ETM","1999-03-02","31.25","32.44","31.25","25.97","286700"
"ETM","1999-03-03","31.69","31.75","31.06","25.61","77800"
"ETM","1999-03-04","30.94","30.94","30.06","24.84","269000"
"ETM","1999-03-05","30.5","30.5","30.12","24.89","27300"
"ETM","1999-03-08","30.19","30.19","30.0","24.73","59300"
"ETM","1999-03-09","29.81","30.12","29.75","24.84","95500"
"ETM","1999-03-10","30.0","30.0","29.75","24.58","52500"
"ETM","1999-03-11","29.81","30.0","29.81","24.73","53900"
"ETM","1999-03-12","30.19","30.5","30.19","25.15","25700"
"ETM","1999-03-15","30.5","31.69","30.5","26.12","40700"
"ETM","1999-03-16","31.69","33.12","31.69","27.05","184500"
"ETM","1999-03-17","32.81","34.0","32.56","27.0","120600"
"ETM","1999-03-18","32.75","33.06","32.69","26.95","113100"
"ETM","1999-03-19","32.75","32.75","32.06","26.85","108500"
"ETM","1999-03-22","32.56","32.75","32.56","26.85","53000"
"ETM","1999-03-23","32.44","32.5","31.81","26.28","110000"
"ETM","1999-03-24","32.0","32.0","31.62","26.18","36400"
"ETM","1999-03-25","31.81","31.94","31.75","26.28","41800"
"ETM","1999-03-26","31.88","31.94","31.81","26.28","109500"
"ETM","1999-03-29","31.88","32.38","31.88","26.69","19300"
"ETM","1999-03-30","32.62","32.94","32.62","27.05","17700"
"ETM","1999-03-31","32.5","35.38","32.5","29.16","203700"
"ETM","1999-04-01","35.12","35.12","34.31","28.44","33300"
"ETM","1999-04-05","34.25","34.25","33.5","27.67","168900"
"ETM","1999-04-06","33.44","33.44","32.69","26.95","72000"
"ETM","1999-04-07","32.69","33.94","32.69","27.36","39900"
"ETM","1999-04-08","33.12","33.5","32.88","27.57","26700"
"ETM","1999-04-09","33.19","33.62","32.94","27.72","61900"
"ETM","1999-04-12","33.44","33.81","33.44","27.88","18600"
"ETM","1999-04-13","33.81","34.75","33.81","28.44","49800"
"ETM","1999-04-14","34.38","36.0","34.31","29.68","66900"
"ETM","1999-04-15","35.56","36.12","35.06","29.78","41200"
"ETM","1999-04-16","36.0","36.06","35.5","29.58","65900"
"ETM","1999-04-19","35.75","36.56","35.75","29.83","27200"
