"symbol","date","open","high","low","close","volume"
"ETV","2005-06-28","20.0","20.01","20.0","7.08","411600"
"ETV","2005-06-29","20.0","20.1","20.0","7.09","58200"
"ETV","2005-06-30","20.05","20.25","20.0","7.14","78100"
"ETV","2005-07-01","20.18","20.19","20.0","7.09","62500"
"ETV","2005-07-05","20.04","20.13","20.0","7.08","37700"
"ETV","2005-07-06","20.07","20.16","20.01","7.13","45900"
"ETV","2005-07-07","20.05","20.25","20.04","7.15","78300"
"ETV","2005-07-08","20.18","20.2","20.06","7.13","39200"
"ETV","2005-07-11","20.22","20.24","20.07","7.13","79800"
"ETV","2005-07-12","20.11","20.24","20.08","7.14","67800"
"ETV","2005-07-13","20.19","20.45","20.12","7.2","136900"
"ETV","2005-07-14","20.36","20.54","20.31","7.27","99100"
"ETV","2005-07-15","20.5","20.63","20.41","7.29","45300"
"ETV","2005-07-18","20.7","20.7","20.46","7.29","54500"
"ETV","2005-07-19","20.61","20.64","20.15","7.2","107400"
"ETV","2005-07-20","20.4","20.61","20.3","7.21","65300"
"ETV","2005-07-21","20.35","20.4","20.0","7.14","99300"
"ETV","2005-07-22","20.23","20.34","20.12","7.19","45400"
"ETV","2005-07-25","20.25","20.49","20.21","7.16","64000"
"ETV","2005-07-26","20.19","20.45","20.19","7.23","76900"
"ETV","2005-07-27","20.38","20.49","20.25","7.25","59900"
"ETV","2005-07-28","20.1","20.1","20.0","7.08","485200"
"ETV","2005-07-29","20.0","20.06","20.0","7.09","123200"
"ETV","2005-08-01","20.05","20.09","20.0","7.1","65700"
"ETV","2005-08-02","20.08","20.08","20.0","7.09","126200"
"ETV","2005-08-03","20.01","20.05","20.0","7.09","102400"
"ETV","2005-08-04","20.02","20.04","20.0","7.08","64600"
"ETV","2005-08-05","20.04","20.04","20.0","7.08","112600"
"ETV","2005-08-08","20.03","20.05","20.0","7.08","109800"
"ETV","2005-08-09","20.01","20.02","20.0","7.08","136600"
"ETV","2005-08-10","20.0","20.0","19.82","7.06","121900"
"ETV","2005-08-11","19.96","20.01","19.92","7.08","59800"
"ETV","2005-08-12","20.0","20.01","19.92","7.06","46000"
"ETV","2005-08-15","19.9","20.02","19.88","7.08","50300"
"ETV","2005-08-16","20.08","20.09","19.9","7.04","67600"
"ETV","2005-08-17","19.98","20.08","19.91","7.1","71300"
"ETV","2005-08-18","20.08","20.08","19.98","7.09","33400"
"ETV","2005-08-19","20.02","20.09","20.0","7.08","46500"
"ETV","2005-08-22","20.0","20.03","19.9","7.08","52500"
"ETV","2005-08-23","20.07","20.07","19.92","7.08","62800"
"ETV","2005-08-24","20.0","20.01","19.91","7.06","44700"
"ETV","2005-08-25","19.95","20.01","19.81","7.07","91000"
"ETV","2005-08-26","19.92","19.95","19.71","7.0","75000"
"ETV","2005-08-29","19.7","19.98","19.7","7.04","70100"
"ETV","2005-08-30","19.9","19.95","19.8","7.04","54900"
"ETV","2005-08-31","19.9","19.98","19.7","7.02","73400"
"ETV","2005-09-01","19.9","19.98","19.7","7.04","57000"
"ETV","2005-09-02","19.79","19.91","19.75","7.04","43600"
"ETV","2005-09-06","19.71","19.91","19.71","7.04","76500"
"ETV","2005-09-07","19.9","20.05","19.82","7.09","76800"
"ETV","2005-09-08","20.08","20.09","19.91","7.06","75900"
"ETV","2005-09-09","20.0","20.08","19.94","7.07","44700"
"ETV","2005-09-12","19.98","20.01","19.92","7.07","56200"
"ETV","2005-09-13","19.96","20.09","19.95","7.08","100000"
