"symbol","date","open","high","low","close","volume"
"EVG","2005-02-24","20.0","20.01","20.0","9.72","443200"
"EVG","2005-02-25","20.01","20.01","20.0","9.72","72400"
"EVG","2005-02-28","20.0","20.02","20.0","9.72","38000"
"EVG","2005-03-01","20.0","20.04","20.0","9.72","47100"
"EVG","2005-03-02","20.03","20.05","20.0","9.72","64800"
"EVG","2005-03-03","20.01","20.09","20.01","9.72","37800"
"EVG","2005-03-04","20.08","20.15","20.0","9.72","24900"
"EVG","2005-03-07","20.0","20.04","20.0","9.73","28100"
"EVG","2005-03-08","20.01","20.02","20.0","9.72","30400"
"EVG","2005-03-09","20.0","20.01","20.0","9.72","31300"
"EVG","2005-03-10","20.0","20.02","20.0","9.73","7700"
"EVG","2005-03-11","20.0","20.01","20.0","9.72","14200"
"EVG","2005-03-14","20.1","20.1","20.0","9.73","28400"
"EVG","2005-03-15","20.04","20.04","20.0","9.72","22500"
"EVG","2005-03-16","20.0","20.01","20.0","9.72","12000"
"EVG","2005-03-17","20.0","20.01","20.0","9.72","48600"
"EVG","2005-03-18","20.01","20.01","20.0","9.72","14800"
"EVG","2005-03-21","20.01","20.02","20.0","9.72","74300"
"EVG","2005-03-22","20.0","20.01","20.0","9.72","115300"
"EVG","2005-03-23","20.0","20.01","20.0","9.72","106300"
"EVG","2005-03-24","20.0","20.01","20.0","9.72","128700"
"EVG","2005-03-28","20.0","20.01","20.0","9.72","166300"
"EVG","2005-03-29","19.95","20.0","19.0","9.42","668900"
"EVG","2005-03-30","19.4","19.6","19.31","9.49","56200"
"EVG","2005-03-31","19.54","19.6","19.5","9.49","121700"
"EVG","2005-04-01","19.5","19.55","19.43","9.44","49500"
"EVG","2005-04-04","19.42","19.42","19.17","9.4","47400"
"EVG","2005-04-05","19.4","19.4","19.15","9.3","70400"
"EVG","2005-04-06","19.25","19.27","19.1","9.31","60200"
"EVG","2005-04-07","19.15","19.15","19.01","9.23","25900"
"EVG","2005-04-08","19.06","19.12","19.0","9.27","21900"
"EVG","2005-04-11","19.07","19.13","19.05","9.29","4900"
"EVG","2005-04-12","19.07","19.07","18.89","9.21","140900"
"EVG","2005-04-13","18.85","18.95","18.85","9.16","78900"
"EVG","2005-04-14","18.82","18.85","18.7","9.1","62500"
"EVG","2005-04-15","18.7","18.73","18.2","8.86","53000"
"EVG","2005-04-18","18.0","18.11","17.85","8.77","93100"
"EVG","2005-04-19","18.1","18.2","17.91","8.81","39000"
"EVG","2005-04-20","17.96","18.09","17.91","8.77","24100"
"EVG","2005-04-21","17.9","18.1","17.85","8.81","39000"
"EVG","2005-04-22","18.05","18.25","18.05","8.82","12500"
"EVG","2005-04-25","18.0","18.11","17.85","8.84","43200"
"EVG","2005-04-26","18.1","18.5","18.1","8.95","42500"
"EVG","2005-04-27","18.21","18.4","18.08","8.99","31300"
"EVG","2005-04-28","18.35","18.41","18.07","8.99","32300"
"EVG","2005-04-29","18.33","18.33","17.95","8.8","78200"
"EVG","2005-05-02","17.95","18.37","17.9","8.94","74700"
"EVG","2005-05-03","18.23","18.45","18.23","8.96","27900"
"EVG","2005-05-04","18.3","18.36","18.13","8.97","32000"
"EVG","2005-05-05","18.32","18.4","18.22","8.95","25000"
"EVG","2005-05-06","18.3","18.36","18.18","8.89","22500"
"EVG","2005-05-09","18.15","18.15","18.03","8.81","25300"
"EVG","2005-05-10","17.98","18.01","17.9","8.75","42200"
"EVG","2005-05-11","17.97","18.03","17.9","8.78","28800"
"EVG","2005-05-12","17.92","18.04","17.9","8.82","32000"
"EVG","2005-05-13","18.0","18.05","17.9","8.79","22200"
"EVG","2005-05-16","18.0","18.08","17.88","8.79","23600"
"EVG","2005-05-17","17.9","18.08","17.88","8.76","36500"
"EVG","2005-05-18","18.0","18.08","17.93","8.8","33200"
"EVG","2005-05-19","17.9","18.0","17.78","8.76","27500"
"EVG","2005-05-20","17.7","17.88","17.7","8.8","38200"
"EVG","2005-05-23","17.8","17.85","17.7","8.76","45700"
"EVG","2005-05-24","17.79","17.81","17.67","8.71","66800"
"EVG","2005-05-25","17.72","17.79","17.52","8.66","120400"
"EVG","2005-05-26","17.56","17.62","17.48","8.63","35200"
"EVG","2005-05-27","17.63","17.64","17.43","8.63","30900"
"EVG","2005-05-31","17.6","17.6","17.39","8.56","44300"
"EVG","2005-06-01","17.45","17.64","17.39","8.61","45000"
"EVG","2005-06-02","17.6","17.78","17.55","8.73","50400"
"EVG","2005-06-03","17.75","17.83","17.68","8.73","39900"
"EVG","2005-06-06","17.7","17.78","17.62","8.73","29700"
