"symbol","date","open","high","low","close","volume"
"EVOL","1998-05-12","18.75","19.25","17.75","18.44","2344400"
"EVOL","1998-05-13","19.38","20.62","19.0","19.7","658900"
"EVOL","1998-05-14","20.62","20.62","20.0","19.34","306200"
"EVOL","1998-05-15","20.12","20.31","20.0","19.34","130700"
"EVOL","1998-05-18","20.12","20.25","19.12","18.38","416500"
"EVOL","1998-05-19","19.31","19.88","19.25","18.74","118000"
"EVOL","1998-05-20","19.5","19.62","19.12","18.44","149200"
"EVOL","1998-05-21","19.62","19.62","18.75","18.5","74800"
"EVOL","1998-05-22","19.38","19.38","18.75","18.26","31500"
"EVOL","1998-05-26","19.12","19.12","18.88","18.38","152900"
"EVOL","1998-05-27","18.88","19.12","18.5","18.14","89800"
"EVOL","1998-05-28","18.5","18.88","18.5","17.9","75900"
"EVOL","1998-05-29","18.75","19.0","18.5","17.78","35200"
"EVOL","1998-06-01","18.5","18.88","18.25","17.66","141700"
"EVOL","1998-06-02","18.25","18.5","17.56","16.88","80200"
"EVOL","1998-06-03","17.56","17.69","15.62","15.01","162300"
"EVOL","1998-06-04","15.62","16.25","15.62","15.37","58500"
"EVOL","1998-06-05","16.0","17.38","16.0","16.22","80300"
"EVOL","1998-06-08","17.25","17.38","17.0","16.46","4800"
"EVOL","1998-06-09","17.38","17.38","16.88","16.58","19800"
"EVOL","1998-06-10","17.38","17.62","17.0","16.34","214600"
"EVOL","1998-06-11","17.0","17.12","16.25","15.61","84700"
"EVOL","1998-06-12","16.25","16.75","16.25","15.73","22600"
"EVOL","1998-06-15","16.5","16.5","16.0","15.85","13700"
"EVOL","1998-06-16","16.62","16.62","15.81","15.19","12700"
"EVOL","1998-06-17","15.81","16.19","15.25","14.65","17100"
"EVOL","1998-06-18","8.75","9.75","8.5","9.13","1430300"
"EVOL","1998-06-19","9.88","10.12","9.75","9.49","789100"
"EVOL","1998-06-22","9.88","9.88","9.69","9.37","80900"
"EVOL","1998-06-23","9.81","9.94","9.25","9.43","198300"
"EVOL","1998-06-24","9.81","11.0","9.81","10.27","87200"
"EVOL","1998-06-25","10.69","11.5","10.62","10.27","67700"
"EVOL","1998-06-26","10.88","11.38","10.88","10.69","19900"
"EVOL","1998-06-29","10.94","11.19","10.88","10.57","10700"
"EVOL","1998-06-30","10.88","11.25","10.88","10.63","15300"
"EVOL","1998-07-01","11.25","11.62","11.12","11.05","66800"
"EVOL","1998-07-02","11.69","12.0","11.38","11.41","66200"
"EVOL","1998-07-06","12.0","12.0","11.38","11.11","23700"
"EVOL","1998-07-07","11.56","12.0","11.38","11.29","42100"
"EVOL","1998-07-08","11.5","11.69","11.25","10.81","40100"
"EVOL","1998-07-09","11.5","11.5","11.12","10.69","74300"
"EVOL","1998-07-10","11.12","11.5","11.12","11.05","2700"
"EVOL","1998-07-13","11.5","11.5","10.75","10.45","63500"
"EVOL","1998-07-14","10.75","11.25","10.62","10.57","85200"
"EVOL","1998-07-15","10.88","11.5","10.75","10.57","76800"
"EVOL","1998-07-16","11.0","11.38","10.88","10.57","44600"
"EVOL","1998-07-17","10.88","11.0","10.75","10.33","174300"
"EVOL","1998-07-20","10.62","10.88","10.19","10.03","39900"
"EVOL","1998-07-21","10.38","10.62","9.94","9.61","28000"
"EVOL","1998-07-22","9.88","10.06","8.38","8.29","102800"
"EVOL","1998-07-23","8.62","8.75","8.12","8.29","73100"
"EVOL","1998-07-24","7.5","7.62","5.5","5.47","2091100"
"EVOL","1998-07-27","5.88","6.0","5.69","5.71","82800"
"EVOL","1998-07-28","5.94","6.0","5.69","5.59","141700"
"EVOL","1998-07-29","5.88","5.88","5.5","5.41","28600"
"EVOL","1998-07-30","5.62","5.69","5.5","5.35","9000"
"EVOL","1998-07-31","5.75","5.75","5.06","5.16","24200"
"EVOL","1998-08-03","5.5","5.5","4.5","4.8","118100"
"EVOL","1998-08-04","4.88","5.0","4.75","4.68","151000"
"EVOL","1998-08-05","5.0","5.25","5.0","5.04","39700"
"EVOL","1998-08-06","5.12","5.25","5.12","5.04","118500"
"EVOL","1998-08-07","5.38","5.38","5.0","4.92","40900"
"EVOL","1998-08-10","5.12","5.38","5.0","5.1","110300"
"EVOL","1998-08-11","5.25","5.62","5.25","5.35","26800"
"EVOL","1998-08-12","5.75","5.84","5.62","5.47","13300"
"EVOL","1998-08-13","5.62","5.75","5.44","5.22","12300"
"EVOL","1998-08-14","5.38","5.62","5.12","5.04","31400"
"EVOL","1998-08-17","5.31","5.31","5.12","4.98","5800"
"EVOL","1998-08-18","5.19","5.25","5.19","5.04","1900"
"EVOL","1998-08-19","5.38","5.5","5.12","5.28","41000"
"EVOL","1998-08-20","5.5","5.5","5.25","5.28","2500"
"EVOL","1998-08-21","5.44","5.44","4.75","4.8","15800"
"EVOL","1998-08-24","5.0","5.06","4.69","4.5","67400"
"EVOL","1998-08-25","4.69","5.25","4.62","4.5","5700"
"EVOL","1998-08-26","4.5","4.62","4.38","4.38","11000"
"EVOL","1998-08-27","4.5","4.5","4.0","3.9","9100"
"EVOL","1998-08-28","4.38","4.38","3.12","3.42","139600"
"EVOL","1998-08-31","3.75","3.75","3.0","3.06","81600"
"EVOL","1998-09-01","3.0","3.5","2.62","3.12","41400"
"EVOL","1998-09-02","3.56","3.88","3.5","3.42","14100"
"EVOL","1998-09-03","3.5","3.62","3.25","3.3","6600"
"EVOL","1998-09-04","3.56","3.75","3.38","3.3","10800"
"EVOL","1998-09-08","3.44","4.0","3.44","3.66","22400"
"EVOL","1998-09-09","3.88","4.0","3.75","3.72","2100"
"EVOL","1998-09-10","3.62","3.69","3.38","3.3","7800"
"EVOL","1998-09-11","3.44","3.62","3.44","3.48","7200"
"EVOL","1998-09-14","3.62","3.62","3.62","3.48","100"
"EVOL","1998-09-15","3.5","3.5","3.19","3.06","6700"
"EVOL","1998-09-16","3.38","3.38","3.12","3.06","19900"
"EVOL","1998-09-17","3.25","3.25","3.0","2.94","3000"
"EVOL","1998-09-18","3.06","3.06","3.06","2.94","3300"
"EVOL","1998-09-21","3.0","3.12","3.0","2.88","16000"
"EVOL","1998-09-22","3.0","3.0","2.88","2.88","21900"
"EVOL","1998-09-23","2.88","3.25","2.88","3.0","19000"
"EVOL","1998-09-24","3.25","3.25","2.94","2.88","7300"
"EVOL","1998-09-25","3.0","3.06","2.62","2.64","9500"
"EVOL","1998-09-28","2.88","2.88","2.38","2.52","48200"
"EVOL","1998-09-29","2.69","2.81","2.69","2.64","13200"
"EVOL","1998-09-30","2.75","2.81","2.62","2.7","26500"
"EVOL","1998-10-01","2.75","3.0","2.75","2.76","89400"
"EVOL","1998-10-02","3.0","3.0","2.81","2.76","4300"
"EVOL","1998-10-05","2.81","2.88","2.5","2.4","86800"
"EVOL","1998-10-06","2.75","2.81","2.44","2.4","38600"
"EVOL","1998-10-07","2.5","2.5","2.19","2.16","7300"
"EVOL","1998-10-08","2.0","2.19","2.0","1.92","18300"
"EVOL","1998-10-09","2.0","2.12","2.0","1.98","17800"
"EVOL","1998-10-12","2.25","2.25","2.06","1.98","28000"
"EVOL","1998-10-13","2.16","2.19","1.88","1.92","180600"
"EVOL","1998-10-14","2.0","2.0","2.0","1.92","2800"
"EVOL","1998-10-15","2.06","2.06","2.0","1.92","205700"
"EVOL","1998-10-16","2.03","2.06","2.0","1.92","31400"
"EVOL","1998-10-19","2.03","2.06","1.78","1.92","20500"
"EVOL","1998-10-20","2.0","2.12","2.0","1.92","40200"
"EVOL","1998-10-21","2.06","2.06","1.88","1.92","28600"
"EVOL","1998-10-22","2.0","2.0","1.88","1.86","37300"
"EVOL","1998-10-23","1.88","1.88","1.81","1.8","17800"
"EVOL","1998-10-26","1.81","1.88","1.75","1.68","32400"
"EVOL","1998-10-27","1.81","2.0","1.75","1.68","47800"
"EVOL","1998-10-28","1.88","1.88","1.69","1.68","38400"
"EVOL","1998-10-29","1.69","1.88","1.5","1.5","69900"
"EVOL","1998-10-30","1.75","1.75","1.5","1.62","68300"
"EVOL","1998-11-02","1.81","2.12","1.81","1.98","87500"
"EVOL","1998-11-03","2.12","3.38","2.0","2.94","157400"
"EVOL","1998-11-04","3.47","3.62","2.94","2.94","65400"
"EVOL","1998-11-05","2.94","3.0","2.5","2.4","59100"
"EVOL","1998-11-06","2.5","2.56","2.03","2.22","42500"
"EVOL","1998-11-09","2.19","2.44","2.19","2.1","9100"
"EVOL","1998-11-10","2.19","2.44","2.19","2.1","23200"
