"symbol","date","open","high","low","close","volume"
"EWZS","2010-09-29","25.8","25.82","25.79","23.66","11800"
"EWZS","2010-09-30","26.06","26.23","25.93","23.96","27500"
"EWZS","2010-10-01","27.2","27.2","26.55","24.63","92000"
"EWZS","2010-10-04","27.2","27.2","26.7","24.58","64400"
"EWZS","2010-10-05","27.48","27.48","26.84","25.08","44800"
"EWZS","2010-10-06","27.5","27.5","27.24","25.02","160300"
"EWZS","2010-10-07","27.96","27.96","27.14","25.02","117100"
"EWZS","2010-10-08","27.49","27.92","27.16","25.58","47500"
"EWZS","2010-10-11","29.07","29.07","28.01","25.71","56600"
"EWZS","2010-10-12","28.49","28.5","27.75","25.89","82700"
"EWZS","2010-10-13","28.2","29.0","28.2","26.54","41200"
"EWZS","2010-10-14","29.28","29.28","28.58","26.34","74100"
"EWZS","2010-10-15","28.95","28.95","28.62","26.46","49000"
"EWZS","2010-10-18","28.94","28.95","28.69","26.32","74400"
"EWZS","2010-10-19","28.53","28.69","25.29","25.47","87800"
"EWZS","2010-10-20","27.91","28.5","27.91","25.88","58800"
"EWZS","2010-10-21","28.52","28.67","27.85","25.72","62700"
"EWZS","2010-10-22","28.04","28.22","27.84","25.62","15900"
"EWZS","2010-10-25","28.26","28.31","28.07","25.87","32600"
"EWZS","2010-10-26","28.3","28.41","27.94","26.0","22000"
"EWZS","2010-10-27","28.4","28.4","27.87","25.6","26300"
"EWZS","2010-10-28","28.32","28.32","27.97","25.79","18600"
"EWZS","2010-10-29","27.86","28.49","27.86","26.13","24900"
"EWZS","2010-11-01","28.81","28.85","28.6","26.46","26800"
"EWZS","2010-11-02","29.64","29.64","29.05","26.88","42800"
"EWZS","2010-11-03","29.69","29.69","29.0","26.98","41500"
"EWZS","2010-11-04","30.34","30.34","29.7","27.6","211200"
"EWZS","2010-11-05","30.34","30.34","29.81","27.46","145200"
"EWZS","2010-11-08","29.82","29.82","29.4","27.23","26200"
"EWZS","2010-11-09","30.0","30.0","29.02","26.68","56800"
"EWZS","2010-11-10","29.36","31.56","28.45","26.48","86200"
"EWZS","2010-11-11","28.86","28.93","28.73","26.5","58400"
"EWZS","2010-11-12","28.32","28.85","28.32","26.25","34200"
"EWZS","2010-11-15","28.93","28.98","28.7","26.33","11200"
"EWZS","2010-11-16","28.47","28.47","27.63","25.35","28400"
"EWZS","2010-11-17","27.7","28.35","27.7","25.75","58600"
"EWZS","2010-11-18","28.89","28.9","28.65","26.42","20700"
"EWZS","2010-11-19","28.99","29.03","28.7","26.46","49100"
"EWZS","2010-11-22","28.53","28.99","28.5","26.58","12000"
"EWZS","2010-11-23","28.52","28.52","27.95","25.78","8800"
"EWZS","2010-11-24","28.9","28.9","28.7","26.5","12300"
"EWZS","2010-11-26","28.89","28.89","28.36","26.32","2100"
"EWZS","2010-11-29","28.65","28.83","28.27","26.45","5600"
"EWZS","2010-11-30","28.74","29.28","28.44","26.83","16000"
"EWZS","2010-12-01","29.42","29.42","28.86","26.57","62200"
"EWZS","2010-12-02","29.69","29.69","28.99","26.84","14800"
"EWZS","2010-12-03","29.35","29.56","29.0","27.1","6300"
"EWZS","2010-12-06","28.94","29.8","28.94","27.31","15200"
"EWZS","2010-12-07","30.0","30.08","29.25","26.83","16400"
"EWZS","2010-12-08","29.59","29.59","28.86","26.59","5500"
"EWZS","2010-12-09","28.95","28.95","28.38","26.34","15600"
"EWZS","2010-12-10","28.7","28.7","28.11","26.16","7000"
"EWZS","2010-12-13","28.99","29.2","28.7","26.79","30100"
"EWZS","2010-12-14","29.36","29.5","29.16","26.93","15200"
"EWZS","2010-12-15","29.35","29.43","29.0","26.6","8700"
"EWZS","2010-12-16","29.51","29.51","28.88","26.6","14800"
"EWZS","2010-12-17","29.04","29.04","28.75","26.53","20800"
"EWZS","2010-12-20","29.25","29.25","28.85","26.65","65500"
"EWZS","2010-12-21","29.36","29.46","29.05","26.9","16800"
"EWZS","2010-12-22","29.36","29.41","28.78","26.72","22300"
"EWZS","2010-12-23","29.02","29.27","28.85","26.85","8600"
"EWZS","2010-12-27","29.39","29.49","28.62","26.54","306400"
"EWZS","2010-12-28","29.41","29.41","28.72","26.69","23000"
"EWZS","2010-12-29","29.0","29.14","28.58","26.83","9900"
"EWZS","2010-12-30","29.14","29.86","29.14","27.41","10000"
"EWZS","2010-12-31","29.81","29.97","29.81","27.53","4000"
"EWZS","2011-01-03","30.51","30.64","30.2","27.92","31000"
"EWZS","2011-01-04","30.4","30.4","29.85","27.9","33500"
"EWZS","2011-01-05","30.04","30.04","29.74","27.58","19400"
"EWZS","2011-01-06","29.84","29.98","29.52","27.46","150000"
"EWZS","2011-01-07","29.92","29.92","29.64","27.53","20800"
"EWZS","2011-01-10","29.75","29.82","29.61","27.43","24800"
"EWZS","2011-01-11","29.99","30.04","29.74","27.64","29700"
"EWZS","2011-01-12","30.35","30.37","30.18","27.93","48300"
"EWZS","2011-01-13","30.43","30.5","30.1","27.78","56600"
"EWZS","2011-01-14","29.97","30.09","29.8","27.69","54000"
"EWZS","2011-01-18","30.32","30.35","30.08","27.93","51800"
"EWZS","2011-01-19","30.45","30.45","30.03","27.76","38200"
"EWZS","2011-01-20","30.0","30.2","29.79","27.43","20800"
"EWZS","2011-01-21","30.26","30.26","29.82","27.53","14100"
"EWZS","2011-01-24","29.8","30.31","29.8","27.9","27600"
"EWZS","2011-01-25","30.27","30.27","29.83","27.52","33500"
"EWZS","2011-01-26","30.33","30.34","29.94","27.64","28000"
"EWZS","2011-01-27","29.87","29.87","29.0","26.96","160400"
"EWZS","2011-01-28","29.18","29.18","28.13","25.93","23100"
"EWZS","2011-01-31","28.15","28.64","28.0","26.1","40900"
"EWZS","2011-02-01","28.81","28.89","28.37","26.39","29200"
"EWZS","2011-02-02","29.06","29.06","28.56","26.29","63500"
"EWZS","2011-02-03","28.81","28.81","28.15","26.04","22800"
"EWZS","2011-02-04","28.23","28.24","27.61","25.42","36200"
"EWZS","2011-02-07","27.69","27.82","27.53","25.46","14900"
"EWZS","2011-02-08","27.9","28.18","27.82","25.88","28600"
"EWZS","2011-02-09","28.09","28.09","27.55","25.37","32800"
"EWZS","2011-02-10","27.2","27.48","27.1","25.22","57000"
"EWZS","2011-02-11","27.41","27.95","27.41","25.45","37200"
"EWZS","2011-02-14","27.93","28.2","27.81","25.94","29000"
"EWZS","2011-02-15","27.92","28.35","27.92","26.05","30600"
"EWZS","2011-02-16","28.16","28.44","27.99","26.18","36700"
"EWZS","2011-02-17","28.49","28.56","28.38","26.15","45700"
"EWZS","2011-02-18","28.45","28.58","28.2","26.24","5500"
"EWZS","2011-02-22","28.33","28.34","27.73","25.54","40200"
"EWZS","2011-02-23","28.06","28.06","27.63","25.65","16200"
"EWZS","2011-02-24","27.82","27.98","27.65","25.68","15800"
"EWZS","2011-02-25","27.89","28.02","27.75","25.6","11700"
"EWZS","2011-02-28","28.3","28.41","28.14","25.97","22600"
"EWZS","2011-03-01","28.45","28.45","28.08","25.9","12600"
"EWZS","2011-03-02","28.43","28.53","28.33","26.26","7500"
"EWZS","2011-03-03","28.54","28.7","28.54","26.42","11600"
"EWZS","2011-03-04","28.89","28.89","28.57","26.44","4100"
"EWZS","2011-03-07","28.78","28.78","27.97","25.75","37900"
"EWZS","2011-03-08","28.42","28.5","27.92","25.96","13200"
"EWZS","2011-03-09","28.48","28.5","28.18","26.12","14400"
"EWZS","2011-03-10","28.52","28.52","28.04","25.81","10800"
"EWZS","2011-03-11","28.0","28.1","27.89","25.87","18300"
"EWZS","2011-03-14","28.1","28.1","27.84","25.84","3700"
"EWZS","2011-03-15","27.55","27.92","27.25","25.54","22500"
"EWZS","2011-03-16","27.86","28.14","27.46","25.33","12800"
"EWZS","2011-03-17","27.57","27.98","27.57","25.43","6100"
"EWZS","2011-03-18","28.03","28.08","27.96","25.79","6700"
"EWZS","2011-03-21","28.14","28.17","28.01","25.82","9000"
"EWZS","2011-03-22","28.09","28.16","28.0","25.92","3200"
"EWZS","2011-03-23","28.08","28.39","28.08","26.05","5900"
"EWZS","2011-03-24","28.36","28.36","28.23","26.06","8600"
"EWZS","2011-03-25","28.17","28.48","28.17","26.15","51100"
"EWZS","2011-03-28","28.29","28.45","28.16","25.92","5000"
"EWZS","2011-03-29","28.48","28.49","28.36","26.11","5300"
"EWZS","2011-03-30","28.7","29.28","28.7","26.81","11800"
"EWZS","2011-03-31","29.41","29.57","29.36","27.11","16400"
"EWZS","2011-04-01","29.91","30.22","29.8","27.82","9700"
"EWZS","2011-04-04","30.33","30.68","30.3","28.24","9600"
"EWZS","2011-04-05","30.52","30.65","30.26","28.11","13500"
"EWZS","2011-04-06","30.9","30.9","29.99","27.76","21900"
"EWZS","2011-04-07","30.49","30.65","30.49","28.1","16400"
"EWZS","2011-04-08","30.66","30.84","30.6","28.39","14300"
"EWZS","2011-04-11","30.98","31.0","30.78","28.36","25200"
"EWZS","2011-04-12","30.86","30.86","30.25","28.0","5600"
"EWZS","2011-04-13","30.39","30.53","30.08","27.93","10400"
"EWZS","2011-04-14","30.21","30.67","30.21","28.18","9400"
"EWZS","2011-04-15","30.59","30.68","30.51","28.2","6100"
"EWZS","2011-04-18","30.62","30.62","29.95","27.65","11000"
"EWZS","2011-04-19","30.11","30.75","30.11","28.17","33900"
"EWZS","2011-04-20","31.0","31.3","30.89","28.81","35500"
"EWZS","2011-04-21","31.27","31.6","31.02","28.8","14600"
"EWZS","2011-04-25","30.88","31.35","30.88","28.68","7500"
"EWZS","2011-04-26","31.4","31.66","31.35","29.05","11900"
"EWZS","2011-04-27","31.79","31.79","31.06","28.93","210200"
"EWZS","2011-04-28","31.05","31.18","30.75","28.7","80100"
"EWZS","2011-04-29","31.11","31.45","31.08","28.77","22000"
"EWZS","2011-05-02","31.52","31.63","31.38","28.91","4000"
"EWZS","2011-05-03","31.08","31.08","30.5","28.18","23000"
"EWZS","2011-05-04","30.97","30.97","30.02","27.67","9100"
"EWZS","2011-05-05","30.03","30.23","29.56","27.37","22800"
"EWZS","2011-05-06","30.54","30.54","30.03","28.05","9900"
"EWZS","2011-05-09","30.58","30.63","29.92","28.05","16000"
"EWZS","2011-05-10","30.6","30.72","30.5","28.16","27700"
"EWZS","2011-05-11","30.73","30.75","30.23","27.83","20200"
"EWZS","2011-05-12","29.88","30.36","29.88","27.93","7200"
"EWZS","2011-05-13","30.18","30.26","29.8","27.54","8400"
"EWZS","2011-05-16","29.68","30.07","29.66","27.46","10500"
"EWZS","2011-05-17","29.61","30.02","29.54","27.64","8500"
"EWZS","2011-05-18","30.22","30.22","29.81","27.76","4700"
"EWZS","2011-05-19","30.07","30.07","29.71","27.36","5000"
"EWZS","2011-05-20","29.67","29.87","29.65","27.38","3400"
"EWZS","2011-05-23","29.29","29.29","28.92","26.77","7900"
"EWZS","2011-05-24","29.33","29.61","29.19","27.23","21500"
"EWZS","2011-05-25","29.45","29.7","29.41","27.32","8200"
"EWZS","2011-05-26","29.87","29.93","29.61","27.55","21300"
"EWZS","2011-05-27","29.98","30.47","29.98","28.05","7800"
"EWZS","2011-05-31","30.63","31.15","30.62","28.68","9500"
"EWZS","2011-06-01","31.14","31.14","30.58","28.18","14600"
"EWZS","2011-06-02","30.64","30.88","30.63","28.41","39800"
"EWZS","2011-06-03","30.83","31.1","30.64","28.63","6200"
"EWZS","2011-06-06","31.18","31.18","30.61","28.18","12600"
"EWZS","2011-06-07","31.02","31.05","30.93","28.56","8100"
"EWZS","2011-06-08","31.06","31.06","30.6","28.27","8700"
"EWZS","2011-06-09","30.74","30.82","30.52","28.37","12100"
"EWZS","2011-06-10","30.88","30.88","30.12","27.89","6000"
"EWZS","2011-06-13","30.23","30.53","30.07","27.99","21700"
"EWZS","2011-06-14","30.5","30.6","30.36","27.95","7700"
"EWZS","2011-06-15","30.31","30.31","29.74","27.5","8600"
"EWZS","2011-06-16","29.61","29.74","29.31","27.06","7000"
"EWZS","2011-06-17","29.83","29.83","29.29","27.17","5600"
"EWZS","2011-06-20","29.69","29.69","29.31","27.06","16500"
"EWZS","2011-06-21","29.51","29.7","29.5","27.3","14600"
"EWZS","2011-06-22","29.03","29.2","28.89","26.98","7000"
"EWZS","2011-06-23","28.51","28.76","28.17","26.65","24400"
"EWZS","2011-06-24","28.93","28.93","28.67","26.82","3400"
"EWZS","2011-06-27","28.73","28.97","28.73","26.92","2900"
"EWZS","2011-06-28","29.2","29.6","29.2","27.53","29600"
"EWZS","2011-06-29","29.83","29.83","29.5","27.82","8700"
"EWZS","2011-06-30","30.07","30.13","29.73","28.01","7400"
"EWZS","2011-07-01","30.09","30.25","29.97","28.07","19100"
"EWZS","2011-07-05","30.38","30.38","30.06","28.15","11900"
"EWZS","2011-07-06","29.9","30.05","29.71","27.73","12500"
"EWZS","2011-07-07","30.2","30.4","30.15","28.3","16500"
"EWZS","2011-07-08","29.96","29.96","29.68","27.88","20800"
"EWZS","2011-07-11","29.2","29.32","28.86","26.96","18900"
"EWZS","2011-07-12","28.95","28.97","28.7","26.8","10700"
"EWZS","2011-07-13","28.94","29.36","28.89","27.4","9200"
"EWZS","2011-07-14","29.23","29.23","28.9","27.01","6200"
"EWZS","2011-07-15","29.0","29.0","28.6","26.9","14100"
"EWZS","2011-07-18","28.52","28.56","28.2","26.6","10000"
"EWZS","2011-07-19","28.47","28.68","28.37","26.75","26700"
"EWZS","2011-07-20","28.7","28.7","28.34","26.64","8800"
"EWZS","2011-07-21","28.69","28.94","28.68","26.9","23000"
"EWZS","2011-07-22","29.02","29.14","28.85","27.06","17200"
"EWZS","2011-07-25","29.0","29.23","28.93","27.05","48300"
"EWZS","2011-07-26","29.33","29.33","28.91","27.03","10100"
"EWZS","2011-07-27","28.74","29.02","28.02","26.31","23700"
"EWZS","2011-07-28","28.05","28.42","27.9","26.32","14300"
"EWZS","2011-07-29","28.2","28.42","27.99","26.46","11800"
"EWZS","2011-08-01","28.91","28.91","28.18","26.49","7100"
"EWZS","2011-08-02","28.49","28.49","27.62","25.78","48300"
"EWZS","2011-08-03","27.73","27.78","26.75","25.37","11500"
"EWZS","2011-08-04","26.7","26.7","24.89","23.3","67700"
"EWZS","2011-08-05","25.48","25.72","23.99","22.91","67100"
"EWZS","2011-08-08","23.88","24.21","22.35","20.88","112000"
"EWZS","2011-08-09","23.04","23.57","22.58","21.8","38700"
"EWZS","2011-08-10","23.29","23.57","22.74","21.34","31400"
"EWZS","2011-08-11","23.71","23.96","23.14","22.36","21100"
"EWZS","2011-08-12","24.58","24.67","24.1","23.01","38800"
"EWZS","2011-08-15","25.0","25.36","25.0","23.66","8800"
"EWZS","2011-08-16","25.33","25.5","24.97","23.67","20100"
"EWZS","2011-08-17","25.58","25.91","25.51","24.18","13000"
"EWZS","2011-08-18","25.0","25.0","24.67","23.15","9300"
"EWZS","2011-08-19","24.82","25.2","24.8","23.14","9100"
"EWZS","2011-08-22","25.35","25.58","24.74","23.27","20400"
"EWZS","2011-08-23","24.8","25.16","24.8","23.4","13400"
"EWZS","2011-08-24","25.05","25.37","25.0","23.54","40400"
"EWZS","2011-08-25","25.27","25.33","24.92","23.44","20000"
"EWZS","2011-08-26","24.87","25.36","24.76","23.67","4100"
"EWZS","2011-08-29","25.56","26.31","25.56","24.46","9000"
"EWZS","2011-08-30","26.31","26.69","26.18","24.69","15000"
"EWZS","2011-08-31","26.78","27.17","26.78","25.27","11700"
"EWZS","2011-09-01","27.57","27.86","27.31","25.62","9200"
"EWZS","2011-09-02","26.83","26.9","26.52","24.96","37600"
"EWZS","2011-09-06","25.4","26.02","25.16","24.28","17100"
"EWZS","2011-09-07","26.46","26.93","26.41","25.05","31800"
"EWZS","2011-09-08","26.42","26.6","26.23","24.62","15100"
"EWZS","2011-09-09","25.91","25.91","25.27","23.65","31500"
"EWZS","2011-09-12","25.41","25.41","24.31","23.08","8000"
