"symbol","date","open","high","low","close","volume"
"FAM","2004-11-24","20.0","20.01","20.0","7.72","538500"
"FAM","2004-11-26","20.0","20.01","20.0","7.72","9300"
"FAM","2004-11-29","20.0","20.01","20.0","7.72","31500"
"FAM","2004-11-30","20.01","20.04","20.0","7.73","44400"
"FAM","2004-12-01","20.0","20.02","20.0","7.72","21500"
"FAM","2004-12-02","20.0","20.02","20.0","7.73","30300"
"FAM","2004-12-03","20.01","20.02","20.0","7.73","20400"
"FAM","2004-12-06","20.04","20.04","20.0","7.73","35500"
"FAM","2004-12-07","20.0","20.03","20.0","7.72","44100"
"FAM","2004-12-08","20.0","20.01","20.0","7.72","18900"
"FAM","2004-12-09","20.0","20.01","20.0","7.72","12400"
"FAM","2004-12-10","20.0","20.01","20.0","7.72","19000"
"FAM","2004-12-13","20.01","20.01","20.0","7.72","11800"
"FAM","2004-12-14","20.0","20.01","20.0","7.72","75700"
"FAM","2004-12-15","20.01","20.01","20.0","7.72","77300"
"FAM","2004-12-16","20.0","20.01","20.0","7.72","17500"
"FAM","2004-12-17","20.01","20.05","20.0","7.72","72200"
"FAM","2004-12-20","20.0","20.01","20.0","7.72","35800"
"FAM","2004-12-21","20.0","20.01","20.0","7.72","31600"
"FAM","2004-12-22","20.0","20.01","20.0","7.72","32800"
"FAM","2004-12-23","20.0","20.0","19.3","7.45","477000"
"FAM","2004-12-27","19.3","19.45","19.3","7.47","32200"
"FAM","2004-12-28","19.25","19.31","19.12","7.41","44800"
"FAM","2004-12-29","19.2","19.48","19.2","7.42","126500"
"FAM","2004-12-30","19.17","19.43","19.12","7.46","48500"
"FAM","2004-12-31","19.42","19.49","19.32","7.51","38800"
"FAM","2005-01-03","19.31","19.51","19.31","7.49","23600"
"FAM","2005-01-04","19.34","19.68","19.3","7.57","50900"
"FAM","2005-01-05","19.5","19.65","19.25","7.43","19200"
"FAM","2005-01-06","19.36","19.5","19.1","7.43","34600"
"FAM","2005-01-07","19.1","19.65","19.1","7.59","25900"
"FAM","2005-01-10","19.45","19.45","19.25","7.49","9600"
"FAM","2005-01-11","19.45","19.5","19.4","7.51","38000"
"FAM","2005-01-12","19.25","19.3","19.1","7.43","48700"
"FAM","2005-01-13","19.25","19.3","19.1","7.44","42400"
"FAM","2005-01-14","19.25","19.25","19.0","7.43","58000"
"FAM","2005-01-18","19.31","19.35","19.05","7.41","32900"
"FAM","2005-01-19","19.25","19.38","19.0","7.35","29100"
"FAM","2005-01-20","19.2","19.28","19.0","7.39","30200"
"FAM","2005-01-21","19.25","19.3","19.1","7.45","17700"
"FAM","2005-01-24","19.3","19.3","19.06","7.37","44400"
"FAM","2005-01-25","19.09","19.28","19.09","7.41","51000"
"FAM","2005-01-26","19.4","19.45","19.07","7.4","39300"
"FAM","2005-01-27","19.19","19.3","19.06","7.44","26900"
"FAM","2005-01-28","19.38","19.38","19.15","7.41","22700"
"FAM","2005-01-31","19.14","19.27","19.08","7.38","21800"
"FAM","2005-02-01","19.2","19.38","19.14","7.48","27600"
"FAM","2005-02-02","19.37","19.41","19.16","7.47","24100"
"FAM","2005-02-03","19.34","19.37","19.17","7.45","17600"
"FAM","2005-02-04","19.26","19.47","19.26","7.51","35900"
