"symbol","date","open","high","low","close","volume"
"FCAM","2014-12-22","105.01","107.99","105.01","107.84","461270"
"FCAM","2015-01-02","107.0","109.88","106.84","109.88","72651"
"FCAM","2015-01-05","106.61","107.25","104.0","104.74","222300"
"FCAM","2015-01-06","108.25","108.25","104.4","107.2","644084"
"FCAM","2015-01-07","106.92","107.27","105.03","107.17","263091"
"FCAM","2015-01-08","107.65","108.47","107.0","108.39","980922"
"FCAM","2015-01-09","108.6","109.0","108.0","109.0","393315"
"FCAM","2015-01-12","109.93","109.93","109.93","109.93","22"
"FCAM","2015-01-15","109.22","110.19","108.5","108.5","126651"
"FCAM","2015-01-16","112.15","112.15","110.11","110.113","411694"
"FCAM","2015-01-20","113.0","113.0","110.65","111.34","118861"
"FCAM","2015-01-21","112.96","112.97","112.06","112.62","239666"
"FCAM","2015-01-28","117.84","118.58","114.06","114.51","96578"
"FCAM","2015-01-29","116.5","118.72","116.5","118.558","180094"
"FCAM","2015-02-02","118.55","118.55","118.55","118.55","1513"
"FCAM","2015-02-03","120.88","122.25","120.88","122.252","691279"
"FCAM","2015-02-04","121.5","124.5","121.5","122.367","89361"
"FCAM","2015-02-05","123.46","123.65","122.25","122.99","282750"
"FCAM","2015-02-06","120.32","121.35","120.32","121.35","141"
"FCAM","2015-02-10","119.94","121.59","118.2","121.17","256365"
"FCAM","2015-02-11","121.06","121.54","120.14","121.54","161907"
"FCAM","2015-02-12","124.35","126.14","123.13","125.29","610647"
"FCAM","2015-02-13","125.0","127.0","124.99","125.93","206541"
"FCAM","2015-02-17","125.4","125.98","125.0","125.981","13583"
"FCAM","2015-02-18","125.34","127.65","125.34","127.0","266553"
"FCAM","2015-02-19","129.0","130.95","129.0","129.64","155343"
"FCAM","2015-02-20","129.5","132.97","127.4","132.97","145789"
"FCAM","2015-02-24","131.79","133.01","131.79","133.0","719617"
"FCAM","2015-02-25","131.0","131.01","129.93","129.93","32909"
"FCAM","2015-02-26","130.27","132.27","130.27","131.95","313788"
"FCAM","2015-03-03","132.7","132.7","131.0","131.5","426284"
"FCAM","2015-03-06","130.5","130.64","130.5","130.64","90336"
"FCAM","2015-03-09","131.3","132.27","131.3","131.53","15152"
"FCAM","2015-03-10","128.81","131.32","128.81","129.8","111605"
"FCAM","2015-03-11","131.97","132.95","130.82","132.839","29952"
"FCAM","2015-03-12","134.0","135.13","134.0","135.128","201432"
"FCAM","2015-03-13","135.7","139.7","135.7","139.5","98776"
"FCAM","2015-03-16","143.06","143.45","141.24","141.24","47535"
"FCAM","2015-03-20","139.0","139.0","137.37","138.75","16630"
"FCAM","2015-03-23","137.99","138.72","137.85","137.85","343616"
"FCAM","2015-03-24","140.7","141.65","139.54","139.93","422437"
"FCAM","2015-03-25","140.0","140.0","139.92","139.92","953"
"FCAM","2015-03-26","136.85","137.75","134.87","137.75","10089"
"FCAM","2015-03-30","139.85","141.17","139.65","141.17","7549"
"FCAM","2015-03-31","137.94","139.78","137.72","137.72","25040"
"FCAM","2015-04-01","138.71","138.77","137.81","138.44","13987"
"FCAM","2015-04-02","140.5","142.0","140.32","141.91","107531"
"FCAM","2015-04-06","139.47","141.25","138.27","138.27","866"
"FCAM","2015-04-07","139.62","140.14","139.06","139.32","564018"
"FCAM","2015-04-08","142.39","142.39","139.04","140.03","179677"
"FCAM","2015-04-10","139.08","140.37","139.08","140.37","79"
"FCAM","2015-04-13","139.95","140.0","139.8","139.95","1126"
"FCAM","2015-04-14","139.95","139.95","139.0","139.0","48667"
"FCAM","2015-04-17","137.58","137.58","136.43","137.12","160095"
"FCAM","2015-04-20","137.6","137.6","137.6","137.6","50184"
"FCAM","2015-04-21","138.33","139.21","138.33","139.21","54173"
"FCAM","2015-04-22","137.06","139.25","137.06","139.25","184713"
"FCAM","2015-04-23","136.7","139.26","136.67","136.67","241266"
"FCAM","2015-04-27","140.0","141.5","140.0","141.505","66489"
"FCAM","2015-04-28","137.62","139.07","137.62","138.75","1032"
"FCAM","2015-04-29","135.59","135.59","131.23","133.5","88700"
"FCAM","2015-04-30","131.1","131.1","127.05","127.54","44465"
"FCAM","2015-05-01","129.0","129.05","124.86","125.505","55255"
"FCAM","2015-05-04","128.18","129.71","127.6","128.551","40608"
"FCAM","2015-05-05","127.64","129.6","125.95","127.0","25203"
"FCAM","2015-05-06","125.79","126.92","123.19","123.57","80250"
"FCAM","2015-05-07","127.15","127.96","123.79","127.32","83518"
"FCAM","2015-05-08","130.11","131.33","129.74","130.5","118111"
"FCAM","2015-05-11","129.29","129.76","129.29","129.757","265084"
"FCAM","2015-05-12","129.03","129.1","127.15","128.75","259079"
"FCAM","2015-05-13","130.29","130.29","130.29","130.29","111387"
"FCAM","2015-05-14","130.83","132.27","130.78","131.18","219033"
"FCAM","2015-05-15","133.01","133.01","133.0","133.0","1077"
"FCAM","2015-05-18","133.54","134.31","133.54","134.306","52542"
"FCAM","2015-05-19","134.33","134.42","134.29","134.42","60484"
"FCAM","2015-05-20","135.1","135.1","135.1","135.1","175749"
"FCAM","2015-05-21","134.07","136.29","134.07","136.2","15422"
"FCAM","2015-05-22","136.32","136.32","136.0","136.0","101330"
"FCAM","2015-05-26","136.62","136.62","134.33","134.33","200804"
"FCAM","2015-05-27","134.6","137.7","134.6","137.6","151735"
"FCAM","2015-05-28","136.09","138.27","136.06","138.25","117768"
"FCAM","2015-05-29","137.8","137.88","137.8","137.88","309315"
"FCAM","2015-06-01","136.95","139.28","136.95","139.28","103325"
"FCAM","2015-06-02","138.6","138.8","138.6","138.8","20628"
"FCAM","2015-06-03","138.58","139.8","138.58","139.6731","274270"
"FCAM","2015-06-04","139.8","139.8","137.9","138.32","12433"
"FCAM","2015-06-05","136.55","136.55","132.5","134.61","3504"
"FCAM","2015-06-08","133.97","134.56","133.54","133.65","15506"
"FCAM","2015-06-09","133.99","133.99","131.08","132.84","316207"
"FCAM","2015-06-10","134.6","134.6","134.6","134.6","15750"
"FCAM","2015-06-11","135.57","136.65","135.5","136.2","277731"
"FCAM","2015-06-12","136.25","136.38","136.02","136.2","1040"
"FCAM","2015-06-15","134.06","137.0","133.75","133.75","9271"
"FCAM","2015-06-16","134.13","134.13","134.13","134.13","2989"
"FCAM","2015-06-17","130.99","131.15","130.95","131.15","55730"
"FCAM","2015-06-18","130.99","133.53","130.99","132.44","75096"
"FCAM","2015-06-19","132.0","132.3","121.67","130.7","323321"
"FCAM","2015-06-22","133.65","136.39","133.65","134.93","77388"
"FCAM","2015-06-23","134.1","136.81","134.1","136.09","1454"
"FCAM","2015-06-24","133.06","134.8","133.06","134.05","224053"
"FCAM","2015-06-25","133.82","133.87","133.18","133.23","4719"
"FCAM","2015-06-29","131.02","131.02","126.25","126.55","2605"
"FCAM","2015-06-30","130.62","130.62","126.15","126.15","2291"
"FCAM","2015-07-01","128.16","128.16","126.44","127.58","155396"
"FCAM","2015-07-02","127.11","127.11","124.83","124.86","15196"
"FCAM","2015-07-06","125.2","125.2","122.98","123.93","11658"
"FCAM","2015-07-07","121.18","124.77","120.29","124.43","6049"
"FCAM","2015-07-09","123.29","123.29","122.86","122.86","415332"
"FCAM","2015-07-10","125.63","126.57","125.63","126.14","36449"
"FCAM","2015-07-13","128.07","128.07","127.11","127.95","51951"
"FCAM","2015-07-14","126.85","128.86","126.75","127.83","111614"
"FCAM","2015-07-15","129.8","129.8","129.39","129.39","25199"
"FCAM","2015-07-16","131.91","132.01","131.8","132.01","135717"
"FCAM","2015-07-17","132.66","134.25","132.66","133.3","45940"
"FCAM","2015-07-20","134.85","134.85","133.33","133.33","50793"
"FCAM","2015-07-21","134.0","134.0","134.0","134.67","4074"
"FCAM","2015-07-22","134.31","134.67","133.91","133.63","1409"
"FCAM","2015-07-23","134.85","135.42","134.75","134.67","20906"
"FCAM","2015-07-24","132.5","133.02","132.5","132.5","50311"
"FCAM","2015-07-27","127.11","127.11","125.39","125.76","3965"
"FCAM","2015-07-28","130.16","130.2","130.16","130.2","223"
"FCAM","2015-07-29","126.71","127.47","126.71","127.47","123973"
"FCAM","2015-07-30","131.02","133.67","131.02","133.67","4687"
"FCAM","2015-07-31","135.5","137.11","135.25","137.11","161063"
"FCAM","2015-08-03","139.55","140.33","138.2","138.2","68591"
"FCAM","2015-08-04","139.0","139.16","138.95","139.16","787368"
"FCAM","2015-08-05","140.02","140.02","140.02","140.02","110"
"FCAM","2015-08-06","138.66","140.08","138.08","138.21","30900"
"FCAM","2015-08-07","138.93","140.35","138.91","140.35","2837"
"FCAM","2015-08-10","141.44","142.14","141.28","142.14","282238"
"FCAM","2015-08-11","139.8","140.67","139.0","139.82","102"
"FCAM","2015-08-12","135.5","135.5","132.01","132.93","110717"
"FCAM","2015-08-13","133.76","135.94","133.76","135.25","66094"
"FCAM","2015-08-17","132.8","133.4","132.75","132.82","101485"
