"symbol","date","open","high","low","close","volume"
"FCFS","1992-08-17","6.0","6.0","5.75","1.92","24600"
"FCFS","1992-08-18","6.0","6.0","5.75","1.92","49200"
"FCFS","1992-08-19","5.75","6.0","5.75","1.92","22800"
"FCFS","1992-08-20","6.0","6.0","5.75","2.0","93200"
"FCFS","1992-08-21","5.75","6.0","5.75","1.96","18800"
"FCFS","1992-08-24","5.75","5.75","5.75","1.92","30000"
"FCFS","1992-08-25","5.87","5.87","5.87","1.96","4200"
"FCFS","1992-08-26","5.75","5.87","5.75","1.92","48600"
"FCFS","1992-08-27","5.87","6.0","5.75","2.0","91800"
"FCFS","1992-08-28","6.0","6.0","5.62","1.96","60000"
"FCFS","1992-08-31","5.62","5.75","5.38","1.79","165600"
"FCFS","1992-09-01","5.75","5.75","5.38","1.92","38400"
"FCFS","1992-09-02","5.5","5.62","5.5","1.83","34200"
"FCFS","1992-09-03","5.38","5.38","5.0","1.71","168200"
"FCFS","1992-09-04","5.38","5.38","5.38","1.79","10400"
"FCFS","1992-09-08","5.12","5.12","5.12","1.71","8000"
"FCFS","1992-09-09","5.25","5.25","5.0","1.75","8000"
"FCFS","1992-09-10","5.25","5.38","5.12","1.79","21800"
"FCFS","1992-09-11","5.12","5.38","5.12","1.71","9600"
"FCFS","1992-09-14","5.12","5.25","5.12","1.71","17600"
"FCFS","1992-09-15","5.38","5.38","5.12","1.71","37800"
"FCFS","1992-09-16","5.12","5.25","5.0","1.71","303800"
"FCFS","1992-09-17","5.25","5.62","5.12","1.88","276200"
"FCFS","1992-09-18","5.62","5.62","5.38","1.88","87000"
"FCFS","1992-09-21","5.62","5.62","5.38","1.88","69600"
"FCFS","1992-09-22","5.5","5.5","5.38","1.79","9000"
"FCFS","1992-09-23","5.62","5.62","5.5","1.88","63000"
"FCFS","1992-09-24","5.75","5.87","5.62","1.88","33000"
"FCFS","1992-09-25","5.87","6.0","5.62","1.92","133800"
"FCFS","1992-09-28","5.87","5.87","5.75","1.96","5000"
"FCFS","1992-09-29","5.75","6.0","5.75","1.96","68400"
"FCFS","1992-09-30","5.75","5.75","5.62","1.88","5000"
"FCFS","1992-10-01","5.87","5.87","5.87","1.96","15200"
"FCFS","1992-10-02","5.75","5.75","5.62","1.88","7400"
"FCFS","1992-10-05","5.62","5.62","5.38","1.88","26000"
"FCFS","1992-10-06","5.5","5.87","5.5","1.96","56000"
"FCFS","1992-10-07","5.87","5.87","5.62","1.96","4400"
"FCFS","1992-10-08","5.87","5.87","5.5","1.88","9200"
"FCFS","1992-10-09","5.62","5.62","5.62","1.88","1400"
"FCFS","1992-10-12","5.62","5.62","5.62","1.88","600"
"FCFS","1992-10-13","5.87","5.87","5.62","1.88","21600"
"FCFS","1992-10-14","5.75","5.75","5.75","1.92","9000"
"FCFS","1992-10-15","5.75","5.87","5.62","1.92","31800"
"FCFS","1992-10-16","5.75","5.87","5.75","1.92","15800"
"FCFS","1992-10-19","5.87","5.87","5.62","1.92","69000"
"FCFS","1992-10-20","5.75","5.87","5.75","1.96","48000"
"FCFS","1992-10-21","5.87","6.13","5.87","2.04","56600"
"FCFS","1992-10-22","6.0","6.25","5.87","2.08","137600"
"FCFS","1992-10-23","6.25","6.25","6.0","2.08","12200"
"FCFS","1992-10-26","6.0","6.13","6.0","2.04","27800"
"FCFS","1992-10-27","6.13","6.13","5.75","1.96","46800"
"FCFS","1992-10-28","6.13","6.25","5.87","1.96","102800"
"FCFS","1992-10-29","6.25","6.25","6.0","2.08","78200"
"FCFS","1992-10-30","6.25","6.25","5.87","1.96","54800"
"FCFS","1992-11-02","6.0","6.13","5.87","1.96","16800"
"FCFS","1992-11-03","6.25","6.25","5.75","2.0","58400"
"FCFS","1992-11-04","5.87","6.0","5.87","2.0","49800"
"FCFS","1992-11-05","5.87","6.13","5.87","2.04","4800"
"FCFS","1992-11-06","6.13","6.13","5.87","1.96","42800"
"FCFS","1992-11-09","5.75","6.0","5.62","1.92","27600"
