"symbol","date","open","high","low","close","volume"
"FCPT","2015-11-10","19.85","22.17","18.88","20.38","11957817"
"FCPT","2015-11-11","20.0","21.25","20.0","21.17","3462351"
"FCPT","2015-11-12","20.7","20.89","20.1","20.53","1368628"
"FCPT","2015-11-13","20.95","21.35","20.42","20.74","654247"
"FCPT","2015-11-16","20.35","20.72","20.06","20.25","1131478"
"FCPT","2015-11-17","20.0","20.25","19.71","19.85","2206367"
"FCPT","2015-11-18","19.72","19.85","18.9","19.15","2208635"
"FCPT","2015-11-19","18.92","20.15","18.5","19.76","3055864"
"FCPT","2015-11-20","19.42","19.93","19.28","19.73","1648120"
"FCPT","2015-11-23","19.26","19.74","19.15","19.6","1536102"
"FCPT","2015-11-24","19.33","19.93","19.21","19.69","1303024"
"FCPT","2015-11-25","19.65","19.8","19.44","19.6","720406"
"FCPT","2015-11-27","19.32","19.7","19.32","19.51","167302"
"FCPT","2015-11-30","19.54","19.88","19.4","19.8","1094274"
"FCPT","2015-12-01","19.8","20.8","19.74","20.7","1052264"
"FCPT","2015-12-02","21.1","21.15","20.37","20.73","825423"
"FCPT","2015-12-03","20.54","20.96","20.54","20.9","1487172"
"FCPT","2015-12-04","20.61","21.92","20.24","21.71","1120631"
"FCPT","2015-12-07","21.55","22.36","21.4","22.11","921401"
"FCPT","2015-12-08","22.2","22.29","21.48","21.62","1278591"
"FCPT","2015-12-09","21.01","21.85","21.01","21.47","1093551"
"FCPT","2015-12-10","21.48","21.85","21.22","21.74","599088"
"FCPT","2015-12-11","21.61","21.81","21.06","21.39","581408"
"FCPT","2015-12-14","21.83","21.83","20.98","21.16","575282"
"FCPT","2015-12-15","21.3","21.49","21.17","21.3","1132753"
"FCPT","2015-12-16","21.59","21.72","21.38","21.62","622339"
"FCPT","2015-12-17","21.62","22.15","21.62","21.92","626189"
"FCPT","2015-12-18","21.92","22.92","21.86","22.69","2167340"
"FCPT","2015-12-21","22.7","23.59","22.6","23.35","585768"
"FCPT","2015-12-22","23.42","23.59","22.97","23.11","400214"
"FCPT","2015-12-23","23.34","23.47","23.04","23.4","372285"
"FCPT","2015-12-24","23.37","23.9","23.37","23.43","146552"
