"symbol","date","open","high","low","close","volume"
"FET","2012-04-12","22.5","22.9","21.63","21.75","11830600"
"FET","2012-04-13","21.95","22.23","21.5","21.5","2219800"
"FET","2012-04-16","21.75","22.07","21.63","21.74","557100"
"FET","2012-04-17","22.04","23.0","21.75","22.25","670300"
"FET","2012-04-18","22.01","22.21","21.0","21.7","877500"
"FET","2012-04-19","21.9","22.0","21.52","21.96","298800"
"FET","2012-04-20","22.0","22.19","21.75","22.05","727700"
"FET","2012-04-23","22.03","22.04","21.54","22.01","423900"
"FET","2012-04-24","21.91","22.2","21.56","21.66","798100"
"FET","2012-04-25","21.8","21.86","21.27","21.45","451500"
"FET","2012-04-26","21.44","21.95","21.25","21.8","345900"
"FET","2012-04-27","21.82","22.65","21.73","22.35","953300"
"FET","2012-04-30","22.29","23.86","22.19","23.12","715900"
"FET","2012-05-01","23.17","23.43","22.77","23.09","1033400"
"FET","2012-05-02","22.9","23.47","22.9","23.29","436500"
"FET","2012-05-03","22.9","23.21","22.9","23.08","509000"
"FET","2012-05-04","23.0","23.09","22.73","22.79","734700"
"FET","2012-05-07","22.58","22.89","22.46","22.73","295000"
"FET","2012-05-08","22.51","22.65","21.99","22.2","696300"
"FET","2012-05-09","21.93","22.12","21.82","21.99","366600"
"FET","2012-05-10","22.01","22.08","21.5","21.85","282000"
"FET","2012-05-11","21.69","21.81","21.5","21.76","147000"
"FET","2012-05-14","21.5","21.73","21.43","21.56","504200"
"FET","2012-05-15","21.54","22.23","21.43","21.51","607600"
"FET","2012-05-16","21.56","21.62","20.81","21.43","511100"
"FET","2012-05-17","21.53","21.64","20.9","21.0","800300"
"FET","2012-05-18","21.18","21.25","20.84","20.92","555800"
"FET","2012-05-21","20.93","22.17","20.93","21.64","480500"
"FET","2012-05-22","22.19","22.37","21.55","21.72","530400"
"FET","2012-05-23","21.98","21.98","21.1","21.34","523000"
"FET","2012-05-24","21.74","21.74","21.14","21.37","388800"
"FET","2012-05-25","21.56","21.56","21.11","21.38","399100"
"FET","2012-05-29","21.64","22.39","21.59","22.11","285400"
"FET","2012-05-30","21.99","22.0","21.52","21.6","338500"
"FET","2012-05-31","21.67","21.94","20.95","21.48","262300"
"FET","2012-06-01","19.26","21.15","19.26","21.03","885400"
"FET","2012-06-04","21.06","21.1","19.7","20.07","575200"
"FET","2012-06-05","19.98","20.64","19.72","19.99","472500"
"FET","2012-06-06","20.13","20.98","19.99","20.0","159300"
"FET","2012-06-07","20.29","21.23","19.96","20.75","354400"
"FET","2012-06-08","20.65","21.0","20.04","20.83","351700"
"FET","2012-06-11","21.0","21.11","19.81","20.0","619000"
"FET","2012-06-12","20.0","20.08","19.81","19.98","749000"
"FET","2012-06-13","19.91","20.01","19.7","19.92","500400"
"FET","2012-06-14","20.0","20.13","19.85","20.06","245700"
"FET","2012-06-15","19.85","20.08","19.61","20.08","684300"
"FET","2012-06-18","19.91","20.6","19.9","20.48","267200"
"FET","2012-06-19","20.5","20.99","20.25","20.77","446600"
"FET","2012-06-20","20.88","20.89","20.47","20.58","171600"
"FET","2012-06-21","20.53","20.55","19.69","19.79","693600"
"FET","2012-06-22","19.97","20.02","19.71","19.89","3084700"
"FET","2012-06-25","19.58","19.83","19.13","19.68","284700"
"FET","2012-06-26","19.71","19.73","19.21","19.25","293900"
"FET","2012-06-27","19.41","19.41","18.89","19.14","256400"
"FET","2012-06-28","19.0","19.34","18.73","19.31","167700"
"FET","2012-06-29","19.62","19.85","19.5","19.69","156100"
"FET","2012-07-02","19.69","19.81","19.45","19.66","219000"
"FET","2012-07-03","19.7","20.88","19.62","20.5","381800"
"FET","2012-07-05","20.41","20.55","19.85","20.43","175700"
"FET","2012-07-06","20.23","20.44","19.92","20.01","95700"
"FET","2012-07-09","19.97","20.45","19.91","20.3","242700"
"FET","2012-07-10","20.25","20.25","19.52","19.6","87100"
"FET","2012-07-11","19.68","19.86","19.35","19.63","154100"
"FET","2012-07-12","19.43","19.52","18.88","19.41","125300"
"FET","2012-07-13","19.42","19.93","19.31","19.83","209700"
"FET","2012-07-16","19.71","19.71","19.01","19.56","230800"
"FET","2012-07-17","19.62","19.79","19.25","19.56","177900"
"FET","2012-07-18","19.47","19.71","19.19","19.45","347100"
"FET","2012-07-19","19.56","19.67","19.33","19.59","65700"
"FET","2012-07-20","19.5","19.91","19.4","19.79","117400"
"FET","2012-07-23","19.47","19.78","19.23","19.75","190600"
"FET","2012-07-24","19.85","19.93","19.24","19.38","269700"
"FET","2012-07-25","19.5","19.58","19.23","19.52","142500"
"FET","2012-07-26","19.75","21.15","19.72","20.8","744800"
"FET","2012-07-27","18.62","20.69","18.6","20.43","667500"
"FET","2012-07-30","20.27","20.78","20.26","20.6","404800"
"FET","2012-07-31","20.55","21.12","20.52","20.84","869100"
"FET","2012-08-01","20.93","21.29","20.76","21.11","329800"
"FET","2012-08-02","20.81","21.1","20.77","21.0","366500"
"FET","2012-08-03","21.33","22.0","21.28","21.78","412200"
"FET","2012-08-06","21.82","22.58","21.64","22.09","486500"
"FET","2012-08-07","22.21","22.29","21.77","22.02","408900"
"FET","2012-08-08","21.81","22.31","21.72","21.95","414800"
"FET","2012-08-09","22.0","22.07","21.33","21.41","889500"
"FET","2012-08-10","21.34","21.79","20.82","21.67","244900"
"FET","2012-08-13","21.6","21.66","21.25","21.64","210300"
"FET","2012-08-14","21.84","22.15","21.84","22.07","182300"
"FET","2012-08-15","22.04","22.29","21.81","22.26","114100"
"FET","2012-08-16","22.33","22.45","22.3","22.4","183400"
"FET","2012-08-17","22.71","22.94","22.51","22.9","366800"
"FET","2012-08-20","22.95","22.98","22.65","22.8","108900"
"FET","2012-08-21","22.96","23.3","22.61","22.61","322800"
"FET","2012-08-22","22.67","22.67","21.7","21.92","264700"
"FET","2012-08-23","21.92","22.21","21.66","22.14","256300"
"FET","2012-08-24","21.99","23.12","21.99","22.98","365500"
"FET","2012-08-27","22.99","23.05","22.67","22.84","280000"
"FET","2012-08-28","22.75","23.5","22.7","23.42","357400"
"FET","2012-08-29","23.5","23.57","23.21","23.54","852900"
"FET","2012-08-30","23.36","23.5","23.19","23.42","373700"
"FET","2012-08-31","23.6","24.09","23.25","23.67","565000"
"FET","2012-09-04","23.77","23.8","23.28","23.57","231800"
"FET","2012-09-05","23.53","23.55","23.06","23.21","318300"
"FET","2012-09-06","23.4","24.53","23.37","23.95","799700"
"FET","2012-09-07","23.98","24.2","23.5","24.14","232300"
"FET","2012-09-10","24.03","24.48","24.01","24.09","212600"
"FET","2012-09-11","24.08","24.19","23.7","24.19","161200"
"FET","2012-09-12","24.35","24.65","24.14","24.54","271700"
"FET","2012-09-13","24.67","25.33","24.55","24.87","322300"
"FET","2012-09-14","24.75","25.69","24.69","25.22","529500"
"FET","2012-09-17","25.2","25.51","24.93","25.28","320500"
"FET","2012-09-18","25.78","25.78","25.19","25.2","479000"
"FET","2012-09-19","25.25","25.33","24.75","25.11","239600"
"FET","2012-09-20","24.91","25.24","24.48","25.07","201300"
"FET","2012-09-21","25.39","25.75","24.96","25.56","722700"
"FET","2012-09-24","25.7","25.73","25.39","25.69","321600"
"FET","2012-09-25","25.69","25.7","24.5","24.51","347300"
"FET","2012-09-26","24.47","24.53","23.7","24.23","475000"
"FET","2012-09-27","24.37","24.82","24.14","24.3","348000"
"FET","2012-09-28","24.24","24.58","24.1","24.32","233400"
"FET","2012-10-01","23.65","24.35","23.21","23.72","774200"
"FET","2012-10-02","23.68","23.78","22.5","22.95","527800"
"FET","2012-10-03","22.92","22.92","22.06","22.47","720800"
"FET","2012-10-04","22.45","22.71","22.0","22.7","402500"
"FET","2012-10-05","22.74","23.26","22.67","23.03","485300"
"FET","2012-10-08","22.93","23.35","22.44","23.29","476700"
"FET","2012-10-09","23.2","23.37","22.82","23.09","392100"
"FET","2012-10-10","23.03","23.34","22.51","22.55","224200"
"FET","2012-10-11","22.76","23.1","22.61","22.82","205700"
"FET","2012-10-12","22.75","22.89","22.4","22.7","79400"
"FET","2012-10-15","22.63","22.72","22.08","22.66","143700"
"FET","2012-10-16","22.63","22.89","22.36","22.74","150300"
"FET","2012-10-17","22.74","23.15","22.47","23.15","364600"
"FET","2012-10-18","23.1","23.32","22.98","23.08","121800"
"FET","2012-10-19","23.0","23.0","22.45","22.52","273900"
"FET","2012-10-22","22.56","22.56","22.02","22.17","86700"
