"symbol","date","open","high","low","close","volume"
"FGBI","2014-12-19","20.5","20.5","19.75","19.75","612"
"FGBI","2014-12-22","19.0","19.0","19.0","19.0","306"
"FGBI","2014-12-23","19.0","19.0","19.0","19.0","115"
"FGBI","2015-01-05","18.8","18.8","18.8","18.8","2106"
"FGBI","2015-11-05","18.5","18.75","17.5","18.75","112633"
"FGBI","2015-11-06","19.25","19.77","18.49","19.22","28648"
"FGBI","2015-11-09","18.85","20.44","18.05","19.94","9536"
"FGBI","2015-11-10","18.65","18.9","18.65","18.8","483"
"FGBI","2015-11-11","20.25","20.25","20.25","18.8","5"
"FGBI","2015-11-13","20.24","20.24","20.24","20.24","359"
"FGBI","2015-11-16","19.27","19.27","19.25","19.25","2716"
"FGBI","2015-11-17","19.87","19.99","19.83","19.99","4445"
"FGBI","2015-11-18","19.87","19.97","19.87","19.87","2340"
"FGBI","2015-11-19","20.1","20.51","20.1","20.5","3933"
"FGBI","2015-11-20","20.05","20.49","20.05","20.49","18070"
"FGBI","2015-11-23","20.2","20.2","20.2","20.2","501"
"FGBI","2015-11-24","20.09","20.5","20.09","20.15","27202"
"FGBI","2015-11-25","20.2","20.2","20.18","20.2","4001"
"FGBI","2015-11-27","20.33","20.33","20.05","20.05","445"
"FGBI","2015-11-30","20.29","20.3","20.12","20.3","3648"
"FGBI","2015-12-01","20.5","20.68","20.1","20.68","8988"
"FGBI","2015-12-02","21.45","21.45","20.7","20.7","13368"
"FGBI","2015-12-03","21.2","21.2","20.91","21.13","2910"
"FGBI","2015-12-04","21.13","21.13","20.73","21.0","415"
"FGBI","2015-12-07","21.15","21.15","20.75","21.12","2895"
"FGBI","2015-12-08","20.51","20.55","18.47","20.0","6700"
"FGBI","2015-12-09","19.52","20.03","18.58","18.58","282"
"FGBI","2015-12-10","19.43","19.43","19.43","19.43","153"
"FGBI","2015-12-11","19.95","19.95","18.88","19.48","1115"
"FGBI","2015-12-14","19.7","19.75","18.81","19.74","9225"
"FGBI","2015-12-15","18.8","19.75","18.8","19.75","32913"
"FGBI","2015-12-16","19.72","19.75","19.59","19.59","2763"
"FGBI","2015-12-17","19.7","19.73","19.45","19.73","3147"
"FGBI","2015-12-18","19.25","19.75","19.03","19.75","5649"
"FGBI","2015-12-21","18.93","21.73","18.86","21.68","2938"
"FGBI","2015-12-22","18.64","20.01","18.64","19.9","3867"
"FGBI","2015-12-23","19.97","20.01","19.97","20.01","1905"
"FGBI","2015-12-24","20.0","20.0","20.0","20.0","800"
"FGBI","2015-12-28","20.0","20.02","20.0","20.01","902"
"FGBI","2015-12-29","19.41","20.0","19.41","19.87","2978"
"FGBI","2015-12-30","19.75","19.89","19.45","19.65","1162"
