"symbol","date","open","high","low","close","volume"
"FLL","1993-08-17","3.12","3.38","2.97","3.0","89700"
"FLL","1993-08-18","3.0","3.12","3.0","3.12","215900"
"FLL","1993-08-19","3.0","3.12","2.25","2.75","367500"
"FLL","1993-08-20","2.88","2.88","2.5","2.75","121900"
"FLL","1993-08-23","2.75","2.88","2.38","2.88","112300"
"FLL","1993-08-24","2.75","2.88","2.38","2.62","72900"
"FLL","1993-08-25","2.75","2.75","2.38","2.38","8200"
"FLL","1993-08-26","2.62","2.62","2.12","2.5","200900"
"FLL","1993-08-27","2.25","2.62","2.25","2.5","55500"
"FLL","1993-08-30","2.5","2.5","2.38","2.38","16200"
"FLL","1993-08-31","2.38","2.5","2.25","2.25","49500"
"FLL","1993-09-01","2.5","2.5","2.09","2.12","151600"
"FLL","1993-09-02","2.38","2.5","2.12","2.5","146800"
"FLL","1993-09-03","2.5","2.5","2.25","2.5","62000"
"FLL","1993-09-07","2.38","2.5","2.38","2.5","39600"
"FLL","1993-09-08","2.38","2.5","2.38","2.38","49700"
"FLL","1993-09-09","2.38","2.5","2.38","2.38","52700"
"FLL","1993-09-10","2.5","2.5","2.38","2.38","25000"
"FLL","1993-09-13","2.5","2.5","2.25","2.38","55200"
"FLL","1993-09-14","2.5","2.5","2.25","2.38","50200"
"FLL","1993-09-15","2.5","2.5","1.75","2.0","136600"
"FLL","1993-09-16","2.0","2.12","1.75","2.12","65000"
"FLL","1993-09-17","2.0","2.12","1.88","2.12","20100"
"FLL","1993-09-20","1.88","2.06","1.88","2.06","2700"
"FLL","1993-09-21","1.94","2.06","1.88","2.06","19200"
"FLL","1993-09-22","1.88","2.06","1.88","1.91","37500"
"FLL","1993-09-23","1.88","2.0","1.75","1.75","33100"
"FLL","1993-09-24","1.88","1.88","1.75","1.88","20500"
"FLL","1993-09-27","1.75","1.88","1.75","1.75","12600"
"FLL","1993-09-28","1.88","1.88","1.25","1.31","113100"
"FLL","1993-09-29","1.31","1.62","1.31","1.5","38700"
"FLL","1993-09-30","1.38","1.5","1.38","1.5","8400"
"FLL","1993-10-01","1.56","1.56","1.38","1.38","7300"
"FLL","1993-10-04","1.5","1.5","1.25","1.38","28600"
"FLL","1993-10-05","1.25","1.62","1.25","1.62","69600"
"FLL","1993-10-06","1.5","1.75","1.5","1.69","121600"
"FLL","1993-10-07","1.81","1.81","1.62","1.69","55800"
"FLL","1993-10-08","1.75","1.75","1.62","1.62","24300"
"FLL","1993-10-11","1.5","1.62","1.5","1.5","9700"
"FLL","1993-10-12","1.62","1.62","1.5","1.5","13900"
"FLL","1993-10-13","1.5","1.5","1.38","1.38","24200"
"FLL","1993-10-14","1.38","1.44","1.38","1.38","16800"
"FLL","1993-10-15","1.5","1.5","1.38","1.38","94900"
"FLL","1993-10-18","1.5","1.5","1.38","1.38","14200"
"FLL","1993-10-19","1.38","1.38","1.38","1.38","8400"
"FLL","1993-10-20","1.5","1.5","1.38","1.38","4800"
"FLL","1993-10-21","1.5","1.5","1.38","1.44","23700"
"FLL","1993-10-22","1.44","1.44","1.25","1.31","43300"
"FLL","1993-10-25","1.38","1.44","1.25","1.25","31000"
"FLL","1993-10-26","1.44","1.44","1.38","1.38","2000"
"FLL","1993-10-27","1.44","1.44","1.25","1.44","5200"
"FLL","1993-10-28","1.25","1.38","1.25","1.25","6600"
"FLL","1993-10-29","1.25","1.44","1.25","1.44","11300"
"FLL","1993-11-01","1.38","1.38","1.25","1.25","15800"
"FLL","1993-11-02","1.25","1.38","1.25","1.25","9700"
"FLL","1993-11-03","1.38","1.44","1.25","1.44","33200"
"FLL","1993-11-04","1.44","1.5","1.25","1.31","81800"
"FLL","1993-11-05","1.31","1.44","1.25","1.31","71800"
"FLL","1993-11-08","1.44","1.44","1.25","1.25","7800"
"FLL","1993-11-09","1.44","1.44","1.25","1.38","11400"
"FLL","1993-11-10","1.25","1.44","1.25","1.31","12900"
"FLL","1993-11-11","1.25","1.31","1.25","1.31","7400"
"FLL","1993-11-12","1.25","1.38","1.25","1.25","26900"
"FLL","1993-11-15","1.25","1.25","1.25","1.25","17100"
"FLL","1993-11-16","1.25","1.25","1.25","1.25","7500"
"FLL","1993-11-17","1.25","1.25","1.25","1.25","13700"
"FLL","1993-11-18","1.38","1.38","1.06","1.19","115000"
"FLL","1993-11-19","1.06","1.06","1.0","1.0","25100"
"FLL","1993-11-22","1.19","1.19","1.06","1.19","29100"
"FLL","1993-11-23","1.25","1.31","1.12","1.12","51000"
"FLL","1993-11-24","1.31","1.41","1.16","1.25","62500"
"FLL","1993-11-26","1.25","1.44","1.25","1.44","74400"
"FLL","1993-11-29","1.5","1.81","1.5","1.75","414600"
"FLL","1993-11-30","1.81","2.0","1.69","1.75","145800"
"FLL","1993-12-01","1.81","1.94","1.69","1.75","62600"
"FLL","1993-12-02","1.81","1.81","1.56","1.62","60500"
"FLL","1993-12-03","1.81","2.0","1.62","1.78","174700"
"FLL","1993-12-06","1.81","1.97","1.81","1.88","29600"
"FLL","1993-12-07","1.81","1.94","1.81","1.81","23800"
"FLL","1993-12-08","1.81","1.88","1.75","1.81","54900"
"FLL","1993-12-09","1.81","1.81","1.75","1.81","49500"
"FLL","1993-12-10","1.69","1.75","1.62","1.62","17300"
"FLL","1993-12-13","1.62","1.88","1.62","1.75","29200"
"FLL","1993-12-14","1.81","1.81","1.69","1.72","69800"
"FLL","1993-12-15","1.69","1.81","1.69","1.75","8500"
"FLL","1993-12-16","1.69","1.75","1.62","1.62","17400"
"FLL","1993-12-17","1.62","1.75","1.62","1.75","23700"
"FLL","1993-12-20","1.62","1.75","1.62","1.75","40800"
"FLL","1993-12-21","1.62","1.75","1.62","1.62","44000"
"FLL","1993-12-22","1.62","1.69","1.5","1.56","79300"
"FLL","1993-12-23","1.56","1.75","1.56","1.56","45300"
"FLL","1993-12-27","1.62","1.69","1.56","1.56","21200"
"FLL","1993-12-28","1.56","1.56","1.56","1.56","4700"
"FLL","1993-12-29","1.56","1.69","1.5","1.69","34900"
"FLL","1993-12-30","1.62","1.75","1.56","1.56","44100"
"FLL","1993-12-31","1.69","1.75","1.56","1.69","83200"
"FLL","1994-01-03","1.62","1.75","1.62","1.75","26000"
"FLL","1994-01-04","1.62","1.62","1.56","1.56","4300"
"FLL","1994-01-05","1.75","1.75","1.56","1.56","1400"
"FLL","1994-01-06","1.56","1.56","1.56","1.56","2300"
"FLL","1994-01-07","1.75","1.75","1.56","1.75","17300"
"FLL","1994-01-10","1.56","1.62","1.44","1.44","36600"
"FLL","1994-01-11","1.5","1.69","1.5","1.62","18700"
"FLL","1994-01-12","1.69","1.69","1.5","1.5","2300"
"FLL","1994-01-13","1.5","1.56","1.44","1.44","13400"
"FLL","1994-01-14","1.56","1.56","1.44","1.56","2900"
"FLL","1994-01-17","1.44","1.44","1.44","1.44","4300"
"FLL","1994-01-18","1.47","1.5","1.19","1.31","28500"
"FLL","1994-01-19","1.16","1.25","1.12","1.12","22900"
"FLL","1994-01-20","1.12","1.25","1.12","1.25","15100"
"FLL","1994-01-21","1.12","1.38","1.12","1.34","15500"
"FLL","1994-01-24","1.25","1.38","1.25","1.38","3500"
"FLL","1994-01-25","1.25","1.38","1.19","1.19","16700"
"FLL","1994-01-26","1.31","1.31","1.19","1.31","30100"
"FLL","1994-01-27","1.31","1.38","1.25","1.25","21300"
"FLL","1994-01-28","1.25","1.25","1.25","1.25","2700"
"FLL","1994-01-31","1.38","1.38","1.25","1.38","41700"
"FLL","1994-02-01","1.44","1.56","1.31","1.56","37300"
"FLL","1994-02-02","1.62","1.75","1.62","1.75","73500"
"FLL","1994-02-03","1.75","1.75","1.62","1.75","41000"
"FLL","1994-02-04","1.69","1.69","1.56","1.62","37900"
"FLL","1994-02-07","1.62","1.62","1.5","1.62","17200"
"FLL","1994-02-08","1.62","1.62","1.56","1.59","14900"
"FLL","1994-02-09","1.62","1.62","1.56","1.62","26000"
"FLL","1994-02-10","1.5","1.81","1.5","1.75","63500"
"FLL","1994-02-11","1.75","1.75","1.62","1.75","36700"
