"symbol","date","open","high","low","close","volume"
"FLML","1996-06-07","12.0","12.25","11.75","11.75","987100"
"FLML","1996-06-10","11.75","11.88","11.75","11.75","156700"
"FLML","1996-06-11","11.75","12.12","11.75","11.75","140700"
"FLML","1996-06-12","11.75","12.12","11.75","11.75","247100"
"FLML","1996-06-13","11.75","12.12","11.75","11.94","139800"
"FLML","1996-06-14","11.75","12.12","11.75","12.0","156000"
"FLML","1996-06-17","11.75","12.12","11.75","11.75","19400"
"FLML","1996-06-18","12.12","12.12","11.75","11.75","108400"
"FLML","1996-06-19","11.75","12.12","11.62","11.62","10700"
"FLML","1996-06-20","11.62","12.12","9.5","9.5","120400"
"FLML","1996-06-21","9.38","9.38","7.5","8.75","211800"
"FLML","1996-06-24","8.88","9.12","8.38","8.38","47100"
"FLML","1996-06-25","8.75","9.0","6.88","7.0","159500"
"FLML","1996-06-26","7.12","8.25","7.12","7.75","47300"
"FLML","1996-06-27","8.12","8.25","7.62","7.75","264500"
"FLML","1996-06-28","8.12","8.12","7.75","8.06","300400"
"FLML","1996-07-01","7.75","8.88","7.75","8.88","21500"
"FLML","1996-07-02","9.25","10.25","9.25","10.0","56700"
"FLML","1996-07-03","10.75","10.75","9.5","10.25","201200"
"FLML","1996-07-05","10.25","10.25","9.5","9.5","5300"
"FLML","1996-07-08","9.5","10.25","9.5","9.5","47000"
"FLML","1996-07-09","9.75","10.25","8.5","8.5","48100"
"FLML","1996-07-10","8.38","8.75","7.38","7.75","136700"
"FLML","1996-07-11","7.62","8.0","7.25","7.25","231500"
"FLML","1996-07-12","7.0","7.38","7.0","7.0","4400"
"FLML","1996-07-15","7.12","7.38","5.0","5.75","108900"
"FLML","1996-07-16","6.5","6.5","5.88","5.88","120700"
"FLML","1996-07-17","6.5","7.25","6.0","6.88","302100"
"FLML","1996-07-18","7.25","7.5","7.0","7.38","57600"
"FLML","1996-07-19","7.38","7.75","7.38","7.5","17900"
"FLML","1996-07-22","7.38","7.75","7.38","7.75","2000"
"FLML","1996-07-23","7.38","7.75","7.38","7.38","8100"
"FLML","1996-07-24","7.0","7.56","5.75","6.5","100100"
"FLML","1996-07-25","6.75","6.75","6.48","6.48","15300"
"FLML","1996-07-26","6.38","6.75","6.38","6.75","900"
"FLML","1996-07-29","6.75","7.0","6.5","7.0","22600"
"FLML","1996-07-30","6.88","7.62","6.75","7.25","41800"
"FLML","1996-07-31","7.38","7.62","7.25","7.25","27000"
"FLML","1996-08-01","7.25","7.62","7.25","7.25","21800"
"FLML","1996-08-02","7.62","7.75","7.5","7.5","8100"
"FLML","1996-08-05","7.25","7.75","7.25","7.75","1200"
"FLML","1996-08-06","7.75","7.88","7.25","7.75","16700"
"FLML","1996-08-07","8.0","8.0","7.75","8.0","6600"
"FLML","1996-08-08","7.75","8.5","7.75","8.5","24700"
