"symbol","date","open","high","low","close","volume"
"FNB","1993-03-04","14.75","14.75","14.0","1.84","4000"
"FNB","1993-03-05","14.25","14.75","14.0","1.84","21400"
"FNB","1993-03-08","14.75","14.75","13.5","1.84","76500"
"FNB","1993-03-09","14.5","14.5","13.63","1.84","9600"
"FNB","1993-03-10","13.63","14.5","13.63","1.9","800"
"FNB","1993-03-11","13.63","14.12","13.63","1.84","1600"
"FNB","1993-03-12","13.5","14.5","13.5","1.9","26900"
"FNB","1993-03-15","14.37","14.75","14.0","1.84","6400"
"FNB","1993-03-16","14.5","14.75","14.0","1.84","3100"
"FNB","1993-03-17","14.37","14.75","14.0","1.93","9600"
"FNB","1993-03-18","14.75","15.0","14.0","1.84","32400"
"FNB","1993-03-19","14.75","14.75","14.0","1.9","11600"
"FNB","1993-03-22","14.75","14.75","14.75","1.93","1600"
"FNB","1993-03-23","14.0","15.0","14.0","1.97","19500"
"FNB","1993-03-24","14.75","15.0","14.25","1.87","42900"
"FNB","1993-03-25","14.25","15.75","14.25","2.07","7100"
"FNB","1993-03-26","14.37","15.75","14.25","2.02","8200"
"FNB","1993-03-29","14.25","15.75","14.25","2.07","300"
"FNB","1993-03-30","15.75","15.75","15.0","1.97","4800"
"FNB","1993-03-31","15.75","15.75","14.62","1.92","13000"
"FNB","1993-04-01","15.25","15.75","14.25","1.98","38100"
"FNB","1993-04-02","14.62","15.75","14.62","2.05","1900"
"FNB","1993-04-05","14.75","15.75","14.0","1.9","16300"
"FNB","1993-04-06","15.5","16.0","14.5","1.97","7100"
"FNB","1993-04-07","14.75","16.0","14.75","2.1","3800"
"FNB","1993-04-08","15.5","16.0","14.75","2.03","15400"
"FNB","1993-04-12","15.0","16.0","15.0","1.97","7300"
"FNB","1993-04-13","16.5","16.5","15.0","2.16","20800"
"FNB","1993-04-14","15.25","16.88","15.25","2.0","1700"
"FNB","1993-04-15","15.25","17.25","15.25","2.26","13300"
"FNB","1993-04-16","17.5","17.5","16.0","2.29","11700"
"FNB","1993-04-19","15.88","17.25","15.75","2.26","6200"
"FNB","1993-04-20","15.75","17.0","15.5","2.03","31600"
"FNB","1993-04-21","15.5","16.25","15.5","2.13","10600"
"FNB","1993-04-22","14.75","16.25","14.75","2.13","16300"
"FNB","1993-04-23","16.25","16.25","16.25","2.13","100"
"FNB","1993-04-26","15.88","15.88","14.5","1.9","4600"
"FNB","1993-04-27","14.5","14.5","14.5","1.9","0"
"FNB","1993-04-28","15.75","15.75","14.5","2.05","14000"
"FNB","1993-04-29","15.75","15.75","14.5","1.9","3400"
"FNB","1993-04-30","15.75","15.75","15.0","2.07","5200"
"FNB","1993-05-03","15.75","16.0","15.0","1.97","4600"
"FNB","1993-05-04","15.0","15.5","14.0","2.13","4600"
"FNB","1993-05-05","15.5","15.75","14.5","2.17","8800"
"FNB","1993-05-06","16.0","16.0","14.75","2.05","6800"
"FNB","1993-05-07","14.5","14.5","14.5","2.0","500"
