"symbol","date","open","high","low","close","volume"
"FPT","2002-12-20","15.0","15.01","15.0","7.59","112600"
"FPT","2002-12-23","15.0","15.05","15.0","7.59","77500"
"FPT","2002-12-24","15.0","15.0","15.0","7.59","9400"
"FPT","2002-12-26","15.0","15.0","15.0","7.59","18700"
"FPT","2002-12-27","15.0","15.01","15.0","7.59","45800"
"FPT","2002-12-30","15.0","15.01","15.0","7.6","51900"
"FPT","2002-12-31","15.0","15.02","15.0","7.59","37300"
"FPT","2003-01-02","15.0","15.02","15.0","7.59","14500"
"FPT","2003-01-03","15.0","15.01","15.0","7.59","16400"
"FPT","2003-01-06","15.0","15.12","15.0","7.59","17000"
"FPT","2003-01-07","15.04","15.04","15.0","7.59","16100"
"FPT","2003-01-08","15.0","15.04","15.0","7.59","8300"
"FPT","2003-01-09","15.0","15.05","15.0","7.6","8600"
"FPT","2003-01-10","15.0","15.07","15.0","7.63","7900"
"FPT","2003-01-13","15.02","15.04","15.0","7.59","11400"
"FPT","2003-01-14","15.0","15.0","15.0","7.59","6000"
"FPT","2003-01-15","15.0","15.01","15.0","7.6","24700"
"FPT","2003-01-16","15.0","15.01","15.0","7.59","13200"
"FPT","2003-01-17","15.0","15.01","15.0","7.6","11000"
"FPT","2003-01-21","15.0","15.01","15.0","7.59","26500"
"FPT","2003-01-22","15.0","15.01","15.0","7.59","31600"
"FPT","2003-01-23","15.0","15.04","15.0","7.6","36100"
"FPT","2003-01-24","15.01","15.01","15.0","7.6","12000"
"FPT","2003-01-27","15.0","15.01","15.0","7.6","22400"
"FPT","2003-01-28","14.97","14.97","14.9","7.55","11000"
"FPT","2003-01-29","14.82","14.87","14.82","7.52","21500"
"FPT","2003-01-30","14.8","14.8","14.8","7.49","1000"
"FPT","2003-01-31","14.72","14.72","14.67","7.43","5300"
"FPT","2003-02-03","14.6","14.6","14.59","7.39","13200"
"FPT","2003-02-04","14.59","14.6","14.59","7.39","3800"
"FPT","2003-02-05","14.59","14.59","14.59","7.39","2000"
"FPT","2003-02-06","14.59","14.59","14.49","7.34","22100"
"FPT","2003-02-07","14.45","14.46","14.35","7.3","20500"
"FPT","2003-02-10","14.4","14.4","14.17","7.19","38200"
"FPT","2003-02-11","14.2","14.2","13.55","6.97","42800"
"FPT","2003-02-12","13.85","13.85","13.7","6.98","10200"
"FPT","2003-02-13","13.82","13.98","13.72","6.97","15100"
"FPT","2003-02-14","13.67","13.83","13.67","7.0","9600"
"FPT","2003-02-18","13.93","13.97","13.85","7.01","11300"
"FPT","2003-02-19","13.73","13.95","13.73","7.07","21500"
"FPT","2003-02-20","13.87","13.9","13.85","7.05","25800"
"FPT","2003-02-21","13.86","13.87","13.85","7.05","16200"
"FPT","2003-02-24","13.85","13.96","13.85","7.04","21900"
"FPT","2003-02-25","13.86","14.07","13.8","7.13","16600"
"FPT","2003-02-26","14.05","14.15","13.9","7.07","11900"
"FPT","2003-02-27","13.93","14.0","13.92","7.12","19400"
"FPT","2003-02-28","14.0","14.04","13.9","7.14","19800"
"FPT","2003-03-03","13.98","13.98","13.91","7.07","4500"
"FPT","2003-03-04","13.93","14.05","13.91","7.09","7600"
"FPT","2003-03-05","14.02","14.12","13.99","7.17","16700"
"FPT","2003-03-06","14.05","14.15","13.95","7.2","8800"
"FPT","2003-03-07","14.2","14.3","14.2","7.24","5800"
"FPT","2003-03-10","14.29","14.35","13.95","7.14","19400"
"FPT","2003-03-11","13.95","14.18","13.95","7.21","5900"
"FPT","2003-03-12","14.27","14.27","14.1","7.17","5200"
"FPT","2003-03-13","14.1","14.1","13.97","7.16","8000"
"FPT","2003-03-14","13.98","14.0","13.95","7.09","7500"
"FPT","2003-03-17","13.95","13.95","13.62","6.95","40100"
"FPT","2003-03-18","13.75","13.75","13.55","6.91","19000"
"FPT","2003-03-19","13.51","13.87","13.51","7.06","18000"
"FPT","2003-03-20","13.8","13.8","13.12","6.86","98600"
"FPT","2003-03-21","13.42","13.45","13.26","6.86","54800"
"FPT","2003-03-24","13.42","13.42","13.15","6.83","69900"
"FPT","2003-03-25","13.3","13.47","13.25","6.81","36500"
"FPT","2003-03-26","13.33","13.43","13.25","6.86","43500"
"FPT","2003-03-27","13.39","13.6","13.39","6.9","11700"
"FPT","2003-03-28","13.6","13.6","13.5","6.9","13100"
"FPT","2003-03-31","13.55","13.65","13.55","6.95","6300"
"FPT","2003-04-01","13.66","13.66","13.55","6.95","8000"
"FPT","2003-04-02","13.65","13.7","13.58","6.94","16200"
"FPT","2003-04-03","13.68","13.87","13.68","7.05","17700"
"FPT","2003-04-04","13.7","13.76","13.66","7.03","9300"
"FPT","2003-04-07","13.68","13.68","13.4","6.89","21300"
"FPT","2003-04-08","13.42","13.6","13.42","6.95","12800"
"FPT","2003-04-09","13.6","13.64","13.54","6.97","8500"
"FPT","2003-04-10","13.61","13.61","13.48","6.91","31100"
"FPT","2003-04-11","13.53","13.62","13.53","6.93","9200"
"FPT","2003-04-14","13.52","13.69","13.41","6.86","39100"
"FPT","2003-04-15","13.41","13.49","13.26","6.89","17500"
"FPT","2003-04-16","13.45","13.48","13.44","6.89","15300"
"FPT","2003-04-17","13.4","13.48","13.4","6.88","25900"
"FPT","2003-04-21","13.35","13.5","13.33","6.9","11700"
"FPT","2003-04-22","13.4","13.54","13.38","6.95","27300"
"FPT","2003-04-23","13.53","13.54","13.45","6.92","22000"
"FPT","2003-04-24","13.49","13.5","13.39","6.91","25100"
"FPT","2003-04-25","13.48","13.59","13.45","6.98","12000"
"FPT","2003-04-28","13.54","13.63","13.51","6.96","18700"
"FPT","2003-04-29","13.6","13.67","13.55","7.02","15400"
"FPT","2003-04-30","13.69","13.82","13.61","7.01","24800"
"FPT","2003-05-01","13.76","13.76","13.65","7.06","28500"
"FPT","2003-05-02","13.67","13.78","13.66","7.07","21900"
"FPT","2003-05-05","13.74","13.78","13.73","7.05","7800"
"FPT","2003-05-06","13.7","13.88","13.7","7.05","23900"
"FPT","2003-05-07","13.7","13.78","13.7","7.07","19800"
"FPT","2003-05-08","13.78","13.9","13.7","7.04","33200"
"FPT","2003-05-09","13.72","13.85","13.72","7.11","7600"
"FPT","2003-05-12","13.85","14.04","13.85","7.17","20400"
"FPT","2003-05-13","13.91","14.18","13.91","7.28","6500"
"FPT","2003-05-14","14.09","14.19","14.0","7.19","23300"
"FPT","2003-05-15","14.1","14.2","14.08","7.27","11900"
"FPT","2003-05-16","14.06","14.21","14.06","7.29","4500"
"FPT","2003-05-19","14.15","14.19","14.08","7.28","2800"
"FPT","2003-05-20","14.19","14.35","14.06","7.34","15300"
"FPT","2003-05-21","14.29","14.45","14.28","7.45","15700"
"FPT","2003-05-22","14.26","14.42","14.21","7.33","15900"
"FPT","2003-05-23","14.2","14.2","14.08","7.27","17700"
"FPT","2003-05-27","14.11","14.2","14.11","7.28","11800"
"FPT","2003-05-28","14.13","14.2","14.02","7.32","19100"
"FPT","2003-05-29","14.15","14.25","14.12","7.34","5700"
"FPT","2003-05-30","14.25","14.38","14.25","7.41","11500"
"FPT","2003-06-02","14.35","14.35","14.16","7.37","10200"
"FPT","2003-06-03","14.26","14.44","14.26","7.45","12600"
"FPT","2003-06-04","14.4","14.52","14.15","7.3","48600"
"FPT","2003-06-05","14.19","14.29","14.07","7.37","20200"
"FPT","2003-06-06","14.24","14.35","14.2","7.34","17000"
"FPT","2003-06-09","14.23","14.25","14.14","7.32","16400"
"FPT","2003-06-10","14.14","14.3","14.14","7.37","13800"
"FPT","2003-06-11","14.35","14.35","14.2","7.32","17600"
"FPT","2003-06-12","14.25","14.44","14.25","7.45","17700"
"FPT","2003-06-13","14.46","14.55","14.42","7.44","20300"
"FPT","2003-06-16","14.44","14.7","14.44","7.58","6000"
"FPT","2003-06-17","14.7","14.8","14.66","7.58","11100"
"FPT","2003-06-18","14.65","14.68","14.4","7.47","13000"
"FPT","2003-06-19","14.36","14.36","14.18","7.41","23600"
"FPT","2003-06-20","14.25","14.28","14.08","7.38","14500"
"FPT","2003-06-23","14.3","14.4","14.15","7.36","15200"
"FPT","2003-06-24","14.15","14.21","14.03","7.32","27200"
"FPT","2003-06-25","14.23","14.46","14.2","7.43","15700"
"FPT","2003-06-26","14.4","14.5","14.2","7.51","20700"
"FPT","2003-06-27","14.46","14.71","14.4","7.46","12700"
"FPT","2003-06-30","14.45","14.48","14.21","7.5","12700"
"FPT","2003-07-01","14.5","14.69","14.44","7.61","15700"
"FPT","2003-07-02","14.7","14.82","14.46","7.49","15100"
"FPT","2003-07-03","14.5","14.5","14.23","7.37","23800"
"FPT","2003-07-07","14.4","14.4","14.21","7.45","20100"
"FPT","2003-07-08","14.43","14.59","14.43","7.51","11800"
"FPT","2003-07-09","14.45","14.65","14.41","7.51","11700"
"FPT","2003-07-10","14.5","14.5","14.32","7.46","13300"
"FPT","2003-07-11","14.31","14.39","14.31","7.42","10600"
"FPT","2003-07-14","14.32","14.32","14.3","7.42","8800"
"FPT","2003-07-15","14.42","14.42","14.32","7.46","11900"
"FPT","2003-07-16","14.38","14.38","14.03","7.35","26600"
"FPT","2003-07-17","14.2","14.35","14.2","7.41","9600"
"FPT","2003-07-18","14.3","14.3","14.2","7.36","1300"
"FPT","2003-07-21","14.2","14.4","14.2","7.39","20300"
"FPT","2003-07-22","14.27","14.27","14.2","7.39","9200"
"FPT","2003-07-23","14.29","14.29","14.19","7.38","20100"
"FPT","2003-07-24","14.2","14.2","13.82","7.22","21700"
"FPT","2003-07-25","13.9","14.0","13.79","7.17","15500"
"FPT","2003-07-28","13.76","13.76","13.4","7.03","58500"
"FPT","2003-07-29","13.45","13.45","13.16","6.89","48600"
"FPT","2003-07-30","13.24","13.35","13.24","6.91","10000"
"FPT","2003-07-31","13.5","13.55","13.23","6.89","33300"
"FPT","2003-08-01","13.3","13.38","13.2","6.96","14500"
"FPT","2003-08-04","13.35","13.53","13.35","6.96","15600"
"FPT","2003-08-05","13.43","13.6","13.31","7.02","17200"
"FPT","2003-08-06","13.5","13.64","13.36","7.02","22500"
"FPT","2003-08-07","13.55","13.64","13.54","7.04","5100"
"FPT","2003-08-08","13.54","13.64","13.54","7.1","16100"
"FPT","2003-08-11","13.6","13.64","13.52","7.1","22500"
"FPT","2003-08-12","13.59","13.7","13.56","7.13","7500"
"FPT","2003-08-13","13.64","13.95","13.5","7.02","23200"
"FPT","2003-08-14","13.45","13.46","13.36","6.99","19900"
"FPT","2003-08-15","13.35","13.35","13.25","6.93","15900"
"FPT","2003-08-18","13.26","13.5","13.26","6.98","10300"
"FPT","2003-08-19","13.39","13.7","13.27","7.02","23900"
"FPT","2003-08-20","13.4","13.54","13.33","7.02","9400"
"FPT","2003-08-21","13.42","13.42","13.3","7.0","6100"
"FPT","2003-08-22","13.34","13.55","13.24","7.05","20400"
"FPT","2003-08-25","13.24","13.35","13.24","6.95","29900"
"FPT","2003-08-26","13.24","13.24","13.11","6.86","16300"
"FPT","2003-08-27","13.15","13.25","13.11","6.88","9100"
"FPT","2003-08-28","13.18","13.29","13.15","6.95","8600"
"FPT","2003-08-29","13.29","13.35","13.22","6.92","13400"
"FPT","2003-09-02","13.25","13.34","13.2","6.93","14800"
"FPT","2003-09-03","13.28","13.34","13.21","6.91","19900"
"FPT","2003-09-04","13.27","13.54","13.25","7.07","10900"
"FPT","2003-09-05","13.51","13.52","13.3","7.07","17400"
"FPT","2003-09-08","13.47","13.51","13.3","6.97","25800"
"FPT","2003-09-09","13.37","13.41","13.32","6.98","7300"
"FPT","2003-09-10","13.39","13.51","13.38","7.06","10700"
"FPT","2003-09-11","13.5","13.56","13.41","7.05","17300"
"FPT","2003-09-12","13.45","13.81","13.4","7.19","20700"
"FPT","2003-09-15","13.73","13.73","13.56","7.12","14900"
"FPT","2003-09-16","13.56","13.56","13.55","7.08","3800"
"FPT","2003-09-17","13.58","13.61","13.37","7.06","16300"
"FPT","2003-09-18","13.48","13.48","13.45","7.05","15700"
"FPT","2003-09-19","13.46","13.46","13.36","7.06","20200"
"FPT","2003-09-22","13.24","13.44","13.24","6.97","52300"
"FPT","2003-09-23","13.31","13.34","13.16","7.01","34500"
"FPT","2003-09-24","13.34","13.39","13.25","7.03","30500"
"FPT","2003-09-25","13.37","13.55","13.3","7.06","28000"
"FPT","2003-09-26","13.41","13.49","13.4","7.07","18700"
"FPT","2003-09-29","13.47","13.52","13.46","7.1","8400"
"FPT","2003-09-30","13.52","13.6","13.41","7.1","14200"
"FPT","2003-10-01","13.57","13.65","13.57","7.17","12300"
"FPT","2003-10-02","13.65","13.77","13.63","7.23","18000"
"FPT","2003-10-03","13.77","13.77","13.73","7.22","15000"
"FPT","2003-10-06","13.85","13.85","13.75","7.22","7700"
"FPT","2003-10-07","13.74","13.77","13.74","7.23","6300"
"FPT","2003-10-08","13.75","13.76","13.65","7.22","8800"
"FPT","2003-10-09","13.65","13.72","13.65","7.18","2600"
"FPT","2003-10-10","13.71","13.75","13.56","7.21","17300"
"FPT","2003-10-13","13.65","13.9","13.53","7.27","19200"
"FPT","2003-10-14","13.81","13.99","13.8","7.25","15800"
"FPT","2003-10-15","13.85","13.95","13.85","7.32","8200"
"FPT","2003-10-16","13.85","13.9","13.81","7.3","17500"
"FPT","2003-10-17","13.87","13.95","13.7","7.2","25100"
"FPT","2003-10-20","13.7","13.8","13.6","7.22","6600"
"FPT","2003-10-21","13.57","13.75","13.54","7.18","20800"
"FPT","2003-10-22","13.7","13.79","13.55","7.16","21800"
"FPT","2003-10-23","13.56","13.78","13.56","7.2","13700"
"FPT","2003-10-24","13.55","13.64","13.53","7.2","2700"
"FPT","2003-10-27","13.75","13.75","13.56","7.25","14900"
"FPT","2003-10-28","13.63","13.79","13.63","7.26","8200"
"FPT","2003-10-29","13.79","13.94","13.79","7.36","9600"
"FPT","2003-10-30","13.94","13.94","13.92","7.35","6900"
"FPT","2003-10-31","13.92","13.93","13.7","7.29","14900"
"FPT","2003-11-03","13.9","13.92","13.83","7.3","11600"
"FPT","2003-11-04","13.88","13.88","13.69","7.23","10100"
"FPT","2003-11-05","13.72","13.86","13.72","7.26","20500"
"FPT","2003-11-06","13.72","13.72","13.6","7.18","16000"
"FPT","2003-11-07","13.57","13.65","13.54","7.2","6800"
"FPT","2003-11-10","13.54","13.64","13.54","7.2","11000"
"FPT","2003-11-11","13.64","13.69","13.59","7.18","6600"
"FPT","2003-11-12","13.6","13.73","13.54","7.24","42200"
"FPT","2003-11-13","13.73","13.82","13.73","7.29","6900"
"FPT","2003-11-14","13.74","13.8","13.68","7.23","20900"
"FPT","2003-11-17","13.68","13.74","13.66","7.21","8400"
"FPT","2003-11-18","13.7","13.75","13.6","7.21","20000"
"FPT","2003-11-19","13.65","13.71","13.54","7.18","20100"
"FPT","2003-11-20","13.53","13.6","13.53","7.18","20100"
"FPT","2003-11-21","13.53","13.66","13.53","7.24","17000"
"FPT","2003-11-24","13.6","13.66","13.54","7.24","24200"
"FPT","2003-11-25","13.64","13.66","13.56","7.2","5600"
"FPT","2003-11-26","13.6","13.66","13.52","7.17","20500"
"FPT","2003-11-28","13.55","13.55","13.4","7.14","21300"
"FPT","2003-12-01","13.51","13.56","13.46","7.14","26800"
"FPT","2003-12-02","13.54","13.56","13.37","7.11","43700"
"FPT","2003-12-03","13.42","13.47","13.37","7.09","20300"
"FPT","2003-12-04","13.36","13.47","13.36","7.1","10100"
"FPT","2003-12-05","13.38","13.44","13.38","7.11","36200"
"FPT","2003-12-08","13.41","13.53","13.39","7.12","30600"
"FPT","2003-12-09","13.44","13.48","13.41","7.11","17100"
"FPT","2003-12-10","13.4","13.49","13.39","7.13","16200"
"FPT","2003-12-11","13.38","13.48","13.36","7.15","19800"
"FPT","2003-12-12","13.49","13.56","13.38","7.19","30100"
"FPT","2003-12-15","13.49","13.65","13.46","7.24","29700"
"FPT","2003-12-16","13.6","13.61","13.5","7.21","20200"
"FPT","2003-12-17","13.53","13.68","13.53","7.22","37700"
"FPT","2003-12-18","13.55","13.68","13.52","7.24","29000"
"FPT","2003-12-19","13.5","13.69","13.5","7.22","36000"
"FPT","2003-12-22","13.5","13.57","13.46","7.23","36900"
"FPT","2003-12-23","13.5","13.6","13.46","7.23","44300"
"FPT","2003-12-24","13.5","13.57","13.48","7.23","13400"
"FPT","2003-12-26","13.53","13.57","13.53","7.22","7400"
"FPT","2003-12-29","13.54","13.54","13.41","7.15","46700"
"FPT","2003-12-30","13.42","13.43","13.35","7.12","50600"
"FPT","2003-12-31","13.36","13.48","13.36","7.18","39200"
"FPT","2004-01-02","13.39","13.49","13.39","7.19","5700"
"FPT","2004-01-05","13.5","13.57","13.5","7.23","11300"
"FPT","2004-01-06","13.56","13.7","13.5","7.3","18500"
"FPT","2004-01-07","13.69","13.81","13.69","7.36","12800"
"FPT","2004-01-08","13.78","13.88","13.76","7.35","33800"
