"symbol","date","open","high","low","close","volume"
"FRSH","2014-05-02","12.1","12.1","11.02","11.05","4446800"
"FRSH","2014-05-05","11.1","11.55","11.05","11.33","509600"
"FRSH","2014-05-06","11.58","11.59","11.11","11.26","260000"
"FRSH","2014-05-07","11.45","11.45","10.99","11.1","665900"
"FRSH","2014-05-08","11.08","11.1","10.99","11.0","129100"
"FRSH","2014-05-09","11.2","11.2","10.85","10.89","352200"
"FRSH","2014-05-12","11.05","11.05","10.64","10.72","233300"
"FRSH","2014-05-13","10.6","10.74","10.6","10.65","99900"
"FRSH","2014-05-14","10.98","10.98","10.58","10.6","73900"
"FRSH","2014-05-15","10.52","10.6","10.47","10.51","146500"
"FRSH","2014-05-16","10.65","10.78","10.35","10.69","212400"
"FRSH","2014-05-19","10.69","10.69","10.46","10.52","247500"
"FRSH","2014-05-20","10.5","10.5","9.83","10.16","445600"
"FRSH","2014-05-21","10.15","10.15","9.6","9.76","342600"
"FRSH","2014-05-22","9.8","9.85","8.93","9.05","665200"
"FRSH","2014-05-23","9.68","9.68","9.3","9.34","360000"
"FRSH","2014-05-27","9.5","9.85","9.35","9.77","799300"
"FRSH","2014-05-28","9.84","9.95","9.5","9.56","290200"
"FRSH","2014-05-29","9.54","9.98","9.5","9.86","395100"
"FRSH","2014-05-30","9.95","11.12","9.9","10.95","642200"
"FRSH","2014-06-02","10.94","10.94","9.91","10.2","375800"
"FRSH","2014-06-03","10.2","10.25","9.7","10.06","372100"
"FRSH","2014-06-04","10.0","10.18","9.92","9.99","130000"
"FRSH","2014-06-05","9.99","10.09","9.84","9.97","187100"
"FRSH","2014-06-06","10.15","10.15","9.76","9.81","142200"
"FRSH","2014-06-09","9.79","9.79","9.3","9.34","206800"
"FRSH","2014-06-10","9.29","9.4","8.82","8.98","381100"
"FRSH","2014-06-11","8.8","8.8","8.32","8.5","659100"
"FRSH","2014-06-12","8.51","8.75","8.5","8.58","267000"
"FRSH","2014-06-13","8.8","9.17","8.62","9.03","379300"
"FRSH","2014-06-16","9.08","9.29","8.92","9.17","234600"
"FRSH","2014-06-17","9.13","9.24","9.0","9.19","113800"
"FRSH","2014-06-18","9.27","9.27","9.09","9.2","230400"
"FRSH","2014-06-19","9.26","9.65","9.18","9.53","360900"
"FRSH","2014-06-20","9.5","9.59","9.09","9.15","298600"
"FRSH","2014-06-23","9.19","9.39","9.1","9.27","105300"
"FRSH","2014-06-24","9.24","9.8","9.07","9.11","212300"
"FRSH","2014-06-25","9.1","9.7","8.86","9.31","87500"
"FRSH","2014-06-26","9.35","9.46","9.08","9.22","67100"
"FRSH","2014-06-27","9.22","9.77","9.21","9.23","790100"
