"symbol","date","open","high","low","close","volume"
"FSB","2015-03-26","21.0","21.18","20.75","21.0","910112"
"FSB","2015-03-27","21.0","21.07","20.75","21.0","168125"
"FSB","2015-03-30","21.1","21.1","20.95","21.0","38317"
"FSB","2015-03-31","21.06","21.06","20.86","21.0","62884"
"FSB","2015-04-01","21.0","21.0","20.9","21.0","43968"
"FSB","2015-04-02","20.95","21.0","20.9","21.0","17293"
"FSB","2015-04-06","21.0","21.0","20.93","21.0","58822"
"FSB","2015-04-07","20.95","20.97","20.91","20.95","51127"
"FSB","2015-04-08","20.95","21.0","20.9","21.0","53009"
"FSB","2015-04-09","21.0","21.0","20.95","21.0","32255"
"FSB","2015-04-10","20.95","21.0","20.95","21.0","33375"
"FSB","2015-04-13","21.0","21.0","20.91","21.0","30636"
"FSB","2015-04-14","20.99","21.0","20.91","21.0","55296"
"FSB","2015-04-15","20.96","21.0","20.9","21.0","41567"
"FSB","2015-04-16","20.95","21.0","20.91","21.0","39138"
"FSB","2015-04-17","20.95","21.0","20.95","21.0","21783"
"FSB","2015-04-20","21.1","21.1","20.97","21.0","40474"
"FSB","2015-04-21","21.28","21.28","20.92","20.95","36235"
"FSB","2015-04-22","20.98","20.99","20.26","20.42","32898"
"FSB","2015-04-23","20.32","20.9","20.32","20.75","25077"
"FSB","2015-04-24","20.83","20.98","20.8","20.9","19206"
"FSB","2015-04-27","20.99","21.1","20.8","20.85","60913"
"FSB","2015-04-28","20.89","20.9","20.64","20.67","27278"
"FSB","2015-04-29","20.6","20.8","20.57","20.69","16079"
"FSB","2015-04-30","19.96","20.82","19.96","20.54","24749"
"FSB","2015-05-01","20.48","20.48","19.25","19.94","67770"
"FSB","2015-05-04","19.8","19.88","19.71","19.79","15147"
"FSB","2015-05-05","19.76","19.76","19.65","19.67","11161"
"FSB","2015-05-06","19.68","19.84","19.65","19.7","18573"
"FSB","2015-05-07","19.3","19.7","19.3","19.66","48187"
"FSB","2015-05-08","19.78","20.16","19.78","20.15","167030"
"FSB","2015-05-11","20.0","20.3","19.95","20.23","61909"
"FSB","2015-05-12","20.45","20.67","20.45","20.5","16304"
"FSB","2015-05-13","20.4","20.88","19.86","20.81","32454"
"FSB","2015-05-14","20.73","20.9","20.69","20.9","62800"
"FSB","2015-05-15","20.9","22.0","20.85","21.69","77241"
"FSB","2015-05-18","21.79","22.1","21.54","21.76","99045"
"FSB","2015-05-19","21.83","21.84","21.32","21.59","32973"
"FSB","2015-05-20","21.43","21.93","21.43","21.88","67480"
"FSB","2015-05-21","21.93","22.0","21.62","21.95","57344"
"FSB","2015-05-22","21.77","22.4","21.77","22.08","69953"
"FSB","2015-05-26","22.01","22.11","21.86","21.97","89188"
"FSB","2015-05-27","22.05","22.16","21.64","21.97","50997"
"FSB","2015-05-28","21.87","22.01","21.83","21.99","36239"
"FSB","2015-05-29","22.0","22.02","21.9","22.02","38489"
"FSB","2015-06-01","22.02","22.02","21.42","21.9","69662"
"FSB","2015-06-02","21.78","22.0","21.69","21.9","41318"
"FSB","2015-06-03","21.84","21.99","21.82","21.9","31995"
"FSB","2015-06-04","21.92","21.97","21.74","21.87","21517"
"FSB","2015-06-05","21.77","22.0","21.49","22.0","22917"
"FSB","2015-06-08","21.9","22.1","21.86","22.03","65791"
