"symbol","date","open","high","low","close","volume"
"FTF","2003-09-04","15.0","15.05","15.0","6.25","31600"
"FTF","2003-09-05","15.01","15.05","15.0","6.24","24600"
"FTF","2003-09-08","15.0","15.04","15.0","6.23","56500"
"FTF","2003-09-09","15.0","15.03","15.0","6.23","34100"
"FTF","2003-09-10","15.01","15.01","15.0","6.23","31300"
"FTF","2003-09-11","15.04","15.04","15.0","6.23","46900"
"FTF","2003-09-12","15.02","15.02","15.0","6.23","25900"
"FTF","2003-09-15","15.0","15.01","15.0","6.23","24600"
"FTF","2003-09-16","15.0","15.04","15.0","6.23","55500"
"FTF","2003-09-17","15.0","15.02","15.0","6.23","54700"
"FTF","2003-09-18","15.0","15.02","15.0","6.23","36800"
"FTF","2003-09-19","15.02","15.02","15.0","6.23","26300"
"FTF","2003-09-22","15.0","15.01","15.0","6.23","187600"
"FTF","2003-09-23","15.0","15.01","15.0","6.23","265300"
"FTF","2003-09-24","15.0","15.01","15.0","6.23","131100"
"FTF","2003-09-25","15.0","15.0","14.6","6.2","201700"
"FTF","2003-09-26","14.94","14.96","14.94","6.21","53300"
"FTF","2003-09-29","14.95","14.99","14.95","6.21","138100"
"FTF","2003-09-30","14.96","14.97","14.96","6.21","59500"
"FTF","2003-10-01","14.96","14.97","14.96","6.21","59100"
"FTF","2003-10-02","14.97","14.97","14.96","6.21","37200"
"FTF","2003-10-03","14.96","14.97","14.96","6.21","87200"
"FTF","2003-10-06","14.97","14.97","14.96","6.21","25400"
"FTF","2003-10-07","14.96","14.97","14.96","6.21","53400"
"FTF","2003-10-08","14.97","14.97","14.96","6.21","42400"
"FTF","2003-10-09","14.96","14.97","14.96","6.21","42800"
"FTF","2003-10-10","14.96","14.97","14.96","6.21","77700"
"FTF","2003-10-13","14.96","14.97","14.91","6.19","55600"
"FTF","2003-10-14","14.92","14.92","14.83","6.16","59500"
"FTF","2003-10-15","14.85","14.85","14.71","6.11","59800"
"FTF","2003-10-16","14.69","14.95","14.57","6.23","77500"
"FTF","2003-10-17","14.82","14.92","14.76","6.18","40600"
"FTF","2003-10-20","14.8","14.9","14.73","6.19","22800"
"FTF","2003-10-21","14.8","14.9","14.77","6.18","30600"
"FTF","2003-10-22","14.85","14.9","14.76","6.17","32600"
"FTF","2003-10-23","14.8","14.95","14.7","6.18","47900"
"FTF","2003-10-24","14.81","14.95","14.75","6.19","24500"
"FTF","2003-10-27","14.8","14.8","14.57","6.09","51500"
"FTF","2003-10-28","14.6","14.75","14.5","6.06","92800"
"FTF","2003-10-29","14.55","14.6","14.46","6.09","43400"
"FTF","2003-10-30","14.6","14.6","14.45","6.1","52500"
"FTF","2003-10-31","14.65","14.7","14.5","6.14","38700"
"FTF","2003-11-03","14.78","14.78","14.5","6.06","51600"
"FTF","2003-11-04","14.55","15.0","14.55","6.2","131700"
"FTF","2003-11-05","14.83","14.9","14.7","6.18","27600"
"FTF","2003-11-06","14.85","14.88","14.65","6.12","38000"
"FTF","2003-11-07","14.65","14.84","14.61","6.16","36300"
"FTF","2003-11-10","14.7","14.8","14.7","6.18","27800"
"FTF","2003-11-11","14.8","14.8","14.7","6.14","38700"
"FTF","2003-11-12","14.7","14.84","14.7","6.18","22900"
"FTF","2003-11-13","14.85","14.85","14.69","6.19","28500"
"FTF","2003-11-14","14.85","14.89","14.7","6.22","26100"
"FTF","2003-11-17","14.71","14.82","14.6","6.16","42500"
"FTF","2003-11-18","14.75","14.8","14.51","6.11","53100"
"FTF","2003-11-19","14.62","14.73","14.6","6.1","48800"
"FTF","2003-11-20","14.65","14.7","14.52","6.1","52700"
"FTF","2003-11-21","14.7","14.74","14.45","6.04","84200"
"FTF","2003-11-24","14.46","14.66","14.35","6.06","87800"
"FTF","2003-11-25","14.3","14.55","14.27","6.08","53700"
"FTF","2003-11-26","14.35","14.5","14.29","6.01","41500"
"FTF","2003-11-28","14.26","14.5","14.21","6.08","23200"
"FTF","2003-12-01","14.49","14.49","14.07","5.97","119600"
"FTF","2003-12-02","14.25","14.29","14.01","6.0","86600"
"FTF","2003-12-03","14.37","14.37","13.96","5.93","144600"
"FTF","2003-12-04","14.1","14.17","13.83","5.89","124100"
"FTF","2003-12-05","13.9","14.14","13.8","5.93","104300"
"FTF","2003-12-08","14.12","14.15","14.0","5.95","99500"
"FTF","2003-12-09","14.04","14.16","14.01","5.95","82600"
"FTF","2003-12-10","14.17","14.25","14.04","5.93","80300"
"FTF","2003-12-11","14.06","14.25","14.05","5.95","94100"
"FTF","2003-12-12","14.24","14.33","14.14","6.01","83000"
"FTF","2003-12-15","14.38","14.42","14.16","5.96","102600"
"FTF","2003-12-16","14.27","14.63","14.2","6.04","229700"
"FTF","2003-12-17","14.4","14.6","14.4","6.1","99600"
"FTF","2003-12-18","14.6","14.6","14.4","6.11","90500"
"FTF","2003-12-19","14.59","14.6","14.3","6.08","90600"
"FTF","2003-12-22","14.55","14.59","14.39","6.07","124100"
"FTF","2003-12-23","14.52","14.7","14.42","6.15","103800"
"FTF","2003-12-24","14.7","14.7","14.46","6.18","46700"
"FTF","2003-12-26","14.7","14.72","14.55","6.19","28200"
"FTF","2003-12-29","14.72","14.72","14.51","6.23","65900"
"FTF","2003-12-30","14.7","14.79","14.51","6.15","59300"
"FTF","2003-12-31","14.45","14.6","14.41","6.18","65000"
"FTF","2004-01-02","14.7","14.7","14.6","6.23","24100"
