"symbol","date","open","high","low","close","volume"
"FTSL","2013-05-02","50.1","50.1","50.02","47.18","50600"
"FTSL","2013-05-03","50.02","50.06","50.02","47.18","15800"
"FTSL","2013-05-06","50.11","50.11","50.07","47.21","3500"
"FTSL","2013-05-07","50.15","50.15","50.07","47.21","10500"
"FTSL","2013-05-08","50.11","50.11","48.73","47.2","94500"
"FTSL","2013-05-09","50.07","50.07","50.05","47.2","9800"
"FTSL","2013-05-10","50.61","50.61","50.02","47.18","11200"
"FTSL","2013-05-13","50.19","50.19","50.06","47.2","24400"
"FTSL","2013-05-14","50.07","50.07","50.06","47.2","1800"
"FTSL","2013-05-15","50.06","50.06","50.0","47.17","2600"
"FTSL","2013-05-16","50.77","50.77","50.03","47.17","2800"
"FTSL","2013-05-17","50.03","50.03","50.02","47.16","7200"
"FTSL","2013-05-20","50.03","50.03","50.03","47.17","5600"
"FTSL","2013-05-21","50.09","50.09","50.03","47.34","3900"
"FTSL","2013-05-22","50.12","50.12","49.88","47.27","6800"
"FTSL","2013-05-23","50.08","50.08","49.98","47.31","16200"
"FTSL","2013-05-24","50.04","50.04","50.04","47.34","5200"
"FTSL","2013-05-28","50.03","50.03","49.91","47.3","12400"
"FTSL","2013-05-29","49.95","50.07","49.95","47.32","18600"
"FTSL","2013-05-30","50.0","50.0","49.95","47.3","21200"
"FTSL","2013-05-31","50.07","50.26","49.98","47.55","22300"
"FTSL","2013-06-03","50.18","50.18","49.89","47.4","31400"
"FTSL","2013-06-04","50.05","50.07","50.04","47.36","6600"
"FTSL","2013-06-05","50.03","50.03","50.01","47.33","5200"
"FTSL","2013-06-06","50.01","50.01","49.96","47.26","4100"
"FTSL","2013-06-07","49.97","49.97","49.78","47.11","7000"
"FTSL","2013-06-10","49.92","49.93","49.92","47.24","3100"
"FTSL","2013-06-11","49.99","49.99","49.97","47.27","300"
"FTSL","2013-06-12","49.85","49.93","49.65","46.97","53600"
"FTSL","2013-06-13","50.09","50.09","49.71","47.03","20200"
"FTSL","2013-06-14","49.99","49.99","49.58","47.09","5100"
"FTSL","2013-06-17","49.87","49.87","49.7","47.14","9800"
"FTSL","2013-06-18","49.88","49.9","49.63","47.17","19400"
"FTSL","2013-06-19","49.92","49.94","49.85","47.18","14000"
"FTSL","2013-06-20","50.58","50.58","49.53","47.06","42000"
"FTSL","2013-06-21","49.34","49.54","49.28","46.89","41000"
"FTSL","2013-06-24","49.36","49.36","49.12","46.86","11200"
"FTSL","2013-06-25","49.5","49.5","49.25","46.8","4500"
"FTSL","2013-06-26","49.2","49.32","49.2","46.8","10300"
"FTSL","2013-06-27","49.32","49.32","49.11","46.82","10400"
"FTSL","2013-06-28","49.32","49.33","49.31","46.83","4200"
"FTSL","2013-07-01","49.4","49.4","49.17","46.68","3600"
"FTSL","2013-07-02","49.48","49.48","49.34","46.84","5400"
"FTSL","2013-07-03","49.4","49.44","49.4","46.94","1000"
"FTSL","2013-07-05","50.28","50.28","49.41","46.97","3400"
"FTSL","2013-07-08","49.74","49.74","49.41","46.94","7300"
"FTSL","2013-07-09","49.44","49.52","49.44","46.99","3500"
"FTSL","2013-07-10","49.48","49.48","49.46","46.96","1300"
"FTSL","2013-07-11","49.47","49.49","49.45","46.97","7900"
"FTSL","2013-07-12","49.63","49.65","49.6","47.14","1400"
"FTSL","2013-07-15","49.73","49.77","49.73","47.23","4900"
"FTSL","2013-07-16","49.76","49.84","49.71","47.19","23200"
"FTSL","2013-07-17","49.65","49.65","49.59","47.12","21200"
"FTSL","2013-07-18","50.74","50.74","49.68","47.19","108000"
"FTSL","2013-07-19","49.83","49.83","49.74","47.22","42200"
"FTSL","2013-07-22","49.81","49.81","49.76","47.27","24700"
"FTSL","2013-07-23","49.81","49.86","49.8","47.5","77300"
"FTSL","2013-07-24","49.66","49.66","49.61","47.3","51900"
"FTSL","2013-07-25","49.7","49.7","49.65","47.33","48900"
"FTSL","2013-07-26","49.74","49.74","49.66","47.34","53700"
"FTSL","2013-07-29","49.55","49.69","49.55","47.34","42600"
"FTSL","2013-07-30","49.7","49.7","49.61","47.27","9800"
"FTSL","2013-07-31","49.65","49.65","49.54","47.3","79400"
"FTSL","2013-08-01","49.66","49.66","49.52","47.29","68800"
"FTSL","2013-08-02","49.66","49.66","49.62","47.27","10200"
"FTSL","2013-08-05","49.6","49.62","49.6","47.27","26700"
"FTSL","2013-08-06","49.65","49.65","49.5","47.17","80500"
"FTSL","2013-08-07","49.55","49.58","49.52","47.23","11000"
"FTSL","2013-08-08","49.58","49.58","49.54","47.22","33500"
"FTSL","2013-08-09","49.63","49.63","49.55","47.21","9200"
"FTSL","2013-08-12","49.61","49.61","49.57","47.24","6700"
"FTSL","2013-08-13","49.64","49.64","49.57","47.25","37600"
"FTSL","2013-08-14","49.62","49.62","49.6","47.25","23700"
"FTSL","2013-08-15","49.63","49.63","49.56","47.23","28100"
"FTSL","2013-08-16","49.61","49.61","49.6","47.26","21500"
"FTSL","2013-08-19","49.63","49.63","49.55","47.2","30000"
"FTSL","2013-08-20","49.58","49.58","49.56","47.23","170300"
"FTSL","2013-08-21","49.5","49.51","49.36","47.2","42500"
"FTSL","2013-08-22","49.32","49.65","49.32","47.2","69500"
"FTSL","2013-08-23","49.36","49.36","49.34","47.17","19600"
"FTSL","2013-08-26","49.2","49.3","49.18","47.06","12800"
"FTSL","2013-08-27","49.02","49.28","49.02","47.1","43100"
"FTSL","2013-08-28","49.22","49.33","49.22","47.12","21000"
"FTSL","2013-08-29","49.32","49.32","49.29","47.14","36800"
"FTSL","2013-08-30","49.34","49.34","49.25","47.14","6500"
"FTSL","2013-09-03","49.26","49.34","49.26","47.15","8600"
"FTSL","2013-09-04","49.35","49.36","49.3","47.15","10500"
"FTSL","2013-09-05","49.21","49.3","49.21","47.12","156900"
"FTSL","2013-09-06","49.35","49.35","49.15","47.12","52500"
"FTSL","2013-09-09","49.16","49.37","49.16","47.13","40200"
"FTSL","2013-09-10","49.41","49.41","49.31","47.21","11800"
"FTSL","2013-09-11","49.39","49.41","49.33","47.23","55000"
