"symbol","date","open","high","low","close","volume"
"FULL","2010-09-02","9.0","9.0","8.85","5.48","18300"
"FULL","2010-09-03","8.9","8.9","8.75","5.43","18300"
"FULL","2010-09-07","8.75","8.95","8.75","5.47","17800"
"FULL","2010-09-08","8.88","8.9","8.76","5.46","26600"
"FULL","2010-09-09","8.82","8.93","8.75","5.39","11700"
"FULL","2010-09-10","8.75","8.79","8.65","5.33","16500"
"FULL","2010-09-13","8.65","8.65","8.5","5.24","19600"
"FULL","2010-09-14","8.73","8.74","8.45","5.21","39200"
"FULL","2010-09-15","8.42","8.55","8.31","5.24","39400"
"FULL","2010-09-16","8.75","8.75","8.4","5.25","12800"
"FULL","2010-09-17","8.7","8.7","8.45","5.21","5800"
"FULL","2010-09-20","8.54","8.89","8.5","5.48","6900"
"FULL","2010-09-21","8.86","8.86","8.5","5.28","7800"
"FULL","2010-09-22","8.81","8.81","8.7","5.37","8900"
"FULL","2010-09-23","8.83","8.83","8.59","5.3","12300"
"FULL","2010-09-24","8.59","8.7","8.33","5.34","11700"
"FULL","2010-09-27","8.69","8.7","8.56","5.27","8200"
"FULL","2010-09-28","8.65","8.9","8.6","5.48","11700"
"FULL","2010-09-29","8.82","8.82","8.82","5.48","0"
"FULL","2010-09-30","8.63","8.63","8.41","5.35","2900"
"FULL","2010-10-01","8.38","8.5","8.38","5.28","5200"
"FULL","2010-10-04","8.44","8.5","8.4","5.23","5600"
"FULL","2010-10-05","8.5","8.5","8.37","5.2","1800"
"FULL","2010-10-06","8.26","8.46","8.26","5.17","6900"
"FULL","2010-10-07","8.32","8.32","8.32","5.17","0"
"FULL","2010-10-08","8.31","8.43","8.3","5.24","2000"
"FULL","2010-10-11","8.41","8.47","8.38","5.25","12300"
"FULL","2010-10-12","8.72","8.75","8.51","5.33","6800"
"FULL","2010-10-13","8.42","8.55","8.41","5.31","9500"
"FULL","2010-10-14","8.55","8.55","8.55","5.31","0"
"FULL","2010-10-15","8.55","8.55","8.4","5.28","6600"
"FULL","2010-10-18","8.71","8.72","8.56","5.39","17800"
"FULL","2010-10-19","8.56","8.72","8.4","5.42","14600"
"FULL","2010-10-20","8.71","8.71","8.56","5.36","600"
"FULL","2010-10-21","8.41","8.72","8.4","5.4","16500"
"FULL","2010-10-22","8.52","8.73","8.4","5.22","19700"
"FULL","2010-10-25","8.74","8.74","8.47","5.31","3800"
"FULL","2010-10-26","8.69","8.7","8.41","5.23","4400"
"FULL","2010-10-27","8.45","8.45","8.4","5.22","15900"
"FULL","2010-10-28","8.4","8.4","8.4","5.22","0"
"FULL","2010-10-29","8.26","8.57","8.0","5.23","3500"
"FULL","2010-11-01","8.37","8.42","8.35","5.19","13700"
"FULL","2010-11-02","8.35","8.35","8.35","5.19","0"
"FULL","2010-11-03","8.5","8.71","8.5","5.38","3200"
"FULL","2010-11-04","8.29","8.45","8.28","5.23","8000"
"FULL","2010-11-05","8.31","8.4","8.3","5.22","12600"
"FULL","2010-11-08","8.63","8.63","8.41","5.23","4900"
"FULL","2010-11-09","8.35","8.35","8.35","5.19","1000"
"FULL","2010-11-10","8.42","8.42","8.4","5.22","1000"
"FULL","2010-11-11","8.4","8.48","8.35","5.27","6400"
"FULL","2010-11-12","8.3","8.49","8.3","5.22","5300"
"FULL","2010-11-15","8.47","8.53","8.41","5.23","8600"
"FULL","2010-11-16","8.5","8.51","8.32","5.18","5000"
"FULL","2010-11-17","8.36","8.36","8.32","5.17","6500"
"FULL","2010-11-18","8.32","8.34","7.97","5.05","11000"
"FULL","2010-11-19","8.25","8.4","8.23","5.13","7900"
"FULL","2010-11-22","8.26","8.26","8.25","5.13","2700"
"FULL","2010-11-23","8.35","8.35","8.35","5.19","1000"
"FULL","2010-11-24","8.3","8.3","8.13","5.1","6800"
"FULL","2010-11-26","8.47","8.47","8.27","5.15","400"
"FULL","2010-11-29","8.17","8.42","8.0","5.23","15000"
"FULL","2010-11-30","8.39","8.42","8.05","5.0","4700"
"FULL","2010-12-01","8.37","8.45","8.2","5.25","6300"
"FULL","2010-12-02","8.33","8.41","8.15","5.2","2100"
"FULL","2010-12-03","8.4","8.49","8.39","5.28","9300"
"FULL","2010-12-06","8.5","8.73","8.25","5.43","7400"
