"symbol","date","open","high","low","close","volume"
"G","2007-08-02","14.0","17.1","13.63","14.72","18495200"
"G","2007-08-03","16.3","17.0","15.25","13.84","1704500"
"G","2007-08-06","15.8","16.19","15.28","14.22","852900"
"G","2007-08-07","16.03","17.0","15.98","14.94","694200"
"G","2007-08-08","17.01","17.44","16.15","14.5","1256900"
"G","2007-08-09","16.49","16.49","16.02","14.12","593500"
"G","2007-08-10","15.82","16.3","15.15","13.78","1423800"
"G","2007-08-13","15.74","15.95","15.36","13.57","287700"
"G","2007-08-14","15.15","15.5","14.6","13.07","355400"
"G","2007-08-15","14.78","15.0","14.5","13.04","215700"
"G","2007-08-16","14.62","14.75","14.2","12.54","416800"
"G","2007-08-17","14.97","15.35","13.01","12.3","1555200"
"G","2007-08-20","14.0","14.97","13.95","12.76","468700"
"G","2007-08-21","14.65","14.91","13.92","12.84","234500"
"G","2007-08-22","14.85","15.7","14.7","13.74","174700"
"G","2007-08-23","15.56","16.64","15.45","14.37","1508200"
"G","2007-08-24","16.81","16.93","16.0","14.87","811400"
"G","2007-08-27","16.68","16.68","15.74","14.52","109800"
"G","2007-08-28","16.73","16.73","15.75","14.28","178200"
"G","2007-08-29","16.15","16.25","15.7","14.28","193700"
"G","2007-08-30","16.25","16.85","16.0","14.36","491300"
"G","2007-08-31","16.5","16.68","16.28","14.51","164300"
"G","2007-09-04","16.51","16.75","15.95","14.07","136200"
"G","2007-09-05","16.0","16.0","15.4","13.64","103000"
"G","2007-09-06","15.42","15.53","14.87","13.49","150500"
"G","2007-09-07","15.25","15.28","14.58","12.91","245000"
"G","2007-09-10","14.48","14.84","14.37","12.81","380300"
"G","2007-09-11","14.65","15.0","14.5","12.84","235600"
"G","2007-09-12","14.55","15.23","14.53","13.13","409300"
"G","2007-09-13","14.94","14.94","14.35","12.96","441500"
"G","2007-09-14","14.4","14.75","14.38","12.79","64800"
"G","2007-09-17","14.45","14.68","14.26","12.64","30000"
"G","2007-09-18","14.39","15.44","14.31","12.8","105900"
"G","2007-09-19","14.5","15.4","14.42","12.96","890300"
"G","2007-09-20","14.65","14.74","14.41","12.68","79300"
"G","2007-09-21","14.43","14.61","13.84","12.36","461700"
"G","2007-09-24","14.22","14.22","13.75","12.22","288200"
"G","2007-09-25","13.83","14.05","13.37","12.04","493700"
"G","2007-09-26","13.8","15.33","13.75","12.68","736200"
"G","2007-09-27","14.6","16.68","14.57","14.04","929400"
"G","2007-09-28","15.76","17.04","15.7","14.89","1309500"
"G","2007-10-01","16.75","18.87","16.44","15.53","1208000"
"G","2007-10-02","17.83","17.83","17.15","15.42","490200"
"G","2007-10-03","17.67","17.96","17.3","15.22","397600"
"G","2007-10-04","17.34","17.45","16.89","15.28","85400"
"G","2007-10-05","16.49","17.39","15.76","14.81","331000"
"G","2007-10-08","16.75","16.87","16.38","14.43","133100"
"G","2007-10-09","16.74","16.79","15.54","13.88","320400"
"G","2007-10-10","15.88","16.05","15.83","14.08","250300"
"G","2007-10-11","16.25","16.69","15.6","13.93","231900"
"G","2007-10-12","15.78","16.97","15.77","14.43","267100"
"G","2007-10-15","16.25","16.27","15.86","14.01","69200"
"G","2007-10-16","15.85","16.02","15.69","13.85","94400"
"G","2007-10-17","15.9","16.31","15.9","14.19","271700"
"G","2007-10-18","16.05","16.4","15.77","14.09","211600"
"G","2007-10-19","16.14","16.39","15.77","14.02","102200"
"G","2007-10-22","15.83","15.99","15.55","13.83","137500"
"G","2007-10-23","15.76","15.81","15.58","13.84","67100"
"G","2007-10-24","15.6","15.7","15.09","13.37","120500"
"G","2007-10-25","15.35","15.65","15.05","13.37","111400"
"G","2007-10-26","15.3","16.32","15.3","14.33","473500"
"G","2007-10-29","16.4","16.95","16.3","14.56","956300"
"G","2007-10-30","16.41","16.5","16.19","14.24","37400"
"G","2007-10-31","16.3","16.3","15.45","14.06","274800"
"G","2007-11-01","15.96","16.05","15.43","13.65","194700"
"G","2007-11-02","15.52","15.52","14.76","13.23","135500"
"G","2007-11-05","14.85","15.51","14.43","13.63","181000"
"G","2007-11-06","15.58","15.58","14.6","13.02","139800"
"G","2007-11-07","14.66","15.08","14.66","12.96","201300"
"G","2007-11-08","15.02","15.02","14.5","13.05","183300"
"G","2007-11-09","14.7","15.28","14.61","12.87","175700"
"G","2007-11-12","14.71","14.73","13.97","12.35","140600"
"G","2007-11-13","14.5","16.08","14.5","13.62","346000"
"G","2007-11-14","15.92","16.08","15.02","13.45","226500"
"G","2007-11-15","15.13","15.5","14.93","13.15","162900"
"G","2007-11-16","14.86","14.92","14.44","12.85","118000"
"G","2007-11-19","14.4","14.83","14.08","12.9","139000"
"G","2007-11-20","14.89","16.0","14.83","13.57","129900"
"G","2007-11-21","15.5","15.7","15.14","13.64","135700"
"G","2007-11-23","15.15","15.43","15.08","13.31","64100"
"G","2007-11-26","15.25","15.32","14.51","12.84","89600"
"G","2007-11-27","14.54","15.33","13.88","12.98","321600"
"G","2007-11-28","14.83","15.0","14.09","12.38","147100"
"G","2007-11-29","14.0","14.56","14.0","12.64","95600"
"G","2007-11-30","14.71","14.71","14.22","12.56","119300"
"G","2007-12-03","14.47","15.05","14.29","13.21","169400"
"G","2007-12-04","14.93","14.93","13.89","12.25","183500"
"G","2007-12-05","14.25","14.38","14.01","12.44","129700"
"G","2007-12-06","14.16","14.2","13.87","12.27","41200"
"G","2007-12-07","14.0","14.32","13.95","12.57","354600"
"G","2007-12-10","14.31","14.31","13.91","12.42","176700"
"G","2007-12-11","14.02","14.12","13.9","12.41","124800"
"G","2007-12-12","14.1","14.2","13.22","11.75","196700"
"G","2007-12-13","13.11","14.05","13.11","12.34","229300"
"G","2007-12-14","13.85","14.38","13.6","12.58","283100"
"G","2007-12-17","13.86","14.45","13.61","12.34","233200"
"G","2007-12-18","14.28","14.28","13.73","12.34","60700"
"G","2007-12-19","14.0","14.5","13.9","12.53","57800"
"G","2007-12-20","14.49","15.65","14.27","13.16","158900"
"G","2007-12-21","15.19","15.65","14.99","13.67","112300"
"G","2007-12-24","15.4","16.0","15.4","14.02","21800"
"G","2007-12-26","15.76","15.84","15.51","13.74","62400"
"G","2007-12-27","15.55","15.72","15.3","13.44","59500"
"G","2007-12-28","15.47","15.66","14.93","13.44","74400"
"G","2007-12-31","15.42","15.42","15.07","13.38","48400"
"G","2008-01-02","15.04","15.38","14.54","13.46","266200"
"G","2008-01-03","15.25","15.25","14.91","13.31","107600"
"G","2008-01-04","15.27","15.27","14.33","12.83","27600"
"G","2008-01-07","14.7","14.7","13.65","12.07","230300"
"G","2008-01-08","13.74","13.74","13.4","11.77","77500"
"G","2008-01-09","13.35","13.47","13.2","11.77","83300"
"G","2008-01-10","13.15","13.76","13.04","11.83","71600"
"G","2008-01-11","13.5","13.52","13.01","11.48","308600"
"G","2008-01-14","13.33","13.33","12.11","11.12","454600"
"G","2008-01-15","12.5","12.92","12.16","10.74","170900"
"G","2008-01-16","12.1","12.15","11.51","10.24","176700"
"G","2008-01-17","11.51","13.45","10.77","11.11","1094800"
"G","2008-01-18","12.63","12.63","11.86","10.99","236300"
"G","2008-01-22","12.01","12.72","11.73","11.03","71100"
"G","2008-01-23","12.34","12.53","12.1","10.63","138600"
"G","2008-01-24","12.34","12.34","11.51","10.56","121100"
"G","2008-01-25","12.1","12.21","11.57","10.24","256400"
"G","2008-01-28","11.55","12.16","11.09","10.37","229300"
"G","2008-01-29","11.92","12.45","11.92","10.76","313300"
"G","2008-01-30","12.23","12.58","11.85","10.71","238400"
"G","2008-01-31","12.0","12.62","11.86","10.67","267400"
"G","2008-02-01","12.4","13.04","12.4","11.03","591900"
"G","2008-02-04","12.4","12.55","12.4","10.95","90000"
"G","2008-02-05","12.61","13.04","12.48","11.33","282700"
"G","2008-02-06","12.86","13.23","12.6","11.62","365000"
"G","2008-02-07","13.06","13.32","12.97","11.54","182800"
"G","2008-02-08","13.2","13.33","13.0","11.71","129700"
"G","2008-02-11","13.46","13.46","12.96","11.46","652800"
"G","2008-02-12","13.0","13.46","12.97","11.7","251800"
"G","2008-02-13","13.27","13.5","13.1","11.54","517600"
"G","2008-02-14","13.05","14.0","13.0","12.3","267000"
"G","2008-02-15","13.9","13.9","13.39","11.86","49300"
"G","2008-02-19","13.75","13.99","13.63","12.22","196400"
"G","2008-02-20","13.75","14.13","13.5","12.26","167500"
"G","2008-02-21","13.98","14.23","13.92","12.5","187600"
"G","2008-02-22","14.3","14.55","13.99","12.61","239500"
"G","2008-02-25","14.07","14.6","14.07","12.83","257300"
"G","2008-02-26","14.65","15.6","14.46","13.65","567000"
"G","2008-02-27","15.59","16.16","15.5","14.09","376900"
"G","2008-02-28","15.91","15.91","15.25","13.74","178800"
"G","2008-02-29","15.58","15.58","14.95","13.4","66800"
"G","2008-03-03","15.15","15.35","14.14","12.54","313700"
"G","2008-03-04","14.0","14.12","13.08","11.99","154600"
"G","2008-03-05","13.64","14.01","13.51","12.07","231000"
"G","2008-03-06","13.82","13.82","13.36","12.07","107300"
"G","2008-03-07","13.81","13.81","13.02","11.44","129200"
"G","2008-03-10","12.94","13.34","12.63","11.12","243500"
"G","2008-03-11","12.8","13.5","12.8","11.72","170700"
"G","2008-03-12","13.37","14.22","12.96","12.22","114200"
"G","2008-03-13","13.89","14.16","13.34","12.17","100700"
"G","2008-03-14","13.74","13.94","12.8","11.25","240800"
"G","2008-03-17","12.8","12.8","12.4","11.02","243800"
"G","2008-03-18","12.63","12.8","12.11","11.03","176600"
"G","2008-03-19","12.65","12.78","11.5","10.1","312800"
"G","2008-03-20","11.5","13.78","11.5","11.63","375100"
"G","2008-03-24","13.24","14.12","13.0","12.21","458600"
"G","2008-03-25","13.8","13.93","13.35","11.84","342200"
"G","2008-03-26","13.51","13.68","12.75","11.32","320400"
"G","2008-03-27","12.99","13.09","12.33","10.89","297100"
"G","2008-03-28","12.4","12.53","11.78","10.97","489500"
"G","2008-03-31","12.59","12.96","12.06","10.76","619800"
"G","2008-04-01","12.4","12.74","12.27","11.07","861900"
"G","2008-04-02","12.72","12.89","12.45","11.32","185600"
"G","2008-04-03","12.8","12.82","12.51","11.23","386900"
"G","2008-04-04","12.9","13.0","12.8","11.35","230600"
"G","2008-04-07","12.9","13.06","12.74","11.21","751100"
"G","2008-04-08","12.59","12.89","12.39","11.13","297900"
"G","2008-04-09","12.43","12.73","12.3","10.93","132900"
"G","2008-04-10","12.41","12.65","12.25","10.82","285400"
"G","2008-04-11","13.18","13.18","11.95","10.58","402400"
"G","2008-04-14","12.13","12.13","11.8","10.59","303900"
"G","2008-04-15","12.05","12.19","11.96","10.57","404200"
"G","2008-04-16","12.08","12.43","12.0","10.69","286700"
"G","2008-04-17","12.19","12.22","11.83","10.74","299400"
"G","2008-04-18","12.42","12.84","12.37","11.18","424700"
"G","2008-04-21","12.7","13.02","12.42","11.35","225800"
"G","2008-04-22","12.89","12.89","12.47","11.17","223100"
"G","2008-04-23","12.77","13.32","12.77","11.66","299500"
"G","2008-04-24","13.28","13.52","13.28","11.86","98300"
"G","2008-04-25","13.5","13.56","13.01","11.46","107800"
"G","2008-04-28","13.14","13.49","13.14","11.75","258400"
"G","2008-04-29","13.37","13.73","13.33","11.87","261700"
"G","2008-04-30","13.44","14.3","13.42","12.56","336000"
"G","2008-05-01","14.39","15.66","14.0","13.49","549200"
"G","2008-05-02","15.98","15.98","13.92","12.9","403100"
"G","2008-05-05","14.78","14.89","14.11","12.71","219200"
"G","2008-05-06","14.31","14.33","13.27","11.91","357800"
"G","2008-05-07","13.47","13.7","13.3","11.91","654200"
"G","2008-05-08","13.46","13.69","13.24","11.8","510000"
"G","2008-05-09","13.22","13.35","13.08","11.68","80100"
"G","2008-05-12","13.3","13.34","12.9","11.51","115500"
"G","2008-05-13","13.01","13.19","12.89","11.46","896600"
"G","2008-05-14","12.96","13.35","12.94","11.73","85300"
"G","2008-05-15","13.16","14.0","13.03","12.15","357000"
"G","2008-05-16","13.74","14.09","13.74","12.26","233600"
"G","2008-05-19","13.78","13.95","13.48","11.89","90200"
"G","2008-05-20","13.59","13.59","13.35","11.82","54600"
"G","2008-05-21","13.45","13.9","13.35","12.21","150700"
"G","2008-05-22","14.07","14.55","13.96","12.62","323900"
"G","2008-05-23","14.13","14.69","14.13","12.78","240800"
"G","2008-05-27","14.39","15.05","14.15","13.22","703400"
"G","2008-05-28","15.0","15.15","14.72","13.21","356400"
"G","2008-05-29","14.89","15.05","14.7","13.18","852000"
"G","2008-05-30","14.99","15.45","14.5","12.74","1004100"
"G","2008-06-02","14.43","14.96","14.41","12.99","260500"
"G","2008-06-03","14.71","15.18","14.71","13.34","200800"
"G","2008-06-04","14.97","15.98","14.89","14.0","312900"
"G","2008-06-05","15.59","15.9","15.49","13.61","455900"
"G","2008-06-06","15.35","15.89","15.32","13.92","191900"
"G","2008-06-09","15.7","15.9","15.58","13.94","577000"
"G","2008-06-10","15.45","15.74","14.59","12.82","352300"
"G","2008-06-11","14.51","14.99","14.51","12.91","130700"
"G","2008-06-12","14.95","15.24","14.91","13.24","271600"
"G","2008-06-13","15.07","15.43","14.89","13.27","258600"
"G","2008-06-16","15.11","15.51","14.65","13.51","193000"
"G","2008-06-17","15.35","15.64","15.07","13.54","144400"
"G","2008-06-18","15.2","15.7","15.08","13.44","173900"
"G","2008-06-19","15.12","15.25","14.62","13.13","148000"
"G","2008-06-20","14.83","14.83","14.35","12.65","112100"
"G","2008-06-23","14.4","14.9","14.26","12.96","229400"
"G","2008-06-24","14.67","14.67","14.06","12.63","278000"
"G","2008-06-25","14.48","14.9","14.41","12.84","289000"
"G","2008-06-26","14.64","14.93","14.49","13.04","367200"
"G","2008-06-27","14.84","15.24","14.42","13.39","1344300"
"G","2008-06-30","15.09","15.49","14.73","13.11","150000"
"G","2008-07-01","14.81","15.33","14.36","13.47","529800"
"G","2008-07-02","15.2","15.24","14.61","12.98","246200"
"G","2008-07-03","14.75","14.93","12.86","12.06","430500"
"G","2008-07-07","13.89","14.2","13.76","12.2","484700"
"G","2008-07-08","14.01","14.28","13.8","12.41","220100"
"G","2008-07-09","14.24","14.44","13.64","12.27","396800"
"G","2008-07-10","13.94","14.1","13.55","12.31","290000"
"G","2008-07-11","13.98","13.98","13.22","11.71","342800"
"G","2008-07-14","13.46","13.61","13.24","11.73","174900"
"G","2008-07-15","13.24","13.51","13.16","11.67","189000"
"G","2008-07-16","13.3","13.73","13.14","12.02","160500"
"G","2008-07-17","13.52","14.27","13.4","11.92","325100"
"G","2008-07-18","13.7","13.79","13.45","11.88","177300"
"G","2008-07-21","13.65","13.8","12.8","11.31","457500"
"G","2008-07-22","12.99","13.49","12.84","11.71","356600"
"G","2008-07-23","13.45","13.6","13.3","11.77","233100"
"G","2008-07-24","13.52","13.64","12.92","11.47","98600"
"G","2008-07-25","13.2","13.2","12.68","11.15","124700"
"G","2008-07-28","12.7","12.93","12.48","11.17","171200"
"G","2008-07-29","12.62","13.11","12.48","11.46","180700"
"G","2008-07-30","13.04","13.43","13.03","11.56","165800"
"G","2008-07-31","13.3","13.93","13.13","11.65","143700"
"G","2008-08-01","13.38","13.48","13.02","11.6","310800"
"G","2008-08-04","13.33","13.51","13.0","11.64","195100"
"G","2008-08-05","13.41","13.49","12.83","11.67","187900"
"G","2008-08-06","14.32","15.16","13.33","12.79","1065300"
"G","2008-08-07","14.66","15.26","14.18","12.48","274600"
"G","2008-08-08","14.29","15.27","14.27","13.34","621000"
"G","2008-08-11","14.96","15.17","14.86","13.29","238100"
"G","2008-08-12","14.74","14.9","14.5","12.84","327000"
"G","2008-08-13","14.47","15.18","14.47","13.05","339500"
"G","2008-08-14","14.98","15.05","14.51","12.86","191300"
"G","2008-08-15","14.77","14.91","14.52","13.08","127500"
"G","2008-08-18","14.77","15.29","14.29","12.8","210100"
"G","2008-08-19","14.58","14.69","14.26","12.64","139400"
"G","2008-08-20","14.51","14.53","14.0","12.54","214200"
"G","2008-08-21","14.34","14.38","14.09","12.49","143600"
"G","2008-08-22","14.19","14.3","13.93","12.29","258200"
"G","2008-08-25","14.01","14.25","13.83","12.23","189100"
"G","2008-08-26","14.0","14.01","13.85","12.2","157700"
"G","2008-08-27","13.93","14.14","13.7","12.17","345300"
"G","2008-08-28","13.99","14.2","13.67","12.45","217400"
"G","2008-08-29","14.01","14.28","13.44","12.43","249700"
"G","2008-09-02","13.88","14.18","13.83","12.34","266800"
"G","2008-09-03","13.91","14.08","13.63","12.06","119600"
"G","2008-09-04","13.74","13.79","13.5","11.95","95200"
"G","2008-09-05","13.66","13.99","13.52","12.1","166300"
"G","2008-09-08","13.91","13.99","13.69","12.17","128000"
"G","2008-09-09","13.85","14.05","13.74","12.08","122800"
"G","2008-09-10","13.76","14.15","13.72","12.36","238600"
"G","2008-09-11","14.01","14.29","13.78","12.41","143400"
"G","2008-09-12","13.93","13.93","13.41","11.97","304000"
"G","2008-09-15","12.61","13.26","12.56","11.16","297400"
"G","2008-09-16","12.6","12.69","12.25","10.92","199300"
"G","2008-09-17","12.25","12.49","12.1","10.74","228200"
"G","2008-09-18","12.18","12.62","11.42","10.06","540700"
"G","2008-09-19","11.45","12.7","11.14","10.01","604200"
"G","2008-09-22","11.5","12.0","11.34","10.33","508100"
"G","2008-09-23","11.53","11.96","11.43","10.27","209900"
"G","2008-09-24","11.79","11.96","11.39","10.02","350700"
