"symbol","date","open","high","low","close","volume"
"GAINP","2012-03-06","25.5","25.5","24.82","20.74","24800"
"GAINP","2012-03-07","25.0","25.1","24.95","20.76","48000"
"GAINP","2012-03-08","25.05","25.05","24.76","20.64","25000"
"GAINP","2012-03-09","25.05","25.05","24.65","20.62","15200"
"GAINP","2012-03-12","24.92","24.92","24.76","20.58","19100"
"GAINP","2012-03-13","24.94","24.94","24.79","20.58","22400"
"GAINP","2012-03-14","24.9","24.9","24.8","20.6","29300"
"GAINP","2012-03-15","24.94","24.99","24.79","20.66","16800"
"GAINP","2012-03-16","24.9","24.9","24.85","20.66","11500"
"GAINP","2012-03-19","26.0","26.0","24.9","20.66","24000"
"GAINP","2012-03-20","24.95","24.95","24.7","20.81","33000"
"GAINP","2012-03-21","24.95","24.95","24.85","20.77","7500"
"GAINP","2012-03-22","24.9","24.9","24.85","20.72","5700"
"GAINP","2012-03-23","24.9","24.95","24.9","20.78","2100"
"GAINP","2012-03-26","24.98","25.09","24.9","20.89","10100"
"GAINP","2012-03-27","25.05","25.05","25.05","20.89","0"
"GAINP","2012-03-28","25.05","25.05","25.05","20.89","0"
"GAINP","2012-03-29","25.1","25.1","25.0","20.87","16200"
"GAINP","2012-03-30","25.02","25.04","24.99","20.84","28900"
"GAINP","2012-04-02","25.0","25.05","24.98","20.83","9300"
"GAINP","2012-04-03","25.0","25.05","24.97","20.82","31900"
"GAINP","2012-04-04","24.95","25.04","24.95","20.87","3700"
"GAINP","2012-04-05","25.02","25.02","25.0","20.85","600"
"GAINP","2012-04-09","25.0","25.03","25.0","20.85","4300"
"GAINP","2012-04-10","25.0","25.04","25.0","20.88","8500"
"GAINP","2012-04-11","25.05","25.05","24.97","20.88","13900"
"GAINP","2012-04-12","25.0","25.04","24.98","20.88","12300"
"GAINP","2012-04-13","25.0","25.05","25.0","20.85","4900"
"GAINP","2012-04-16","25.05","25.18","25.05","20.97","900"
"GAINP","2012-04-17","25.19","25.45","25.1","20.93","4100"
"GAINP","2012-04-18","25.1","25.25","25.1","21.16","1600"
"GAINP","2012-04-19","25.45","25.45","25.1","21.1","6500"
"GAINP","2012-04-20","25.15","25.15","25.1","21.1","14800"
"GAINP","2012-04-23","25.41","25.42","25.24","21.32","4100"
"GAINP","2012-04-24","25.49","25.54","25.25","21.22","9100"
"GAINP","2012-04-25","25.26","25.35","25.26","21.27","10000"
"GAINP","2012-04-26","25.15","25.15","25.15","21.1","1100"
"GAINP","2012-04-27","25.37","25.4","25.25","21.18","1900"
"GAINP","2012-04-30","25.4","25.4","25.25","21.31","1600"
"GAINP","2012-05-01","25.4","25.4","25.31","21.31","10000"
"GAINP","2012-05-02","25.3","25.59","25.3","21.47","6300"
"GAINP","2012-05-03","25.36","25.59","25.36","21.39","1300"
"GAINP","2012-05-04","25.38","25.38","25.38","21.29","400"
"GAINP","2012-05-07","25.39","25.39","25.38","21.29","1600"
"GAINP","2012-05-08","25.31","25.31","25.18","21.14","14100"
"GAINP","2012-05-09","25.2","25.3","25.2","21.15","5200"
"GAINP","2012-05-10","25.22","25.59","25.22","21.46","1400"
"GAINP","2012-05-11","25.26","25.26","25.21","21.15","1000"
"GAINP","2012-05-14","25.31","25.31","25.31","21.23","500"
"GAINP","2012-05-15","25.15","25.48","25.15","21.38","1300"
"GAINP","2012-05-16","25.48","25.48","25.19","21.26","3400"
"GAINP","2012-05-17","25.16","25.16","25.16","21.23","1100"
"GAINP","2012-05-18","25.16","25.29","25.1","21.18","3200"
"GAINP","2012-05-21","25.34","25.35","25.27","21.39","2200"
"GAINP","2012-05-22","25.2","25.33","25.12","21.37","7100"
"GAINP","2012-05-23","25.17","25.17","25.17","21.24","400"
"GAINP","2012-05-24","25.26","25.26","25.25","21.31","2800"
"GAINP","2012-05-25","25.25","25.35","25.16","21.39","1800"
"GAINP","2012-05-29","25.35","25.35","25.2","21.28","1300"
"GAINP","2012-05-30","25.2","25.2","25.2","21.26","2900"
"GAINP","2012-05-31","25.25","25.25","25.13","21.26","4000"
"GAINP","2012-06-01","25.39","25.39","25.11","21.23","3200"
"GAINP","2012-06-04","25.35","25.35","25.35","21.39","100"
"GAINP","2012-06-05","25.25","25.25","25.25","21.31","400"
"GAINP","2012-06-06","25.2","25.2","25.11","21.23","6300"
"GAINP","2012-06-07","25.16","25.16","25.16","21.23","0"
"GAINP","2012-06-08","25.13","25.35","25.1","21.39","11900"
"GAINP","2012-06-11","25.39","25.39","25.11","21.31","1500"
"GAINP","2012-06-12","25.39","25.39","25.39","21.42","100"
"GAINP","2012-06-13","25.3","25.4","25.24","21.43","5200"
"GAINP","2012-06-14","25.26","25.4","25.25","21.43","1600"
"GAINP","2012-06-15","25.4","25.4","25.35","21.43","3200"
"GAINP","2012-06-18","25.35","25.4","25.26","21.56","2700"
"GAINP","2012-06-19","25.4","25.4","25.26","21.56","6800"
"GAINP","2012-06-20","25.2","25.4","25.2","21.47","6800"
"GAINP","2012-06-21","25.28","25.28","25.27","21.45","5600"
"GAINP","2012-06-22","25.25","25.3","25.22","21.43","4000"
"GAINP","2012-06-25","25.38","25.39","25.38","21.55","1900"
"GAINP","2012-06-26","25.38","25.39","25.38","21.55","600"
"GAINP","2012-06-27","25.29","25.4","25.25","21.56","5700"
"GAINP","2012-06-28","25.39","25.39","25.32","21.53","2700"
"GAINP","2012-06-29","25.39","25.39","25.26","21.52","10300"
"GAINP","2012-07-02","25.39","25.39","25.35","21.52","2800"
"GAINP","2012-07-03","25.44","25.44","25.26","21.44","2400"
"GAINP","2012-07-05","25.4","25.4","25.4","21.56","300"
"GAINP","2012-07-06","25.35","25.35","25.23","21.52","1500"
"GAINP","2012-07-09","25.35","25.35","25.29","21.52","5400"
"GAINP","2012-07-10","25.35","25.35","25.28","21.51","4400"
"GAINP","2012-07-11","25.35","25.35","25.35","21.52","1400"
"GAINP","2012-07-12","25.39","25.39","25.35","21.52","1300"
"GAINP","2012-07-13","25.35","25.35","25.35","21.52","600"
"GAINP","2012-07-16","25.45","25.45","25.37","21.56","1500"
"GAINP","2012-07-17","25.45","25.45","25.32","21.49","15700"
"GAINP","2012-07-18","25.38","25.38","25.2","21.51","1700"
"GAINP","2012-07-19","25.37","25.37","25.26","21.57","1200"
"GAINP","2012-07-20","25.37","25.37","25.36","21.65","900"
"GAINP","2012-07-23","25.36","25.36","25.21","21.53","1400"
"GAINP","2012-07-24","25.3","25.34","25.3","21.63","1100"
"GAINP","2012-07-25","25.34","25.37","25.15","21.66","17600"
"GAINP","2012-07-26","25.2","25.2","25.17","21.51","8000"
"GAINP","2012-07-27","25.18","25.35","25.17","21.64","2100"
"GAINP","2012-07-30","25.34","25.34","25.18","21.59","2000"
"GAINP","2012-07-31","25.34","25.34","25.21","21.56","1200"
