"symbol","date","open","high","low","close","volume"
"GBAB","2010-10-28","20.01","20.01","20.0","14.95","103300"
"GBAB","2010-10-29","20.01","20.04","20.0","14.95","42300"
"GBAB","2010-11-01","20.02","20.04","20.0","14.95","23000"
"GBAB","2010-11-02","20.03","20.03","19.99","14.97","23800"
"GBAB","2010-11-03","20.04","20.05","20.0","14.98","18600"
"GBAB","2010-11-04","20.05","20.09","20.01","15.01","22600"
"GBAB","2010-11-05","20.07","20.07","20.0","14.95","27600"
"GBAB","2010-11-08","20.01","20.01","20.0","14.95","29000"
"GBAB","2010-11-09","20.06","20.06","20.0","14.95","21000"
"GBAB","2010-11-10","20.01","20.01","20.0","14.95","18800"
"GBAB","2010-11-11","20.0","20.01","20.0","14.95","23200"
"GBAB","2010-11-12","20.01","20.01","20.0","14.95","72000"
"GBAB","2010-11-15","20.0","20.0","20.0","14.95","57700"
"GBAB","2010-11-16","20.0","20.01","20.0","14.95","120400"
"GBAB","2010-11-17","20.01","20.01","20.0","14.95","53100"
"GBAB","2010-11-18","20.0","20.01","20.0","14.95","62000"
"GBAB","2010-11-19","20.0","20.01","20.0","14.95","27200"
"GBAB","2010-11-22","20.0","20.01","20.0","14.95","29000"
"GBAB","2010-11-23","20.0","20.0","20.0","14.95","58200"
"GBAB","2010-11-24","20.0","20.01","20.0","14.95","30400"
"GBAB","2010-11-26","20.01","20.01","20.0","14.95","15500"
"GBAB","2010-11-29","19.99","20.05","19.99","14.95","950500"
"GBAB","2010-11-30","20.0","20.05","20.0","14.95","63500"
"GBAB","2010-12-01","20.0","20.01","20.0","14.95","115900"
"GBAB","2010-12-02","20.0","20.01","20.0","14.95","55100"
"GBAB","2010-12-03","20.0","20.0","20.0","14.95","75100"
"GBAB","2010-12-06","20.0","20.01","20.0","14.95","107400"
"GBAB","2010-12-07","20.0","20.01","20.0","14.95","188900"
"GBAB","2010-12-08","20.0","20.01","20.0","14.95","213700"
"GBAB","2010-12-09","19.75","19.89","18.84","14.2","135300"
"GBAB","2010-12-10","19.23","19.23","18.8","14.21","44700"
"GBAB","2010-12-13","19.15","19.19","18.87","14.16","49200"
"GBAB","2010-12-14","18.88","19.02","18.19","13.76","70700"
"GBAB","2010-12-15","18.3","18.3","17.72","13.48","132500"
"GBAB","2010-12-16","17.59","17.84","17.35","13.24","212700"
"GBAB","2010-12-17","17.65","18.65","17.55","13.94","217900"
"GBAB","2010-12-20","18.49","18.49","17.79","13.31","108300"
"GBAB","2010-12-21","17.7","17.98","17.65","13.3","93100"
"GBAB","2010-12-22","17.71","18.13","17.71","13.4","116600"
"GBAB","2010-12-23","17.78","18.09","17.73","13.3","75500"
"GBAB","2010-12-27","17.99","18.0","17.56","13.27","235500"
"GBAB","2010-12-28","17.71","17.85","17.61","13.18","287800"
"GBAB","2010-12-29","17.65","17.93","17.65","13.39","132800"
"GBAB","2010-12-30","17.89","17.94","17.78","13.32","139800"
"GBAB","2010-12-31","17.76","18.18","17.75","13.59","327600"
"GBAB","2011-01-03","18.24","18.24","18.02","13.58","63200"
"GBAB","2011-01-04","18.25","18.37","18.15","13.73","61100"
"GBAB","2011-01-05","18.3","18.44","18.24","13.72","57300"
"GBAB","2011-01-06","18.38","18.41","18.19","13.71","67600"
"GBAB","2011-01-07","18.42","18.42","18.11","13.74","46900"
"GBAB","2011-01-10","18.4","18.4","18.2","13.68","42300"
"GBAB","2011-01-11","18.39","18.39","18.28","13.67","49400"
"GBAB","2011-01-12","18.22","18.23","18.05","13.61","62100"
"GBAB","2011-01-13","18.1","18.1","18.02","13.59","43000"
"GBAB","2011-01-14","18.05","18.19","17.98","13.61","69200"
"GBAB","2011-01-18","18.02","18.13","17.97","13.54","62200"
"GBAB","2011-01-19","18.08","18.08","17.96","13.52","64900"
"GBAB","2011-01-20","18.04","18.09","17.93","13.59","63300"
"GBAB","2011-01-21","18.11","18.16","18.0","13.55","45100"
"GBAB","2011-01-24","18.16","18.22","18.03","13.65","38500"
"GBAB","2011-01-25","18.19","18.28","18.14","13.74","57800"
"GBAB","2011-01-26","18.24","18.32","18.17","13.73","56400"
"GBAB","2011-01-27","18.2","18.3","18.12","13.74","32100"
"GBAB","2011-01-28","18.29","18.29","18.02","13.67","61400"
"GBAB","2011-01-31","18.24","18.29","18.1","13.69","55200"
"GBAB","2011-02-01","18.25","18.3","18.12","13.72","71600"
"GBAB","2011-02-02","18.24","18.29","18.2","13.73","42500"
"GBAB","2011-02-03","18.26","18.34","18.25","13.77","55000"
"GBAB","2011-02-04","18.31","18.31","18.15","13.73","38400"
"GBAB","2011-02-07","18.29","18.3","18.15","13.76","33600"
"GBAB","2011-02-08","18.38","18.5","18.25","13.9","77600"
"GBAB","2011-02-09","18.35","18.49","18.35","13.85","59100"
"GBAB","2011-02-10","18.45","18.65","18.37","13.98","98200"
"GBAB","2011-02-11","18.33","18.55","18.26","14.03","45700"
"GBAB","2011-02-14","18.53","18.57","18.45","14.02","60400"
"GBAB","2011-02-15","18.54","18.67","18.45","14.06","53600"
"GBAB","2011-02-16","18.57","18.64","18.15","13.97","83000"
"GBAB","2011-02-17","18.48","18.61","18.35","14.07","62100"
"GBAB","2011-02-18","18.62","18.8","18.52","14.16","52300"
"GBAB","2011-02-22","18.69","18.73","18.04","13.84","135500"
"GBAB","2011-02-23","18.43","18.43","17.93","13.86","69200"
"GBAB","2011-02-24","18.33","18.46","18.16","13.82","89100"
"GBAB","2011-02-25","18.37","18.5","18.25","13.85","35700"
"GBAB","2011-02-28","18.37","18.49","18.36","13.92","54500"
"GBAB","2011-03-01","18.42","18.44","18.31","13.9","58600"
"GBAB","2011-03-02","18.41","18.59","18.35","13.96","66400"
"GBAB","2011-03-03","18.32","18.45","18.25","13.93","63500"
"GBAB","2011-03-04","18.22","18.53","18.22","13.89","102800"
"GBAB","2011-03-07","18.42","18.49","18.28","13.92","41600"
"GBAB","2011-03-08","18.35","18.47","18.27","13.97","47200"
"GBAB","2011-03-09","18.38","18.48","18.31","13.88","72100"
"GBAB","2011-03-10","18.3","18.38","18.3","13.89","46900"
"GBAB","2011-03-11","18.21","18.33","18.15","13.84","37200"
"GBAB","2011-03-14","18.23","18.34","18.13","13.88","55500"
"GBAB","2011-03-15","18.16","18.3","17.91","13.85","69900"
"GBAB","2011-03-16","18.2","18.31","18.11","13.87","62100"
"GBAB","2011-03-17","18.28","18.37","18.16","13.97","54300"
"GBAB","2011-03-18","18.43","18.51","18.3","14.05","51600"
"GBAB","2011-03-21","18.54","18.54","18.13","13.93","100800"
"GBAB","2011-03-22","18.36","18.4","17.92","13.82","173400"
"GBAB","2011-03-23","18.12","18.28","18.12","13.93","79400"
"GBAB","2011-03-24","18.22","18.35","18.15","13.83","105700"
"GBAB","2011-03-25","18.24","18.24","18.0","13.76","103600"
"GBAB","2011-03-28","18.1","18.19","18.08","13.85","86100"
"GBAB","2011-03-29","18.2","18.32","18.12","13.96","183900"
"GBAB","2011-03-30","18.32","18.32","18.24","13.92","65600"
"GBAB","2011-03-31","18.33","18.5","18.19","14.09","101600"
"GBAB","2011-04-01","18.54","18.54","18.34","14.09","75000"
"GBAB","2011-04-04","18.47","18.53","18.35","13.99","89900"
"GBAB","2011-04-05","18.45","18.45","18.3","13.95","78600"
"GBAB","2011-04-06","18.42","18.44","18.37","14.05","68100"
"GBAB","2011-04-07","18.43","18.56","18.32","14.06","80000"
"GBAB","2011-04-08","18.42","18.44","18.32","13.98","57900"
"GBAB","2011-04-11","18.43","18.43","18.21","13.98","88300"
"GBAB","2011-04-12","18.33","18.44","18.22","13.93","107600"
"GBAB","2011-04-13","18.18","18.22","18.04","13.88","80700"
"GBAB","2011-04-14","18.11","18.12","18.04","13.86","91000"
"GBAB","2011-04-15","18.07","18.16","18.07","13.9","61400"
"GBAB","2011-04-18","18.14","18.16","18.07","13.88","57600"
"GBAB","2011-04-19","18.11","18.29","18.11","13.95","50600"
"GBAB","2011-04-20","18.34","18.34","18.17","13.95","126600"
"GBAB","2011-04-21","18.27","18.38","18.21","14.05","117600"
"GBAB","2011-04-25","18.36","18.36","18.22","14.07","102000"
"GBAB","2011-04-26","18.34","18.44","18.29","14.13","155200"
"GBAB","2011-04-27","18.44","18.49","18.37","14.18","80400"
"GBAB","2011-04-28","18.55","18.81","18.48","14.28","226200"
"GBAB","2011-04-29","18.72","18.82","18.65","14.34","49000"
"GBAB","2011-05-02","18.8","18.8","18.6","14.28","87000"
"GBAB","2011-05-03","18.67","18.68","18.61","14.28","64000"
"GBAB","2011-05-04","18.67","18.85","18.63","14.39","83000"
"GBAB","2011-05-05","18.75","18.82","18.7","14.43","67600"
"GBAB","2011-05-06","18.82","18.95","18.79","14.48","63500"
"GBAB","2011-05-09","18.91","19.01","18.9","14.51","61000"
"GBAB","2011-05-10","19.02","19.06","18.9","14.58","89300"
"GBAB","2011-05-11","18.97","19.0","18.78","14.65","74400"
"GBAB","2011-05-12","18.93","19.08","18.91","14.68","75000"
"GBAB","2011-05-13","19.08","19.15","19.0","14.68","59600"
"GBAB","2011-05-16","19.06","19.1","18.96","14.7","28100"
