"symbol","date","open","high","low","close","volume"
"GHM","1992-03-17","20.62","20.62","20.12","2.42","21400"
"GHM","1992-03-18","20.38","20.38","19.88","2.39","16400"
"GHM","1992-03-19","20.5","21.0","20.5","2.45","33000"
"GHM","1992-03-20","20.75","20.75","20.75","2.47","2000"
"GHM","1992-03-23","20.87","20.87","20.38","2.44","36000"
"GHM","1992-03-24","20.25","20.25","19.12","2.39","28400"
"GHM","1992-03-25","20.38","20.38","20.0","2.42","9400"
"GHM","1992-03-26","20.12","20.38","19.88","2.42","18400"
"GHM","1992-03-27","20.25","20.25","19.88","2.36","12000"
"GHM","1992-03-30","19.88","19.88","19.88","2.36","0"
"GHM","1992-03-31","19.75","20.38","19.75","2.42","12000"
"GHM","1992-04-01","20.12","20.12","19.5","2.35","27400"
"GHM","1992-04-02","19.5","19.5","18.88","2.3","33000"
"GHM","1992-04-03","19.25","19.5","18.75","2.32","21000"
"GHM","1992-04-06","19.5","19.5","19.5","2.32","0"
"GHM","1992-04-07","19.63","19.63","19.63","2.33","8000"
"GHM","1992-04-08","19.37","19.37","18.5","2.29","24400"
"GHM","1992-04-09","19.12","19.37","19.12","2.29","35000"
"GHM","1992-04-10","19.25","19.25","19.25","2.29","3000"
"GHM","1992-04-13","19.5","20.12","16.63","2.08","200000"
"GHM","1992-04-14","17.25","17.25","17.25","2.05","13400"
"GHM","1992-04-15","17.25","17.38","17.25","2.07","22400"
"GHM","1992-04-16","17.25","17.25","17.0","2.02","21000"
"GHM","1992-04-20","17.0","17.0","17.0","2.02","42000"
"GHM","1992-04-21","17.0","17.0","16.75","1.99","22400"
"GHM","1992-04-22","16.63","16.88","16.63","2.01","5000"
"GHM","1992-04-23","17.0","17.0","17.0","2.02","15000"
"GHM","1992-04-24","16.75","17.0","16.75","2.02","10400"
"GHM","1992-04-27","16.88","16.88","16.75","1.99","3400"
"GHM","1992-04-28","17.12","17.12","17.12","2.04","1400"
"GHM","1992-04-29","17.38","17.5","17.38","2.08","6400"
"GHM","1992-04-30","17.75","17.75","17.75","2.11","1400"
"GHM","1992-05-01","17.5","17.5","17.5","2.08","400"
"GHM","1992-05-04","17.62","17.75","17.62","2.11","1400"
"GHM","1992-05-05","17.75","17.75","17.75","2.11","0"
"GHM","1992-05-06","17.5","17.5","17.38","2.07","3400"
"GHM","1992-05-07","17.38","17.38","17.38","2.07","0"
"GHM","1992-05-08","15.0","15.75","15.0","1.86","91400"
"GHM","1992-05-11","15.88","15.88","15.25","1.89","19400"
"GHM","1992-05-12","15.88","15.88","15.37","1.87","13400"
"GHM","1992-05-13","16.0","16.25","16.0","1.93","13400"
"GHM","1992-05-14","16.13","16.37","15.75","1.9","9000"
"GHM","1992-05-15","15.75","15.75","15.75","1.87","5000"
"GHM","1992-05-18","15.62","16.0","15.62","1.9","3400"
"GHM","1992-05-19","16.13","16.25","16.13","1.94","3000"
"GHM","1992-05-20","16.37","16.88","16.37","2.02","9400"
"GHM","1992-05-21","17.0","17.25","16.63","2.02","27400"
"GHM","1992-05-22","16.88","16.88","16.88","2.02","3000"
"GHM","1992-05-26","16.88","16.88","16.88","2.02","0"
"GHM","1992-05-27","16.63","16.63","16.37","1.97","9400"
"GHM","1992-05-28","16.37","16.88","16.37","2.02","6000"
"GHM","1992-05-29","16.88","16.88","16.5","1.99","10400"
"GHM","1992-06-01","16.88","17.0","16.75","2.03","15000"
"GHM","1992-06-02","17.0","17.0","17.0","2.03","0"
"GHM","1992-06-03","17.0","17.0","17.0","2.03","0"
"GHM","1992-06-04","16.75","16.75","15.0","1.79","33400"
"GHM","1992-06-05","15.25","15.75","15.25","1.88","13400"
"GHM","1992-06-08","15.75","15.75","15.75","1.88","0"
"GHM","1992-06-09","15.75","15.75","15.75","1.88","0"
"GHM","1992-06-10","16.0","16.0","16.0","1.91","3000"
"GHM","1992-06-11","16.0","16.0","16.0","1.91","0"
"GHM","1992-06-12","16.0","16.0","16.0","1.91","0"
"GHM","1992-06-15","16.0","16.0","16.0","1.91","0"
"GHM","1992-06-16","16.25","16.25","15.75","1.88","39000"
"GHM","1992-06-17","15.5","15.5","15.5","1.85","1400"
"GHM","1992-06-18","15.5","15.5","15.5","1.85","0"
"GHM","1992-06-19","15.25","15.37","15.25","1.84","3000"
"GHM","1992-06-22","15.62","15.88","15.62","1.9","7400"
"GHM","1992-06-23","15.88","15.88","15.88","1.9","1400"
"GHM","1992-06-24","15.88","15.88","15.88","1.9","0"
"GHM","1992-06-25","15.62","15.62","15.62","1.87","400"
"GHM","1992-06-26","15.37","15.37","15.37","1.84","1400"
"GHM","1992-06-29","15.62","15.88","15.62","1.87","18400"
"GHM","1992-06-30","15.0","15.37","15.0","1.84","24000"
"GHM","1992-07-01","15.13","15.25","14.5","1.82","33400"
"GHM","1992-07-02","15.0","15.25","15.0","1.82","2000"
"GHM","1992-07-06","15.37","15.62","14.5","1.76","88400"
"GHM","1992-07-07","14.5","14.5","14.12","1.72","36400"
"GHM","1992-07-08","14.38","14.5","14.0","1.67","31400"
"GHM","1992-07-09","14.0","14.12","14.0","1.69","18400"
"GHM","1992-07-10","14.25","14.25","14.25","1.7","16400"
"GHM","1992-07-13","14.0","14.38","14.0","1.67","39000"
"GHM","1992-07-14","13.5","14.0","13.5","1.64","13400"
"GHM","1992-07-15","13.75","13.75","13.75","1.64","0"
"GHM","1992-07-16","13.63","14.12","13.63","1.69","8000"
"GHM","1992-07-17","13.88","13.88","13.37","1.61","14000"
"GHM","1992-07-20","13.37","14.5","13.12","1.73","18400"
"GHM","1992-07-21","14.75","15.5","14.38","1.72","30400"
"GHM","1992-07-22","14.63","15.25","12.5","1.49","60000"
"GHM","1992-07-23","12.75","12.88","12.5","1.52","31400"
"GHM","1992-07-24","12.88","13.5","12.88","1.61","28400"
"GHM","1992-07-27","13.5","14.0","13.5","1.67","21400"
"GHM","1992-07-28","14.0","14.0","13.63","1.66","15000"
"GHM","1992-07-29","14.0","14.0","13.75","1.64","3400"
"GHM","1992-07-30","13.88","13.88","13.88","1.66","3400"
"GHM","1992-07-31","13.75","13.75","13.5","1.61","5000"
"GHM","1992-08-03","13.25","13.75","13.25","1.61","10400"
"GHM","1992-08-04","13.37","13.37","13.37","1.61","0"
"GHM","1992-08-05","13.5","13.63","13.5","1.64","15400"
"GHM","1992-08-06","13.75","14.0","13.75","1.68","6000"
"GHM","1992-08-07","14.25","14.25","14.25","1.71","3400"
"GHM","1992-08-10","13.75","13.88","13.63","1.64","14000"
"GHM","1992-08-11","13.5","13.5","13.5","1.62","2000"
"GHM","1992-08-12","13.37","13.37","13.37","1.61","14000"
"GHM","1992-08-13","13.37","13.37","13.37","1.61","13400"
"GHM","1992-08-14","13.37","13.5","13.37","1.62","3400"
"GHM","1992-08-17","13.75","13.75","13.75","1.65","400"
"GHM","1992-08-18","13.75","13.75","13.75","1.65","3400"
"GHM","1992-08-19","14.0","14.0","14.0","1.68","1400"
"GHM","1992-08-20","14.25","14.25","14.25","1.71","2000"
"GHM","1992-08-21","14.25","14.25","13.88","1.67","24400"
"GHM","1992-08-24","14.12","14.25","13.75","1.68","21400"
"GHM","1992-08-25","13.75","13.75","13.5","1.65","7400"
"GHM","1992-08-26","14.0","14.25","14.0","1.71","5000"
