"symbol","date","open","high","low","close","volume"
"GLV","2004-07-28","20.0","20.0","20.0","8.09","78600"
"GLV","2004-07-29","20.0","20.0","20.0","8.09","169900"
"GLV","2004-07-30","20.0","20.0","20.0","8.09","35100"
"GLV","2004-08-02","20.0","20.01","20.0","8.09","138600"
"GLV","2004-08-03","20.01","20.01","20.01","8.09","13200"
"GLV","2004-08-04","20.01","20.01","20.0","8.09","17400"
"GLV","2004-08-05","20.01","20.05","20.0","8.09","14300"
"GLV","2004-08-06","20.0","20.01","20.0","8.09","20900"
"GLV","2004-08-09","20.0","20.01","20.0","8.09","8600"
"GLV","2004-08-10","20.01","20.01","20.0","8.09","15400"
"GLV","2004-08-11","20.01","20.01","20.0","8.09","24000"
"GLV","2004-08-12","20.01","20.01","20.0","8.09","8600"
"GLV","2004-08-13","20.01","20.01","20.0","8.09","12600"
"GLV","2004-08-16","20.01","20.01","20.0","8.09","5500"
"GLV","2004-08-17","20.0","20.01","20.0","8.09","10800"
"GLV","2004-08-18","20.0","20.01","19.95","8.09","7300"
"GLV","2004-08-19","20.0","20.01","20.0","8.09","31800"
"GLV","2004-08-20","20.0","20.01","20.0","8.09","24600"
"GLV","2004-08-23","19.95","20.01","19.95","8.09","21700"
"GLV","2004-08-24","20.0","20.05","20.0","8.11","33100"
"GLV","2004-08-25","20.01","20.03","20.01","8.1","10700"
"GLV","2004-08-26","20.1","20.1","20.02","8.1","3800"
"GLV","2004-08-27","20.03","20.4","20.03","8.17","20400"
"GLV","2004-08-30","20.0","20.09","20.0","8.09","89500"
"GLV","2004-08-31","20.01","20.01","20.0","8.09","10500"
"GLV","2004-09-01","20.0","20.01","20.0","8.09","8000"
"GLV","2004-09-02","20.01","20.01","20.0","8.09","6700"
"GLV","2004-09-03","20.01","20.1","20.0","8.13","17300"
"GLV","2004-09-07","20.08","20.08","20.0","8.09","16200"
"GLV","2004-09-08","20.0","20.05","20.0","8.09","21100"
"GLV","2004-09-09","20.02","20.03","20.02","8.1","18300"
"GLV","2004-09-10","20.08","20.2","20.04","8.16","14000"
"GLV","2004-09-13","20.18","20.18","20.14","8.16","12900"
"GLV","2004-09-14","20.18","20.28","20.06","8.13","37900"
"GLV","2004-09-15","20.18","20.18","20.07","8.12","23000"
"GLV","2004-09-16","20.1","20.2","20.08","8.17","11300"
"GLV","2004-09-17","20.11","20.2","20.11","8.13","14800"
"GLV","2004-09-20","20.11","20.15","20.02","8.1","41600"
"GLV","2004-09-21","20.1","20.2","20.02","8.13","22900"
"GLV","2004-09-22","20.15","20.18","20.05","8.13","38500"
"GLV","2004-09-23","20.1","20.17","20.01","8.16","15800"
"GLV","2004-09-24","20.15","20.25","20.1","8.17","5200"
"GLV","2004-09-27","20.3","20.3","20.2","8.17","4000"
"GLV","2004-09-28","20.19","20.4","20.11","8.2","13900"
"GLV","2004-09-29","20.3","20.4","20.27","8.23","13100"
"GLV","2004-09-30","20.39","20.5","20.39","8.26","10700"
"GLV","2004-10-01","20.36","20.85","20.36","8.39","17700"
"GLV","2004-10-04","20.76","21.2","20.76","8.57","36200"
"GLV","2004-10-05","21.2","21.3","21.03","8.53","50400"
"GLV","2004-10-06","21.11","21.19","20.9","8.45","25100"
"GLV","2004-10-07","20.92","21.08","20.91","8.51","10200"
"GLV","2004-10-08","20.95","20.95","20.8","8.43","7200"
"GLV","2004-10-11","20.85","21.0","20.85","8.47","14200"
"GLV","2004-10-12","21.0","21.3","21.0","8.5","18200"
"GLV","2004-10-13","20.96","20.99","20.51","8.58","21900"
"GLV","2004-10-14","20.91","21.0","20.75","8.54","13600"
"GLV","2004-10-15","20.85","20.9","20.7","8.58","12400"
"GLV","2004-10-18","20.75","20.85","20.68","8.49","15600"
"GLV","2004-10-19","20.8","21.25","20.65","8.58","23300"
"GLV","2004-10-20","20.8","20.89","20.45","8.55","15900"
"GLV","2004-10-21","20.84","20.84","20.55","8.43","20600"
"GLV","2004-10-22","20.51","20.8","20.51","8.53","28000"
"GLV","2004-10-25","20.8","20.8","20.42","8.44","30900"
"GLV","2004-10-26","20.78","20.85","20.52","8.49","18400"
"GLV","2004-10-27","20.65","20.65","20.5","8.45","10800"
"GLV","2004-10-28","20.51","20.7","20.35","8.47","22800"
"GLV","2004-10-29","20.54","20.65","20.36","8.43","32300"
"GLV","2004-11-01","20.75","20.75","20.26","8.33","35300"
"GLV","2004-11-02","20.4","20.4","20.25","8.31","25300"
"GLV","2004-11-03","20.4","20.4","20.2","8.37","15400"
"GLV","2004-11-04","20.45","20.45","20.23","8.36","14300"
"GLV","2004-11-05","20.37","20.75","20.37","8.47","12100"
"GLV","2004-11-08","20.75","20.75","20.56","8.47","18900"
"GLV","2004-11-09","20.74","20.74","20.6","8.45","8400"
"GLV","2004-11-10","20.75","21.05","20.6","8.49","18100"
"GLV","2004-11-11","20.8","20.8","20.48","8.44","25000"
"GLV","2004-11-12","20.65","20.65","20.1","8.27","32800"
"GLV","2004-11-15","20.25","20.25","20.06","8.25","12100"
"GLV","2004-11-16","20.2","20.64","20.11","8.47","34700"
"GLV","2004-11-17","20.64","20.74","20.2","8.47","27900"
"GLV","2004-11-18","20.54","20.7","20.25","8.43","41400"
