"symbol","date","open","high","low","close","volume"
"GNCMA","1995-08-18","3.62","3.88","3.62","3.88","19300"
"GNCMA","1995-08-21","3.75","3.88","3.75","3.88","3700"
"GNCMA","1995-08-22","3.75","3.88","3.62","3.75","49600"
"GNCMA","1995-08-23","3.62","3.62","3.62","3.62","100"
"GNCMA","1995-08-24","3.75","3.75","3.62","3.62","6200"
"GNCMA","1995-08-25","3.62","3.62","3.62","3.62","1000"
"GNCMA","1995-08-28","3.62","3.75","3.62","3.62","22800"
"GNCMA","1995-08-29","3.62","3.62","3.5","3.5","15500"
"GNCMA","1995-08-30","3.62","3.62","3.5","3.5","43400"
"GNCMA","1995-08-31","3.5","3.62","3.5","3.62","14900"
"GNCMA","1995-09-01","3.62","3.62","3.38","3.5","2900"
"GNCMA","1995-09-05","3.62","3.62","3.62","3.62","900"
"GNCMA","1995-09-06","3.5","3.62","3.44","3.62","62300"
"GNCMA","1995-09-07","3.38","3.5","3.38","3.5","8700"
"GNCMA","1995-09-08","3.38","3.75","3.38","3.5","10200"
"GNCMA","1995-09-11","3.44","3.44","3.38","3.38","1400"
"GNCMA","1995-09-12","3.38","3.62","3.38","3.62","600"
"GNCMA","1995-09-13","3.75","3.75","3.38","3.62","54600"
"GNCMA","1995-09-14","3.75","3.75","3.38","3.5","34500"
"GNCMA","1995-09-15","3.75","3.75","3.38","3.38","5700"
"GNCMA","1995-09-18","3.75","3.75","3.38","3.38","32500"
"GNCMA","1995-09-19","3.5","3.5","3.25","3.5","19300"
"GNCMA","1995-09-20","3.31","3.5","3.25","3.5","7700"
"GNCMA","1995-09-21","3.5","3.5","3.25","3.38","45800"
"GNCMA","1995-09-22","3.5","3.5","3.25","3.5","46100"
"GNCMA","1995-09-25","3.5","3.5","3.25","3.38","52400"
"GNCMA","1995-09-26","3.25","3.5","3.25","3.5","57900"
"GNCMA","1995-09-27","3.5","3.5","3.25","3.38","28900"
"GNCMA","1995-09-28","3.25","3.75","3.25","3.75","55300"
"GNCMA","1995-09-29","3.75","4.12","3.5","4.0","170600"
"GNCMA","1995-10-02","4.25","4.25","3.88","3.94","7000"
"GNCMA","1995-10-03","3.88","4.12","3.75","4.12","93800"
"GNCMA","1995-10-04","3.75","4.12","3.75","3.81","13400"
"GNCMA","1995-10-05","3.88","4.0","3.75","3.75","8300"
"GNCMA","1995-10-06","3.75","3.94","3.75","3.75","1000"
"GNCMA","1995-10-09","3.75","4.0","3.75","3.88","8400"
"GNCMA","1995-10-10","3.75","3.75","3.75","3.75","600"
"GNCMA","1995-10-11","3.75","3.75","3.75","3.75","1500"
"GNCMA","1995-10-12","3.75","3.75","3.75","3.75","0"
"GNCMA","1995-10-13","3.75","3.75","3.75","3.75","300"
"GNCMA","1995-10-16","3.75","4.12","3.75","4.12","2700"
"GNCMA","1995-10-17","3.75","3.88","3.75","3.88","800"
"GNCMA","1995-10-18","3.75","3.88","3.75","3.88","14700"
"GNCMA","1995-10-19","3.75","4.12","3.75","4.12","3900"
"GNCMA","1995-10-20","4.12","4.12","3.88","4.12","17100"
"GNCMA","1995-10-23","4.0","4.12","3.88","4.12","25300"
"GNCMA","1995-10-24","4.12","4.12","3.88","3.88","5600"
"GNCMA","1995-10-25","3.88","4.12","3.88","4.0","3200"
"GNCMA","1995-10-26","3.88","4.12","3.88","4.12","5700"
"GNCMA","1995-10-27","3.88","3.88","3.88","3.88","1200"
"GNCMA","1995-10-30","3.88","3.88","3.88","3.88","200"
"GNCMA","1995-10-31","3.88","4.0","3.88","4.0","2000"
"GNCMA","1995-11-01","4.12","4.12","3.88","3.88","4800"
"GNCMA","1995-11-02","3.88","4.12","3.88","3.88","6700"
