"symbol","date","open","high","low","close","volume"
"GOF","2007-07-27","20.0","20.01","20.0","9.15","1478300"
"GOF","2007-07-30","20.0","20.01","20.0","9.15","51000"
"GOF","2007-07-31","20.01","20.01","20.0","9.16","9200"
"GOF","2007-08-01","20.0","20.05","20.0","9.15","29300"
"GOF","2007-08-02","20.0","20.05","19.75","9.04","105100"
"GOF","2007-08-03","19.75","19.79","19.58","8.99","78400"
"GOF","2007-08-06","19.55","19.57","19.35","8.9","73800"
"GOF","2007-08-07","19.4","19.5","19.36","8.86","7600"
"GOF","2007-08-08","19.4","19.45","19.35","8.87","7400"
"GOF","2007-08-09","19.2","19.75","19.2","9.01","8600"
"GOF","2007-08-10","19.6","19.7","19.25","8.81","9600"
"GOF","2007-08-13","19.38","19.4","19.2","8.81","8300"
"GOF","2007-08-14","19.4","19.73","19.0","8.7","32100"
"GOF","2007-08-15","19.2","19.2","19.0","8.75","39200"
"GOF","2007-08-16","19.3","19.3","16.75","8.17","54100"
"GOF","2007-08-17","18.0","18.09","17.91","8.21","6700"
"GOF","2007-08-20","18.09","18.84","18.05","8.61","27800"
"GOF","2007-08-21","18.8","18.82","18.6","8.61","16300"
"GOF","2007-08-22","18.9","19.1","18.9","8.72","16400"
"GOF","2007-08-23","19.05","19.24","19.04","8.74","11100"
"GOF","2007-08-24","19.0","19.15","19.0","8.76","10800"
"GOF","2007-08-27","19.13","19.15","19.05","8.77","14500"
"GOF","2007-08-28","19.1","19.1","18.19","8.34","30900"
"GOF","2007-08-29","18.25","18.75","18.25","8.51","16000"
"GOF","2007-08-30","18.58","18.58","18.29","8.42","17600"
"GOF","2007-08-31","18.5","18.5","18.1","8.29","33200"
"GOF","2007-09-04","17.7","18.04","17.7","8.1","108200"
"GOF","2007-09-05","17.7","17.85","17.5","8.15","73500"
"GOF","2007-09-06","17.89","18.2","17.75","8.28","50900"
"GOF","2007-09-07","18.0","18.3","18.0","8.33","34900"
"GOF","2007-09-10","18.3","18.4","18.2","8.36","30400"
"GOF","2007-09-11","18.3","18.49","18.3","8.42","23000"
"GOF","2007-09-12","18.17","18.35","18.15","8.44","21900"
"GOF","2007-09-13","18.28","18.3","18.0","8.35","16000"
"GOF","2007-09-14","18.11","18.39","17.85","8.44","23000"
"GOF","2007-09-17","18.29","18.29","18.0","8.31","19200"
"GOF","2007-09-18","17.91","18.25","17.66","8.38","16900"
"GOF","2007-09-19","18.15","18.2","17.95","8.4","34700"
"GOF","2007-09-20","18.3","18.3","17.95","8.42","23200"
"GOF","2007-09-21","18.23","18.38","18.21","8.42","21500"
"GOF","2007-09-24","18.2","18.34","18.2","8.43","12400"
"GOF","2007-09-25","18.35","18.37","17.71","8.26","42900"
"GOF","2007-09-26","17.99","18.29","17.99","8.33","29500"
"GOF","2007-09-27","18.31","18.31","17.73","8.26","57000"
"GOF","2007-09-28","17.9","18.18","17.9","8.37","23800"
"GOF","2007-10-01","18.0","18.3","17.96","8.42","39100"
"GOF","2007-10-02","18.27","18.39","18.21","8.42","32100"
"GOF","2007-10-03","18.3","18.3","18.0","8.35","41200"
"GOF","2007-10-04","18.1","18.3","17.96","8.42","42200"
"GOF","2007-10-05","18.05","18.3","17.95","8.4","65100"
"GOF","2007-10-08","18.26","18.38","17.81","8.3","98200"
"GOF","2007-10-09","18.05","18.07","17.87","8.3","37800"
"GOF","2007-10-10","18.08","18.08","17.85","8.32","43400"
"GOF","2007-10-11","17.95","18.0","17.76","8.35","34400"
"GOF","2007-10-12","17.95","18.05","17.9","8.35","17800"
"GOF","2007-10-15","17.92","17.99","17.7","8.25","55800"
"GOF","2007-10-16","17.77","17.88","17.55","8.23","39100"
"GOF","2007-10-17","17.8","17.8","17.5","8.15","71800"
"GOF","2007-10-18","17.5","17.68","17.44","8.22","40500"
"GOF","2007-10-19","17.58","17.6","17.43","8.15","37800"
"GOF","2007-10-22","17.5","17.55","17.41","8.12","30400"
"GOF","2007-10-23","17.6","17.66","17.42","8.19","25800"
"GOF","2007-10-24","17.5","17.52","17.17","8.11","56100"
"GOF","2007-10-25","17.5","17.5","17.13","8.09","24300"
"GOF","2007-10-26","17.6","17.7","17.47","8.22","47400"
"GOF","2007-10-29","17.68","17.68","17.5","8.18","31700"
"GOF","2007-10-30","17.63","17.8","17.51","8.25","41400"
"GOF","2007-10-31","17.78","17.84","17.52","8.22","49100"
"GOF","2007-11-01","17.8","17.8","17.53","8.16","32700"
"GOF","2007-11-02","17.56","17.64","17.35","8.16","52000"
"GOF","2007-11-05","17.29","17.58","17.29","8.16","25400"
"GOF","2007-11-06","17.6","17.69","17.4","8.14","41000"
"GOF","2007-11-07","17.4","17.41","17.0","8.0","37700"
"GOF","2007-11-08","17.25","17.35","17.06","7.95","36400"
"GOF","2007-11-09","17.1","17.3","16.99","8.02","44500"
"GOF","2007-11-12","17.14","17.45","17.1","8.0","25800"
"GOF","2007-11-13","17.06","17.25","16.72","7.97","100900"
"GOF","2007-11-14","16.92","16.95","16.72","7.88","70600"
"GOF","2007-11-15","16.85","16.89","16.37","7.87","106300"
"GOF","2007-11-16","16.9","17.16","16.5","7.99","56600"
"GOF","2007-11-19","17.01","17.01","16.3","7.71","121000"
"GOF","2007-11-20","16.35","16.55","16.25","7.68","58700"
"GOF","2007-11-21","16.35","16.35","16.01","7.61","44200"
"GOF","2007-11-23","16.2","16.45","16.16","7.71","35600"
"GOF","2007-11-26","16.44","16.61","16.28","7.7","110500"
"GOF","2007-11-27","16.42","16.52","16.3","7.67","64000"
"GOF","2007-11-28","16.5","16.93","16.4","7.83","107200"
"GOF","2007-11-29","16.5","16.68","16.5","7.81","50700"
"GOF","2007-11-30","16.75","17.15","16.75","7.89","52200"
"GOF","2007-12-03","16.84","16.95","16.74","7.93","30500"
"GOF","2007-12-04","16.91","17.03","16.8","7.97","47200"
"GOF","2007-12-05","17.0","17.38","16.9","7.97","64800"
"GOF","2007-12-06","17.16","17.16","16.96","7.96","75700"
"GOF","2007-12-07","17.0","17.07","16.86","8.0","54300"
"GOF","2007-12-10","17.03","17.15","16.94","7.99","75100"
"GOF","2007-12-11","17.05","17.1","16.92","7.97","46100"
"GOF","2007-12-12","16.92","17.06","16.65","7.92","93500"
"GOF","2007-12-13","16.76","16.76","16.1","7.82","108700"
"GOF","2007-12-14","16.4","16.58","16.14","7.81","141200"
"GOF","2007-12-17","16.53","16.53","16.08","7.66","73200"
"GOF","2007-12-18","16.2","16.75","16.2","7.87","144800"
"GOF","2007-12-19","16.65","16.98","16.65","7.94","111700"
"GOF","2007-12-20","16.9","17.15","16.6","8.08","105600"
"GOF","2007-12-21","17.15","17.62","17.1","8.33","95000"
"GOF","2007-12-24","17.61","17.74","17.48","8.34","26700"
"GOF","2007-12-26","17.69","17.83","17.64","8.43","83100"
"GOF","2007-12-27","17.8","17.93","17.76","8.46","78900"
"GOF","2007-12-28","17.89","17.91","17.49","8.41","85500"
"GOF","2007-12-31","17.7","18.08","17.51","8.38","79100"
"GOF","2008-01-02","17.72","17.96","17.66","8.49","28000"
"GOF","2008-01-03","17.98","18.16","17.87","8.59","21900"
"GOF","2008-01-04","18.16","18.16","17.74","8.39","22300"
"GOF","2008-01-07","17.74","17.84","17.36","8.26","38800"
"GOF","2008-01-08","17.48","17.48","16.69","8.09","126500"
"GOF","2008-01-09","17.31","17.59","17.15","8.27","28800"
"GOF","2008-01-10","17.47","17.65","17.22","8.32","36400"
"GOF","2008-01-11","17.47","17.64","17.24","8.31","43200"
"GOF","2008-01-14","17.38","17.82","17.29","8.41","36400"
"GOF","2008-01-15","17.58","17.75","17.48","8.43","35500"
"GOF","2008-01-16","17.64","18.09","17.61","8.46","56100"
"GOF","2008-01-17","17.83","17.83","17.64","8.44","32800"
"GOF","2008-01-18","17.79","17.85","17.38","8.41","36100"
"GOF","2008-01-22","16.25","17.69","16.0","8.26","79900"
"GOF","2008-01-23","17.04","17.55","17.04","8.34","53700"
"GOF","2008-01-24","17.5","17.75","17.5","8.47","19800"
"GOF","2008-01-25","17.85","17.85","17.54","8.43","51100"
"GOF","2008-01-28","17.7","17.87","17.66","8.42","54000"
"GOF","2008-01-29","17.83","17.83","17.6","8.44","23100"
"GOF","2008-01-30","17.8","17.86","17.63","8.43","53200"
"GOF","2008-01-31","17.73","17.84","17.6","8.44","60200"
"GOF","2008-02-01","17.75","18.0","17.55","8.5","60700"
"GOF","2008-02-04","17.9","17.97","17.69","8.44","53500"
"GOF","2008-02-05","17.69","17.75","17.6","8.44","42100"
"GOF","2008-02-06","17.93","18.1","17.68","8.44","51500"
"GOF","2008-02-07","17.79","17.88","17.72","8.5","19000"
"GOF","2008-02-08","17.87","18.06","17.87","8.59","41000"
"GOF","2008-02-11","18.12","18.21","18.0","8.65","26200"
"GOF","2008-02-12","18.17","18.27","18.14","8.7","23700"
"GOF","2008-02-13","18.2","18.21","17.61","8.54","40500"
"GOF","2008-02-14","17.78","17.94","16.94","8.21","93700"
"GOF","2008-02-15","17.15","17.45","17.11","8.32","19300"
"GOF","2008-02-19","17.65","17.93","17.2","8.29","45000"
"GOF","2008-02-20","17.23","17.45","17.19","8.34","35200"
