"symbol","date","open","high","low","close","volume"
"GPACU","2015-07-30","10.01","10.04","10.0","10.01","698220"
"GPACU","2015-07-31","10.0","10.05","10.0","10.03","34300"
"GPACU","2015-08-03","10.03","10.05","10.03","10.03","86876"
"GPACU","2015-08-04","10.0","10.0","10.0","10.0","6000"
"GPACU","2015-08-05","10.03","10.03","10.0","10.03","4197"
"GPACU","2015-08-06","10.09","10.09","10.01","10.01","300"
"GPACU","2015-08-07","10.01","10.05","10.0","10.0","93829"
"GPACU","2015-08-10","10.0","10.0","10.0","10.0","3050"
"GPACU","2015-08-11","9.98","10.0","9.98","10.0","109500"
"GPACU","2015-08-12","10.0","10.0","10.0","10.0","24428"
"GPACU","2015-08-13","10.0","10.0","10.0","10.0","556"
"GPACU","2015-08-14","10.0","10.05","10.0","10.05","86200"
"GPACU","2015-08-17","10.08","10.08","10.08","10.08","100"
"GPACU","2015-08-18","10.03","10.05","10.03","10.05","3300"
"GPACU","2015-08-19","10.03","10.03","10.03","10.03","3100"
"GPACU","2015-08-20","10.05","10.1","10.05","10.1","7400"
"GPACU","2015-08-21","10.1","10.1","10.1","10.1","1300"
"GPACU","2015-08-24","10.03","10.03","10.0","10.0","142000"
"GPACU","2015-09-02","10.0","10.0","10.0","10.0","9401"
"GPACU","2015-09-08","10.01","10.01","10.01","10.01","500000"
"GPACU","2015-09-10","10.01","10.01","10.01","10.01","3"
"GPACU","2015-09-22","10.0","10.0","10.0","10.0","8584"
"GPACU","2015-09-28","10.0","10.0","10.0","10.0","140800"
"GPACU","2015-10-12","10.0","10.0","10.0","10.0","3100"
"GPACU","2015-10-13","10.0","10.0","10.0","10.0","9744"
"GPACU","2015-10-15","10.0","10.0","10.0","10.0","92822"
"GPACU","2015-10-19","10.0","10.0","10.0","10.0","156"
"GPACU","2015-10-23","10.0","10.02","10.0","10.02","2301"
"GPACU","2015-10-26","10.0","10.08","10.0","10.05","3401"
"GPACU","2015-10-28","10.0","10.0","10.0","10.0","200"
"GPACU","2015-10-29","10.0","10.01","10.0","10.0","2789"
"GPACU","2015-10-30","10.08","10.1","10.08","10.08","101"
"GPACU","2015-11-06","10.0","10.1","10.0","10.1","300"
"GPACU","2015-11-09","10.0","10.0","10.0","10.0","2074"
"GPACU","2015-11-11","10.0","10.0","10.0","10.0","372"
"GPACU","2015-11-12","10.0","10.0","10.0","10.0","122"
"GPACU","2015-11-19","10.04","10.04","10.04","10.04","168"
"GPACU","2015-11-24","10.0","10.0","10.0","10.0","5086"
"GPACU","2015-11-25","10.0","10.0","10.0","10.0","2664"
"GPACU","2015-12-01","10.0","10.0","10.0","10.0","2882"
"GPACU","2015-12-14","10.0","10.0","10.0","10.0","2502"
"GPACU","2015-12-15","10.0","10.09","10.0","10.08","10970"
"GPACU","2015-12-16","10.01","10.01","10.0","10.0","1206"
"GPACU","2015-12-18","9.95","9.98","9.95","9.95","2735"
"GPACU","2015-12-23","10.0","10.0","10.0","10.0","152600"
"GPACU","2016-01-05","9.91","9.91","9.91","9.91","1100"
"GPACU","2016-01-07","9.91","9.91","9.91","9.91","98"
"GPACU","2016-01-08","9.9","9.9","9.9","9.9","522"
"GPACU","2016-01-11","9.95","9.95","9.95","9.95","158"
"GPACU","2016-01-12","9.95","9.95","9.9","9.95","199"
"GPACU","2016-01-13","9.9","9.9","9.81","9.81","200224"
"GPACU","2016-01-15","9.7","9.9","9.7","9.8","20890"
"GPACU","2016-01-19","9.9","9.9","9.85","9.85","1810"
"GPACU","2016-01-20","9.85","9.85","9.26","9.26","1611"
"GPACU","2016-01-21","9.8","9.8","9.8","9.8","162"
"GPACU","2016-01-22","9.99","9.99","9.99","9.8","99"
"GPACU","2016-01-27","9.82","9.82","9.82","9.82","200000"
"GPACU","2016-01-29","10.1","10.1","10.1","9.82","1"
"GPACU","2016-02-02","9.82","10.1","9.81","9.81","1"
"GPACU","2016-02-10","9.81","9.81","9.81","9.81","250"
"GPACU","2016-02-12","9.81","9.81","9.81","9.81","128"
"GPACU","2016-02-16","9.81","9.95","9.81","9.95","1346"
"GPACU","2016-02-26","9.8","9.8","9.8","9.8","190"
"GPACU","2016-03-01","9.8","9.8","9.8","9.8","5834"
"GPACU","2016-03-15","9.8","9.8","9.8","9.8","150"
"GPACU","2016-03-22","9.8","9.8","9.8","9.8","232"
"GPACU","2016-03-24","9.8","9.8","9.8","9.8","294"
"GPACU","2016-04-07","9.8","9.8","9.8","9.8","3466"
"GPACU","2016-04-12","9.85","9.95","9.8","9.8","1500"
"GPACU","2016-04-14","9.83","9.94","9.83","9.88","500"
"GPACU","2016-04-15","9.81","10.0","9.8","9.84","12572"
"GPACU","2016-04-20","9.8","9.8","9.8","9.8","198"
"GPACU","2016-04-21","9.8","9.8","9.8","9.8","128"
"GPACU","2016-04-22","9.8","9.8","9.8","9.8","360"
"GPACU","2016-04-25","9.8","9.8","9.79","9.8","3000"
"GPACU","2016-04-28","9.75","9.75","9.75","9.75","818"
"GPACU","2016-05-02","9.75","9.76","9.75","9.76","338"
"GPACU","2016-05-13","9.75","9.75","9.75","9.75","406"
"GPACU","2016-05-25","9.3","9.3","9.3","9.3","358"
"GPACU","2016-05-26","9.32","9.65","9.32","9.65","740"
"GPACU","2016-05-31","10.0","10.0","10.0","10.0","500"
"GPACU","2016-06-02","9.77","9.77","9.77","9.77","200"
"GPACU","2016-06-06","9.89","9.89","9.77","9.77","200"
