"symbol","date","open","high","low","close","volume"
"GPK","1992-12-10","10.75","16.37","10.75","4.31","2422800"
"GPK","1992-12-11","15.5","16.13","15.25","4.34","2041900"
"GPK","1992-12-14","16.0","18.75","15.5","5.21","1091100"
"GPK","1992-12-15","18.25","22.25","18.25","5.9","913600"
"GPK","1992-12-16","22.25","22.75","21.25","6.11","804600"
"GPK","1992-12-17","22.0","24.5","22.0","6.67","859600"
"GPK","1992-12-18","23.5","24.0","22.25","6.39","916900"
"GPK","1992-12-21","22.5","23.75","22.5","6.39","143200"
"GPK","1992-12-22","23.25","23.25","22.38","6.39","545000"
"GPK","1992-12-23","23.0","23.5","22.25","6.39","347400"
"GPK","1992-12-24","23.0","23.75","22.75","6.6","150400"
"GPK","1992-12-28","23.0","23.75","23.0","6.39","45700"
"GPK","1992-12-29","23.0","23.75","22.25","6.18","331200"
"GPK","1992-12-30","22.25","22.75","20.5","5.69","1188700"
"GPK","1992-12-31","21.25","22.25","21.0","6.04","156900"
"GPK","1993-01-04","21.0","21.13","19.25","5.56","1275800"
"GPK","1993-01-05","20.0","22.0","19.5","6.11","347400"
"GPK","1993-01-06","21.75","23.75","21.5","6.6","378000"
"GPK","1993-01-07","24.0","25.0","23.25","6.74","1319000"
"GPK","1993-01-08","24.25","24.75","24.0","6.81","1187200"
"GPK","1993-01-11","24.25","24.5","24.0","6.67","1124600"
"GPK","1993-01-12","24.5","24.5","23.75","6.67","518700"
"GPK","1993-01-13","24.25","24.25","23.5","6.56","445300"
"GPK","1993-01-14","23.25","24.0","23.0","6.53","1250600"
"GPK","1993-01-15","23.5","25.25","23.5","6.94","551100"
"GPK","1993-01-18","25.5","26.5","25.0","7.36","554400"
"GPK","1993-01-19","26.25","29.75","26.25","8.06","1640800"
"GPK","1993-01-20","28.25","29.25","27.75","7.78","881200"
"GPK","1993-01-21","27.75","28.25","26.5","7.43","763200"
"GPK","1993-01-22","27.75","29.5","27.75","8.12","1344200"
"GPK","1993-01-25","29.25","30.0","29.25","8.33","460000"
"GPK","1993-01-26","30.0","30.0","29.25","8.12","373300"
"GPK","1993-01-27","29.75","29.75","26.25","7.5","885200"
"GPK","1993-01-28","27.0","27.5","26.5","7.5","938800"
"GPK","1993-01-29","27.0","27.25","26.5","7.57","189300"
"GPK","1993-02-01","27.5","28.0","27.0","7.78","101500"
"GPK","1993-02-02","28.0","29.25","27.25","8.12","463300"
"GPK","1993-02-03","28.75","30.0","28.75","8.19","285400"
"GPK","1993-02-04","29.5","29.5","28.5","7.99","123100"
"GPK","1993-02-05","28.75","29.5","28.5","7.92","146500"
"GPK","1993-02-08","28.5","28.75","28.25","7.85","85300"
"GPK","1993-02-09","28.5","28.5","27.5","7.78","389100"
"GPK","1993-02-10","28.0","28.0","27.5","7.78","369300"
"GPK","1993-02-11","28.0","28.0","27.5","7.64","138600"
"GPK","1993-02-12","26.5","27.5","26.0","7.43","250200"
"GPK","1993-02-16","27.25","27.25","26.0","7.22","134600"
"GPK","1993-02-17","26.25","26.75","25.75","7.29","253800"
"GPK","1993-02-18","26.5","27.75","26.0","7.71","183900"
"GPK","1993-02-19","28.0","28.0","27.5","7.71","182800"
"GPK","1993-02-22","27.75","27.75","27.0","7.64","134600"
"GPK","1993-02-23","27.5","28.5","27.0","7.71","141100"
"GPK","1993-02-24","27.75","29.0","27.75","7.81","201200"
"GPK","1993-02-25","28.0","28.75","27.75","7.78","133900"
"GPK","1993-02-26","28.25","28.5","28.0","7.92","125600"
"GPK","1993-03-01","28.5","28.5","27.75","7.85","246600"
"GPK","1993-03-02","28.5","28.5","27.75","7.71","156200"
"GPK","1993-03-03","28.25","28.25","27.75","7.71","60400"
"GPK","1993-03-04","28.25","28.25","27.75","7.78","249100"
"GPK","1993-03-05","27.88","28.25","27.75","7.85","87400"
"GPK","1993-03-08","28.25","29.25","27.75","8.12","434800"
"GPK","1993-03-09","28.75","29.5","28.75","8.19","87800"
"GPK","1993-03-10","29.25","29.25","25.0","7.08","2242800"
"GPK","1993-03-11","24.75","25.25","20.5","6.18","1736200"
"GPK","1993-03-12","22.25","24.75","21.75","6.87","1044000"
"GPK","1993-03-15","25.0","26.25","24.0","6.94","280800"
"GPK","1993-03-16","24.75","25.5","24.75","7.08","312100"
"GPK","1993-03-17","25.5","25.5","24.75","7.08","92800"
"GPK","1993-03-18","25.5","25.5","24.75","7.08","65500"
"GPK","1993-03-19","24.75","25.5","24.5","6.94","88900"
"GPK","1993-03-22","24.5","25.0","22.75","6.56","208400"
"GPK","1993-03-23","23.5","23.75","23.0","6.53","140700"
"GPK","1993-03-24","23.5","23.5","22.75","6.32","86700"
"GPK","1993-03-25","22.5","23.0","21.25","6.11","524800"
"GPK","1993-03-26","21.5","24.0","21.5","6.46","278600"
"GPK","1993-03-29","23.75","24.5","23.5","6.74","316800"
"GPK","1993-03-30","24.5","25.25","24.0","6.94","235800"
"GPK","1993-03-31","24.75","25.25","24.5","6.87","194400"
"GPK","1993-04-01","25.25","25.25","24.0","6.81","207300"
"GPK","1993-04-02","23.75","24.25","23.5","6.53","177100"
"GPK","1993-04-05","24.25","24.25","23.0","6.42","133500"
"GPK","1993-04-06","23.0","23.25","22.25","6.39","182100"
"GPK","1993-04-07","23.0","23.75","22.5","6.6","93200"
"GPK","1993-04-08","23.25","24.75","23.25","6.87","128500"
