"symbol","date","open","high","low","close","volume"
"GPRK","2010-10-15","10.25","10.25","10.25","10.25","0"
"GPRK","2010-10-18","10.25","10.25","10.25","10.25","0"
"GPRK","2010-10-19","10.25","10.25","10.25","10.25","0"
"GPRK","2010-10-20","10.25","10.25","10.25","10.25","0"
"GPRK","2010-10-21","10.6","10.6","10.6","10.6","1000"
"GPRK","2010-10-22","11.35","11.35","11.35","11.35","10000"
"GPRK","2010-10-25","11.0","11.0","11.0","11.0","500"
"GPRK","2010-10-26","11.0","11.0","11.0","11.0","0"
"GPRK","2010-10-27","11.0","11.0","11.0","11.0","0"
"GPRK","2010-10-28","11.0","11.0","11.0","11.0","6000"
"GPRK","2010-10-29","11.0","11.0","11.0","11.0","0"
"GPRK","2010-11-01","11.0","11.0","11.0","11.0","0"
"GPRK","2010-11-02","11.0","11.0","11.0","11.0","0"
"GPRK","2010-11-03","11.0","11.0","11.0","11.0","0"
"GPRK","2010-11-04","11.0","11.0","11.0","11.0","0"
"GPRK","2010-11-05","12.4","12.5","12.34","12.5","5300"
"GPRK","2010-11-08","12.5","12.5","12.5","12.5","0"
"GPRK","2010-11-09","12.5","12.5","12.5","12.5","0"
"GPRK","2010-11-10","12.5","12.5","12.5","12.5","200"
"GPRK","2010-11-11","12.5","12.5","12.5","12.5","0"
"GPRK","2010-11-12","11.83","11.83","11.83","11.83","200"
"GPRK","2010-11-15","11.83","11.83","11.83","11.83","0"
"GPRK","2010-11-16","11.83","11.83","11.83","11.83","0"
"GPRK","2010-11-17","11.83","11.83","11.83","11.83","0"
"GPRK","2010-11-18","12.15","12.15","12.15","12.15","1000"
"GPRK","2010-11-19","12.15","12.15","12.15","12.15","0"
"GPRK","2010-11-22","12.15","12.15","12.15","12.15","0"
"GPRK","2010-11-23","12.15","12.15","12.15","12.15","0"
"GPRK","2010-11-24","12.15","12.15","12.15","12.15","0"
"GPRK","2010-11-26","12.15","12.15","12.15","12.15","0"
"GPRK","2010-11-29","12.25","12.25","12.25","12.25","100"
"GPRK","2010-11-30","12.25","12.25","12.25","12.25","0"
"GPRK","2010-12-01","12.25","12.25","12.25","12.25","0"
"GPRK","2010-12-02","12.0","12.0","12.0","12.0","4000"
"GPRK","2010-12-03","12.0","12.0","12.0","12.0","0"
"GPRK","2010-12-06","12.0","12.0","12.0","12.0","0"
"GPRK","2010-12-07","12.0","12.0","12.0","12.0","0"
"GPRK","2010-12-08","12.0","12.0","12.0","12.0","0"
"GPRK","2010-12-09","12.0","12.0","12.0","12.0","0"
"GPRK","2010-12-10","12.74","12.74","12.74","12.74","2500"
"GPRK","2010-12-13","12.74","12.74","12.74","12.74","0"
"GPRK","2010-12-14","12.74","12.74","12.74","12.74","0"
"GPRK","2010-12-15","12.74","12.74","12.74","12.74","0"
"GPRK","2010-12-16","12.74","12.74","12.74","12.74","0"
"GPRK","2010-12-17","12.74","12.74","12.74","12.74","0"
"GPRK","2010-12-20","13.9","13.9","13.9","13.9","100"
"GPRK","2010-12-21","13.9","13.9","13.9","13.9","0"
"GPRK","2010-12-22","13.9","13.9","13.9","13.9","0"
"GPRK","2010-12-23","13.9","13.9","13.9","13.9","0"
"GPRK","2010-12-27","13.9","13.9","13.9","13.9","400"
"GPRK","2010-12-28","13.9","13.9","13.9","13.9","0"
"GPRK","2010-12-29","13.9","13.9","13.9","13.9","0"
"GPRK","2010-12-30","13.9","13.9","13.9","13.9","0"
"GPRK","2010-12-31","13.9","13.9","13.9","13.9","0"
"GPRK","2011-01-03","13.9","13.9","13.9","13.9","0"
"GPRK","2011-01-04","13.9","13.9","13.9","13.9","0"
"GPRK","2011-01-05","14.0","14.0","14.0","14.0","900"
"GPRK","2011-01-06","14.0","14.0","14.0","14.0","0"
"GPRK","2011-01-07","14.0","14.0","14.0","14.0","0"
"GPRK","2011-01-10","14.0","14.0","14.0","14.0","0"
"GPRK","2011-01-11","14.0","14.0","14.0","14.0","0"
"GPRK","2011-01-12","14.0","14.0","14.0","14.0","0"
"GPRK","2011-01-13","14.1","14.1","14.1","14.1","1400"
"GPRK","2011-01-14","14.1","14.1","14.1","14.1","0"
"GPRK","2011-01-18","13.5","13.83","13.5","13.83","3600"
"GPRK","2011-01-19","13.83","13.83","13.83","13.83","0"
"GPRK","2011-01-20","13.83","13.83","13.83","13.83","0"
"GPRK","2011-01-21","13.83","13.83","13.83","13.83","0"
"GPRK","2011-01-24","13.83","13.83","13.83","13.83","0"
"GPRK","2011-01-25","13.83","13.83","13.83","13.83","0"
"GPRK","2011-01-26","12.5","12.5","12.5","12.5","1000"
"GPRK","2011-01-27","12.5","12.5","12.5","12.5","0"
"GPRK","2011-01-28","12.5","12.5","12.5","12.5","0"
"GPRK","2011-01-31","12.5","12.5","12.5","12.5","0"
"GPRK","2011-02-01","12.5","12.5","12.5","12.5","0"
"GPRK","2011-02-02","12.5","12.5","12.5","12.5","0"
"GPRK","2011-02-03","12.5","12.5","12.5","12.5","0"
"GPRK","2011-02-04","12.3","12.3","12.3","12.3","5000"
"GPRK","2011-02-07","13.5","13.5","12.4","12.4","6400"
"GPRK","2011-02-08","12.3","12.3","12.3","12.3","5000"
"GPRK","2011-02-09","12.3","12.3","12.3","12.3","0"
"GPRK","2011-02-10","12.0","12.0","12.0","12.0","6000"
"GPRK","2011-02-11","12.0","12.0","12.0","12.0","0"
"GPRK","2011-02-14","11.6","11.6","11.58","11.58","15000"
"GPRK","2011-02-15","11.88","11.88","11.73","11.88","11400"
"GPRK","2011-02-16","11.68","11.68","11.68","11.68","5000"
"GPRK","2011-02-17","11.68","11.68","11.68","11.68","0"
"GPRK","2011-02-18","11.75","11.75","11.74","11.74","15000"
"GPRK","2011-02-22","11.6","11.6","11.6","11.6","5000"
"GPRK","2011-02-23","11.75","11.75","11.73","11.73","15000"
"GPRK","2011-02-24","11.6","11.6","11.6","11.6","5000"
"GPRK","2011-02-25","11.8","11.8","11.4","11.54","10000"
"GPRK","2011-02-28","11.5","11.5","11.3","11.3","15000"
"GPRK","2011-03-01","11.25","11.5","11.25","11.5","3000"
"GPRK","2011-03-02","11.3","11.3","11.3","11.3","2000"
"GPRK","2011-03-03","11.3","11.3","11.3","11.3","0"
"GPRK","2011-03-04","11.19","11.19","11.19","11.19","5400"
"GPRK","2011-03-07","11.19","11.19","11.19","11.19","0"
"GPRK","2011-03-08","10.95","10.95","10.95","10.95","3000"
"GPRK","2011-03-09","10.89","10.89","10.89","10.89","100"
"GPRK","2011-03-10","10.89","10.89","10.89","10.89","0"
"GPRK","2011-03-11","10.89","10.89","10.89","10.89","0"
"GPRK","2011-03-14","10.89","10.89","10.89","10.89","0"
"GPRK","2011-03-15","10.89","10.89","10.89","10.89","0"
"GPRK","2011-03-16","10.89","10.89","10.89","10.89","0"
"GPRK","2011-03-17","10.89","10.89","10.89","10.89","0"
"GPRK","2011-03-18","10.89","10.89","10.89","10.89","0"
"GPRK","2011-03-21","10.89","10.89","10.89","10.89","0"
"GPRK","2011-03-22","10.89","10.89","10.89","10.89","0"
"GPRK","2011-03-23","11.0","11.0","11.0","11.0","1000"
"GPRK","2011-03-24","11.09","11.09","11.09","11.09","5000"
"GPRK","2011-03-25","10.91","10.91","10.91","10.91","5000"
"GPRK","2011-03-28","10.91","10.91","10.91","10.91","0"
"GPRK","2011-03-29","10.91","10.91","10.91","10.91","0"
"GPRK","2011-03-30","10.91","10.91","10.91","10.91","0"
"GPRK","2011-03-31","10.91","10.91","10.91","10.91","0"
"GPRK","2011-04-01","10.91","10.91","10.91","10.91","0"
"GPRK","2011-04-04","11.84","11.84","11.84","11.84","2000"
"GPRK","2011-04-05","11.84","11.84","11.84","11.84","0"
"GPRK","2011-04-06","11.84","11.84","11.84","11.84","0"
"GPRK","2011-04-07","11.84","11.84","11.84","11.84","0"
"GPRK","2011-04-08","11.84","11.84","11.84","11.84","0"
"GPRK","2011-04-11","11.84","11.84","11.84","11.84","0"
"GPRK","2011-04-12","11.84","11.84","11.84","11.84","0"
"GPRK","2011-04-13","11.84","11.84","11.84","11.84","0"
"GPRK","2011-04-14","11.84","11.84","11.84","11.84","0"
"GPRK","2011-04-15","11.84","11.84","11.84","11.84","0"
"GPRK","2011-04-18","11.84","11.84","11.84","11.84","0"
"GPRK","2011-04-19","11.84","11.84","11.84","11.84","0"
"GPRK","2011-04-20","11.84","11.84","11.84","11.84","0"
"GPRK","2011-04-21","11.84","11.84","11.84","11.84","0"
"GPRK","2011-04-25","11.84","11.84","11.84","11.84","0"
"GPRK","2011-04-26","11.85","11.85","11.85","11.85","400"
"GPRK","2011-04-27","11.85","11.85","11.85","11.85","0"
"GPRK","2011-04-28","11.85","11.85","11.85","11.85","0"
"GPRK","2011-04-29","11.85","11.85","11.85","11.85","0"
"GPRK","2011-05-02","12.0","12.0","12.0","12.0","400"
"GPRK","2011-05-03","12.0","12.0","12.0","12.0","0"
"GPRK","2011-05-04","12.0","12.0","12.0","12.0","0"
"GPRK","2011-05-05","12.62","12.62","12.62","12.62","500"
"GPRK","2011-05-06","12.62","12.62","12.62","12.62","0"
"GPRK","2011-05-09","11.5","12.5","11.5","12.25","5700"
"GPRK","2011-05-10","12.25","12.25","12.25","12.25","0"
"GPRK","2011-05-11","12.25","12.25","12.25","12.25","0"
"GPRK","2011-05-12","12.25","12.25","12.25","12.25","0"
"GPRK","2011-05-13","12.25","12.25","12.25","12.25","0"
"GPRK","2011-05-16","12.25","12.25","12.25","12.25","0"
"GPRK","2011-05-17","12.25","12.25","12.25","12.25","0"
"GPRK","2011-05-18","12.25","12.25","12.25","12.25","0"
"GPRK","2011-05-19","12.25","12.25","12.25","12.25","0"
"GPRK","2011-05-20","12.25","12.25","12.25","12.25","0"
"GPRK","2011-05-23","12.25","12.25","12.25","12.25","0"
"GPRK","2011-05-24","12.25","12.25","12.25","12.25","0"
"GPRK","2011-05-25","12.25","12.25","12.25","12.25","0"
"GPRK","2011-05-26","12.25","12.25","12.25","12.25","0"
"GPRK","2011-05-27","12.25","12.25","12.25","12.25","0"
"GPRK","2011-05-31","12.25","12.25","12.25","12.25","0"
"GPRK","2011-06-01","10.8","10.8","10.8","10.8","2500"
"GPRK","2011-06-02","10.8","10.8","10.8","10.8","0"
"GPRK","2011-06-03","10.8","10.8","10.8","10.8","0"
"GPRK","2011-06-06","10.8","10.8","10.8","10.8","0"
"GPRK","2011-06-07","10.8","10.8","10.8","10.8","0"
"GPRK","2011-06-08","10.65","10.65","10.5","10.5","3200"
"GPRK","2011-06-09","10.5","10.5","10.5","10.5","0"
"GPRK","2011-06-10","10.5","10.5","10.5","10.5","0"
"GPRK","2011-06-13","10.5","10.5","10.5","10.5","0"
"GPRK","2011-06-14","10.5","10.5","10.5","10.5","0"
"GPRK","2011-06-15","10.5","10.5","10.5","10.5","0"
"GPRK","2011-06-16","10.5","10.5","10.5","10.5","0"
"GPRK","2011-06-17","10.5","10.5","10.5","10.5","0"
"GPRK","2011-06-20","10.5","10.5","10.5","10.5","0"
"GPRK","2011-06-21","10.71","10.71","10.71","10.71","200000"
"GPRK","2011-06-22","10.67","10.72","10.67","10.67","1600"
"GPRK","2011-06-23","10.67","10.67","10.67","10.67","0"
"GPRK","2011-06-24","10.67","10.67","10.67","10.67","0"
"GPRK","2011-06-27","10.67","10.67","10.67","10.67","0"
"GPRK","2011-06-28","10.67","10.67","10.67","10.67","0"
"GPRK","2011-06-29","10.67","10.67","10.67","10.67","0"
"GPRK","2011-06-30","10.67","10.67","10.67","10.67","0"
"GPRK","2011-07-01","10.67","10.67","10.67","10.67","0"
"GPRK","2011-07-05","10.67","10.67","10.67","10.67","0"
"GPRK","2011-07-06","10.65","10.65","10.65","10.65","1000"
"GPRK","2011-07-07","10.65","10.65","10.65","10.65","0"
"GPRK","2011-07-08","10.65","10.65","10.65","10.65","1000"
"GPRK","2011-07-11","10.65","10.65","10.65","10.65","0"
"GPRK","2011-07-12","10.65","10.65","10.65","10.65","0"
"GPRK","2011-07-13","10.65","10.65","10.65","10.65","0"
"GPRK","2011-07-14","10.65","10.65","10.65","10.65","0"
"GPRK","2011-07-15","10.65","10.65","10.65","10.65","0"
"GPRK","2011-07-18","10.32","10.32","10.32","10.32","1000"
"GPRK","2011-07-19","10.32","10.32","10.32","10.32","0"
"GPRK","2011-07-20","10.32","10.32","10.32","10.32","0"
"GPRK","2011-07-21","10.32","10.32","10.32","10.32","0"
"GPRK","2011-07-22","10.32","10.32","10.32","10.32","0"
"GPRK","2011-07-25","10.32","10.32","10.32","10.32","0"
"GPRK","2011-07-26","10.32","10.32","10.32","10.32","0"
"GPRK","2011-07-27","10.32","10.32","10.32","10.32","0"
"GPRK","2011-07-28","10.32","10.32","10.32","10.32","0"
"GPRK","2011-07-29","10.32","10.32","10.32","10.32","0"
"GPRK","2011-08-01","10.32","10.32","10.32","10.32","0"
"GPRK","2011-08-02","10.32","10.32","10.32","10.32","0"
"GPRK","2011-08-03","10.32","10.32","10.32","10.32","0"
"GPRK","2011-08-04","10.32","10.32","10.32","10.32","0"
"GPRK","2011-08-05","10.32","10.32","10.32","10.32","0"
"GPRK","2011-08-08","10.32","10.32","10.32","10.32","0"
"GPRK","2011-08-09","10.32","10.32","10.32","10.32","0"
"GPRK","2011-08-10","10.32","10.32","10.32","10.32","0"
"GPRK","2011-08-11","8.25","8.25","8.25","8.25","900"
"GPRK","2011-08-12","8.75","8.75","8.75","8.75","900"
"GPRK","2011-08-15","8.75","8.75","8.75","8.75","0"
"GPRK","2011-08-16","8.2","8.2","8.2","8.2","3600"
"GPRK","2011-08-17","8.2","8.2","8.2","8.2","0"
"GPRK","2011-08-18","8.2","8.2","8.2","8.2","0"
