"symbol","date","open","high","low","close","volume"
"GYC","2005-01-13","24.9","26.0","24.9","26.0","7000"
"GYC","2005-01-14","25.3","25.3","25.29","25.29","2000"
"GYC","2005-01-18","25.1","25.1","24.36","24.75","8800"
"GYC","2005-01-19","24.9","24.99","24.9","24.99","4500"
"GYC","2005-01-20","24.85","25.0","24.85","25.0","6000"
"GYC","2005-01-21","24.75","27.5","24.75","25.26","47300"
"GYC","2005-01-24","25.05","25.05","24.8","24.99","4100"
"GYC","2005-01-25","25.0","25.0","25.0","25.0","100"
"GYC","2005-01-26","25.0","25.0","24.8","24.8","3200"
"GYC","2005-01-27","24.99","24.99","24.7","24.7","8300"
"GYC","2005-01-28","24.99","24.99","24.98","24.98","1400"
"GYC","2005-01-31","24.76","24.98","24.76","24.85","3200"
"GYC","2005-02-01","24.71","24.99","24.71","24.99","3000"
"GYC","2005-02-02","24.8","24.85","24.7","24.85","4100"
"GYC","2005-02-03","24.99","24.99","24.7","24.99","3800"
"GYC","2005-02-04","24.8","24.98","24.8","24.8","3000"
"GYC","2005-02-07","0.0","0.0","0.0","24.8","0"
"GYC","2005-02-08","24.79","24.79","24.75","24.75","11100"
"GYC","2005-02-09","24.76","24.98","24.76","24.98","9000"
"GYC","2005-02-10","24.97","24.97","24.8","24.8","300"
"GYC","2005-02-11","24.7","24.82","24.7","24.8","3200"
"GYC","2005-02-14","24.97","24.97","24.8","24.96","7800"
"GYC","2005-02-15","24.96","24.96","24.96","24.96","800"
"GYC","2005-02-16","24.8","24.96","24.7","24.96","12500"
"GYC","2005-02-17","24.81","24.96","24.8","24.8","5000"
"GYC","2005-02-18","24.89","24.89","24.89","24.89","2000"
"GYC","2005-02-22","24.8","24.88","24.8","24.88","2500"
"GYC","2005-02-23","24.8","24.8","24.8","24.8","4500"
"GYC","2005-02-24","24.78","24.78","24.78","24.78","4500"
"GYC","2005-02-25","24.8","24.8","24.75","24.75","1100"
"GYC","2005-02-28","24.8","24.8","24.8","24.8","2000"
"GYC","2005-03-01","24.8","24.81","24.8","24.81","1100"
"GYC","2005-03-02","24.89","24.89","24.75","24.75","5700"
"GYC","2005-03-03","24.75","24.88","24.75","24.8","9500"
"GYC","2005-03-04","24.75","24.88","24.75","24.88","6300"
"GYC","2005-03-07","24.51","24.66","24.51","24.65","4500"
"GYC","2005-03-08","24.71","24.71","24.71","24.71","3900"
"GYC","2005-03-09","24.85","24.85","24.85","24.85","1000"
"GYC","2005-03-10","24.78","24.89","24.78","24.81","8200"
"GYC","2005-03-11","24.88","24.88","24.88","24.88","2200"
"GYC","2005-03-14","24.85","24.89","24.85","24.89","5500"
"GYC","2005-03-15","24.87","24.94","24.85","24.94","31300"
"GYC","2005-03-16","24.94","24.95","24.87","24.95","5000"
"GYC","2005-03-17","24.87","24.87","24.7","24.7","9500"
"GYC","2005-03-18","24.75","24.89","24.75","24.77","3400"
"GYC","2005-03-21","24.89","24.89","24.8","24.8","5700"
"GYC","2005-03-22","0.0","0.0","0.0","24.8","0"
"GYC","2005-03-23","24.75","24.75","24.61","24.61","5700"
"GYC","2005-03-24","24.79","24.8","24.51","24.8","3500"
"GYC","2005-03-28","24.8","24.8","24.45","24.7","15900"
"GYC","2005-03-29","24.5","24.65","24.49","24.51","8700"
"GYC","2005-03-30","24.55","24.59","24.55","24.59","2500"
"GYC","2005-03-31","24.6","24.89","24.6","24.89","10000"
"GYC","2005-04-01","24.51","24.6","24.51","24.6","6000"
"GYC","2005-04-04","24.6","24.65","24.6","24.65","3500"
"GYC","2005-04-05","24.5","24.5","24.5","24.5","1000"
"GYC","2005-04-06","24.75","24.79","24.65","24.65","1900"
"GYC","2005-04-07","24.75","24.8","24.7","24.7","6400"
"GYC","2005-04-08","24.79","24.79","24.79","24.79","600"
"GYC","2005-04-11","24.75","24.75","24.5","24.5","8900"
"GYC","2005-04-12","24.75","24.75","24.4","24.4","1600"
"GYC","2005-04-13","24.59","24.6","24.4","24.4","7300"
"GYC","2005-04-14","0.0","0.0","0.0","24.4","0"
"GYC","2005-04-15","24.51","24.75","24.51","24.75","3400"
"GYC","2005-04-18","24.7","24.7","24.7","24.7","2000"
"GYC","2005-04-19","0.0","0.0","0.0","24.7","0"
"GYC","2005-04-20","0.0","0.0","0.0","24.7","0"
"GYC","2005-04-21","24.42","24.7","24.42","24.7","9300"
"GYC","2005-04-22","24.65","24.75","24.65","24.75","2400"
"GYC","2005-04-25","24.4","24.66","24.4","24.66","6400"
"GYC","2005-04-26","24.66","24.67","24.66","24.66","3600"
"GYC","2005-04-27","24.66","24.69","24.66","24.69","6600"
"GYC","2005-04-28","24.66","24.68","24.66","24.66","500"
"GYC","2005-04-29","24.69","24.75","24.55","24.75","20900"
"GYC","2005-05-02","24.51","24.74","24.45","24.51","8600"
"GYC","2005-05-03","24.69","24.69","24.61","24.61","500"
"GYC","2005-05-04","24.65","24.65","24.48","24.59","2600"
"GYC","2005-05-05","24.6","24.65","24.6","24.65","3000"
"GYC","2005-05-06","24.65","24.74","24.55","24.74","7400"
"GYC","2005-05-09","24.46","24.57","24.46","24.55","5000"
"GYC","2005-05-10","24.65","24.65","24.55","24.55","6900"
"GYC","2005-05-11","24.75","24.75","24.45","24.66","12000"
"GYC","2005-05-12","24.65","24.72","24.45","24.72","22900"
"GYC","2005-05-13","24.6","24.6","24.6","24.6","4000"
"GYC","2005-05-16","24.5","24.71","24.5","24.71","3000"
"GYC","2005-05-17","24.67","24.69","24.67","24.68","1600"
"GYC","2005-05-18","24.71","24.71","24.44","24.44","5100"
"GYC","2005-05-19","24.5","24.5","24.5","24.5","28200"
"GYC","2005-05-20","24.41","24.47","24.25","24.47","16900"
"GYC","2005-05-23","24.71","24.72","24.71","24.72","2000"
"GYC","2005-05-24","24.7","24.75","24.7","24.75","13500"
"GYC","2005-05-25","24.65","24.65","24.65","24.65","100"
"GYC","2005-05-26","24.41","24.41","24.41","24.41","100"
"GYC","2005-05-27","0.0","0.0","0.0","24.41","0"
"GYC","2005-05-31","24.42","24.75","24.42","24.75","3000"
"GYC","2005-06-01","24.6","24.6","24.35","24.55","6000"
"GYC","2005-06-02","24.35","24.49","24.11","24.13","8500"
"GYC","2005-06-03","0.0","0.0","0.0","24.13","0"
"GYC","2005-06-06","0.0","0.0","0.0","24.13","0"
"GYC","2005-06-07","0.0","0.0","0.0","24.13","0"
"GYC","2005-06-08","23.92","23.94","23.85","23.94","4700"
"GYC","2005-06-09","23.86","23.86","23.81","23.81","2500"
"GYC","2005-06-10","23.75","23.75","23.35","23.54","9300"
"GYC","2005-06-13","23.35","23.35","23.15","23.2","11200"
