"symbol","date","open","high","low","close","volume"
"OCLS","2007-01-25","7.75","8.4","7.61","54.6","158200"
"OCLS","2007-01-26","7.95","8.15","7.75","55.23","24100"
"OCLS","2007-01-29","7.99","7.99","7.72","54.18","5400"
"OCLS","2007-01-30","7.8","7.89","7.7","54.6","13400"
"OCLS","2007-01-31","7.99","7.99","7.64","53.69","6100"
"OCLS","2007-02-01","7.65","7.8","7.2","51.24","11900"
"OCLS","2007-02-02","7.25","7.6","7.25","52.64","4200"
"OCLS","2007-02-05","7.87","7.87","7.43","52.01","3100"
"OCLS","2007-02-06","7.84","7.84","7.2","50.96","5300"
"OCLS","2007-02-07","7.27","7.69","7.25","51.17","4400"
"OCLS","2007-02-08","7.38","7.4","7.27","50.89","3100"
"OCLS","2007-02-09","7.29","7.31","6.75","49.21","9800"
"OCLS","2007-02-12","7.2","7.2","6.6","47.67","5700"
"OCLS","2007-02-13","7.73","7.73","6.77","50.05","7500"
"OCLS","2007-02-14","7.5","7.69","7.17","51.87","6300"
"OCLS","2007-02-15","7.65","7.65","7.5","52.85","2500"
"OCLS","2007-02-16","7.55","7.78","7.45","52.43","3700"
"OCLS","2007-02-20","8.04","8.05","7.5","54.53","6400"
"OCLS","2007-02-21","8.05","8.05","7.6","53.83","1700"
"OCLS","2007-02-22","7.76","7.8","7.25","51.8","5600"
"OCLS","2007-02-23","7.79","8.0","7.76","56.0","6300"
"OCLS","2007-02-26","8.05","8.05","7.65","56.0","7000"
"OCLS","2007-02-27","8.02","8.02","7.35","54.25","7000"
"OCLS","2007-02-28","7.7","7.89","7.5","53.9","2800"
"OCLS","2007-03-01","7.71","7.78","7.4","52.99","4500"
"OCLS","2007-03-02","7.62","7.62","7.14","50.33","5000"
"OCLS","2007-03-05","7.18","7.18","6.5","46.27","4400"
"OCLS","2007-03-06","7.51","7.61","6.5","47.18","6200"
"OCLS","2007-03-07","7.17","7.17","6.49","49.07","3500"
"OCLS","2007-03-08","6.65","7.2","6.65","49.28","5400"
"OCLS","2007-03-09","7.01","7.24","6.64","49.0","3100"
"OCLS","2007-03-12","6.52","6.87","6.41","46.34","6000"
"OCLS","2007-03-13","6.65","6.76","6.43","47.32","4200"
"OCLS","2007-03-14","6.86","6.86","6.6","47.18","2500"
"OCLS","2007-03-15","6.79","6.93","6.4","46.2","3900"
"OCLS","2007-03-16","6.66","6.9","6.4","46.97","1300"
"OCLS","2007-03-19","6.31","6.8","6.31","45.5","1900"
"OCLS","2007-03-20","6.36","6.48","6.36","44.52","3300"
"OCLS","2007-03-21","6.1","6.35","5.75","42.28","11000"
"OCLS","2007-03-22","5.77","6.99","5.77","48.58","8200"
"OCLS","2007-03-23","6.25","6.79","6.25","45.78","2800"
"OCLS","2007-03-26","6.45","6.75","6.28","47.25","1700"
"OCLS","2007-03-27","6.87","6.87","6.35","44.59","3300"
"OCLS","2007-03-28","6.4","6.52","6.1","42.7","3100"
"OCLS","2007-03-29","6.47","6.47","6.05","42.7","1000"
"OCLS","2007-03-30","6.12","6.12","5.71","41.65","4000"
"OCLS","2007-04-02","6.32","6.32","5.75","41.23","1400"
"OCLS","2007-04-03","5.79","5.99","5.7","39.9","1100"
"OCLS","2007-04-04","6.0","6.0","5.74","40.25","1700"
"OCLS","2007-04-05","5.7","6.3","5.66","42.49","3800"
"OCLS","2007-04-09","6.15","6.3","6.07","42.77","1600"
"OCLS","2007-04-10","6.1","6.1","5.88","42.42","1000"
"OCLS","2007-04-11","5.91","6.08","5.82","42.0","900"
"OCLS","2007-04-12","6.0","6.05","5.95","41.65","3000"
"OCLS","2007-04-13","6.0","6.1","5.84","41.44","3100"
"OCLS","2007-04-16","6.56","6.56","5.93","42.35","1600"
"OCLS","2007-04-17","5.91","6.05","5.85","42.35","600"
"OCLS","2007-04-18","6.05","6.05","5.87","41.65","2600"
"OCLS","2007-04-19","5.91","6.24","5.84","42.98","3500"
"OCLS","2007-04-20","6.2","6.37","6.0","42.07","1100"
"OCLS","2007-04-23","6.06","6.4","5.99","42.0","900"
"OCLS","2007-04-24","6.09","6.1","5.95","41.65","2800"
"OCLS","2007-04-25","5.96","6.04","5.95","42.0","2900"
"OCLS","2007-04-26","6.1","6.35","6.1","44.1","1800"
"OCLS","2007-04-27","6.3","6.35","6.2","44.45","2700"
"OCLS","2007-04-30","6.15","6.25","6.13","42.91","2000"
"OCLS","2007-05-01","6.25","6.38","6.25","43.82","1300"
"OCLS","2007-05-02","6.31","6.55","6.25","43.96","4200"
"OCLS","2007-05-03","6.45","7.24","6.3","46.62","5000"
"OCLS","2007-05-04","6.43","6.75","6.4","47.25","1900"
"OCLS","2007-05-07","6.93","6.93","6.63","47.18","1500"
"OCLS","2007-05-08","6.8","7.2","6.75","50.4","3000"
"OCLS","2007-05-09","7.22","7.35","6.98","49.84","2000"
