"symbol","date","open","high","low","close","volume"
"OHAI","2004-11-10","15.0","15.09","15.0","6.53","2078900"
"OHAI","2004-11-11","15.0","15.05","15.0","6.53","444100"
"OHAI","2004-11-12","15.0","15.05","15.0","6.53","208100"
"OHAI","2004-11-15","15.02","15.04","15.0","6.54","120200"
"OHAI","2004-11-16","15.0","15.06","15.0","6.55","49800"
"OHAI","2004-11-17","15.03","15.03","15.0","6.54","251400"
"OHAI","2004-11-18","15.0","15.02","15.0","6.53","121500"
"OHAI","2004-11-19","15.0","15.03","15.0","6.53","61300"
"OHAI","2004-11-22","15.06","15.06","14.98","6.53","49400"
"OHAI","2004-11-23","15.05","15.05","15.0","6.53","33000"
"OHAI","2004-11-24","15.01","15.05","15.0","6.54","55300"
"OHAI","2004-11-26","15.0","15.06","15.0","6.56","16500"
"OHAI","2004-11-29","15.06","15.06","15.0","6.53","61700"
"OHAI","2004-11-30","15.01","15.05","15.0","6.53","82000"
"OHAI","2004-12-01","15.0","15.18","15.0","6.59","304000"
"OHAI","2004-12-02","15.17","15.17","15.01","6.57","88900"
"OHAI","2004-12-03","15.02","15.14","15.02","6.56","58900"
"OHAI","2004-12-06","15.19","15.19","15.0","6.55","47100"
"OHAI","2004-12-07","15.08","15.08","14.75","6.55","42000"
"OHAI","2004-12-08","15.0","15.04","15.0","6.55","30600"
"OHAI","2004-12-09","15.0","15.1","15.0","6.53","60000"
"OHAI","2004-12-10","15.0","15.1","15.0","6.53","24500"
"OHAI","2004-12-13","15.04","15.1","14.91","6.53","201700"
"OHAI","2004-12-14","15.01","15.04","15.0","6.54","202600"
"OHAI","2004-12-15","15.0","15.02","15.0","6.53","63300"
"OHAI","2004-12-16","15.0","15.01","14.59","6.44","131700"
"OHAI","2004-12-17","15.0","15.35","14.35","6.59","736900"
"OHAI","2004-12-20","16.15","16.15","14.2","6.72","254000"
"OHAI","2004-12-21","15.6","15.6","15.05","6.71","78500"
"OHAI","2004-12-22","15.41","15.49","15.1","6.66","71700"
"OHAI","2004-12-23","15.37","15.5","15.16","6.74","95100"
"OHAI","2004-12-27","15.57","15.57","15.15","6.66","38100"
"OHAI","2004-12-28","15.5","15.5","15.15","6.68","91400"
"OHAI","2004-12-29","15.03","15.55","15.01","6.58","33900"
"OHAI","2004-12-30","15.1","15.52","15.1","6.7","44200"
"OHAI","2004-12-31","15.4","15.59","15.05","6.69","44900"
"OHAI","2005-01-03","15.3","15.3","14.66","6.53","166700"
"OHAI","2005-01-04","14.9","15.3","14.9","6.64","69600"
"OHAI","2005-01-05","14.97","15.6","14.65","6.48","73900"
"OHAI","2005-01-06","15.25","15.25","14.85","6.57","64300"
"OHAI","2005-01-07","15.15","15.15","14.7","6.56","37500"
"OHAI","2005-01-10","14.9","15.09","14.41","6.45","71400"
"OHAI","2005-01-11","15.0","15.0","14.5","6.44","71400"
