"symbol","date","open","high","low","close","volume"
"OIIM","2000-08-31","22.84","25.5","22.5","25.5","631800"
"OIIM","2000-09-01","27.34","28.62","24.38","25.62","618000"
"OIIM","2000-09-05","26.94","26.94","24.25","25.12","208200"
"OIIM","2000-09-06","25.25","25.62","22.25","22.94","216700"
"OIIM","2000-09-07","23.06","23.25","22.25","23.0","97900"
"OIIM","2000-09-08","23.0","24.38","21.62","23.75","199600"
"OIIM","2000-09-11","24.38","27.0","24.34","26.0","215600"
"OIIM","2000-09-12","25.44","26.12","22.0","22.94","174600"
"OIIM","2000-09-13","22.16","22.88","22.12","22.56","40900"
"OIIM","2000-09-14","23.16","24.69","23.06","23.5","69500"
"OIIM","2000-09-15","23.75","23.75","22.0","23.0","49100"
"OIIM","2000-09-18","22.72","22.72","19.25","19.81","204300"
"OIIM","2000-09-19","20.44","20.5","18.5","20.0","129200"
"OIIM","2000-09-20","19.75","19.75","17.06","18.38","124700"
"OIIM","2000-09-21","17.88","18.0","17.0","17.75","101000"
"OIIM","2000-09-22","15.44","17.06","15.0","17.0","248700"
"OIIM","2000-09-25","16.62","18.5","16.56","18.19","94400"
"OIIM","2000-09-26","17.69","18.03","16.62","16.88","71800"
"OIIM","2000-09-27","17.69","18.0","16.0","16.0","71500"
"OIIM","2000-09-28","16.12","16.25","16.0","16.0","50700"
"OIIM","2000-09-29","16.56","17.94","16.0","17.2","43400"
"OIIM","2000-10-02","17.53","17.88","13.0","13.0","102200"
"OIIM","2000-10-03","13.19","13.88","12.81","12.81","282400"
"OIIM","2000-10-04","13.0","13.25","12.5","13.19","42500"
"OIIM","2000-10-05","12.59","13.75","12.56","13.69","160000"
"OIIM","2000-10-06","13.44","14.25","13.44","14.0","37700"
"OIIM","2000-10-09","14.11","14.12","13.5","13.5","56500"
"OIIM","2000-10-10","13.5","13.88","13.25","13.5","126300"
"OIIM","2000-10-11","13.38","13.44","12.02","12.38","76800"
"OIIM","2000-10-12","12.06","12.06","10.75","10.75","59600"
"OIIM","2000-10-13","10.75","11.38","10.06","11.25","293800"
"OIIM","2000-10-16","11.12","11.62","10.62","11.25","146800"
"OIIM","2000-10-17","11.56","12.12","11.0","11.81","47100"
"OIIM","2000-10-18","11.81","11.81","10.31","10.62","55100"
"OIIM","2000-10-19","11.38","12.25","10.94","12.25","77700"
"OIIM","2000-10-20","12.38","12.38","11.5","12.12","62300"
"OIIM","2000-10-23","11.69","11.88","10.88","11.5","57800"
"OIIM","2000-10-24","11.86","12.0","11.38","11.81","114800"
"OIIM","2000-10-25","12.0","12.0","10.88","11.38","56100"
"OIIM","2000-10-26","11.12","11.44","9.12","9.56","452600"
"OIIM","2000-10-27","9.5","10.25","9.38","10.0","43200"
"OIIM","2000-10-30","10.12","10.25","9.75","9.94","71400"
"OIIM","2000-10-31","10.0","10.25","9.69","10.06","112600"
"OIIM","2000-11-01","9.97","10.88","9.94","10.5","197800"
"OIIM","2000-11-02","12.12","12.12","10.5","11.0","208300"
"OIIM","2000-11-03","11.75","11.75","10.25","10.86","45800"
"OIIM","2000-11-06","10.86","11.0","10.44","10.94","36700"
"OIIM","2000-11-07","11.0","11.06","10.5","10.5","22200"
"OIIM","2000-11-08","10.56","10.56","9.75","10.25","62300"
"OIIM","2000-11-09","9.88","10.12","9.5","10.12","28600"
"OIIM","2000-11-10","9.88","10.0","9.75","9.88","58000"
