"symbol","date","open","high","low","close","volume"
"ONDK","2014-12-18","28.98","28.98","25.62","25.91","2178109"
"ONDK","2014-12-19","26.45","26.5","22.75","24.15","1129127"
"ONDK","2014-12-22","23.6","23.6","22.2","23.0","566325"
"ONDK","2014-12-23","23.24","23.34","21.4","22.63","667729"
"ONDK","2014-12-24","22.5","23.44","22.08","23.12","230201"
"ONDK","2014-12-26","23.12","24.52","22.88","23.06","363229"
"ONDK","2014-12-29","22.87","23.43","22.15","22.44","392826"
"ONDK","2014-12-30","22.45","23.31","22.39","22.47","179950"
"ONDK","2014-12-31","22.52","22.72","22.42","22.43","216236"
"ONDK","2015-01-02","22.6","24.48","22.51","23.9","613274"
"ONDK","2015-01-05","23.99","24.19","22.43","22.5","337738"
"ONDK","2015-01-06","22.6","23.5","21.03","22.21","667095"
"ONDK","2015-01-07","22.49","23.49","21.51","22.28","559292"
"ONDK","2015-01-08","22.41","23.0","21.52","22.73","340623"
"ONDK","2015-01-09","22.55","22.91","21.89","22.69","360658"
"ONDK","2015-01-12","22.77","22.77","21.54","21.54","29120"
"ONDK","2015-01-13","20.87","21.08","17.12","18.53","1442714"
"ONDK","2015-01-14","18.5","19.33","17.5","18.28","604993"
"ONDK","2015-01-15","18.41","19.31","17.74","18.5","679066"
"ONDK","2015-01-16","18.03","18.69","18.0","18.5","157170"
"ONDK","2015-01-20","18.99","18.99","18.13","18.39","709809"
"ONDK","2015-01-21","18.3","18.9","16.35","16.87","840088"
"ONDK","2015-01-22","17.25","17.59","16.5","16.5","416082"
"ONDK","2015-01-23","16.02","17.43","16.02","16.99","538030"
"ONDK","2015-01-26","16.91","17.2","16.51","16.63","247793"
"ONDK","2015-01-27","16.56","16.59","16.06","16.08","274629"
"ONDK","2015-01-28","16.05","16.33","15.75","16.07","391878"
"ONDK","2015-01-29","16.01","16.06","14.7","14.75","1170188"
"ONDK","2015-01-30","14.74","15.48","14.52","15.08","453003"
"ONDK","2015-02-02","15.02","15.89","15.01","15.67","276466"
"ONDK","2015-02-03","15.85","16.12","15.55","15.68","316488"
"ONDK","2015-02-04","15.62","16.12","15.5","15.52","333445"
"ONDK","2015-02-05","15.5","15.86","15.5","15.71","280384"
"ONDK","2015-02-06","15.96","17.5","15.63","16.95","577536"
"ONDK","2015-02-09","16.94","17.5","16.59","17.32","283061"
"ONDK","2015-02-10","17.37","17.77","17.22","17.39","161410"
"ONDK","2015-02-11","17.28","17.51","16.77","17.12","407114"
"ONDK","2015-02-12","17.01","17.65","16.48","17.31","452867"
