"symbol","date","open","high","low","close","volume"
"ORIT","2007-01-24","15.0","16.0","14.88","8.42","4656700"
"ORIT","2007-01-25","15.65","15.97","15.65","8.38","878700"
"ORIT","2007-01-26","15.94","16.0","15.7","8.36","482100"
"ORIT","2007-01-29","15.75","15.81","15.51","8.18","459700"
"ORIT","2007-01-30","15.5","15.5","15.05","8.13","526900"
"ORIT","2007-01-31","15.28","15.41","15.18","8.09","196000"
"ORIT","2007-02-01","15.32","15.5","15.26","8.17","330100"
"ORIT","2007-02-02","15.43","15.49","15.25","8.12","110100"
"ORIT","2007-02-05","15.44","15.47","15.35","8.13","174900"
"ORIT","2007-02-06","15.35","15.46","15.35","8.13","118200"
"ORIT","2007-02-07","15.35","15.44","15.35","8.12","170700"
"ORIT","2007-02-08","15.42","15.47","15.35","8.15","145300"
"ORIT","2007-02-09","15.4","15.45","15.4","8.14","113100"
"ORIT","2007-02-12","15.44","15.44","15.36","8.12","70900"
"ORIT","2007-02-13","15.35","15.51","15.35","8.17","194100"
"ORIT","2007-02-14","15.45","15.48","15.4","8.14","85200"
"ORIT","2007-02-15","15.44","15.65","15.44","8.21","98700"
"ORIT","2007-02-16","15.5","15.65","15.45","8.16","78300"
"ORIT","2007-02-20","15.45","15.58","15.45","8.2","29100"
"ORIT","2007-02-21","15.39","15.51","15.39","8.16","57000"
"ORIT","2007-02-22","15.5","15.64","15.47","8.24","340200"
"ORIT","2007-02-23","15.6","15.61","15.5","8.17","157300"
"ORIT","2007-02-26","15.5","15.59","15.4","8.18","102900"
"ORIT","2007-02-27","15.45","15.5","15.25","8.06","100000"
"ORIT","2007-02-28","15.45","15.45","15.31","8.12","80800"
"ORIT","2007-03-01","15.18","15.38","15.18","8.03","67900"
"ORIT","2007-03-02","15.27","15.39","15.18","8.03","53700"
"ORIT","2007-03-05","15.18","15.36","15.0","7.92","154300"
"ORIT","2007-03-06","15.05","15.13","15.02","7.96","134200"
"ORIT","2007-03-07","15.15","15.15","15.01","7.92","99300"
"ORIT","2007-03-08","15.03","15.2","15.03","7.96","52200"
"ORIT","2007-03-09","15.02","15.39","15.02","8.11","100300"
"ORIT","2007-03-12","15.3","15.35","15.23","8.08","52600"
"ORIT","2007-03-13","15.22","15.36","15.1","8.07","70500"
"ORIT","2007-03-14","15.11","15.12","14.91","7.91","89200"
"ORIT","2007-03-15","15.05","15.25","14.9","8.0","105900"
"ORIT","2007-03-16","15.0","15.28","14.9","8.01","232300"
"ORIT","2007-03-19","15.25","15.29","15.25","8.04","113500"
"ORIT","2007-03-20","15.25","15.47","15.25","8.07","70300"
"ORIT","2007-03-21","15.49","15.56","15.3","8.16","62200"
"ORIT","2007-03-22","15.4","15.67","15.4","8.24","126900"
"ORIT","2007-03-23","15.52","15.69","15.39","8.25","39400"
"ORIT","2007-03-26","15.64","15.64","15.4","8.2","17800"
"ORIT","2007-03-27","15.51","15.51","15.21","8.14","110500"
"ORIT","2007-03-28","15.35","15.52","15.32","8.18","41800"
"ORIT","2007-03-29","15.52","15.6","15.4","8.18","45400"
"ORIT","2007-03-30","15.4","15.7","15.0","7.91","1556700"
"ORIT","2007-04-02","15.12","15.39","15.12","8.01","240400"
"ORIT","2007-04-03","15.25","15.45","15.2","8.12","83100"
"ORIT","2007-04-04","15.18","15.45","15.15","8.05","75000"
"ORIT","2007-04-05","15.37","15.37","15.2","8.07","120000"
"ORIT","2007-04-09","15.25","15.43","15.25","8.1","90700"
"ORIT","2007-04-10","15.3","15.4","15.16","8.04","210400"
"ORIT","2007-04-11","15.25","15.28","15.11","8.03","91300"
"ORIT","2007-04-12","15.2","15.2","15.0","7.98","66400"
"ORIT","2007-04-13","15.06","15.22","15.02","7.97","60400"
"ORIT","2007-04-16","15.12","15.25","15.05","8.04","31600"
"ORIT","2007-04-17","15.21","15.21","15.05","8.0","37000"
"ORIT","2007-04-18","15.15","15.24","15.05","7.93","17200"
"ORIT","2007-04-19","15.01","15.15","15.0","7.99","72000"
"ORIT","2007-04-20","15.24","15.24","15.11","7.98","98700"
