"symbol","date","open","high","low","close","volume"
"OXBR","2014-03-27","6.76","8.02","6.6","7.46","224100"
"OXBR","2014-03-28","8.0","8.0","7.2","7.41","68900"
"OXBR","2014-03-31","7.9","7.9","7.4","7.26","26200"
"OXBR","2014-04-01","7.4","7.89","7.4","7.26","16400"
"OXBR","2014-04-02","7.51","7.75","7.45","7.24","15800"
"OXBR","2014-04-03","7.45","7.7","7.45","7.45","25800"
"OXBR","2014-04-04","7.7","7.7","7.5","7.27","23700"
"OXBR","2014-04-07","7.88","7.88","7.37","7.27","44400"
"OXBR","2014-04-08","7.52","7.8","7.4","7.18","37200"
"OXBR","2014-04-09","7.59","7.6","7.4","7.17","40600"
"OXBR","2014-04-10","7.44","7.53","7.0","6.98","64900"
"OXBR","2014-04-11","7.4","7.73","7.3","7.49","11500"
"OXBR","2014-04-14","7.5","7.73","7.02","7.34","12600"
"OXBR","2014-04-15","7.05","7.32","7.05","7.06","17100"
"OXBR","2014-04-16","7.29","7.35","7.26","7.05","14500"
"OXBR","2014-04-17","7.25","7.39","7.07","6.94","110400"
"OXBR","2014-04-21","7.21","7.5","7.01","6.92","18300"
"OXBR","2014-04-22","7.1","7.3","6.8","6.88","99800"
"OXBR","2014-04-23","7.0","7.15","7.0","6.8","8700"
"OXBR","2014-04-24","7.69","7.69","6.8","6.92","10700"
"OXBR","2014-04-25","6.93","7.2","6.8","6.64","10300"
"OXBR","2014-04-28","7.6","7.64","6.83","6.63","7600"
"OXBR","2014-04-29","6.99","7.18","6.72","6.93","19400"
"OXBR","2014-04-30","7.64","7.64","7.0","6.78","28800"
"OXBR","2014-05-01","7.38","7.8","7.02","6.87","21400"
"OXBR","2014-05-02","7.2","7.3","7.15","7.02","25700"
"OXBR","2014-05-05","7.55","7.55","7.2","6.98","12100"
"OXBR","2014-05-06","7.2","7.2","6.99","6.82","20000"
"OXBR","2014-05-07","7.14","7.39","7.14","7.16","22100"
"OXBR","2014-05-08","7.25","7.38","7.01","6.88","17900"
"OXBR","2014-05-09","5.75","6.8","5.63","5.67","14300"
"OXBR","2014-05-12","6.5","6.5","6.03","6.29","51400"
"OXBR","2014-05-13","6.12","6.23","6.02","5.96","33200"
"OXBR","2014-05-14","6.12","6.12","5.95","5.8","19600"
"OXBR","2014-05-15","5.7","6.0","5.7","5.75","2500"
"OXBR","2014-05-16","6.0","6.0","5.11","5.77","12800"
"OXBR","2014-05-19","5.77","5.98","5.61","5.67","19200"
"OXBR","2014-05-20","5.9","5.9","5.7","5.62","9300"
"OXBR","2014-05-21","5.65","5.77","5.44","5.52","7500"
"OXBR","2014-05-22","5.8","5.8","5.6","5.42","1900"
"OXBR","2014-05-23","5.79","6.0","5.76","5.81","10000"
"OXBR","2014-05-27","5.85","5.85","5.71","5.62","9600"
"OXBR","2014-05-28","5.84","5.85","5.79","5.66","3600"
"OXBR","2014-05-29","5.8","5.8","5.78","5.61","1600"
"OXBR","2014-05-30","5.79","5.79","5.63","5.61","3500"
"OXBR","2014-06-02","5.8","5.8","5.65","5.47","3600"
"OXBR","2014-06-03","5.65","5.79","5.5","5.55","8100"
