"symbol","date","open","high","low","close","volume"
"OXFD","2013-11-22","14.0","15.88","13.58","15.4","2365100"
"OXFD","2013-11-25","15.09","15.95","14.51","15.88","126300"
"OXFD","2013-11-26","15.25","16.72","15.25","15.89","17400"
"OXFD","2013-11-27","15.51","15.89","14.51","15.46","52200"
"OXFD","2013-11-29","15.98","15.98","15.37","15.87","2400"
"OXFD","2013-12-02","15.75","15.75","15.2","15.75","10700"
"OXFD","2013-12-03","15.64","15.7","15.31","15.36","15600"
"OXFD","2013-12-04","15.4","16.0","15.4","15.45","65000"
"OXFD","2013-12-05","19.5","19.5","15.6","18.03","44500"
"OXFD","2013-12-06","17.99","18.17","17.25","17.65","36600"
"OXFD","2013-12-09","18.38","18.38","17.65","18.1","21800"
"OXFD","2013-12-10","18.2","18.2","17.06","18.2","15600"
"OXFD","2013-12-11","18.07","19.03","17.99","18.89","26800"
"OXFD","2013-12-12","18.84","18.95","17.25","17.94","37600"
"OXFD","2013-12-13","18.1","18.79","17.08","17.7","81500"
"OXFD","2013-12-16","17.98","18.1","16.86","17.44","82100"
"OXFD","2013-12-17","17.6","18.89","17.24","18.34","152000"
"OXFD","2013-12-18","19.0","20.06","18.0","19.9","84100"
"OXFD","2013-12-19","20.05","20.05","18.5","18.59","45000"
"OXFD","2013-12-20","18.11","19.63","18.0","19.63","877300"
"OXFD","2013-12-23","19.76","19.76","19.06","19.38","16700"
"OXFD","2013-12-24","19.41","19.46","18.4","19.24","7100"
"OXFD","2013-12-26","19.55","19.55","18.57","19.02","25000"
"OXFD","2013-12-27","19.11","19.25","18.19","18.36","32000"
"OXFD","2013-12-30","18.41","19.24","18.01","18.99","20200"
"OXFD","2013-12-31","19.11","19.49","19.06","19.38","15300"
"OXFD","2014-01-02","19.39","19.49","18.45","18.92","21100"
"OXFD","2014-01-03","18.93","19.89","18.45","19.5","41400"
"OXFD","2014-01-06","19.4","19.82","18.95","18.96","10200"
"OXFD","2014-01-07","19.01","19.91","17.59","18.2","40900"
"OXFD","2014-01-08","18.12","18.2","17.25","18.2","17500"
"OXFD","2014-01-09","18.21","19.42","18.21","18.73","20000"
"OXFD","2014-01-10","18.79","22.0","18.5","18.89","51300"
"OXFD","2014-01-13","18.89","19.76","18.5","18.52","55500"
"OXFD","2014-01-14","18.7","19.36","18.3","19.33","50800"
"OXFD","2014-01-15","18.82","21.0","18.51","19.34","71400"
"OXFD","2014-01-16","19.17","20.43","18.93","20.05","101300"
"OXFD","2014-01-17","20.02","20.39","19.11","19.58","50500"
"OXFD","2014-01-21","19.85","21.02","19.3","21.0","17100"
"OXFD","2014-01-22","20.95","21.94","20.57","21.78","39800"
"OXFD","2014-01-23","21.8","22.89","21.26","21.53","52300"
"OXFD","2014-01-24","21.31","21.98","20.25","21.06","37700"
"OXFD","2014-01-27","20.31","22.17","20.01","20.84","46100"
"OXFD","2014-01-28","20.81","21.53","19.44","21.16","63000"
"OXFD","2014-01-29","20.88","21.1","19.97","20.2","29500"
"OXFD","2014-01-30","21.33","21.33","19.53","20.58","20000"
"OXFD","2014-01-31","20.17","21.7","19.55","21.18","72300"
"OXFD","2014-02-03","21.04","21.19","20.5","20.62","36700"
"OXFD","2014-02-04","20.38","22.71","20.38","21.86","62400"
"OXFD","2014-02-05","21.66","22.99","20.79","21.68","151700"
"OXFD","2014-02-06","21.57","22.41","20.89","22.13","91000"
"OXFD","2014-02-07","22.3","23.0","21.94","22.46","63400"
"OXFD","2014-02-10","22.64","23.34","22.02","23.08","48500"
"OXFD","2014-02-11","22.3","25.05","22.3","23.99","63200"
"OXFD","2014-02-12","24.0","24.72","23.28","23.68","13300"
"OXFD","2014-02-13","23.99","24.0","23.38","23.99","28600"
