"symbol","date","open","high","low","close","volume"
"PAVMU","2016-04-28","10.0","10.0","8.06","8.06","1575"
"PAVMU","2016-04-29","9.0","20.0","9.0","13.99","13978"
"PAVMU","2016-05-02","23.04","40.0","15.5","15.93","8855"
"PAVMU","2016-05-03","13.0","13.0","9.25","10.3","11503"
"PAVMU","2016-05-04","10.0","11.25","9.91","10.3","6362"
"PAVMU","2016-05-05","11.25","11.25","9.0","9.98","5727"
"PAVMU","2016-05-06","9.8","10.0","9.19","9.5","9141"
"PAVMU","2016-05-09","8.37","10.0","8.37","8.99","436"
"PAVMU","2016-05-10","9.0","9.75","9.0","9.75","600"
"PAVMU","2016-05-11","8.01","8.1","8.01","8.1","405"
"PAVMU","2016-05-12","8.0","8.5","7.5","8.5","3948"
"PAVMU","2016-05-13","10.0","10.0","9.18","9.4","2755"
"PAVMU","2016-05-16","9.5","9.6","9.5","9.6","633"
"PAVMU","2016-05-17","9.6","9.6","7.55","9.0","1644"
"PAVMU","2016-05-18","9.31","9.59","9.2","9.5","2200"
"PAVMU","2016-05-19","9.5","9.6","9.0","9.6","1409"
"PAVMU","2016-05-20","8.71","9.6","8.5","9.6","1700"
"PAVMU","2016-05-23","9.73","9.73","8.59","9.6","6050"
"PAVMU","2016-05-24","9.59","9.75","8.1","9.75","3811"
"PAVMU","2016-05-25","9.75","9.75","9.0","9.75","4230"
"PAVMU","2016-05-26","8.0","11.25","8.0","11.25","4463"
"PAVMU","2016-05-27","10.0","11.1","10.0","11.1","5540"
"PAVMU","2016-05-31","11.1","11.2","10.89","11.0","1404"
"PAVMU","2016-06-01","11.1","11.1","11.1","11.1","340"
"PAVMU","2016-06-02","10.99","10.99","10.32","10.99","661"
"PAVMU","2016-06-03","11.0","12.0","10.92","12.0","2736"
"PAVMU","2016-06-06","12.0","14.5","12.0","14.0","5328"
"PAVMU","2016-06-07","15.0","15.0","14.75","14.75","1765"
