"symbol","date","open","high","low","close","volume"
"PDLI","1992-01-29","18.75","18.75","15.0","0.82","14803600"
"PDLI","1992-01-30","15.5","16.25","15.0","0.84","3475200"
"PDLI","1992-01-31","16.0","16.0","15.0","0.84","1114400"
"PDLI","1992-02-03","15.0","15.5","15.0","0.81","1004400"
"PDLI","1992-02-04","15.25","15.5","15.0","0.81","694000"
"PDLI","1992-02-05","15.12","15.75","15.0","0.82","1019600"
"PDLI","1992-02-06","15.75","16.25","15.5","0.85","901200"
"PDLI","1992-02-07","15.38","15.75","15.0","0.84","508000"
"PDLI","1992-02-10","15.5","15.5","15.0","0.81","785600"
"PDLI","1992-02-11","15.0","15.25","14.5","0.78","558800"
"PDLI","1992-02-12","14.5","14.75","13.75","0.75","465200"
"PDLI","1992-02-13","13.75","14.5","13.75","0.76","397200"
"PDLI","1992-02-14","14.0","14.5","14.0","0.78","114400"
"PDLI","1992-02-18","14.25","14.25","13.5","0.73","254400"
"PDLI","1992-02-19","13.5","13.88","12.5","0.7","284400"
"PDLI","1992-02-20","12.5","13.0","12.5","0.7","819200"
"PDLI","1992-02-21","13.0","13.0","12.5","0.68","394000"
"PDLI","1992-02-24","13.0","13.0","12.62","0.7","197200"
"PDLI","1992-02-25","12.88","12.88","12.62","0.68","512000"
"PDLI","1992-02-26","12.62","13.25","12.62","0.71","455200"
"PDLI","1992-02-27","13.25","14.62","12.88","0.75","687200"
"PDLI","1992-02-28","13.75","14.0","13.5","0.73","120800"
"PDLI","1992-03-02","13.5","14.0","13.0","0.73","256400"
"PDLI","1992-03-03","13.5","13.5","12.62","0.7","299600"
"PDLI","1992-03-04","12.62","13.12","12.62","0.68","126000"
"PDLI","1992-03-05","13.0","13.0","12.62","0.7","80800"
"PDLI","1992-03-06","12.5","12.62","12.12","0.65","225600"
"PDLI","1992-03-09","12.62","12.62","12.12","0.68","165600"
"PDLI","1992-03-10","12.62","12.75","12.25","0.67","296000"
"PDLI","1992-03-11","12.75","12.75","12.5","0.67","42400"
"PDLI","1992-03-12","12.75","12.75","12.5","0.69","80800"
"PDLI","1992-03-13","12.5","12.75","12.25","0.67","122400"
"PDLI","1992-03-16","12.62","12.62","12.12","0.65","254400"
"PDLI","1992-03-17","12.62","12.62","11.88","0.68","104400"
"PDLI","1992-03-18","12.62","12.62","12.0","0.67","66000"
"PDLI","1992-03-19","12.0","12.5","11.5","0.65","326000"
"PDLI","1992-03-20","12.0","12.0","11.5","0.62","100800"
"PDLI","1992-03-23","11.38","11.75","10.5","0.58","289200"
"PDLI","1992-03-24","10.75","11.0","10.25","0.58","273200"
"PDLI","1992-03-25","10.5","10.88","10.38","0.58","81200"
"PDLI","1992-03-26","10.5","10.88","10.5","0.57","911200"
"PDLI","1992-03-27","10.88","11.0","10.25","0.57","387200"
"PDLI","1992-03-30","10.5","11.5","10.5","0.57","44000"
"PDLI","1992-03-31","10.5","11.0","10.12","0.55","248000"
"PDLI","1992-04-01","9.88","10.25","9.75","0.55","143600"
"PDLI","1992-04-02","10.12","10.12","9.75","0.53","51600"
"PDLI","1992-04-03","10.12","10.12","9.75","0.53","34400"
"PDLI","1992-04-06","9.75","10.12","9.75","0.53","62800"
"PDLI","1992-04-07","9.75","9.88","9.75","0.53","62800"
"PDLI","1992-04-08","10.12","10.12","9.75","0.53","108800"
"PDLI","1992-04-09","9.75","10.12","9.75","0.53","33200"
"PDLI","1992-04-10","10.12","10.25","9.88","0.53","98000"
"PDLI","1992-04-13","10.25","10.25","9.75","0.53","55600"
"PDLI","1992-04-14","10.25","10.25","9.75","0.53","21600"
"PDLI","1992-04-15","10.25","10.25","9.75","0.53","25200"
"PDLI","1992-04-16","9.75","10.12","9.62","0.52","131200"
"PDLI","1992-04-20","9.5","9.5","8.25","0.47","325600"
"PDLI","1992-04-21","8.5","8.75","8.25","0.45","127200"
"PDLI","1992-04-22","8.62","8.62","7.88","0.42","125600"
"PDLI","1992-04-23","7.88","7.88","7.12","0.4","278000"
"PDLI","1992-04-24","7.12","7.62","6.62","0.4","554000"
"PDLI","1992-04-27","7.75","7.75","7.38","0.42","220400"
"PDLI","1992-04-28","7.75","7.75","7.38","0.4","40400"
"PDLI","1992-04-29","7.75","7.75","7.38","0.42","52000"
"PDLI","1992-04-30","7.38","7.88","7.38","0.4","200000"
"PDLI","1992-05-01","7.62","7.88","7.5","0.4","52400"
"PDLI","1992-05-04","8.0","8.0","7.5","0.42","67600"
"PDLI","1992-05-05","7.88","8.0","7.5","0.42","114800"
"PDLI","1992-05-06","8.12","8.38","7.88","0.43","162000"
