"symbol","date","open","high","low","close","volume"
"PEN","2015-09-18","40.0","42.0","38.0","41.3","3443962"
"PEN","2015-09-21","42.41","42.49","39.24","40.0","297663"
"PEN","2015-09-22","39.74","40.99","39.48","40.36","110670"
"PEN","2015-09-23","41.24","43.06","40.51","41.67","120655"
"PEN","2015-09-24","41.3","42.5","40.19","41.68","126516"
"PEN","2015-09-25","41.31","42.43","40.22","40.28","80441"
"PEN","2015-09-28","40.11","40.5","39.0","39.04","193707"
"PEN","2015-09-29","39.06","40.65","39.04","39.6","60230"
"PEN","2015-09-30","39.74","40.77","39.66","40.1","46316"
"PEN","2015-10-01","40.15","41.35","39.41","40.01","269936"
"PEN","2015-10-02","39.61","40.3","39.33","39.89","151824"
"PEN","2015-10-05","39.99","40.33","39.02","39.88","59014"
"PEN","2015-10-06","39.8","40.43","38.79","39.34","146670"
"PEN","2015-10-07","39.41","41.7","39.0","41.11","275362"
"PEN","2015-10-08","41.25","41.94","40.52","41.69","117806"
"PEN","2015-10-09","41.51","41.65","39.12","39.5","160141"
"PEN","2015-10-12","39.93","40.33","38.59","39.14","218531"
"PEN","2015-10-13","39.13","40.12","39.0","39.99","174936"
"PEN","2015-10-14","39.99","41.51","39.14","40.78","184821"
"PEN","2015-10-15","40.91","41.5","40.05","40.4","147893"
"PEN","2015-10-16","40.41","41.0","40.0","40.8","102758"
"PEN","2015-10-19","41.02","41.43","40.26","41.0","65609"
"PEN","2015-10-20","41.38","41.43","38.78","39.58","138985"
"PEN","2015-10-21","40.0","40.0","36.95","38.5","269315"
"PEN","2015-10-22","38.57","38.62","35.32","36.72","297481"
"PEN","2015-10-23","37.15","38.58","36.64","38.15","53972"
"PEN","2015-10-26","38.13","38.98","37.3","38.0","106166"
"PEN","2015-10-27","37.89","38.58","36.48","37.3","135279"
"PEN","2015-10-28","37.4","38.4","35.72","36.5","414215"
"PEN","2015-10-29","36.1","38.91","35.7","37.79","53636"
"PEN","2015-10-30","37.26","38.48","36.17","37.03","86499"
"PEN","2015-11-02","37.31","37.8","36.75","37.24","53645"
"PEN","2015-11-03","37.29","37.44","36.28","37.27","126122"
"PEN","2015-11-04","36.93","37.38","36.52","37.03","42452"
"PEN","2015-11-05","37.05","37.47","36.83","36.84","41762"
"PEN","2015-11-06","36.95","37.27","36.43","37.08","82453"
"PEN","2015-11-09","37.08","38.0","36.7","37.92","32820"
"PEN","2015-11-10","38.1","40.15","37.78","40.13","83579"
