"symbol","date","open","high","low","close","volume"
"PFGC","2015-10-01","19.0","19.9","18.72","19.2","5651115"
"PFGC","2015-10-02","18.82","21.55","18.82","21.18","1320008"
"PFGC","2015-10-05","21.63","22.56","21.3","22.02","498157"
"PFGC","2015-10-06","21.63","21.93","21.02","21.25","173500"
"PFGC","2015-10-07","21.0","21.63","20.53","21.26","375611"
"PFGC","2015-10-08","21.01","22.06","21.0","21.98","108785"
"PFGC","2015-10-09","22.08","22.14","21.58","21.71","41538"
"PFGC","2015-10-12","21.73","22.38","21.63","22.29","38437"
"PFGC","2015-10-13","21.98","22.3","21.66","22.02","160690"
"PFGC","2015-10-14","21.85","22.78","21.85","22.29","305354"
"PFGC","2015-10-15","22.49","22.79","22.2","22.42","137201"
"PFGC","2015-10-16","22.45","22.45","21.73","21.94","224225"
"PFGC","2015-10-19","21.88","22.29","21.54","21.95","177711"
"PFGC","2015-10-20","21.8","22.44","21.63","22.11","117267"
"PFGC","2015-10-21","22.41","22.45","22.0","22.18","104414"
"PFGC","2015-10-22","22.44","22.44","22.03","22.19","33207"
"PFGC","2015-10-23","22.3","22.3","22.08","22.19","64789"
"PFGC","2015-10-26","22.19","22.45","22.02","22.03","95531"
"PFGC","2015-10-27","22.32","22.63","22.16","22.52","231576"
"PFGC","2015-10-28","22.61","22.79","22.23","22.51","307955"
"PFGC","2015-10-29","22.45","22.79","22.45","22.67","148904"
"PFGC","2015-10-30","22.57","22.8","22.3","22.77","76658"
"PFGC","2015-11-02","22.93","23.0","22.5","22.75","224730"
"PFGC","2015-11-03","22.63","23.18","22.52","22.98","479883"
"PFGC","2015-11-04","23.16","23.95","21.77","21.9","412881"
"PFGC","2015-11-05","21.85","22.61","21.25","21.52","414138"
"PFGC","2015-11-06","21.45","22.28","20.65","21.85","159447"
"PFGC","2015-11-09","21.78","21.94","20.9","21.69","161679"
"PFGC","2015-11-10","21.7","23.53","21.33","22.74","226939"
"PFGC","2015-11-11","22.79","23.25","22.3","22.8","144449"
"PFGC","2015-11-12","22.64","22.73","22.27","22.44","126422"
"PFGC","2015-11-13","22.49","22.49","22.05","22.39","31408"
"PFGC","2015-11-16","22.23","22.5","22.02","22.36","123985"
"PFGC","2015-11-17","22.3","23.1","22.3","22.76","115067"
"PFGC","2015-11-18","22.7","23.0","22.59","23.0","80243"
"PFGC","2015-11-19","22.87","23.26","22.62","22.65","88887"
"PFGC","2015-11-20","22.56","22.88","22.01","22.66","80495"
"PFGC","2015-11-23","22.6","23.2","22.58","23.03","141560"
"PFGC","2015-11-24","23.16","23.23","22.6","23.11","163451"
"PFGC","2015-11-25","23.06","23.17","22.9","22.96","218127"
"PFGC","2015-11-27","22.95","23.2","22.95","23.17","49752"
"PFGC","2015-11-30","23.02","23.23","23.02","23.13","115256"
"PFGC","2015-12-01","23.29","23.59","22.66","23.04","120156"
"PFGC","2015-12-02","22.93","23.18","22.76","22.95","140786"
"PFGC","2015-12-03","22.95","22.98","21.37","21.91","349056"
"PFGC","2015-12-04","21.76","22.29","21.76","21.98","107918"
"PFGC","2015-12-07","22.05","23.1","22.05","23.0","184615"
"PFGC","2015-12-08","22.98","23.08","22.46","23.0","159994"
"PFGC","2015-12-09","23.05","23.05","22.6","22.96","126045"
"PFGC","2015-12-10","22.92","23.36","22.39","22.72","351570"
"PFGC","2015-12-11","22.46","23.09","22.46","22.66","432586"
"PFGC","2015-12-14","22.56","22.94","22.51","22.87","226120"
"PFGC","2015-12-15","23.17","23.81","22.9","23.19","509200"
"PFGC","2015-12-16","23.5","24.12","23.24","23.63","383721"
"PFGC","2015-12-17","23.63","25.22","23.5","25.09","659300"
"PFGC","2015-12-18","24.73","24.97","23.93","24.3","3831199"
"PFGC","2015-12-21","24.51","24.99","24.09","24.59","555323"
"PFGC","2015-12-22","24.73","24.73","24.37","24.47","152716"
"PFGC","2015-12-23","24.53","24.86","24.19","24.39","160432"
"PFGC","2015-12-24","24.35","24.91","24.3","24.69","147556"
"PFGC","2015-12-28","24.54","24.54","23.75","23.9","197540"
"PFGC","2015-12-29","23.8","23.89","23.53","23.67","245051"
"PFGC","2015-12-30","23.56","23.88","23.39","23.42","106608"
"PFGC","2015-12-31","23.4","23.4","22.78","23.14","186354"
"PFGC","2016-01-04","22.74","23.13","22.0","22.41","201856"
"PFGC","2016-01-05","22.39","22.63","21.99","22.12","243806"
"PFGC","2016-01-06","21.82","22.27","21.7","21.76","164009"
"PFGC","2016-01-07","21.53","21.79","20.92","21.36","405544"
"PFGC","2016-01-08","21.37","21.68","20.8","20.8","297860"
"PFGC","2016-01-11","20.84","21.09","20.32","20.77","542197"
"PFGC","2016-01-12","20.91","21.17","20.24","20.29","331788"
"PFGC","2016-01-13","20.34","21.22","20.0","20.51","236968"
"PFGC","2016-01-14","20.55","21.58","20.43","21.23","196507"
"PFGC","2016-01-15","20.76","20.89","20.18","20.85","280202"
"PFGC","2016-01-19","21.02","21.35","20.81","21.22","158647"
"PFGC","2016-01-20","21.03","22.25","20.78","21.98","284965"
"PFGC","2016-01-21","21.94","22.25","21.28","21.64","317909"
"PFGC","2016-01-22","21.84","22.08","21.6","21.99","188470"
"PFGC","2016-01-25","21.88","21.95","21.2","21.39","148892"
"PFGC","2016-01-26","21.43","21.99","21.18","21.92","134908"
"PFGC","2016-01-27","21.87","22.05","21.47","21.6","134573"
"PFGC","2016-01-28","21.66","22.25","21.51","22.13","195809"
"PFGC","2016-01-29","22.23","23.42","22.17","23.4","226437"
"PFGC","2016-02-01","23.21","24.46","23.0","24.41","298765"
"PFGC","2016-02-02","24.23","25.1","23.96","24.13","262334"
"PFGC","2016-02-03","24.95","25.46","24.19","24.57","293264"
"PFGC","2016-02-04","24.82","25.0","23.25","23.64","172711"
"PFGC","2016-02-05","23.61","24.0","23.13","23.22","161606"
"PFGC","2016-02-08","23.06","23.95","23.06","23.64","177222"
"PFGC","2016-02-09","23.43","23.79","23.06","23.4","252180"
"PFGC","2016-02-10","23.56","23.73","22.73","22.84","187886"
"PFGC","2016-02-11","22.59","22.74","21.55","22.47","157835"
"PFGC","2016-02-12","22.83","22.85","20.8","21.53","152502"
"PFGC","2016-02-16","21.73","22.53","21.38","22.46","167172"
"PFGC","2016-02-17","22.49","22.49","21.33","22.33","229650"
"PFGC","2016-02-18","22.31","22.78","22.0","22.61","201778"
"PFGC","2016-02-19","22.66","22.88","22.47","22.84","218030"
"PFGC","2016-02-22","22.85","23.27","22.77","23.24","101323"
"PFGC","2016-02-23","23.13","23.31","22.93","23.11","80945"
"PFGC","2016-02-24","22.9","23.97","22.8","23.83","70045"
"PFGC","2016-02-25","23.93","24.21","23.89","24.03","61459"
"PFGC","2016-02-26","24.05","24.14","23.66","24.08","70836"
"PFGC","2016-02-29","24.19","24.49","23.9","24.49","15586"
"PFGC","2016-03-01","24.91","24.91","23.9","24.12","175366"
"PFGC","2016-03-02","24.05","24.4","23.13","23.41","137504"
"PFGC","2016-03-03","24.04","24.04","22.95","23.61","159250"
"PFGC","2016-03-04","23.63","24.59","23.33","24.13","156874"
"PFGC","2016-03-07","24.17","24.27","23.72","24.03","118241"
"PFGC","2016-03-08","23.94","24.11","23.54","23.6","116597"
"PFGC","2016-03-09","23.23","24.0","23.2","23.53","168746"
"PFGC","2016-03-10","23.67","24.01","23.08","23.65","162030"
"PFGC","2016-03-11","23.79","23.79","23.0","23.22","132620"
"PFGC","2016-03-14","23.1","23.5","23.1","23.29","100544"
"PFGC","2016-03-15","23.25","23.39","22.65","22.91","109613"
"PFGC","2016-03-16","22.76","23.41","22.76","23.25","129797"
"PFGC","2016-03-17","23.05","23.56","22.98","23.23","129344"
"PFGC","2016-03-18","23.37","23.41","23.01","23.32","182183"
"PFGC","2016-03-21","23.25","23.52","23.08","23.11","93404"
"PFGC","2016-03-22","23.01","23.33","22.75","23.08","98084"
"PFGC","2016-03-23","22.96","23.13","22.54","22.57","178543"
"PFGC","2016-03-24","22.53","23.13","22.25","22.97","82781"
"PFGC","2016-03-28","22.93","23.42","22.88","23.22","175503"
"PFGC","2016-03-29","23.22","24.09","23.08","23.68","199680"
"PFGC","2016-03-30","23.78","24.3","23.62","23.99","234268"
"PFGC","2016-03-31","23.6","23.65","22.97","23.35","133616"
"PFGC","2016-04-01","23.1","23.54","23.08","23.51","68768"
"PFGC","2016-04-04","23.42","23.67","23.08","23.65","338085"
"PFGC","2016-04-05","23.52","24.25","23.52","23.93","121141"
"PFGC","2016-04-06","23.9","24.39","23.9","24.35","64939"
"PFGC","2016-04-07","24.2","24.45","23.39","23.6","90149"
"PFGC","2016-04-08","23.7","23.96","23.45","23.96","92411"
"PFGC","2016-04-11","24.0","24.0","23.31","23.32","81922"
"PFGC","2016-04-12","23.38","23.94","23.38","23.67","58181"
"PFGC","2016-04-13","23.75","24.34","23.65","24.3","54698"
"PFGC","2016-04-14","24.28","25.39","24.12","25.05","191143"
"PFGC","2016-04-15","25.01","25.17","24.77","24.86","81849"
"PFGC","2016-04-18","24.85","25.07","24.5","24.85","49929"
"PFGC","2016-04-19","24.85","25.17","24.79","24.81","40160"
"PFGC","2016-04-20","24.79","26.3","24.79","25.74","106593"
"PFGC","2016-04-21","25.8","25.8","24.85","24.99","65198"
"PFGC","2016-04-22","25.07","25.52","24.7","25.29","102604"
"PFGC","2016-04-25","25.29","25.61","25.14","25.49","44071"
"PFGC","2016-04-26","25.62","26.04","25.45","25.98","140730"
"PFGC","2016-04-27","26.07","26.18","25.52","26.05","122178"
"PFGC","2016-04-28","26.05","26.45","25.86","25.89","91764"
"PFGC","2016-04-29","25.76","25.9","25.5","25.88","65611"
"PFGC","2016-05-02","26.03","26.27","25.69","25.99","127130"
"PFGC","2016-05-03","25.85","26.43","25.67","25.85","176760"
"PFGC","2016-05-04","25.86","26.39","25.77","26.06","164142"
"PFGC","2016-05-05","26.18","27.52","26.17","27.43","188234"
"PFGC","2016-05-06","27.48","28.13","27.37","27.4","97359"
"PFGC","2016-05-09","27.18","27.18","25.38","26.55","163447"
"PFGC","2016-05-10","26.68","27.21","26.38","26.9","102013"
"PFGC","2016-05-11","26.67","27.45","26.49","26.52","99976"
"PFGC","2016-05-12","26.12","26.76","25.95","26.42","142058"
"PFGC","2016-05-13","26.33","27.16","26.26","26.92","215985"
"PFGC","2016-05-16","26.91","27.44","26.78","27.0","210194"
"PFGC","2016-05-17","26.24","26.85","25.19","25.4","463203"
"PFGC","2016-05-18","25.12","26.16","24.43","24.45","512134"
"PFGC","2016-05-19","23.55","24.25","23.55","24.25","5109480"
"PFGC","2016-05-20","24.21","24.25","23.98","24.0","1538498"
"PFGC","2016-05-23","24.0","24.51","24.0","24.34","964307"
"PFGC","2016-05-24","24.33","25.02","24.28","24.99","747364"
"PFGC","2016-05-25","25.01","25.33","24.87","25.18","570407"
"PFGC","2016-05-26","25.07","25.45","24.84","24.94","983463"
"PFGC","2016-05-27","24.94","25.32","24.9","24.95","1130747"
"PFGC","2016-05-31","24.92","24.99","24.66","24.83","688333"
"PFGC","2016-06-01","24.88","25.39","24.75","25.34","559997"
"PFGC","2016-06-02","25.19","25.39","25.17","25.35","234033"
"PFGC","2016-06-03","25.38","25.38","24.91","25.16","323753"
"PFGC","2016-06-06","25.13","25.34","24.92","24.99","222279"
"PFGC","2016-06-07","25.12","25.24","24.97","25.0","226837"
"PFGC","2016-06-08","25.06","25.07","24.8","24.92","287939"
"PFGC","2016-06-09","24.82","24.96","24.73","24.73","8121"
