"symbol","date","open","high","low","close","volume"
"PKD","1983-04-06","9.0","9.0","8.62","8.24","81400"
"PKD","1983-04-07","8.88","9.12","8.88","8.24","51200"
"PKD","1983-04-08","8.88","9.0","8.88","8.36","26800"
"PKD","1983-04-11","9.5","9.75","9.12","8.94","204300"
"PKD","1983-04-12","9.75","9.75","9.38","8.94","104500"
"PKD","1983-04-13","9.38","9.62","9.38","8.82","99400"
"PKD","1983-04-14","9.62","10.0","9.5","9.17","92700"
"PKD","1983-04-15","9.88","10.0","9.62","9.05","51200"
"PKD","1983-04-18","9.38","9.62","9.25","8.82","49200"
"PKD","1983-04-19","9.38","9.5","9.12","8.71","58400"
"PKD","1983-04-20","9.5","9.5","9.25","8.71","39300"
"PKD","1983-04-21","9.38","9.62","9.12","8.59","89700"
"PKD","1983-04-22","9.25","9.38","9.12","8.47","106700"
"PKD","1983-04-25","8.88","9.12","8.5","7.89","103600"
"PKD","1983-04-26","8.75","9.0","8.5","8.36","135500"
"PKD","1983-04-27","9.0","9.25","8.75","8.28","76800"
"PKD","1983-04-28","8.88","9.0","8.62","8.28","39300"
"PKD","1983-04-29","9.12","9.12","9.0","8.51","36800"
"PKD","1983-05-02","9.25","9.5","9.0","8.74","80100"
"PKD","1983-05-03","9.25","9.62","9.25","8.98","88500"
"PKD","1983-05-04","9.88","10.0","9.62","9.21","120400"
"PKD","1983-05-05","10.0","10.25","9.75","9.33","130000"
"PKD","1983-05-06","10.25","10.38","9.75","9.56","181300"
"PKD","1983-05-09","10.38","10.5","9.88","9.44","74600"
"PKD","1983-05-10","10.0","10.12","10.0","9.44","43500"
"PKD","1983-05-11","10.12","10.5","10.12","9.68","65700"
"PKD","1983-05-12","10.38","10.5","10.25","9.68","47600"
"PKD","1983-05-13","10.5","10.5","10.25","9.79","24100"
"PKD","1983-05-16","10.25","10.38","10.0","9.68","66700"
"PKD","1983-05-17","10.62","11.0","10.12","10.26","11200"
"PKD","1983-05-18","11.0","11.12","10.62","9.91","194600"
"PKD","1983-05-19","10.88","11.0","10.5","9.79","122200"
"PKD","1983-05-20","10.38","10.38","10.12","9.44","117000"
"PKD","1983-05-23","9.88","10.62","9.75","9.79","231700"
"PKD","1983-05-24","10.62","11.25","10.62","10.26","208600"
"PKD","1983-05-25","11.25","11.25","10.88","10.14","196000"
"PKD","1983-05-26","11.12","11.25","11.0","10.26","74700"
"PKD","1983-05-27","11.0","11.12","10.75","10.14","35100"
"PKD","1983-05-31","11.0","11.12","10.5","9.79","160800"
"PKD","1983-06-01","10.38","10.62","10.25","9.68","77900"
"PKD","1983-06-02","10.5","10.62","10.12","9.44","190000"
"PKD","1983-06-03","10.25","10.25","9.88","9.33","111300"
"PKD","1983-06-06","10.0","10.12","10.0","9.44","57500"
"PKD","1983-06-07","10.12","10.25","9.75","9.21","65800"
"PKD","1983-06-08","10.0","10.0","9.5","8.98","83200"
"PKD","1983-06-09","9.75","9.88","9.5","9.21","77800"
"PKD","1983-06-10","9.88","9.88","9.62","9.21","36300"
"PKD","1983-06-13","9.88","9.88","9.62","9.09","36400"
"PKD","1983-06-14","9.88","10.12","9.88","9.33","57100"
"PKD","1983-06-15","10.0","10.0","9.75","9.09","59200"
"PKD","1983-06-16","9.88","10.0","9.75","9.33","87600"
