"symbol","date","open","high","low","close","volume"
"PMBC","2000-01-26","15.5","15.5","15.0","7.43","10000"
"PMBC","2000-01-27","16.0","16.0","16.0","7.92","2400"
"PMBC","2000-01-28","16.0","16.0","16.0","7.92","0"
"PMBC","2000-01-31","17.0","17.0","16.62","8.42","22400"
"PMBC","2000-02-01","17.0","17.25","16.88","8.54","12400"
"PMBC","2000-02-02","18.25","19.0","18.0","9.03","44200"
"PMBC","2000-02-03","19.0","19.0","18.75","9.28","18400"
"PMBC","2000-02-04","18.75","18.75","18.75","9.28","0"
"PMBC","2000-02-07","19.0","19.75","19.0","9.75","20400"
"PMBC","2000-02-08","20.0","20.5","19.81","10.01","48600"
"PMBC","2000-02-09","20.25","20.88","20.25","10.09","29200"
"PMBC","2000-02-10","20.75","20.75","20.38","10.09","28200"
"PMBC","2000-02-11","20.62","20.88","20.62","10.33","5400"
"PMBC","2000-02-14","20.81","22.0","20.81","10.89","3600"
"PMBC","2000-02-15","21.5","22.5","21.5","11.14","8000"
"PMBC","2000-02-16","22.75","23.38","22.75","11.57","800"
"PMBC","2000-02-17","23.0","23.0","22.5","11.14","15800"
"PMBC","2000-02-18","22.5","22.5","21.0","11.01","14400"
"PMBC","2000-02-22","22.75","22.75","21.62","10.7","4000"
"PMBC","2000-02-23","22.0","22.38","21.75","10.95","22200"
"PMBC","2000-02-24","22.5","22.5","22.0","11.08","13400"
"PMBC","2000-02-25","22.0","22.25","21.62","11.01","15800"
"PMBC","2000-02-28","22.25","22.75","22.25","11.26","5600"
"PMBC","2000-02-29","22.5","24.12","22.5","11.94","24600"
"PMBC","2000-03-01","24.25","24.25","23.62","11.88","2400"
"PMBC","2000-03-02","23.38","24.25","23.38","12.0","2000"
"PMBC","2000-03-03","24.25","24.25","24.25","12.0","4200"
"PMBC","2000-03-06","24.25","27.12","24.25","13.43","13800"
"PMBC","2000-03-07","27.88","27.88","27.88","13.8","2000"
"PMBC","2000-03-08","24.12","27.0","24.0","13.37","2000"
"PMBC","2000-03-09","27.0","27.0","27.0","13.37","0"
"PMBC","2000-03-10","24.25","24.25","23.75","11.76","11000"
"PMBC","2000-03-13","25.0","25.0","22.12","11.2","3800"
"PMBC","2000-03-14","22.62","22.62","22.62","11.2","0"
"PMBC","2000-03-15","22.12","23.25","22.12","11.2","12200"
"PMBC","2000-03-16","23.12","23.25","22.62","11.39","10400"
"PMBC","2000-03-17","23.0","23.0","23.0","11.39","2000"
"PMBC","2000-03-20","23.0","23.0","22.62","11.2","1000"
"PMBC","2000-03-21","22.38","22.38","22.12","10.97","3400"
"PMBC","2000-03-22","21.5","22.0","20.5","10.52","10200"
"PMBC","2000-03-23","21.0","21.75","21.0","10.52","16600"
"PMBC","2000-03-24","21.25","21.5","20.75","10.27","7000"
"PMBC","2000-03-27","20.12","20.38","19.75","9.96","20000"
"PMBC","2000-03-28","20.12","20.25","19.62","9.84","45800"
"PMBC","2000-03-29","19.75","19.88","19.38","9.78","7200"
"PMBC","2000-03-30","19.88","22.25","19.75","10.95","49800"
"PMBC","2000-03-31","22.0","23.25","22.0","11.51","21000"
"PMBC","2000-04-03","23.75","24.25","23.75","12.0","1400"
"PMBC","2000-04-04","24.0","25.0","24.0","12.38","7600"
"PMBC","2000-04-05","25.0","25.0","25.0","12.38","0"
"PMBC","2000-04-06","24.75","25.75","24.75","12.25","13600"
"PMBC","2000-04-07","25.0","26.5","24.39","13.06","14200"
"PMBC","2000-04-10","25.88","26.0","25.75","12.75","7800"
"PMBC","2000-04-11","24.75","26.0","24.75","12.56","23400"
"PMBC","2000-04-12","25.25","26.0","24.5","12.87","46800"
"PMBC","2000-04-13","26.12","26.12","25.25","12.62","15600"
"PMBC","2000-04-14","25.5","25.5","25.5","12.62","0"
"PMBC","2000-04-17","11.0","12.5","10.25","10.89","6500"
"PMBC","2000-04-18","11.0","11.0","11.0","10.89","0"
"PMBC","2000-04-19","11.0","11.0","11.0","10.89","6200"
"PMBC","2000-04-20","11.5","11.88","11.25","11.14","2400"
"PMBC","2000-04-24","11.25","11.25","10.88","10.77","4000"
"PMBC","2000-04-25","10.88","10.88","10.88","10.77","0"
"PMBC","2000-04-26","11.0","11.12","11.0","11.01","1000"
"PMBC","2000-04-27","10.88","11.12","10.88","11.01","9800"
"PMBC","2000-04-28","11.0","11.0","11.0","10.89","8700"
"PMBC","2000-05-01","11.25","11.5","11.25","11.39","5100"
"PMBC","2000-05-02","11.38","11.5","11.38","11.39","5900"
"PMBC","2000-05-03","11.38","11.38","11.38","11.26","1800"
"PMBC","2000-05-04","11.62","11.62","11.62","11.51","400"
"PMBC","2000-05-05","11.62","11.62","11.62","11.51","1000"
"PMBC","2000-05-08","11.38","11.38","10.88","10.77","2800"
"PMBC","2000-05-09","10.88","10.88","10.88","10.77","0"
"PMBC","2000-05-10","11.38","11.38","11.0","10.89","4200"
"PMBC","2000-05-11","11.0","11.12","10.0","10.89","15100"
"PMBC","2000-05-12","11.0","11.0","10.0","10.77","11900"
"PMBC","2000-05-15","11.0","11.0","10.25","10.15","2600"
