"symbol","date","open","high","low","close","volume"
"PNF","2001-06-27","15.0","15.1","15.0","6.7","130000"
"PNF","2001-06-28","15.0","15.01","15.0","6.71","6800"
"PNF","2001-06-29","15.01","15.1","15.0","6.7","18500"
"PNF","2001-07-02","15.01","15.19","15.0","6.7","34100"
"PNF","2001-07-03","15.01","15.1","15.01","6.71","4600"
"PNF","2001-07-05","15.01","15.09","15.01","6.71","11600"
"PNF","2001-07-06","15.0","15.09","15.0","6.74","10500"
"PNF","2001-07-09","15.01","15.07","15.0","6.73","14400"
"PNF","2001-07-10","15.01","15.2","15.0","6.72","28500"
"PNF","2001-07-11","15.15","15.15","15.01","6.77","15800"
"PNF","2001-07-12","15.1","15.1","15.01","6.72","3400"
"PNF","2001-07-13","15.02","15.15","15.02","6.75","2000"
"PNF","2001-07-16","15.01","15.09","15.0","6.7","7500"
"PNF","2001-07-17","15.1","15.1","15.0","6.7","14900"
"PNF","2001-07-18","15.02","15.02","15.0","6.7","2600"
"PNF","2001-07-19","15.08","15.08","15.0","6.7","5400"
"PNF","2001-07-20","15.0","15.07","15.0","6.73","1700"
"PNF","2001-07-23","15.01","15.08","15.0","6.71","7600"
"PNF","2001-07-24","15.01","15.04","15.0","6.7","8300"
"PNF","2001-07-25","15.04","15.04","15.0","6.7","32000"
"PNF","2001-07-26","15.0","15.08","15.0","6.74","16200"
"PNF","2001-07-27","15.01","15.01","15.01","6.71","1000"
"PNF","2001-07-30","15.01","15.01","15.01","6.71","0"
"PNF","2001-07-31","15.01","15.03","15.01","6.71","3900"
"PNF","2001-08-01","15.07","15.08","15.0","6.7","15200"
"PNF","2001-08-02","15.08","15.08","15.0","6.73","3400"
"PNF","2001-08-03","15.07","15.08","15.06","6.73","3600"
"PNF","2001-08-06","15.08","15.09","15.08","6.74","5500"
"PNF","2001-08-07","15.07","15.19","15.06","6.75","7400"
"PNF","2001-08-08","15.06","15.35","15.06","6.8","12800"
"PNF","2001-08-09","15.21","15.21","15.1","6.77","16400"
"PNF","2001-08-10","15.18","15.3","15.18","6.79","13000"
"PNF","2001-08-13","15.2","15.56","15.15","6.86","50800"
"PNF","2001-08-14","15.28","15.44","15.28","6.88","26000"
"PNF","2001-08-15","15.44","15.45","15.4","6.88","13100"
"PNF","2001-08-16","15.5","16.0","15.5","7.07","61500"
"PNF","2001-08-17","15.77","15.77","15.39","6.88","49900"
"PNF","2001-08-20","15.4","15.4","15.2","6.79","14700"
"PNF","2001-08-21","15.19","15.3","15.09","6.83","16300"
"PNF","2001-08-22","15.17","15.31","15.05","6.77","9400"
"PNF","2001-08-23","15.15","15.31","15.15","6.86","14000"
"PNF","2001-08-24","15.29","15.48","15.29","6.91","16700"
"PNF","2001-08-27","15.41","15.45","15.31","6.88","11800"
"PNF","2001-08-28","15.45","15.49","15.1","6.87","31900"
"PNF","2001-08-29","15.35","15.4","15.32","6.88","9600"
"PNF","2001-08-30","15.23","15.3","15.23","6.87","5300"
"PNF","2001-08-31","15.34","15.34","15.11","6.81","14100"
"PNF","2001-09-04","15.19","15.34","15.18","6.89","14500"
"PNF","2001-09-05","15.45","15.45","15.27","6.91","20600"
"PNF","2001-09-06","15.4","15.4","15.32","6.88","4300"
"PNF","2001-09-07","15.31","15.33","15.23","6.88","2500"
"PNF","2001-09-10","15.25","15.25","15.25","6.85","600"
"PNF","2001-09-17","15.11","15.33","15.11","6.82","13700"
"PNF","2001-09-18","15.19","15.19","14.92","6.7","16100"
"PNF","2001-09-19","14.88","14.88","14.64","6.57","16100"
"PNF","2001-09-20","14.54","14.54","13.9","6.32","19200"
"PNF","2001-09-21","14.0","14.44","14.0","6.4","20600"
"PNF","2001-09-24","14.3","14.5","14.23","6.51","14900"
"PNF","2001-09-25","14.52","14.6","14.37","6.55","22300"
"PNF","2001-09-26","14.63","14.84","14.63","6.66","13100"
"PNF","2001-09-27","14.72","14.86","14.69","6.67","2200"
"PNF","2001-09-28","14.94","14.94","14.65","6.68","15200"
"PNF","2001-10-01","14.79","15.01","14.79","6.74","6100"
"PNF","2001-10-02","15.14","15.14","14.89","6.76","14100"
"PNF","2001-10-03","14.96","15.07","14.96","6.74","19400"
"PNF","2001-10-04","14.96","14.96","14.93","6.7","9100"
"PNF","2001-10-05","14.93","14.94","14.89","6.69","8900"
"PNF","2001-10-08","14.9","14.98","14.9","6.71","11300"
"PNF","2001-10-09","14.86","15.0","14.83","6.66","23600"
"PNF","2001-10-10","14.85","14.89","14.85","6.71","6500"
"PNF","2001-10-11","14.8","14.8","14.75","6.66","7700"
"PNF","2001-10-12","14.75","14.85","14.69","6.68","10400"
"PNF","2001-10-15","14.81","14.83","14.42","6.58","31900"
"PNF","2001-10-16","14.58","14.58","14.46","6.52","15700"
"PNF","2001-10-17","14.49","14.62","14.49","6.56","6700"
"PNF","2001-10-18","14.6","14.67","14.51","6.55","10900"
"PNF","2001-10-19","14.59","14.7","14.53","6.63","10400"
"PNF","2001-10-22","14.65","14.88","14.65","6.71","17800"
"PNF","2001-10-23","14.89","14.9","14.85","6.7","16100"
"PNF","2001-10-24","14.82","14.84","14.74","6.66","12200"
"PNF","2001-10-25","14.78","14.78","14.75","6.66","12700"
"PNF","2001-10-26","14.79","14.79","14.75","6.66","5300"
"PNF","2001-10-29","14.74","14.74","14.56","6.59","18600"
"PNF","2001-10-30","14.72","14.73","14.6","6.63","7100"
"PNF","2001-10-31","14.59","14.63","14.42","6.6","13800"
"PNF","2001-11-01","14.66","14.79","14.66","6.67","7000"
"PNF","2001-11-02","14.78","14.83","14.73","6.69","7100"
"PNF","2001-11-05","14.73","14.88","14.73","6.71","4900"
"PNF","2001-11-06","14.91","15.06","14.9","6.8","19400"
"PNF","2001-11-07","15.06","15.07","15.05","6.8","4500"
"PNF","2001-11-08","15.07","15.2","15.07","6.8","10400"
"PNF","2001-11-09","15.15","15.15","15.12","6.82","3400"
"PNF","2001-11-12","15.05","15.18","15.0","6.8","13100"
"PNF","2001-11-13","15.18","15.24","15.12","6.82","7200"
"PNF","2001-11-14","15.12","15.13","15.04","6.86","8800"
"PNF","2001-11-15","15.13","15.17","14.98","6.79","16500"
"PNF","2001-11-16","14.94","15.02","14.83","6.78","8700"
"PNF","2001-11-19","14.96","14.99","14.89","6.75","7000"
"PNF","2001-11-20","14.94","14.97","14.79","6.71","9400"
"PNF","2001-11-21","14.75","14.75","14.61","6.64","22100"
"PNF","2001-11-23","14.72","14.88","14.61","6.75","16300"
"PNF","2001-11-26","14.88","14.93","14.74","6.7","13300"
"PNF","2001-11-27","14.84","14.85","14.69","6.73","19300"
"PNF","2001-11-28","14.88","14.88","14.82","6.74","1900"
"PNF","2001-11-29","14.88","14.91","14.81","6.73","10200"
"PNF","2001-11-30","14.81","14.82","14.65","6.67","22800"
"PNF","2001-12-03","14.65","14.79","14.63","6.71","7500"
"PNF","2001-12-04","14.8","14.91","14.8","6.76","5900"
"PNF","2001-12-05","14.78","14.87","14.75","6.74","9500"
"PNF","2001-12-06","14.74","14.74","14.62","6.68","16900"
"PNF","2001-12-07","14.75","14.83","14.62","6.63","15200"
"PNF","2001-12-10","14.63","14.73","14.63","6.68","3100"
"PNF","2001-12-11","14.73","14.79","14.72","6.71","3500"
"PNF","2001-12-12","14.76","14.83","14.67","6.69","10400"
"PNF","2001-12-13","14.65","14.73","14.65","6.7","2600"
"PNF","2001-12-14","14.65","14.65","14.56","6.65","3200"
"PNF","2001-12-17","14.5","14.52","14.46","6.59","11900"
"PNF","2001-12-18","14.48","14.57","14.34","6.54","14800"
"PNF","2001-12-19","14.24","14.34","14.2","6.47","19800"
"PNF","2001-12-20","14.21","14.21","14.0","6.38","18500"
"PNF","2001-12-21","14.1","14.1","13.7","6.24","35100"
"PNF","2001-12-24","13.79","13.8","13.75","6.27","8500"
"PNF","2001-12-26","13.7","13.9","13.63","6.36","48300"
"PNF","2001-12-27","13.9","13.98","13.7","6.29","45100"
"PNF","2001-12-28","13.86","13.9","13.67","6.27","23500"
"PNF","2001-12-31","13.8","13.82","13.7","6.27","16000"
"PNF","2002-01-02","13.8","13.86","13.7","6.34","12000"
"PNF","2002-01-03","13.86","14.01","13.86","6.41","7700"
"PNF","2002-01-04","14.0","14.07","13.92","6.38","23700"
"PNF","2002-01-07","14.01","14.18","14.01","6.49","12200"
"PNF","2002-01-08","14.1","14.27","14.1","6.52","3700"
"PNF","2002-01-09","14.31","14.42","14.31","6.63","13700"
"PNF","2002-01-10","14.46","14.59","14.46","6.71","10400"
"PNF","2002-01-11","14.59","14.63","14.44","6.64","19200"
"PNF","2002-01-14","14.59","14.67","14.59","6.75","5300"
"PNF","2002-01-15","14.6","14.6","14.6","6.71","100"
"PNF","2002-01-16","14.61","14.7","14.61","6.76","4000"
"PNF","2002-01-17","14.79","14.79","14.6","6.79","10800"
"PNF","2002-01-18","14.76","14.76","14.63","6.79","9700"
"PNF","2002-01-22","14.75","14.75","14.75","6.78","1600"
"PNF","2002-01-23","14.7","14.75","14.66","6.78","7500"
"PNF","2002-01-24","14.63","14.7","14.62","6.72","3400"
"PNF","2002-01-25","14.72","14.8","14.72","6.81","10900"
"PNF","2002-01-28","14.8","14.8","14.66","6.79","10900"
"PNF","2002-01-29","14.77","14.77","14.57","6.77","5600"
"PNF","2002-01-30","14.73","14.77","14.7","6.76","2000"
"PNF","2002-01-31","14.74","14.8","14.71","6.81","6000"
"PNF","2002-02-01","14.8","14.83","14.73","6.77","2400"
"PNF","2002-02-04","14.73","14.73","14.71","6.76","1200"
"PNF","2002-02-05","14.72","14.88","14.72","6.78","11800"
"PNF","2002-02-06","14.86","14.94","14.7","6.81","18500"
"PNF","2002-02-07","14.75","14.79","14.65","6.76","12300"
"PNF","2002-02-08","14.69","14.74","14.62","6.77","5700"
"PNF","2002-02-11","14.65","14.74","14.61","6.78","8200"
"PNF","2002-02-12","14.58","14.89","14.58","6.85","19600"
"PNF","2002-02-13","14.83","14.83","14.83","6.85","1100"
"PNF","2002-02-14","14.73","14.84","14.67","6.8","15300"
"PNF","2002-02-15","14.69","14.8","14.6","6.84","13100"
"PNF","2002-02-19","14.8","14.9","14.75","6.82","11800"
"PNF","2002-02-20","14.72","14.82","14.69","6.85","5800"
"PNF","2002-02-21","14.87","14.94","14.87","6.9","2100"
"PNF","2002-02-22","14.81","14.81","14.7","6.79","14300"
"PNF","2002-02-25","14.71","14.8","14.63","6.76","11000"
"PNF","2002-02-26","14.6","14.74","14.58","6.81","15400"
"PNF","2002-02-27","14.61","14.83","14.6","6.8","8600"
"PNF","2002-02-28","14.7","14.86","14.7","6.85","18000"
"PNF","2002-03-01","14.89","14.89","14.77","6.83","5200"
"PNF","2002-03-04","14.75","14.8","14.74","6.84","2400"
"PNF","2002-03-05","14.83","14.85","14.69","6.85","12000"
"PNF","2002-03-06","14.8","14.85","14.73","6.82","3100"
"PNF","2002-03-07","14.85","14.88","14.61","6.77","24700"
"PNF","2002-03-08","14.7","14.7","14.55","6.72","4200"
"PNF","2002-03-11","14.59","14.59","14.45","6.68","1100"
"PNF","2002-03-12","14.55","14.55","14.37","6.64","10100"
"PNF","2002-03-13","14.35","14.47","14.3","6.72","12200"
"PNF","2002-03-14","14.47","14.61","14.47","6.76","11900"
"PNF","2002-03-15","14.58","14.61","14.5","6.74","7200"
"PNF","2002-03-18","14.55","14.55","14.37","6.74","11700"
"PNF","2002-03-19","14.34","14.49","14.33","6.66","2100"
"PNF","2002-03-20","14.32","14.35","14.3","6.64","7800"
"PNF","2002-03-21","14.4","14.4","14.0","6.5","16000"
"PNF","2002-03-22","13.9","13.95","13.75","6.47","3900"
"PNF","2002-03-25","13.83","14.0","13.83","6.43","20600"
"PNF","2002-03-26","13.85","14.05","13.85","6.53","6700"
"PNF","2002-03-27","13.95","14.05","13.95","6.5","5700"
"PNF","2002-03-28","14.05","14.17","14.05","6.58","6900"
"PNF","2002-04-01","14.07","14.26","14.03","6.55","9300"
"PNF","2002-04-02","14.2","14.23","14.07","6.61","9300"
"PNF","2002-04-03","14.23","14.23","14.05","6.53","7400"
"PNF","2002-04-04","14.1","14.1","13.94","6.48","19600"
"PNF","2002-04-05","13.94","14.18","13.94","6.59","4100"
"PNF","2002-04-08","14.14","14.15","14.02","6.56","5200"
"PNF","2002-04-09","14.06","14.3","14.06","6.64","9800"
"PNF","2002-04-10","14.15","14.32","14.1","6.69","7300"
"PNF","2002-04-11","14.25","14.29","14.15","6.64","8900"
"PNF","2002-04-12","14.3","14.3","14.17","6.66","4700"
"PNF","2002-04-15","14.16","14.3","14.16","6.67","8000"
"PNF","2002-04-16","14.2","14.3","14.17","6.68","3500"
"PNF","2002-04-17","14.3","14.3","14.17","6.66","8400"
"PNF","2002-04-18","14.3","14.3","14.21","6.64","3300"
"PNF","2002-04-19","14.23","14.33","14.23","6.68","4100"
"PNF","2002-04-22","14.28","14.3","14.22","6.64","15300"
"PNF","2002-04-23","14.25","14.25","14.22","6.66","13200"
"PNF","2002-04-24","14.25","14.42","14.22","6.65","18100"
"PNF","2002-04-25","14.25","14.32","14.25","6.69","3800"
"PNF","2002-04-26","14.4","14.4","14.27","6.66","5300"
"PNF","2002-04-29","14.27","14.37","14.24","6.66","7500"
"PNF","2002-04-30","14.18","14.42","14.18","6.63","12400"
"PNF","2002-05-01","14.3","14.35","14.22","6.66","14600"
"PNF","2002-05-02","14.27","14.44","14.27","6.74","1200"
"PNF","2002-05-03","14.22","14.37","14.22","6.71","31600"
"PNF","2002-05-06","14.38","14.4","14.3","6.68","2200"
"PNF","2002-05-07","14.4","14.4","14.22","6.68","23600"
"PNF","2002-05-08","14.25","14.3","14.2","6.67","11900"
"PNF","2002-05-09","14.2","14.21","14.11","6.63","18300"
"PNF","2002-05-10","14.14","14.34","14.14","6.73","7600"
"PNF","2002-05-13","14.33","14.33","14.25","6.69","6100"
"PNF","2002-05-14","14.2","14.25","14.16","6.69","1900"
"PNF","2002-05-15","14.18","14.23","14.09","6.62","17100"
"PNF","2002-05-16","14.05","14.08","13.97","6.61","20800"
"PNF","2002-05-17","14.0","14.0","13.98","6.57","1200"
"PNF","2002-05-20","14.1","14.1","14.0","6.62","15900"
"PNF","2002-05-21","14.0","14.15","14.0","6.64","4700"
"PNF","2002-05-22","14.14","14.14","14.0","6.57","25700"
"PNF","2002-05-23","14.0","14.05","13.97","6.56","47700"
"PNF","2002-05-24","14.08","14.08","13.96","6.55","2400"
"PNF","2002-05-28","13.96","14.08","13.88","6.52","10600"
"PNF","2002-05-29","13.95","14.04","13.95","6.59","5300"
"PNF","2002-05-30","14.0","14.0","13.98","6.57","3800"
"PNF","2002-05-31","13.95","14.13","13.95","6.62","13600"
"PNF","2002-06-03","14.13","14.13","14.0","6.57","8300"
"PNF","2002-06-04","14.1","14.1","13.96","6.57","30500"
"PNF","2002-06-05","13.95","14.09","13.92","6.57","13200"
"PNF","2002-06-06","14.12","14.23","14.04","6.66","21600"
"PNF","2002-06-07","14.2","14.33","14.2","6.73","18500"
"PNF","2002-06-10","14.33","14.33","14.2","6.71","3600"
"PNF","2002-06-11","14.35","14.4","14.29","6.75","13300"
"PNF","2002-06-12","14.35","14.35","14.25","6.73","4100"
"PNF","2002-06-13","14.24","14.35","14.24","6.77","3900"
"PNF","2002-06-14","14.39","14.4","14.2","6.75","10700"
"PNF","2002-06-17","14.35","14.35","14.16","6.68","14700"
"PNF","2002-06-18","14.16","14.36","14.16","6.75","24400"
"PNF","2002-06-19","14.31","14.31","14.21","6.74","12700"
"PNF","2002-06-20","14.27","14.27","14.21","6.72","20300"
"PNF","2002-06-21","14.28","14.32","14.25","6.76","10200"
"PNF","2002-06-24","14.32","14.32","14.32","6.76","13900"
"PNF","2002-06-25","14.36","14.36","14.17","6.75","16800"
"PNF","2002-06-26","14.31","14.33","14.2","6.73","4800"
"PNF","2002-06-27","14.34","14.34","14.16","6.69","8500"
"PNF","2002-06-28","14.27","14.39","14.2","6.73","20200"
"PNF","2002-07-01","14.37","14.4","14.25","6.8","5400"
"PNF","2002-07-02","14.3","14.5","14.3","6.81","42700"
"PNF","2002-07-03","14.47","14.55","14.43","6.81","11400"
"PNF","2002-07-05","14.53","14.53","14.43","6.82","1100"
"PNF","2002-07-08","14.47","14.75","14.47","6.94","15700"
"PNF","2002-07-09","14.7","14.7","14.56","6.91","9500"
"PNF","2002-07-10","14.44","14.65","14.44","6.95","6900"
"PNF","2002-07-11","14.66","15.03","14.66","7.04","40800"
"PNF","2002-07-12","14.78","14.9","14.78","7.07","4500"
"PNF","2002-07-15","14.9","14.9","14.7","7.07","16300"
"PNF","2002-07-16","14.9","14.9","14.9","7.07","3200"
"PNF","2002-07-17","14.8","14.88","14.77","7.03","6500"
"PNF","2002-07-18","14.81","14.81","14.62","6.94","19400"
"PNF","2002-07-19","14.63","14.72","14.56","6.97","12300"
"PNF","2002-07-22","14.73","14.73","14.6","6.93","9300"
"PNF","2002-07-23","14.52","14.52","14.43","6.87","9900"
"PNF","2002-07-24","14.58","14.7","14.48","6.93","29800"
"PNF","2002-07-25","14.5","14.5","14.43","6.88","9000"
"PNF","2002-07-26","14.43","14.58","14.42","6.92","7800"
"PNF","2002-07-29","14.5","14.59","14.5","6.92","2200"
"PNF","2002-07-30","14.49","14.67","14.49","6.93","20700"
"PNF","2002-07-31","14.68","14.8","14.68","7.0","11400"
"PNF","2002-08-01","14.85","14.9","14.8","7.07","21200"
"PNF","2002-08-02","14.8","15.0","14.78","7.12","27200"
"PNF","2002-08-05","15.0","15.15","14.85","7.12","31400"
"PNF","2002-08-06","15.05","15.05","14.8","7.02","11400"
"PNF","2002-08-07","14.81","14.82","14.76","7.0","5200"
"PNF","2002-08-08","14.73","14.96","14.72","7.03","6200"
"PNF","2002-08-09","14.95","15.0","14.8","7.02","6900"
"PNF","2002-08-12","14.75","15.0","14.75","7.07","6000"
"PNF","2002-08-13","15.0","15.0","14.85","7.07","12800"
"PNF","2002-08-14","14.93","14.93","14.72","7.02","6400"
"PNF","2002-08-15","14.68","14.75","14.68","7.03","3500"
"PNF","2002-08-16","14.7","14.76","14.65","7.03","4800"
"PNF","2002-08-19","14.66","14.8","14.64","7.06","13800"
"PNF","2002-08-20","14.75","14.75","14.64","7.01","5400"
"PNF","2002-08-21","14.95","14.95","14.64","6.98","16500"
"PNF","2002-08-22","14.6","14.82","14.6","6.99","14600"
"PNF","2002-08-23","14.61","14.67","14.56","6.99","12500"
"PNF","2002-08-26","14.52","14.6","14.48","6.91","10500"
"PNF","2002-08-27","14.49","14.55","14.49","6.94","1200"
"PNF","2002-08-28","14.59","14.59","14.51","6.95","2100"
"PNF","2002-08-29","14.63","14.67","14.63","6.99","1800"
"PNF","2002-08-30","14.67","14.67","14.67","6.99","0"
"PNF","2002-09-03","14.69","14.69","14.6","6.99","12200"
"PNF","2002-09-04","14.6","14.6","14.57","6.96","21200"
"PNF","2002-09-05","14.69","14.75","14.68","7.03","8900"
"PNF","2002-09-06","14.85","14.85","14.7","7.01","6300"
