"symbol","date","open","high","low","close","volume"
"PNR","1973-05-03","9.25","9.5","9.25","0.95","24000"
"PNR","1973-05-04","9.87","10.38","9.87","1.02","40000"
"PNR","1973-05-07","9.38","9.87","9.38","0.96","44400"
"PNR","1973-05-08","9.25","9.5","9.25","0.95","16000"
"PNR","1973-05-09","9.5","9.87","9.5","0.98","21600"
"PNR","1973-05-10","9.5","9.87","9.5","0.98","6400"
"PNR","1973-05-11","9.5","9.87","9.5","0.98","9600"
"PNR","1973-05-14","9.5","9.87","9.5","0.98","16000"
"PNR","1973-05-15","9.5","9.87","9.5","0.98","23200"
"PNR","1973-05-16","9.38","9.87","9.38","0.96","13600"
"PNR","1973-05-17","9.5","9.87","9.5","0.98","22000"
"PNR","1973-05-18","9.12","9.5","9.12","0.94","22000"
"PNR","1973-05-21","8.37","8.75","8.37","0.86","51600"
"PNR","1973-05-22","8.37","8.75","8.37","0.86","7200"
"PNR","1973-05-23","8.25","8.5","8.25","0.85","20400"
"PNR","1973-05-24","7.75","8.25","7.75","0.8","37200"
"PNR","1973-05-25","8.0","8.37","8.0","0.82","29200"
"PNR","1973-05-29","8.0","8.37","8.0","0.82","10800"
"PNR","1973-05-30","7.75","8.25","7.75","0.8","400"
"PNR","1973-05-31","7.75","8.25","7.75","0.8","20400"
"PNR","1973-06-01","7.75","8.25","7.75","0.8","4000"
"PNR","1973-06-04","7.75","8.25","7.75","0.8","1600"
"PNR","1973-06-05","7.75","8.25","7.75","0.8","20800"
"PNR","1973-06-06","7.75","8.25","7.75","0.8","10800"
"PNR","1973-06-07","7.75","8.25","7.75","0.8","5200"
"PNR","1973-06-08","8.0","8.37","8.0","0.82","6400"
"PNR","1973-06-11","8.25","8.62","8.25","0.85","14800"
"PNR","1973-06-12","8.37","8.75","8.37","0.86","15600"
"PNR","1973-06-13","8.37","8.75","8.37","0.86","3600"
"PNR","1973-06-14","8.25","8.62","8.25","0.85","10800"
"PNR","1973-06-15","8.25","8.62","8.25","0.85","8800"
"PNR","1973-06-18","7.75","8.25","7.75","0.8","13600"
"PNR","1973-06-19","7.75","8.25","7.75","0.8","5200"
"PNR","1973-06-20","8.0","8.37","8.0","0.82","4000"
"PNR","1973-06-21","7.75","8.25","7.75","0.8","9600"
"PNR","1973-06-22","7.75","8.25","7.75","0.8","19200"
"PNR","1973-06-25","7.75","8.25","7.75","0.8","5200"
"PNR","1973-06-26","7.75","8.25","7.75","0.8","7600"
"PNR","1973-06-27","7.62","8.0","7.62","0.78","10800"
"PNR","1973-06-28","7.38","7.75","7.38","0.76","14800"
"PNR","1973-06-29","7.38","7.75","7.38","0.76","8800"
"PNR","1973-07-02","7.38","7.75","7.38","0.76","3600"
"PNR","1973-07-03","7.38","7.75","7.38","0.76","1600"
"PNR","1973-07-05","7.38","7.75","7.38","0.76","400"
"PNR","1973-07-06","7.38","7.75","7.38","0.76","3600"
"PNR","1973-07-09","7.62","8.0","7.62","0.78","4000"
