"symbol","date","open","high","low","close","volume"
"PPHMP","2014-02-24","24.95","24.95","24.95","24.8","7190"
"PPHMP","2014-02-25","24.8","24.8","24.8","24.8","200"
"PPHMP","2014-02-26","25.0","25.0","24.94","24.94","5215"
"PPHMP","2014-02-27","24.9","24.9","24.76","23.96","2200"
"PPHMP","2014-02-28","24.87","24.87","24.85","23.93","2600"
"PPHMP","2014-03-03","24.9","24.9","24.88","23.94","2200"
"PPHMP","2014-03-04","25.85","25.85","25.0","24.29","600"
"PPHMP","2014-03-05","28.0","28.0","26.55","26.62","35800"
"PPHMP","2014-03-06","29.99","30.0","26.63","27.1","53300"
"PPHMP","2014-03-07","26.99","27.75","26.0","25.88","9400"
"PPHMP","2014-03-10","26.59","26.91","26.4","25.89","5900"
"PPHMP","2014-03-11","26.85","27.0","26.0","25.43","16400"
"PPHMP","2014-03-12","26.16","26.5","26.0","25.49","5800"
"PPHMP","2014-03-13","26.5","26.5","26.49","25.49","900"
"PPHMP","2014-03-14","26.14","26.7","26.09","25.38","5100"
"PPHMP","2014-03-17","26.8","26.8","26.26","25.4","5700"
"PPHMP","2014-03-18","26.44","26.44","26.24","25.25","7500"
"PPHMP","2014-03-19","26.01","26.35","26.01","25.6","4000"
"PPHMP","2014-03-20","26.2","26.2","26.1","25.4","3700"
"PPHMP","2014-03-21","26.09","26.25","25.86","25.17","1800"
"PPHMP","2014-03-24","26.0","26.18","25.02","24.35","12500"
"PPHMP","2014-03-25","25.23","25.23","25.03","24.36","1600"
"PPHMP","2014-03-26","25.05","25.05","25.05","24.38","1000"
"PPHMP","2014-03-27","24.75","25.0","24.75","24.33","400"
"PPHMP","2014-03-28","25.45","25.45","24.8","24.28","1400"
"PPHMP","2014-03-31","24.89","25.24","24.89","24.56","3600"
"PPHMP","2014-04-01","25.25","25.75","25.2","25.06","1800"
"PPHMP","2014-04-02","25.74","25.74","25.74","25.05","100"
"PPHMP","2014-04-03","25.4","25.4","25.0","24.33","3700"
"PPHMP","2014-04-04","25.0","25.1","25.0","24.33","4500"
"PPHMP","2014-04-07","25.74","25.75","24.75","24.33","5400"
"PPHMP","2014-04-08","24.91","24.91","24.89","24.24","2700"
"PPHMP","2014-04-09","25.09","25.09","25.09","24.42","1000"
"PPHMP","2014-04-10","25.09","25.1","24.75","24.14","4600"
"PPHMP","2014-04-11","24.99","24.99","24.98","24.31","600"
"PPHMP","2014-04-14","25.0","25.0","24.89","24.23","800"
"PPHMP","2014-04-15","24.94","25.05","24.93","24.33","3400"
"PPHMP","2014-04-16","25.0","25.0","25.0","24.33","400"
"PPHMP","2014-04-17","24.85","24.99","24.85","24.29","800"
"PPHMP","2014-04-21","24.9","24.9","24.8","24.23","2300"
"PPHMP","2014-04-22","24.85","24.99","24.85","24.23","1800"
"PPHMP","2014-04-23","24.9","24.9","24.8","24.14","1500"
"PPHMP","2014-04-24","24.95","24.98","24.95","24.31","2000"
"PPHMP","2014-04-25","25.34","25.34","24.85","24.31","2900"
"PPHMP","2014-04-28","24.95","24.98","24.95","24.31","400"
"PPHMP","2014-04-29","24.98","24.99","24.98","24.32","1100"
"PPHMP","2014-04-30","24.93","24.97","24.93","24.29","1800"
"PPHMP","2014-05-01","24.95","24.99","24.95","24.32","500"
"PPHMP","2014-05-02","24.99","24.99","24.94","24.32","4300"
"PPHMP","2014-05-05","24.88","25.4","24.88","24.72","5100"
"PPHMP","2014-05-06","24.92","25.0","24.92","24.33","400"
"PPHMP","2014-05-07","25.0","25.58","24.92","24.89","400"
"PPHMP","2014-05-08","25.4","25.4","25.0","24.33","1400"
"PPHMP","2014-05-09","25.0","25.0","24.98","24.33","1600"
"PPHMP","2014-05-12","25.39","25.39","25.01","24.53","6400"
"PPHMP","2014-05-13","25.15","25.15","25.08","24.42","3200"
"PPHMP","2014-05-14","25.25","25.25","25.15","24.52","1200"
"PPHMP","2014-05-15","25.15","25.15","25.08","24.45","3700"
"PPHMP","2014-05-16","25.08","25.08","24.93","24.26","1800"
"PPHMP","2014-05-19","24.95","24.95","24.93","24.26","1500"
"PPHMP","2014-05-20","24.95","24.95","24.94","24.27","1300"
"PPHMP","2014-05-21","24.95","24.95","24.95","24.28","100"
"PPHMP","2014-05-22","24.95","24.95","24.95","24.28","0"
"PPHMP","2014-05-23","25.39","25.39","25.39","24.71","2000"
"PPHMP","2014-05-27","25.25","25.25","25.25","24.57","100"
"PPHMP","2014-05-28","25.0","25.0","25.0","24.33","1800"
"PPHMP","2014-05-29","25.8","25.8","25.74","25.06","800"
"PPHMP","2014-05-30","25.7","25.7","25.7","25.01","100"
"PPHMP","2014-06-02","25.04","25.72","25.04","24.67","7700"
"PPHMP","2014-06-03","25.2","25.74","25.06","24.43","7600"
"PPHMP","2014-06-04","25.1","25.65","25.01","24.38","9100"
"PPHMP","2014-06-05","25.0","25.47","25.0","24.57","9100"
"PPHMP","2014-06-06","25.3","25.3","25.05","24.52","2000"
"PPHMP","2014-06-09","25.04","25.1","25.04","24.43","700"
"PPHMP","2014-06-10","25.1","25.1","25.1","24.43","0"
"PPHMP","2014-06-11","25.69","25.69","25.5","25.0","5500"
"PPHMP","2014-06-12","25.69","25.7","25.69","25.01","2600"
"PPHMP","2014-06-13","25.7","25.7","25.7","25.01","1300"
"PPHMP","2014-06-16","25.7","25.7","25.25","24.57","3500"
"PPHMP","2014-06-17","25.25","25.25","24.5","23.85","449400"
"PPHMP","2014-06-18","24.1","24.15","22.6","23.99","69000"
"PPHMP","2014-06-19","23.98","24.1","23.82","24.1","12100"
"PPHMP","2014-06-20","24.11","24.2","23.71","24.2","15200"
"PPHMP","2014-06-23","24.2","24.2","24.01","24.12","9400"
"PPHMP","2014-06-24","24.14","24.15","23.51","24.04","26300"
"PPHMP","2014-06-25","24.0","24.06","23.58","24.01","4500"
"PPHMP","2014-06-26","23.95","23.95","23.61","23.85","5700"
"PPHMP","2014-06-27","23.99","24.0","23.97","23.97","800"
"PPHMP","2014-06-30","24.0","24.2","23.99","24.12","4300"
"PPHMP","2014-07-01","24.01","24.17","24.01","24.1","5900"
"PPHMP","2014-07-02","24.15","24.15","23.85","23.95","7500"
"PPHMP","2014-07-03","24.05","24.16","24.05","24.13","2500"
"PPHMP","2014-07-07","24.25","24.35","24.2","24.35","6800"
"PPHMP","2014-07-08","24.13","24.24","24.1","24.1","4600"
"PPHMP","2014-07-09","24.1","24.2","24.1","24.18","2600"
"PPHMP","2014-07-10","24.0","24.06","23.99","24.06","1800"
"PPHMP","2014-07-11","24.09","24.19","24.03","24.14","7300"
"PPHMP","2014-07-14","24.24","24.24","24.14","24.18","2300"
"PPHMP","2014-07-15","24.34","24.34","24.22","24.22","5400"
"PPHMP","2014-07-16","24.25","24.45","24.25","24.44","5200"
"PPHMP","2014-07-17","24.23","24.3","23.6","24.15","17800"
"PPHMP","2014-07-18","24.01","24.19","24.01","24.01","700"
"PPHMP","2014-07-21","24.15","24.15","24.0","24.15","1600"
"PPHMP","2014-07-22","24.0","24.14","23.91","23.98","1800"
"PPHMP","2014-07-23","23.94","24.08","23.94","24.0","2500"
"PPHMP","2014-07-24","24.0","24.1","23.91","23.91","1200"
"PPHMP","2014-07-25","24.05","24.05","23.95","23.95","2600"
"PPHMP","2014-07-28","23.95","24.04","23.95","24.0","3800"
"PPHMP","2014-07-29","24.02","24.02","24.0","24.0","1400"
"PPHMP","2014-07-30","24.1","24.1","23.8","23.99","1800"
"PPHMP","2014-07-31","23.8","23.98","23.3","23.98","6500"
"PPHMP","2014-08-01","24.0","24.0","24.0","24.0","1300"
"PPHMP","2014-08-04","24.1","24.1","23.9","23.99","3500"
"PPHMP","2014-08-05","23.78","24.04","23.51","24.0","3200"
"PPHMP","2014-08-06","23.96","24.05","23.87","24.05","3800"
"PPHMP","2014-08-07","24.05","24.05","23.5","23.5","4500"
"PPHMP","2014-08-08","24.02","24.02","23.82","24.01","1400"
"PPHMP","2014-08-11","24.1","24.2","24.05","24.09","11800"
"PPHMP","2014-08-12","24.42","24.42","24.2","24.2","3100"
"PPHMP","2014-08-13","24.2","24.22","24.11","24.15","5200"
"PPHMP","2014-08-14","24.2","24.2","24.2","24.2","1300"
"PPHMP","2014-08-15","24.22","24.3","24.16","24.21","3400"
"PPHMP","2014-08-18","24.2","24.4","24.2","24.4","4000"
"PPHMP","2014-08-19","24.4","24.41","24.37","24.41","7900"
"PPHMP","2014-08-20","25.64","25.64","24.35","24.4","1400"
"PPHMP","2014-08-21","24.4","24.41","24.4","24.41","1400"
"PPHMP","2014-08-22","24.35","24.5","24.35","24.5","1900"
"PPHMP","2014-08-25","24.53","24.53","24.44","24.49","3300"
"PPHMP","2014-08-26","24.49","24.49","24.49","24.49","300"
"PPHMP","2014-08-27","24.51","24.51","24.49","24.5","2100"
"PPHMP","2014-08-28","24.54","24.58","24.53","24.53","6400"
"PPHMP","2014-08-29","24.58","24.58","24.58","24.58","4300"
"PPHMP","2014-09-02","24.6","24.6","24.56","24.58","5800"
"PPHMP","2014-09-03","24.53","24.54","24.5","24.51","7200"
"PPHMP","2014-09-04","24.4","24.52","24.4","24.4","2600"
"PPHMP","2014-09-05","24.5","24.5","24.5","24.5","1100"
"PPHMP","2014-09-08","24.4","24.5","24.4","24.5","900"
"PPHMP","2014-09-09","24.5","24.5","24.3","24.3","2300"
"PPHMP","2014-09-10","24.5","24.5","24.4","24.48","1100"
"PPHMP","2014-09-11","24.5","24.52","24.3","24.52","8400"
"PPHMP","2014-09-12","24.52","24.52","24.5","24.52","6400"
"PPHMP","2014-09-15","24.55","24.55","24.52","24.53","2500"
"PPHMP","2014-09-16","24.55","24.55","24.21","24.21","10500"
"PPHMP","2014-09-17","24.0","24.0","23.9","24.0","1700"
"PPHMP","2014-09-18","23.59","24.0","23.59","23.85","3900"
"PPHMP","2014-09-19","23.8","23.94","23.8","23.9","2300"
"PPHMP","2014-09-22","23.7","23.9","23.25","23.34","5300"
"PPHMP","2014-09-23","23.3","23.76","23.25","23.72","4900"
"PPHMP","2014-09-24","23.75","23.77","23.72","23.72","3100"
"PPHMP","2014-09-25","23.75","23.76","23.69","23.69","6500"
"PPHMP","2014-09-26","23.69","23.75","23.66","23.75","700"
"PPHMP","2014-09-29","23.74","23.75","23.25","23.38","2900"
"PPHMP","2014-09-30","23.7","23.7","23.3","23.3","800"
"PPHMP","2014-10-01","23.73","23.73","23.57","23.6","2300"
"PPHMP","2014-10-02","23.25","23.4","23.25","23.4","700"
"PPHMP","2014-10-03","23.65","23.65","23.41","23.41","3500"
"PPHMP","2014-10-06","23.68","23.68","23.45","23.45","5100"
"PPHMP","2014-10-07","23.49","23.5","23.49","23.5","700"
"PPHMP","2014-10-08","23.51","23.65","23.51","23.65","3100"
"PPHMP","2014-10-09","23.65","23.65","23.5","23.62","9500"
"PPHMP","2014-10-10","23.62","23.62","23.55","23.55","1500"
"PPHMP","2014-10-13","23.6","23.62","23.6","23.62","600"
"PPHMP","2014-10-14","23.55","23.65","23.55","23.55","5700"
"PPHMP","2014-10-15","23.65","24.09","23.5","23.55","7900"
"PPHMP","2014-10-16","23.55","23.84","23.55","23.6","900"
"PPHMP","2014-10-17","23.79","23.79","23.7","23.7","400"
"PPHMP","2014-10-20","23.79","23.79","23.79","23.79","200"
"PPHMP","2014-10-21","23.73","23.75","23.73","23.75","300"
"PPHMP","2014-10-22","23.75","23.75","23.6","23.6","3200"
"PPHMP","2014-10-23","23.99","23.99","23.65","23.7","11600"
"PPHMP","2014-10-24","23.75","23.75","23.74","23.75","1900"
"PPHMP","2014-10-27","23.7","23.75","23.7","23.75","700"
"PPHMP","2014-10-28","23.7","23.75","23.7","23.7","1300"
"PPHMP","2014-10-29","23.75","23.89","23.75","23.75","1600"
"PPHMP","2014-10-30","23.8","23.8","23.8","23.8","1200"
"PPHMP","2014-10-31","23.8","23.8","23.3","23.61","1700"
"PPHMP","2014-11-03","23.79","23.8","23.55","23.55","2200"
"PPHMP","2014-11-04","23.55","23.55","23.54","23.55","300"
"PPHMP","2014-11-05","23.76","23.76","23.43","23.5","400"
"PPHMP","2014-11-06","23.69","23.7","23.69","23.7","500"
"PPHMP","2014-11-07","23.7","23.7","23.63","23.7","2200"
"PPHMP","2014-11-10","23.6","23.65","23.49","23.65","6100"
"PPHMP","2014-11-11","23.9","23.9","23.35","23.36","1200"
"PPHMP","2014-11-12","23.8","23.8","23.7","23.71","1700"
"PPHMP","2014-11-13","23.7","23.72","23.7","23.72","1600"
"PPHMP","2014-11-14","23.61","23.7","23.61","23.7","800"
"PPHMP","2014-11-17","23.75","23.75","23.35","23.35","600"
"PPHMP","2014-11-18","23.3","23.31","23.23","23.23","8300"
"PPHMP","2014-11-19","23.25","23.4","23.25","23.25","2100"
"PPHMP","2014-11-20","23.48","23.48","23.15","23.15","1500"
"PPHMP","2014-11-21","23.15","23.15","23.07","23.07","500"
"PPHMP","2014-11-24","23.07","23.4","23.07","23.4","1100"
"PPHMP","2014-11-26","23.63","23.63","23.1","23.487","2010"
"PPHMP","2014-11-28","23.5","23.5","23.49","23.49","300"
"PPHMP","2014-12-01","23.49","23.49","23.0","23.0","2339"
"PPHMP","2014-12-02","23.0","23.0","22.7","22.8","1111"
"PPHMP","2014-12-03","22.9","22.92","22.9","22.922","1685"
"PPHMP","2014-12-04","22.9","22.95","22.6","22.85","4200"
"PPHMP","2014-12-05","22.85","23.3","22.85","23.297","1575"
"PPHMP","2014-12-08","23.32","23.32","22.72","22.8","852"
"PPHMP","2014-12-09","22.8","22.8","22.72","22.72","600"
"PPHMP","2014-12-10","23.4","23.4","22.72","22.73","2370"
"PPHMP","2014-12-11","23.1","23.1","23.1","23.1","100"
"PPHMP","2014-12-12","23.2","23.49","23.01","23.49","3510"
"PPHMP","2014-12-15","22.8","23.1","22.5","22.6","5124"
"PPHMP","2014-12-16","22.5","22.61","22.5","22.607","1500"
"PPHMP","2014-12-17","22.24","22.3","22.15","22.15","2512"
"PPHMP","2014-12-18","21.84","22.1","20.34","21.75","2202"
"PPHMP","2014-12-19","22.0","22.0","21.7","21.72","1760"
"PPHMP","2014-12-22","22.0","22.24","22.0","22.24","2344"
"PPHMP","2014-12-24","21.75","21.75","21.75","21.75","600"
"PPHMP","2014-12-26","21.9","21.9","21.79","21.79","417"
"PPHMP","2014-12-29","22.46","22.46","21.7","22.17","1411"
"PPHMP","2014-12-30","22.1","22.1","21.75","21.75","887"
"PPHMP","2014-12-31","21.8","21.85","21.8","21.85","346"
"PPHMP","2015-01-02","21.82","22.12","21.8","22.118","1159"
"PPHMP","2015-01-05","22.2","22.2","21.12","22.03","6225"
"PPHMP","2015-01-06","22.12","22.12","22.0","22.0","2500"
"PPHMP","2015-01-07","22.0","22.0","22.0","22.0","442"
"PPHMP","2015-01-08","22.09","22.09","21.9","22.05","1500"
"PPHMP","2015-01-09","22.02","22.05","21.85","21.85","1070"
"PPHMP","2015-01-12","21.71","22.2","21.71","22.19","3244"
"PPHMP","2015-01-14","22.0","22.0","21.71","21.8","1612"
"PPHMP","2015-01-15","21.9","21.9","21.71","21.71","1210"
"PPHMP","2015-01-16","21.5","21.55","21.49","21.55","2300"
"PPHMP","2015-01-20","21.99","21.99","21.85","21.846","300"
"PPHMP","2015-01-21","21.84","21.84","21.0","21.0","7821"
"PPHMP","2015-01-22","20.8","21.0","20.5","20.7","3990"
"PPHMP","2015-01-23","20.5","20.6","20.25","20.6","4625"
"PPHMP","2015-01-26","20.5","20.5","20.25","20.3","2747"
"PPHMP","2015-01-27","20.25","20.47","20.19","20.47","3175"
"PPHMP","2015-01-29","19.8","19.8","19.1","19.3","7950"
"PPHMP","2015-01-30","19.3","19.32","18.76","18.8","12536"
"PPHMP","2015-02-02","18.9","18.9","18.5","18.844","10054"
"PPHMP","2015-02-03","18.64","18.75","18.55","18.55","4025"
"PPHMP","2015-02-04","18.69","18.7","18.55","18.55","3300"
"PPHMP","2015-02-05","18.55","18.55","18.55","18.55","980"
"PPHMP","2015-02-06","18.58","18.7","18.55","18.7","1649"
"PPHMP","2015-02-09","18.96","19.48","18.96","19.48","4050"
"PPHMP","2015-02-10","19.49","20.0","19.49","19.97","1820"
"PPHMP","2015-02-11","18.59","19.7","18.59","19.7","1310"
"PPHMP","2015-02-12","19.0","19.01","19.0","19.0","1100"
"PPHMP","2015-02-13","19.0","19.7","19.0","19.65","2581"
"PPHMP","2015-02-17","19.66","19.66","19.66","19.66","100"
"PPHMP","2015-02-18","19.94","22.0","19.94","21.75","12124"
"PPHMP","2015-02-19","22.0","22.0","21.7","21.89","8725"
"PPHMP","2015-02-20","22.0","22.0","21.86","21.95","4555"
"PPHMP","2015-02-23","21.95","21.99","21.95","21.95","2865"
"PPHMP","2015-02-24","21.8","21.8","21.8","21.8","225"
"PPHMP","2015-02-25","21.75","21.75","21.75","21.75","900"
"PPHMP","2015-02-26","21.5","22.62","21.5","22.57","10250"
"PPHMP","2015-02-27","22.0","23.35","22.0","23.24","12182"
"PPHMP","2015-03-02","23.24","23.45","23.0","23.24","11180"
"PPHMP","2015-03-03","23.4","23.5","23.19","23.5","6015"
"PPHMP","2015-03-04","23.5","23.94","23.35","23.675","2610"
"PPHMP","2015-03-05","23.6","23.75","23.5","23.7","1200"
"PPHMP","2015-03-06","23.68","23.8","23.68","23.75","5277"
"PPHMP","2015-03-09","23.5","23.5","22.15","22.75","2646"
"PPHMP","2015-03-10","22.75","22.75","22.75","22.75","200"
"PPHMP","2015-03-11","22.76","23.2","22.76","23.05","1415"
"PPHMP","2015-03-12","23.5","23.5","23.3","23.5","1954"
"PPHMP","2015-03-13","23.25","23.5","23.25","23.45","1280"
