"symbol","date","open","high","low","close","volume"
"PPT","1988-02-19","10.0","10.5","10.0","0.88","5568600"
"PPT","1988-02-22","10.0","10.12","10.0","0.89","595900"
"PPT","1988-02-23","10.12","10.12","10.0","0.88","565000"
"PPT","1988-02-24","10.0","10.12","10.0","0.89","193000"
"PPT","1988-02-25","10.0","10.12","10.0","0.88","340100"
"PPT","1988-02-26","10.0","10.0","10.0","0.88","906800"
"PPT","1988-02-29","10.0","10.12","10.0","0.88","546600"
"PPT","1988-03-01","10.0","10.12","10.0","0.88","320600"
"PPT","1988-03-02","10.0","10.12","10.0","0.88","249100"
"PPT","1988-03-03","10.0","10.12","10.0","0.88","308700"
"PPT","1988-03-04","10.0","10.12","10.0","0.88","204100"
"PPT","1988-03-07","10.0","10.12","10.0","0.88","341400"
"PPT","1988-03-08","10.0","10.12","10.0","0.88","309800"
"PPT","1988-03-09","10.0","10.12","10.0","0.88","439100"
"PPT","1988-03-10","10.0","10.12","10.0","0.88","447400"
"PPT","1988-03-11","10.0","10.12","10.0","0.88","339600"
"PPT","1988-03-14","10.0","10.12","10.0","0.88","297000"
"PPT","1988-03-15","10.0","10.12","10.0","0.88","311300"
"PPT","1988-03-16","10.0","10.12","10.0","0.88","230600"
"PPT","1988-03-17","10.0","10.12","10.0","0.88","195700"
"PPT","1988-03-18","10.0","10.12","10.0","0.88","229000"
"PPT","1988-03-21","10.0","10.12","10.0","0.88","313800"
"PPT","1988-03-22","10.0","10.12","10.0","0.88","336400"
"PPT","1988-03-23","10.0","10.12","10.0","0.88","270800"
"PPT","1988-03-24","10.0","10.12","10.0","0.88","327600"
"PPT","1988-03-25","10.0","10.12","10.0","0.89","148500"
"PPT","1988-03-28","10.0","10.12","10.0","0.89","223200"
"PPT","1988-03-29","10.0","10.12","10.0","0.88","246900"
"PPT","1988-03-30","10.0","10.12","10.0","0.88","172100"
"PPT","1988-03-31","10.0","10.12","10.0","0.88","179500"
"PPT","1988-04-04","10.0","10.12","10.0","0.89","310300"
"PPT","1988-04-05","10.0","10.12","10.0","0.88","319100"
"PPT","1988-04-06","10.0","10.12","10.0","0.88","239200"
"PPT","1988-04-07","10.0","10.12","10.0","0.88","181900"
"PPT","1988-04-08","10.0","10.12","10.0","0.88","267900"
"PPT","1988-04-11","10.0","10.12","10.0","0.88","202300"
"PPT","1988-04-12","10.0","10.12","10.0","0.88","160300"
"PPT","1988-04-13","10.0","10.12","10.0","0.89","262900"
"PPT","1988-04-14","10.0","10.0","9.88","0.89","230200"
"PPT","1988-04-15","9.88","10.0","9.88","0.89","792100"
"PPT","1988-04-18","10.0","10.12","10.0","0.89","699700"
"PPT","1988-04-19","10.0","10.12","10.0","0.89","419500"
"PPT","1988-04-20","10.0","10.12","10.0","0.89","315000"
"PPT","1988-04-21","10.0","10.0","10.0","0.89","509000"
"PPT","1988-04-22","10.0","10.0","10.0","0.89","259800"
"PPT","1988-04-25","10.0","10.0","10.0","0.89","120400"
"PPT","1988-04-26","10.0","10.12","10.0","0.89","201400"
"PPT","1988-04-27","10.0","10.12","10.0","0.89","142700"
"PPT","1988-04-28","10.0","10.0","10.0","0.89","92600"
"PPT","1988-04-29","10.0","10.0","10.0","0.89","159000"
"PPT","1988-05-02","10.0","10.0","9.88","0.88","126100"
"PPT","1988-05-03","9.88","10.0","9.88","0.89","246400"
"PPT","1988-05-04","10.0","10.0","9.88","0.88","105600"
"PPT","1988-05-05","9.88","10.0","9.88","0.89","92300"
"PPT","1988-05-06","9.88","10.0","9.88","0.89","104300"
"PPT","1988-05-09","10.0","10.0","9.88","0.88","126700"
"PPT","1988-05-10","9.88","10.0","9.88","0.88","156200"
"PPT","1988-05-11","9.88","9.88","9.75","0.87","115100"
"PPT","1988-05-12","9.75","9.88","9.75","0.88","125400"
"PPT","1988-05-13","9.88","9.88","9.75","0.88","129600"
"PPT","1988-05-16","9.75","9.88","9.75","0.89","90100"
"PPT","1988-05-17","9.88","9.88","9.62","0.86","157400"
"PPT","1988-05-18","9.62","9.75","9.38","0.84","230900"
"PPT","1988-05-19","9.38","9.5","9.38","0.85","163900"
"PPT","1988-05-20","9.5","9.5","9.38","0.84","159400"
"PPT","1988-05-23","9.5","9.5","9.38","0.84","137300"
"PPT","1988-05-24","9.5","9.5","9.38","0.85","150500"
"PPT","1988-05-25","9.5","9.5","9.38","0.84","108100"
"PPT","1988-05-26","9.5","9.62","9.38","0.85","143200"
"PPT","1988-05-27","9.62","9.75","9.5","0.86","69000"
"PPT","1988-05-31","9.62","9.75","9.62","0.86","99800"
"PPT","1988-06-01","9.75","9.75","9.62","0.87","109300"
"PPT","1988-06-02","9.62","9.75","9.62","0.86","85100"
"PPT","1988-06-03","9.75","9.75","9.62","0.87","79300"
"PPT","1988-06-06","9.75","9.75","9.62","0.86","123900"
"PPT","1988-06-07","9.62","9.75","9.62","0.86","242400"
"PPT","1988-06-08","9.75","9.75","9.62","0.86","152200"
"PPT","1988-06-09","9.75","9.75","9.62","0.86","108500"
"PPT","1988-06-10","9.62","9.75","9.62","0.87","97100"
"PPT","1988-06-13","9.75","9.88","9.62","0.86","144900"
"PPT","1988-06-14","9.62","9.75","9.62","0.88","151300"
