"symbol","date","open","high","low","close","volume"
"PQ","1992-10-26","3.38","3.62","3.38","3.38","10000"
"PQ","1992-10-27","3.5","3.56","3.47","3.5","7100"
"PQ","1992-10-28","3.5","3.5","3.5","3.5","2200"
"PQ","1992-10-29","3.38","3.5","3.25","3.25","6800"
"PQ","1992-10-30","3.5","3.5","3.31","3.5","8600"
"PQ","1992-11-02","3.5","3.5","3.25","3.25","9300"
"PQ","1992-11-03","3.38","3.38","3.12","3.12","1900"
"PQ","1992-11-04","3.12","3.38","3.12","3.25","1400"
"PQ","1992-11-05","3.0","3.16","3.0","3.16","3000"
"PQ","1992-11-06","3.19","3.38","3.19","3.38","1900"
"PQ","1992-11-09","3.38","3.38","3.0","3.38","2900"
"PQ","1992-11-10","3.0","3.38","3.0","3.25","24300"
"PQ","1992-11-11","3.25","3.25","3.0","3.25","12200"
"PQ","1992-11-12","3.25","3.25","3.0","3.25","10800"
"PQ","1992-11-13","3.25","3.25","3.0","3.12","20800"
"PQ","1992-11-16","3.19","3.19","3.0","3.0","1000"
"PQ","1992-11-17","3.03","3.19","2.88","2.88","12600"
"PQ","1992-11-18","3.06","3.06","2.88","2.88","10400"
"PQ","1992-11-19","3.0","3.0","2.88","3.0","12200"
"PQ","1992-11-20","3.0","3.0","2.88","3.0","2400"
"PQ","1992-11-23","3.0","3.0","2.88","2.88","1200"
"PQ","1992-11-24","2.88","3.0","2.75","2.81","7600"
"PQ","1992-11-25","2.88","2.88","2.81","2.88","1700"
"PQ","1992-11-27","3.0","3.0","2.94","3.0","1500"
"PQ","1992-11-30","2.75","3.0","2.75","2.91","7000"
"PQ","1992-12-01","3.0","3.0","2.75","2.75","1600"
"PQ","1992-12-02","2.88","2.88","2.88","2.88","1000"
"PQ","1992-12-03","2.75","2.75","2.75","2.75","900"
"PQ","1992-12-04","3.0","3.0","2.88","3.0","4100"
"PQ","1992-12-07","3.0","3.0","2.75","3.0","2900"
"PQ","1992-12-08","2.75","3.0","2.75","3.0","6700"
"PQ","1992-12-09","2.94","2.94","2.75","2.94","13900"
"PQ","1992-12-10","3.0","3.0","3.0","3.0","1700"
"PQ","1992-12-11","2.81","3.0","2.62","3.0","3500"
"PQ","1992-12-14","3.0","3.0","2.81","2.81","5900"
"PQ","1992-12-15","3.0","3.0","2.25","2.5","87700"
"PQ","1992-12-16","2.88","2.88","2.5","2.5","3600"
"PQ","1992-12-17","2.88","2.88","2.5","2.5","12000"
"PQ","1992-12-18","2.88","2.88","2.5","2.56","15000"
"PQ","1992-12-21","2.75","2.75","2.5","2.75","3300"
"PQ","1992-12-22","2.75","2.75","2.75","2.75","3700"
"PQ","1992-12-23","2.75","2.75","2.5","2.5","20300"
"PQ","1992-12-24","2.5","2.5","2.5","2.5","100"
"PQ","1992-12-28","2.5","2.5","2.5","2.5","1200"
"PQ","1992-12-29","2.75","2.75","2.75","2.75","400"
"PQ","1992-12-30","2.75","2.75","2.5","2.5","3700"
"PQ","1992-12-31","2.5","2.75","2.44","2.44","15300"
"PQ","1993-01-04","2.5","2.88","2.5","2.5","7600"
"PQ","1993-01-05","2.5","2.5","2.5","2.5","0"
"PQ","1993-01-06","2.88","2.88","2.5","2.5","8600"
"PQ","1993-01-07","2.5","2.5","2.31","2.5","2600"
"PQ","1993-01-08","2.88","2.88","2.88","2.88","100"
"PQ","1993-01-11","2.88","2.88","2.5","2.88","7500"
"PQ","1993-01-12","2.5","2.88","2.5","2.88","600"
"PQ","1993-01-13","2.88","2.88","2.5","2.59","7400"
"PQ","1993-01-14","2.5","2.5","2.5","2.5","600"
"PQ","1993-01-15","2.5","2.75","2.5","2.75","2600"
"PQ","1993-01-18","2.75","2.75","2.5","2.75","2500"
"PQ","1993-01-19","2.75","2.75","2.5","2.62","5900"
"PQ","1993-01-20","2.88","2.88","2.5","2.88","2700"
"PQ","1993-01-21","2.88","2.88","2.88","2.88","1500"
"PQ","1993-01-22","2.5","2.75","2.5","2.75","13900"
"PQ","1993-01-25","2.75","3.0","2.62","3.0","44400"
"PQ","1993-01-26","3.12","3.12","2.75","3.12","22200"
"PQ","1993-01-27","3.12","3.25","2.88","3.06","30700"
"PQ","1993-01-28","3.25","3.25","3.12","3.25","10100"
"PQ","1993-01-29","3.25","3.25","3.0","3.0","9800"
"PQ","1993-02-01","3.25","3.25","3.25","3.25","8100"
"PQ","1993-02-02","3.38","3.38","3.25","3.38","11400"
"PQ","1993-02-03","3.38","3.5","3.38","3.5","7100"
"PQ","1993-02-04","3.5","3.5","3.12","3.12","15000"
"PQ","1993-02-05","3.5","3.5","3.38","3.5","10100"
"PQ","1993-02-08","3.5","3.5","3.12","3.47","9500"
"PQ","1993-02-09","3.5","3.75","3.38","3.5","8800"
"PQ","1993-02-10","3.5","3.5","3.31","3.31","7100"
"PQ","1993-02-11","3.5","3.5","3.12","3.5","4500"
"PQ","1993-02-12","3.5","3.5","3.5","3.5","5900"
"PQ","1993-02-16","3.5","3.5","3.12","3.12","12300"
"PQ","1993-02-17","3.12","3.38","3.12","3.12","10100"
"PQ","1993-02-18","3.38","3.38","3.12","3.19","2700"
"PQ","1993-02-19","3.38","3.5","3.25","3.5","6700"
"PQ","1993-02-22","3.12","3.5","3.12","3.12","9600"
"PQ","1993-02-23","3.12","3.12","3.12","3.12","1900"
"PQ","1993-02-24","3.5","3.5","3.25","3.5","6600"
"PQ","1993-02-25","3.12","3.5","3.12","3.38","8900"
"PQ","1993-02-26","3.12","3.5","3.12","3.25","9700"
"PQ","1993-03-01","3.5","3.5","3.25","3.25","1800"
"PQ","1993-03-02","3.25","3.25","3.25","3.25","500"
"PQ","1993-03-03","3.5","3.5","3.25","3.25","8600"
"PQ","1993-03-04","3.5","3.5","3.38","3.38","1100"
"PQ","1993-03-05","3.25","3.5","3.25","3.5","10600"
"PQ","1993-03-08","3.25","3.38","3.25","3.38","4700"
"PQ","1993-03-09","3.5","3.5","3.5","3.5","100"
"PQ","1993-03-10","3.25","3.5","3.25","3.5","1100"
"PQ","1993-03-11","3.25","3.5","3.25","3.5","6600"
"PQ","1993-03-12","3.5","3.5","3.25","3.5","7600"
"PQ","1993-03-15","3.25","3.5","3.25","3.5","5500"
"PQ","1993-03-16","3.62","3.62","3.25","3.25","4600"
"PQ","1993-03-17","3.25","3.38","3.25","3.38","1300"
"PQ","1993-03-18","3.25","3.62","3.25","3.25","1500"
"PQ","1993-03-19","3.25","3.34","3.25","3.34","3500"
"PQ","1993-03-22","3.25","3.62","3.25","3.25","12500"
"PQ","1993-03-23","3.25","3.5","3.25","3.38","3900"
"PQ","1993-03-24","3.12","3.38","3.12","3.34","4800"
"PQ","1993-03-25","3.38","3.38","3.12","3.12","23200"
"PQ","1993-03-26","3.25","3.38","3.12","3.38","15200"
"PQ","1993-03-29","3.12","3.22","3.12","3.22","12000"
"PQ","1993-03-30","3.22","3.38","3.0","3.38","10900"
"PQ","1993-03-31","3.38","3.38","3.19","3.38","5000"
"PQ","1993-04-01","3.25","3.25","3.0","3.12","8900"
"PQ","1993-04-02","3.25","3.38","3.0","3.19","20700"
"PQ","1993-04-05","3.38","3.5","3.12","3.5","47300"
"PQ","1993-04-06","3.5","3.62","3.38","3.62","21800"
"PQ","1993-04-07","3.62","3.62","3.38","3.38","9800"
"PQ","1993-04-08","3.75","4.0","3.5","3.88","28200"
"PQ","1993-04-12","3.88","3.88","3.5","3.88","13700"
"PQ","1993-04-13","3.88","3.88","3.5","3.66","9200"
"PQ","1993-04-14","3.5","3.5","3.5","3.5","2100"
"PQ","1993-04-15","3.53","3.88","3.53","3.88","3300"
"PQ","1993-04-16","3.88","3.88","3.38","3.38","8300"
"PQ","1993-04-19","3.75","3.75","3.75","3.75","8000"
"PQ","1993-04-20","3.88","3.88","3.5","3.5","6700"
"PQ","1993-04-21","3.75","3.75","3.75","3.75","200"
"PQ","1993-04-22","3.75","3.75","3.38","3.62","3200"
"PQ","1993-04-23","3.5","3.75","3.5","3.75","9800"
"PQ","1993-04-26","3.75","3.75","3.5","3.75","8700"
"PQ","1993-04-27","3.5","3.75","3.5","3.75","2200"
"PQ","1993-04-28","3.75","3.75","3.5","3.75","6200"
"PQ","1993-04-29","3.75","3.75","3.5","3.75","11400"
"PQ","1993-04-30","3.5","3.62","3.25","3.53","18000"
"PQ","1993-05-03","3.25","3.62","3.25","3.62","14600"
"PQ","1993-05-04","3.62","3.75","3.38","3.38","16400"
"PQ","1993-05-05","3.38","3.75","3.38","3.62","14700"
"PQ","1993-05-06","3.25","3.62","3.25","3.38","387300"
"PQ","1993-05-07","3.62","3.75","3.44","3.75","86400"
"PQ","1993-05-10","3.75","3.75","3.5","3.5","22900"
"PQ","1993-05-11","3.75","3.88","3.5","3.88","92100"
"PQ","1993-05-12","4.0","4.0","3.75","4.0","75900"
"PQ","1993-05-13","4.0","4.0","3.75","4.0","28500"
"PQ","1993-05-14","4.0","4.0","3.62","4.0","47500"
"PQ","1993-05-17","4.0","4.0","3.88","3.94","69700"
"PQ","1993-05-18","4.12","4.75","4.0","4.38","80500"
"PQ","1993-05-19","4.62","4.62","4.25","4.25","36100"
"PQ","1993-05-20","4.62","4.88","4.25","4.88","62200"
"PQ","1993-05-21","4.88","4.88","4.38","4.62","54000"
"PQ","1993-05-24","4.75","4.75","4.5","4.75","21100"
"PQ","1993-05-25","4.38","4.75","4.38","4.75","10300"
"PQ","1993-05-26","4.75","4.75","4.5","4.69","4600"
"PQ","1993-05-27","4.62","4.62","4.25","4.62","22100"
"PQ","1993-05-28","4.62","4.75","4.38","4.75","31700"
"PQ","1993-06-01","4.38","4.75","4.38","4.5","40700"
"PQ","1993-06-02","4.88","5.25","4.62","5.25","110800"
"PQ","1993-06-03","5.38","6.0","5.0","5.75","171300"
"PQ","1993-06-04","5.88","5.88","5.5","5.88","66100"
"PQ","1993-06-07","5.88","6.25","5.62","6.0","99600"
"PQ","1993-06-08","6.12","6.25","5.5","5.5","60700"
"PQ","1993-06-09","5.38","5.88","5.12","5.25","30200"
"PQ","1993-06-10","5.5","5.5","4.75","5.12","92900"
"PQ","1993-06-11","4.88","5.12","4.88","5.12","11100"
"PQ","1993-06-14","5.12","5.12","4.88","5.12","13700"
"PQ","1993-06-15","5.0","5.12","4.88","5.12","33900"
"PQ","1993-06-16","4.88","5.5","4.88","5.31","41200"
"PQ","1993-06-17","5.38","5.88","5.25","5.88","49300"
